[LINE 1] UID=JK2024AC01 | family_rows=1 | sources_rows=3
[LINE 73] UID=JK2024AC73 | family_rows=1 | sources_rows=3
[LINE 74] UID=JK2024AC74 | family_rows=1 | sources_rows=3
[LINE 75] UID=JK2024AC75 | family_rows=1 | sources_rows=4
[LINE 76] UID=JK2024AC76 | family_rows=1 | sources_rows=3
[LINE 77] UID=JK2024AC77 | family_rows=2 | sources_rows=6
[LINE 78] UID=JK2024AC78 | family_rows=1 | sources_rows=4
[LINE 79] UID=JK2024AC79 | family_rows=1 | sources_rows=2
[LINE 80] UID=JK2024AC80 | family_rows=1 | sources_rows=3
[LINE 81] UID=JK2024AC81 | family_rows=1 | sources_rows=3
[LINE 82] UID=JK2024AC82 | family_rows=2 | sources_rows=5
[LINE 83] UID=JK2024AC83 | family_rows=1 | sources_rows=3
[LINE 84] UID=JK2024AC84 | family_rows=1 | sources_rows=4
[LINE 85] UID=JK2024AC85 | family_rows=1 | sources_rows=3
[LINE 86] UID=JK2024AC86 | family_rows=1 | sources_rows=2
[LINE 87] UID=JK2024AC87 | family_rows=1 | sources_rows=3
[LINE 88] Existing error preserved | UID=JK2024AC88
[LINE 89] UID=JK2024AC89 | family_rows=1 | sources_rows=3
[LINE 90] UID=JK2024AC90 | family_rows=1 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 106
Total source rows: 343
