[LINE 1] UID=MH2024AC01 | family_rows=1 | sources_rows=6
[LINE 37] UID=MH2024AC37 | family_rows=1 | sources_rows=5
[LINE 38] UID=MH2024AC38 | family_rows=1 | sources_rows=3
[LINE 39] UID=MH2024AC39 | family_rows=1 | sources_rows=3
[LINE 40] UID=MH2024AC40 | family_rows=1 | sources_rows=5
[LINE 41] UID=MH2024AC41 | family_rows=1 | sources_rows=4
[LINE 42] UID=MH2024AC42 | family_rows=1 | sources_rows=4
[LINE 43] UID=MH2024AC43 | family_rows=1 | sources_rows=4
[LINE 44] UID=MH2024AC44 | family_rows=1 | sources_rows=4
[LINE 45] UID=MH2024AC45 | family_rows=1 | sources_rows=4
[LINE 46] UID=MH2024AC46 | family_rows=1 | sources_rows=3
[LINE 47] UID=MH2024AC47 | family_rows=1 | sources_rows=5
[LINE 48] UID=MH2024AC48 | family_rows=1 | sources_rows=3
[LINE 49] UID=MH2024AC49 | family_rows=2 | sources_rows=3
[LINE 50] UID=MH2024AC50 | family_rows=2 | sources_rows=5
[LINE 51] UID=MH2024AC51 | family_rows=1 | sources_rows=4
[LINE 52] UID=MH2024AC52 | family_rows=2 | sources_rows=3
[LINE 53] UID=MH2024AC53 | family_rows=1 | sources_rows=3
[LINE 54] UID=MH2024AC54 | family_rows=1 | sources_rows=6
[LINE 55] UID=MH2024AC55 | family_rows=1 | sources_rows=3
[LINE 56] UID=MH2024AC56 | family_rows=1 | sources_rows=5
[LINE 57] UID=MH2024AC57 | family_rows=1 | sources_rows=4
[LINE 58] UID=MH2024AC58 | family_rows=1 | sources_rows=4
[LINE 59] UID=MH2024AC59 | family_rows=1 | sources_rows=4
[LINE 60] UID=MH2024AC60 | family_rows=1 | sources_rows=1
[LINE 61] UID=MH2024AC61 | family_rows=1 | sources_rows=4
[LINE 62] UID=MH2024AC62 | family_rows=1 | sources_rows=5
[LINE 63] UID=MH2024AC63 | family_rows=1 | sources_rows=5
[LINE 64] UID=MH2024AC64 | family_rows=1 | sources_rows=3
[LINE 65] UID=MH2024AC65 | family_rows=1 | sources_rows=5
[LINE 66] UID=MH2024AC66 | family_rows=1 | sources_rows=4
[LINE 67] UID=MH2024AC67 | family_rows=1 | sources_rows=7
[LINE 68] UID=MH2024AC68 | family_rows=1 | sources_rows=5
[LINE 69] UID=MH2024AC69 | family_rows=3 | sources_rows=4
[LINE 70] UID=MH2024AC70 | family_rows=1 | sources_rows=4
[LINE 71] UID=MH2024AC71 | family_rows=1 | sources_rows=5
[LINE 72] UID=MH2024AC72 | family_rows=1 | sources_rows=4
[LINE 73] UID=MH2024AC73 | family_rows=1 | sources_rows=6
[LINE 74] UID=MH2024AC74 | family_rows=1 | sources_rows=3
[LINE 75] UID=MH2024AC75 | family_rows=1 | sources_rows=3
[LINE 76] UID=MH2024AC76 | family_rows=1 | sources_rows=3
[LINE 77] UID=MH2024AC77 | family_rows=1 | sources_rows=8
[LINE 78] UID=MH2024AC78 | family_rows=1 | sources_rows=3
[LINE 79] UID=MH2024AC79 | family_rows=1 | sources_rows=4
[LINE 80] UID=MH2024AC80 | family_rows=1 | sources_rows=3
[LINE 81] UID=MH2024AC81 | family_rows=6 | sources_rows=8
[LINE 82] UID=MH2024AC82 | family_rows=1 | sources_rows=4
[LINE 83] UID=MH2024AC83 | family_rows=1 | sources_rows=4
[LINE 84] UID=MH2024AC84 | family_rows=1 | sources_rows=3
[LINE 85] UID=MH2024AC85 | family_rows=3 | sources_rows=5
[LINE 86] UID=MH2024AC86 | family_rows=1 | sources_rows=5
[LINE 87] UID=MH2024AC87 | family_rows=1 | sources_rows=5
[LINE 88] UID=MH2024AC88 | family_rows=1 | sources_rows=4
[LINE 89] UID=MH2024AC89 | family_rows=1 | sources_rows=3
[LINE 90] UID=MH2024AC90 | family_rows=1 | sources_rows=3
[LINE 91] UID=MH2024AC91 | family_rows=1 | sources_rows=2
[LINE 92] UID=MH2024AC92 | family_rows=1 | sources_rows=3
[LINE 93] UID=MH2024AC93 | family_rows=1 | sources_rows=1
[LINE 94] UID=MH2024AC94 | family_rows=1 | sources_rows=4
[LINE 95] UID=MH2024AC95 | family_rows=1 | sources_rows=5
[LINE 96] UID=MH2024AC96 | family_rows=1 | sources_rows=4
[LINE 97] UID=MH2024AC97 | family_rows=1 | sources_rows=3
[LINE 98] UID=MH2024AC98 | family_rows=1 | sources_rows=6
[LINE 99] UID=MH2024AC99 | family_rows=1 | sources_rows=4
[LINE 100] UID=MH2024AC100 | family_rows=1 | sources_rows=4
[LINE 101] UID=MH2024AC101 | family_rows=2 | sources_rows=2
[LINE 102] UID=MH2024AC102 | family_rows=1 | sources_rows=3
[LINE 103] UID=MH2024AC103 | family_rows=3 | sources_rows=3
[LINE 104] UID=MH2024AC104 | family_rows=1 | sources_rows=2
[LINE 105] UID=MH2024AC105 | family_rows=3 | sources_rows=5
[LINE 106] UID=MH2024AC106 | family_rows=1 | sources_rows=4
[LINE 107] UID=MH2024AC107 | family_rows=1 | sources_rows=3
[LINE 108] UID=MH2024AC108 | family_rows=1 | sources_rows=3
[LINE 109] UID=MH2024AC109 | family_rows=1 | sources_rows=3
[LINE 110] UID=MH2024AC110 | family_rows=1 | sources_rows=6
[LINE 111] UID=MH2024AC111 | family_rows=1 | sources_rows=5
[LINE 112] UID=MH2024AC112 | family_rows=1 | sources_rows=4
[LINE 113] UID=MH2024AC113 | family_rows=1 | sources_rows=3
[LINE 114] UID=MH2024AC114 | family_rows=1 | sources_rows=6
[LINE 115] UID=MH2024AC115 | family_rows=1 | sources_rows=6
[LINE 116] UID=MH2024AC116 | family_rows=1 | sources_rows=4
[LINE 117] UID=MH2024AC117 | family_rows=1 | sources_rows=3
[LINE 118] UID=MH2024AC118 | family_rows=1 | sources_rows=3
[LINE 119] UID=MH2024AC119 | family_rows=2 | sources_rows=3
[LINE 120] UID=MH2024AC120 | family_rows=2 | sources_rows=3
[LINE 121] UID=MH2024AC121 | family_rows=1 | sources_rows=4
[LINE 122] UID=MH2024AC122 | family_rows=1 | sources_rows=4
[LINE 123] UID=MH2024AC123 | family_rows=1 | sources_rows=5
[LINE 124] UID=MH2024AC124 | family_rows=1 | sources_rows=4
[LINE 125] UID=MH2024AC125 | family_rows=1 | sources_rows=4
[LINE 126] UID=MH2024AC126 | family_rows=1 | sources_rows=6
[LINE 127] UID=MH2024AC127 | family_rows=1 | sources_rows=4
[LINE 128] UID=MH2024AC128 | family_rows=1 | sources_rows=3
[LINE 129] UID=MH2024AC129 | family_rows=1 | sources_rows=3
[LINE 130] UID=MH2024AC130 | family_rows=1 | sources_rows=5
[LINE 131] UID=MH2024AC131 | family_rows=1 | sources_rows=5
[LINE 132] UID=MH2024AC132 | family_rows=1 | sources_rows=3
[LINE 133] UID=MH2024AC133 | family_rows=2 | sources_rows=4
[LINE 134] UID=MH2024AC134 | family_rows=1 | sources_rows=4
[LINE 135] UID=MH2024AC135 | family_rows=1 | sources_rows=4
[LINE 136] UID=MH2024AC136 | family_rows=1 | sources_rows=1
[LINE 137] UID=MH2024AC137 | family_rows=1 | sources_rows=5
[LINE 138] UID=MH2024AC138 | family_rows=1 | sources_rows=4
[LINE 139] UID=MH2024AC139 | family_rows=1 | sources_rows=5
[LINE 140] UID=MH2024AC140 | family_rows=1 | sources_rows=4
[LINE 141] UID=MH2024AC141 | family_rows=1 | sources_rows=4
[LINE 142] UID=MH2024AC142 | family_rows=1 | sources_rows=5
[LINE 143] UID=MH2024AC143 | family_rows=1 | sources_rows=4
[LINE 144] UID=MH2024AC144 | family_rows=1 | sources_rows=3
[LINE 145] UID=MH2024AC145 | family_rows=1 | sources_rows=4
[LINE 146] UID=MH2024AC146 | family_rows=3 | sources_rows=6
[LINE 147] UID=MH2024AC147 | family_rows=2 | sources_rows=3
[LINE 148] UID=MH2024AC148 | family_rows=1 | sources_rows=4
[LINE 149] UID=MH2024AC149 | family_rows=1 | sources_rows=3
[LINE 150] UID=MH2024AC150 | family_rows=2 | sources_rows=6
[LINE 151] UID=MH2024AC151 | family_rows=1 | sources_rows=4
[LINE 152] UID=MH2024AC152 | family_rows=1 | sources_rows=5
[LINE 153] UID=MH2024AC153 | family_rows=1 | sources_rows=3
[LINE 154] UID=MH2024AC154 | family_rows=1 | sources_rows=3
[LINE 155] UID=MH2024AC155 | family_rows=1 | sources_rows=4
[LINE 156] Existing error preserved | UID=MH2024AC156
[LINE 157] UID=MH2024AC157 | family_rows=1 | sources_rows=1
[LINE 158] UID=MH2024AC158 | family_rows=1 | sources_rows=3
[LINE 159] UID=MH2024AC159 | family_rows=1 | sources_rows=5
[LINE 160] UID=MH2024AC160 | family_rows=1 | sources_rows=5
[LINE 161] UID=MH2024AC161 | family_rows=1 | sources_rows=3
[LINE 162] UID=MH2024AC162 | family_rows=3 | sources_rows=2
[LINE 163] UID=MH2024AC163 | family_rows=1 | sources_rows=6
[LINE 164] UID=MH2024AC164 | family_rows=1 | sources_rows=1
[LINE 165] UID=MH2024AC165 | family_rows=1 | sources_rows=5
[LINE 166] UID=MH2024AC166 | family_rows=1 | sources_rows=4
[LINE 167] UID=MH2024AC167 | family_rows=1 | sources_rows=3
[LINE 168] UID=MH2024AC168 | family_rows=1 | sources_rows=4
[LINE 169] UID=MH2024AC169 | family_rows=1 | sources_rows=4
[LINE 170] UID=MH2024AC170 | family_rows=1 | sources_rows=6
[LINE 171] Existing error preserved | UID=MH2024AC171
[LINE 172] UID=MH2024AC172 | family_rows=1 | sources_rows=6
[LINE 173] UID=MH2024AC173 | family_rows=1 | sources_rows=4
[LINE 174] UID=MH2024AC174 | family_rows=1 | sources_rows=4
[LINE 175] UID=MH2024AC175 | family_rows=1 | sources_rows=8
[LINE 176] UID=MH2024AC176 | family_rows=2 | sources_rows=4
[LINE 177] UID=MH2024AC177 | family_rows=1 | sources_rows=2
[LINE 178] UID=MH2024AC178 | family_rows=2 | sources_rows=6
[LINE 179] UID=MH2024AC179 | family_rows=3 | sources_rows=3
[LINE 180] UID=MH2024AC180 | family_rows=1 | sources_rows=4
[LINE 181] UID=MH2024AC181 | family_rows=1 | sources_rows=4
[LINE 182] UID=MH2024AC182 | family_rows=6 | sources_rows=5
[LINE 183] UID=MH2024AC183 | family_rows=1 | sources_rows=1
[LINE 184] UID=MH2024AC184 | family_rows=1 | sources_rows=4
[LINE 185] UID=MH2024AC185 | family_rows=1 | sources_rows=3
[LINE 186] UID=MH2024AC186 | family_rows=1 | sources_rows=4
[LINE 187] UID=MH2024AC187 | family_rows=5 | sources_rows=7
[LINE 188] UID=MH2024AC188 | family_rows=1 | sources_rows=4
[LINE 189] UID=MH2024AC189 | family_rows=1 | sources_rows=4
[LINE 190] UID=MH2024AC190 | family_rows=1 | sources_rows=4
[LINE 191] UID=MH2024AC191 | family_rows=1 | sources_rows=4
[LINE 192] UID=MH2024AC192 | family_rows=1 | sources_rows=5
[LINE 193] UID=MH2024AC193 | family_rows=2 | sources_rows=5
[LINE 194] UID=MH2024AC194 | family_rows=1 | sources_rows=3
[LINE 195] UID=MH2024AC195 | family_rows=1 | sources_rows=3
[LINE 196] UID=MH2024AC196 | family_rows=1 | sources_rows=2
[LINE 197] UID=MH2024AC197 | family_rows=1 | sources_rows=2
[LINE 198] UID=MH2024AC198 | family_rows=1 | sources_rows=3
[LINE 199] UID=MH2024AC199 | family_rows=2 | sources_rows=3
[LINE 200] UID=MH2024AC200 | family_rows=1 | sources_rows=3
[LINE 201] UID=MH2024AC201 | family_rows=5 | sources_rows=5
[LINE 202] UID=MH2024AC202 | family_rows=1 | sources_rows=4
[LINE 203] UID=MH2024AC203 | family_rows=1 | sources_rows=3
[LINE 204] UID=MH2024AC204 | family_rows=1 | sources_rows=4
[LINE 205] UID=MH2024AC205 | family_rows=2 | sources_rows=4
[LINE 206] UID=MH2024AC206 | family_rows=1 | sources_rows=1
[LINE 207] UID=MH2024AC207 | family_rows=1 | sources_rows=4
[LINE 208] UID=MH2024AC208 | family_rows=3 | sources_rows=2
[LINE 209] UID=MH2024AC209 | family_rows=1 | sources_rows=5
[LINE 210] UID=MH2024AC210 | family_rows=1 | sources_rows=4
[LINE 211] UID=MH2024AC211 | family_rows=1 | sources_rows=4
[LINE 212] UID=MH2024AC212 | family_rows=2 | sources_rows=3
[LINE 213] UID=MH2024AC213 | family_rows=1 | sources_rows=3
[LINE 214] UID=MH2024AC214 | family_rows=1 | sources_rows=3
[LINE 215] UID=MH2024AC215 | family_rows=1 | sources_rows=4
[LINE 216] UID=MH2024AC216 | family_rows=1 | sources_rows=3
[LINE 217] UID=MH2024AC217 | family_rows=1 | sources_rows=4
[LINE 218] UID=MH2024AC218 | family_rows=4 | sources_rows=3
[LINE 219] UID=MH2024AC219 | family_rows=2 | sources_rows=5
[LINE 220] UID=MH2024AC220 | family_rows=1 | sources_rows=4
[LINE 221] UID=MH2024AC221 | family_rows=1 | sources_rows=3
[LINE 222] UID=MH2024AC222 | family_rows=1 | sources_rows=3
[LINE 223] UID=MH2024AC223 | family_rows=4 | sources_rows=3
[LINE 224] UID=MH2024AC224 | family_rows=1 | sources_rows=3
[LINE 225] UID=MH2024AC225 | family_rows=4 | sources_rows=4
[LINE 226] UID=MH2024AC226 | family_rows=1 | sources_rows=4
[LINE 227] UID=MH2024AC227 | family_rows=7 | sources_rows=6
[LINE 228] UID=MH2024AC228 | family_rows=2 | sources_rows=3
[LINE 229] UID=MH2024AC229 | family_rows=1 | sources_rows=3
[LINE 230] UID=MH2024AC230 | family_rows=6 | sources_rows=5
[LINE 231] UID=MH2024AC231 | family_rows=1 | sources_rows=4
[LINE 232] UID=MH2024AC232 | family_rows=1 | sources_rows=2
[LINE 233] UID=MH2024AC233 | family_rows=3 | sources_rows=4
[LINE 234] UID=MH2024AC234 | family_rows=1 | sources_rows=2
[LINE 235] UID=MH2024AC235 | family_rows=3 | sources_rows=4
[LINE 236] UID=MH2024AC236 | family_rows=1 | sources_rows=4
[LINE 237] UID=MH2024AC237 | family_rows=1 | sources_rows=3
[LINE 238] UID=MH2024AC238 | family_rows=3 | sources_rows=4
[LINE 239] UID=MH2024AC239 | family_rows=1 | sources_rows=4
[LINE 240] UID=MH2024AC240 | family_rows=1 | sources_rows=4
[LINE 241] UID=MH2024AC241 | family_rows=3 | sources_rows=5
[LINE 242] UID=MH2024AC242 | family_rows=1 | sources_rows=4
[LINE 243] UID=MH2024AC243 | family_rows=1 | sources_rows=2
[LINE 244] UID=MH2024AC244 | family_rows=1 | sources_rows=5
[LINE 245] UID=MH2024AC245 | family_rows=1 | sources_rows=4
[LINE 246] UID=MH2024AC246 | family_rows=1 | sources_rows=4
[LINE 247] UID=MH2024AC247 | family_rows=1 | sources_rows=4
[LINE 248] UID=MH2024AC248 | family_rows=1 | sources_rows=4
[LINE 249] UID=MH2024AC249 | family_rows=4 | sources_rows=3
[LINE 250] UID=MH2024AC250 | family_rows=1 | sources_rows=3
[LINE 251] UID=MH2024AC251 | family_rows=1 | sources_rows=4
[LINE 252] UID=MH2024AC252 | family_rows=1 | sources_rows=3
[LINE 253] UID=MH2024AC253 | family_rows=1 | sources_rows=6
[LINE 254] UID=MH2024AC254 | family_rows=1 | sources_rows=4
[LINE 255] UID=MH2024AC255 | family_rows=1 | sources_rows=5
[LINE 256] UID=MH2024AC256 | family_rows=1 | sources_rows=3
[LINE 257] UID=MH2024AC257 | family_rows=1 | sources_rows=7
[LINE 258] UID=MH2024AC258 | family_rows=1 | sources_rows=5
[LINE 259] UID=MH2024AC259 | family_rows=1 | sources_rows=4
[LINE 260] UID=MH2024AC260 | family_rows=1 | sources_rows=3
[LINE 261] UID=MH2024AC261 | family_rows=1 | sources_rows=3
[LINE 262] UID=MH2024AC262 | family_rows=2 | sources_rows=3
[LINE 263] UID=MH2024AC263 | family_rows=1 | sources_rows=3
[LINE 264] UID=MH2024AC264 | family_rows=1 | sources_rows=2
[LINE 265] UID=MH2024AC265 | family_rows=1 | sources_rows=3
[LINE 266] UID=MH2024AC266 | family_rows=1 | sources_rows=3
[LINE 267] UID=MH2024AC267 | family_rows=1 | sources_rows=3
[LINE 268] UID=MH2024AC268 | family_rows=2 | sources_rows=4
[LINE 269] UID=MH2024AC269 | family_rows=2 | sources_rows=5
[LINE 270] UID=MH2024AC270 | family_rows=1 | sources_rows=4
[LINE 271] UID=MH2024AC271 | family_rows=1 | sources_rows=3
[LINE 272] UID=MH2024AC272 | family_rows=1 | sources_rows=5
[LINE 273] UID=MH2024AC273 | family_rows=1 | sources_rows=1
[LINE 274] UID=MH2024AC274 | family_rows=3 | sources_rows=5
[LINE 275] UID=MH2024AC275 | family_rows=1 | sources_rows=1
[LINE 276] UID=MH2024AC276 | family_rows=1 | sources_rows=3
[LINE 277] UID=MH2024AC277 | family_rows=2 | sources_rows=3
[LINE 278] UID=MH2024AC278 | family_rows=1 | sources_rows=3
[LINE 279] UID=MH2024AC279 | family_rows=3 | sources_rows=5
[LINE 280] UID=MH2024AC280 | family_rows=1 | sources_rows=3
[LINE 281] UID=MH2024AC281 | family_rows=1 | sources_rows=5
[LINE 282] UID=MH2024AC282 | family_rows=1 | sources_rows=4
[LINE 283] UID=MH2024AC283 | family_rows=1 | sources_rows=5
[LINE 284] Existing error preserved | UID=MH2024AC284
[LINE 285] UID=MH2024AC285 | family_rows=1 | sources_rows=5
[LINE 286] UID=MH2024AC286 | family_rows=1 | sources_rows=3
[LINE 287] UID=MH2024AC287 | family_rows=2 | sources_rows=3
[LINE 288] UID=MH2024AC288 | family_rows=1 | sources_rows=6

PROCESSING COMPLETE
Total family rows: 382
Total source rows: 1105
