[LINE 1] UID=GJ2022AC01 | family_rows=1 | sources_rows=2
[LINE 163] UID=GJ2022AC163 | family_rows=1 | sources_rows=4
[LINE 164] UID=GJ2022AC164 | family_rows=1 | sources_rows=4
[LINE 165] UID=GJ2022AC165 | family_rows=1 | sources_rows=4
[LINE 166] UID=GJ2022AC166 | family_rows=1 | sources_rows=4
[LINE 167] UID=GJ2022AC167 | family_rows=1 | sources_rows=5
[LINE 168] UID=GJ2022AC168 | family_rows=1 | sources_rows=4
[LINE 169] UID=GJ2022AC169 | family_rows=1 | sources_rows=5
[LINE 170] UID=GJ2022AC170 | family_rows=1 | sources_rows=3
[LINE 171] UID=GJ2022AC171 | family_rows=1 | sources_rows=3
[LINE 172] UID=GJ2022AC172 | family_rows=1 | sources_rows=4
[LINE 173] UID=GJ2022AC173 | family_rows=1 | sources_rows=3
[LINE 174] UID=GJ2022AC174 | family_rows=1 | sources_rows=3
[LINE 175] UID=GJ2022AC175 | family_rows=1 | sources_rows=3
[LINE 176] UID=GJ2022AC176 | family_rows=1 | sources_rows=3
[LINE 177] UID=GJ2022AC177 | family_rows=1 | sources_rows=3
[LINE 178] UID=GJ2022AC178 | family_rows=1 | sources_rows=4
[LINE 179] UID=GJ2022AC179 | family_rows=1 | sources_rows=4
[LINE 180] UID=GJ2022AC180 | family_rows=1 | sources_rows=5
[LINE 181] UID=GJ2022AC181 | family_rows=1 | sources_rows=5
[LINE 182] UID=GJ2022AC182 | family_rows=1 | sources_rows=4

PROCESSING COMPLETE
Total family rows: 185
Total source rows: 659
