[LINE 1] UID=BR2025AC01 | family_rows=1 | sources_rows=4
[LINE 137] UID=BR2025AC137 | family_rows=1 | sources_rows=7
[LINE 138] UID=BR2025AC138 | family_rows=1 | sources_rows=6
[LINE 139] UID=BR2025AC139 | family_rows=1 | sources_rows=5
[LINE 140] UID=BR2025AC140 | family_rows=1 | sources_rows=8
[LINE 141] UID=BR2025AC141 | family_rows=2 | sources_rows=3
[LINE 142] UID=BR2025AC142 | family_rows=1 | sources_rows=5
[LINE 143] UID=BR2025AC143 | family_rows=1 | sources_rows=3
[LINE 144] UID=BR2025AC144 | family_rows=1 | sources_rows=4
[LINE 145] UID=BR2025AC145 | family_rows=1 | sources_rows=4
[LINE 146] UID=BR2025AC146 | family_rows=1 | sources_rows=5
[LINE 147] UID=BR2025AC147 | family_rows=1 | sources_rows=4
[LINE 148] UID=BR2025AC148 | family_rows=1 | sources_rows=3
[LINE 149] UID=BR2025AC149 | family_rows=1 | sources_rows=4
[LINE 150] Existing error preserved | UID=BR2025AC150
[LINE 151] UID=BR2025AC151 | family_rows=1 | sources_rows=4
[LINE 152] UID=BR2025AC152 | family_rows=1 | sources_rows=5
[LINE 153] UID=BR2025AC153 | family_rows=1 | sources_rows=4
[LINE 154] UID=BR2025AC154 | family_rows=1 | sources_rows=9
[LINE 155] UID=BR2025AC155 | family_rows=1 | sources_rows=5
[LINE 156] UID=BR2025AC156 | family_rows=1 | sources_rows=4
[LINE 157] UID=BR2025AC157 | family_rows=1 | sources_rows=4
[LINE 158] UID=BR2025AC158 | family_rows=1 | sources_rows=6
[LINE 159] UID=BR2025AC159 | family_rows=1 | sources_rows=4
[LINE 160] UID=BR2025AC160 | family_rows=1 | sources_rows=5
[LINE 161] UID=BR2025AC161 | family_rows=1 | sources_rows=5
[LINE 162] UID=BR2025AC162 | family_rows=1 | sources_rows=4
[LINE 163] UID=BR2025AC163 | family_rows=1 | sources_rows=3
[LINE 164] UID=BR2025AC164 | family_rows=2 | sources_rows=6
[LINE 165] UID=BR2025AC165 | family_rows=1 | sources_rows=3
[LINE 166] UID=BR2025AC166 | family_rows=1 | sources_rows=4
[LINE 167] UID=BR2025AC167 | family_rows=1 | sources_rows=4
[LINE 168] UID=BR2025AC168 | family_rows=1 | sources_rows=4
[LINE 169] UID=BR2025AC169 | family_rows=1 | sources_rows=8
[LINE 170] UID=BR2025AC170 | family_rows=1 | sources_rows=5
[LINE 171] UID=BR2025AC171 | family_rows=1 | sources_rows=3
[LINE 172] UID=BR2025AC172 | family_rows=1 | sources_rows=4
[LINE 173] UID=BR2025AC173 | family_rows=1 | sources_rows=3
[LINE 174] UID=BR2025AC174 | family_rows=1 | sources_rows=3
[LINE 175] UID=BR2025AC175 | family_rows=1 | sources_rows=7
[LINE 176] UID=BR2025AC176 | family_rows=1 | sources_rows=5
[LINE 177] UID=BR2025AC177 | family_rows=1 | sources_rows=4
[LINE 178] Existing error preserved | UID=BR2025AC178
[LINE 179] UID=BR2025AC179 | family_rows=1 | sources_rows=5
[LINE 180] UID=BR2025AC180 | family_rows=1 | sources_rows=3
[LINE 181] UID=BR2025AC181 | family_rows=3 | sources_rows=4
[LINE 182] UID=BR2025AC182 | family_rows=1 | sources_rows=6
[LINE 183] UID=BR2025AC183 | family_rows=1 | sources_rows=4
[LINE 184] UID=BR2025AC184 | family_rows=1 | sources_rows=7
[LINE 185] UID=BR2025AC185 | family_rows=1 | sources_rows=4
[LINE 186] UID=BR2025AC186 | family_rows=1 | sources_rows=7
[LINE 187] UID=BR2025AC187 | family_rows=1 | sources_rows=4
[LINE 188] UID=BR2025AC188 | family_rows=1 | sources_rows=5
[LINE 189] UID=BR2025AC189 | family_rows=1 | sources_rows=3
[LINE 190] UID=BR2025AC190 | family_rows=1 | sources_rows=4
[LINE 191] UID=BR2025AC191 | family_rows=1 | sources_rows=5
[LINE 192] UID=BR2025AC192 | family_rows=1 | sources_rows=4
[LINE 193] UID=BR2025AC193 | family_rows=1 | sources_rows=3
[LINE 194] UID=BR2025AC194 | family_rows=1 | sources_rows=5
[LINE 195] UID=BR2025AC195 | family_rows=1 | sources_rows=5
[LINE 196] UID=BR2025AC196 | family_rows=2 | sources_rows=5
[LINE 197] UID=BR2025AC197 | family_rows=1 | sources_rows=2
[LINE 198] UID=BR2025AC198 | family_rows=1 | sources_rows=10
[LINE 199] UID=BR2025AC199 | family_rows=1 | sources_rows=3
[LINE 200] UID=BR2025AC200 | family_rows=1 | sources_rows=3
[LINE 201] UID=BR2025AC201 | family_rows=1 | sources_rows=6
[LINE 202] UID=BR2025AC202 | family_rows=1 | sources_rows=4
[LINE 203] UID=BR2025AC203 | family_rows=1 | sources_rows=6
[LINE 204] UID=BR2025AC204 | family_rows=1 | sources_rows=5
[LINE 205] UID=BR2025AC205 | family_rows=1 | sources_rows=4
[LINE 206] UID=BR2025AC206 | family_rows=1 | sources_rows=4
[LINE 207] UID=BR2025AC207 | family_rows=1 | sources_rows=2
[LINE 208] UID=BR2025AC208 | family_rows=2 | sources_rows=3
[LINE 209] Existing error preserved | UID=BR2025AC209
[LINE 210] UID=BR2025AC210 | family_rows=1 | sources_rows=3
[LINE 211] UID=BR2025AC211 | family_rows=1 | sources_rows=3
[LINE 212] UID=BR2025AC212 | family_rows=1 | sources_rows=4
[LINE 213] UID=BR2025AC213 | family_rows=1 | sources_rows=5
[LINE 214] UID=BR2025AC214 | family_rows=1 | sources_rows=3
[LINE 215] UID=BR2025AC215 | family_rows=1 | sources_rows=4
[LINE 216] UID=BR2025AC216 | family_rows=2 | sources_rows=3
[LINE 217] UID=BR2025AC217 | family_rows=3 | sources_rows=5
[LINE 218] UID=BR2025AC218 | family_rows=1 | sources_rows=4
[LINE 219] UID=BR2025AC219 | family_rows=1 | sources_rows=3
[LINE 220] UID=BR2025AC220 | family_rows=1 | sources_rows=3
[LINE 221] UID=BR2025AC221 | family_rows=2 | sources_rows=5
[LINE 222] UID=BR2025AC222 | family_rows=1 | sources_rows=5
[LINE 223] UID=BR2025AC223 | family_rows=1 | sources_rows=3
[LINE 224] UID=BR2025AC224 | family_rows=1 | sources_rows=4
[LINE 225] UID=BR2025AC225 | family_rows=1 | sources_rows=2
[LINE 226] UID=BR2025AC226 | family_rows=1 | sources_rows=5
[LINE 227] UID=BR2025AC227 | family_rows=1 | sources_rows=5
[LINE 228] UID=BR2025AC228 | family_rows=2 | sources_rows=3
[LINE 229] UID=BR2025AC229 | family_rows=1 | sources_rows=5
[LINE 230] UID=BR2025AC230 | family_rows=1 | sources_rows=5
[LINE 231] UID=BR2025AC231 | family_rows=1 | sources_rows=3
[LINE 232] UID=BR2025AC232 | family_rows=1 | sources_rows=4
[LINE 233] UID=BR2025AC233 | family_rows=1 | sources_rows=4
[LINE 234] UID=BR2025AC234 | family_rows=1 | sources_rows=4
[LINE 235] UID=BR2025AC235 | family_rows=1 | sources_rows=6
[LINE 236] UID=BR2025AC236 | family_rows=1 | sources_rows=3
[LINE 237] UID=BR2025AC237 | family_rows=3 | sources_rows=4
[LINE 238] UID=BR2025AC238 | family_rows=1 | sources_rows=4
[LINE 239] UID=BR2025AC239 | family_rows=1 | sources_rows=3
[LINE 240] UID=BR2025AC240 | family_rows=1 | sources_rows=5
[LINE 241] UID=BR2025AC241 | family_rows=3 | sources_rows=5
[LINE 242] UID=BR2025AC242 | family_rows=1 | sources_rows=3
[LINE 243] UID=BR2025AC243 | family_rows=1 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 273
Total source rows: 1035
