#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,ACs
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,ACs
35,Aska,10,GEN,Orissa,Naveen Patnaik,Biju Janata Dal,1175865,485324,41.3 %,256736,52.9%,AC View
36,Aurangabad,40,GEN,Bihar [1947 - 1999],Shyama Singh,Indian National Congress,1091472,683925,62.7 %,70416,10.3%,AC View
37,Aurangabad,33,GEN,Maharashtra,Chandrakant Khaire,Shiv Sena,1372209,906465,66.1 %,55889,6.2%,AC View
38,Autonomous District,3,ST,Assam,Dr Jayanta Rongpi,Communist Party Of India (MARXIST-LENINIST) (LIBERATION),535818,396516,74.0 %,59875,15.1%,AC View
39,Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Rama Kant Yadav,Samajwadi Party,1215261,661604,54.4 %,26979,4.1%,AC View
40,Badagara,3,GEN,Kerala,A.K. Premajam,Communist Party Of India (MARXIST),1155934,861933,74.6 %,25844,3.0%,AC View
41,Bagaha,1,SC,Bihar [1947 - 1999],Mahendra Baitha,Janata Dal (United),1028588,579180,56.3 %,54751,9.5%,AC View
42,Bagalkot,27,GEN,Karnataka,R.S. Patil,Indian National Congress,1127960,783829,69.5 %,76434,9.8%,AC View
43,Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Ajit Singh,Rashtriya Lok Dal,1321056,754521,57.1 %,154419,20.5%,AC View
44,Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Padamsen Chaudhary,Bharatiya Janta Party,1226445,604614,49.3 %,5751,1.0%,AC View
45,Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Prahladsingh Patel,Bharatiya Janta Party,916432,583843,63.7 %,20678,3.5%,AC View
46,Balasore,2,ST,Orissa,Mahameghabahan Aira Kharabela Swain,Bharatiya Janta Party,1242578,775874,62.4 %,136372,17.6%,AC View
47,Balia,19,GEN,Bihar [1947 - 1999],Ramjivan Singh,Janata Dal (United),996579,506250,50.8 %,12032,2.4%,AC View
48,Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shekhar,Samajwadi Janata Party (RASHTRIYA),1287826,619524,48.1 %,55675,9.0%,AC View
49,Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Rizvan Zaheer Alias Rijju Bhaiya,Samajwadi Party,1164886,677854,58.2 %,20157,3.0%,AC View
50,Balurghat,6,GEN,West Bengal,Barman Ranen,Revolutionary Socialist Party,1107468,851433,76.9 %,62921,7.4%,AC View
51,Banaskantha,14,GEN,Gujarat,Chaudhary Haribhai Parthibhai,Bharatiya Janta Party,1106766,603174,54.5 %,25976,4.3%,AC View
52,Banda,59,GEN,Uttar Pradesh [1947 - 1999],Ram Sajiwan,Bahujan Samaj Party,1158052,589303,50.9 %,28631,4.9%,AC View
53,Bangalore North,12,GEN,Karnataka,C.K Jaffar Sharief,Indian National Congress,1827941,1028370,56.3 %,175605,17.1%,AC View
54,Bangalore South,13,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,1487215,805034,54.1 %,66054,8.2%,AC View
55,Banka,29,GEN,Bihar [1947 - 1999],Digvijay Singh,Janata Dal (United),1064049,635956,59.8 %,21408,3.4%,AC View
56,Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),1041325,741303,71.2 %,106998,14.4%,AC View
57,Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Raj Narayan Pasi,Bharatiya Janta Party,1279729,608738,47.6 %,9688,1.6%,AC View
58,Banswara,16,GEN,Rajasthan,Tara Chand Bhagora,Indian National Congress,1182232,657518,55.6 %,116264,17.7%,AC View
59,Bapatla,16,GEN,Andhra Pradesh,D. Rama Naidu,Telugu Desam,1077815,727105,67.5 %,92457,12.7%,AC View
60,Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Ram Sagar,Samajwadi Party,1089797,631347,57.9 %,55278,8.8%,AC View
61,Baramati,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Nationalist Congress Party,1462248,923036,63.1 %,298903,32.4%,AC View
62,Baramulla,1,GEN,Jammu & Kashmir,Abdul Rashid Shaheen,Jammu & Kashmir National Conference,763639,212180,27.8 %,36113,17.0%,AC View
63,Barasat,13,SC,West Bengal,Dr.Ranjit Kumar Panja,All India Trinamool Congress,1303217,1043590,80.1 %,96900,9.3%,AC View
64,Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Santosh Gangwar,Bharatiya Janta Party,1133481,663548,58.5 %,134700,20.3%,AC View
65,Barh,18,GEN,Bihar [1947 - 1999],Nitish Kumar,Janata Dal (United),1081353,759663,70.3 %,1335,0.2%,AC View
66,Barmer,23,GEN,Rajasthan,Col. Sonaram Choudhary,Indian National Congress,1418389,841359,59.3 %,32140,3.8%,AC View
67,Baroda,22,GEN,Gujarat,Jayaben Thakkar,Bharatiya Janta Party,1438964,596790,41.5 %,92649,15.5%,AC View
68,Barpeta,6,GEN,Assam,A F Golam Osmani,Indian National Congress,1023625,767914,75.0 %,89362,11.6%,AC View
69,Barrackpore,19,SC,West Bengal,Tarit Baran Topdar,Communist Party Of India (MARXIST),1040220,845189,81.3 %,40775,4.8%,AC View
70,Basirhat,14,SC,West Bengal,Ajoy Chakraborty,Communist Party Of India,1071134,866835,80.9 %,82587,9.5%,AC View
71,Bastar,20,ST,Madhya Pradesh [1947 - 1999],Baliram Kashyap,Bharatiya Janta Party,954405,375604,39.4 %,20737,5.5%,AC View
72,Basti,34,SC,Uttar Pradesh [1947 - 1999],Shriram Chauhan,Bharatiya Janta Party,1181116,593932,50.3 %,1832,0.3%,AC View
73,Bayana,10,SC,Rajasthan,Bahadur Singh,Bharatiya Janta Party,1092622,498957,45.7 %,33332,6.7%,AC View
74,Beed,34,GEN,Maharashtra,Jaysingrao Gaikwad Patil,Bharatiya Janta Party,1175871,851591,72.4 %,51190,6.0%,AC View
75,Begusarai,33,GEN,Bihar [1947 - 1999],Rajo Singh,Indian National Congress,1110888,641348,57.7 %,19950,3.1%,AC View
76,Belgaum,25,GEN,Karnataka,Amarsinh Vasantarao Patil,Indian National Congress,1230574,824061,67.0 %,49898,6.1%,AC View
77,Bellary,5,SC,Karnataka,Sonia Gandhi,Indian National Congress,1213055,847219,69.8 %,56100,6.6%,AC View
78,Berhampore,10,GEN,West Bengal,Adhir Ranjan Chowdhury,Indian National Congress,1212554,937646,77.3 %,95391,10.2%,AC View
79,Berhampur,11,GEN,Orissa,Anadicharan Sahu,Bharatiya Janta Party,1159468,580577,50.1 %,54123,9.3%,AC View
80,Bettiah,2,GEN,Bihar [1947 - 1999],Dr Madan Prasad Jaiswal,Bharatiya Janta Party,1098637,696181,63.4 %,39650,5.7%,AC View
81,Betul,28,GEN,Madhya Pradesh [1947 - 1999],"Vijay Kumar Khandelwal "" Munni Bhaiya""",Bharatiya Janta Party,1021086,546338,53.5 %,64472,11.8%,AC View
82,Bhadrachalam,5,ST,Andhra Pradesh,Dumpa Mary Vijaya Kumari,Telugu Desam,1085536,759883,70.0 %,37103,4.9%,AC View
83,Bhadrak,3,GEN,Orissa,Arjun Charan Sethi,Biju Janata Dal,1195146,684329,57.3 %,122433,17.9%,AC View
84,Bhagalpur,30,GEN,Bihar [1947 - 1999],Subodh Ray,Communist Party Of India (MARXIST),1232833,679321,55.1 %,45540,6.7%,AC View
85,Bhandara,24,GEN,Maharashtra,Chunnilalbhau Thakur,Bharatiya Janta Party,938648,663106,70.6 %,3819,0.6%,AC View
86,Bharatpur,9,SC,Rajasthan,Vishvendra Singh,Bharatiya Janta Party,1060582,577462,54.5 %,97018,16.8%,AC View
87,Bhatinda,11,GEN,Punjab,Bhan Singh Bhaura,Communist Party Of India,1217731,656684,53.9 %,61317,9.3%,AC View
88,Bhavnagar,8,SC,Gujarat,Rana Rajendrasinh Ghanshyamsinh (Rajubhai Rana),Bharatiya Janta Party,1023921,445277,43.5 %,101353,22.8%,AC View
89,Bhilwara,20,ST,Rajasthan,Vijayendra Pal Singh,Bharatiya Janta Party,1136950,607664,53.5 %,14229,2.3%,AC View
90,Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Dr. Ramlakhan Singh,Bharatiya Janta Party,1305016,667131,51.1 %,53574,8.0%,AC View
91,Bhiwani,8,GEN,Haryana,Ajay Singh Chautala,Indian National Lok Dal,1053603,740347,70.3 %,203406,27.5%,AC View
92,Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],Uma Bharti,Bharatiya Janta Party,1578355,976686,61.9 %,168864,17.3%,AC View
93,Bhubaneswar,9,GEN,Orissa,Prasanna Kumar Patasani,Biju Janata Dal,1318560,625351,47.4 %,233961,37.4%,AC View
94,Bidar,1,GEN,Karnataka,Ramchandra Veerappa,Bharatiya Janta Party,1200598,761460,63.4 %,152033,20.0%,AC View
95,Bijapur,28,SC,Karnataka,Basangouda Ramangouda Patil(Yatnal),Bharatiya Janta Party,1182826,746290,63.1 %,36639,4.9%,AC View
96,Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Sheeshram Singh Ravi,Bharatiya Janta Party,1276433,711282,55.7 %,23700,3.3%,AC View
97,Bikaner,2,SC,Rajasthan,Rameshwar Lal Dudi,Indian National Congress,1762589,946682,53.7 %,94509,10.0%,AC View
98,Bikramganj,39,GEN,Bihar [1947 - 1999],Kanti Singh,Rashtriya Janata Dal,1128738,742514,65.8 %,34768,4.7%,AC View
99,Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Punnulal Mohale,Bharatiya Janta Party,1107061,534333,48.3 %,75333,14.1%,AC View
100,Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Shyam Bihari Mishra,Bharatiya Janta Party,1261013,638771,50.7 %,3223,0.5%,AC View
101,Birbhum,42,GEN,West Bengal,Ram Chandra Dome,Communist Party Of India (MARXIST),1043876,734173,70.3 %,157156,21.4%,AC View
102,Bobbili,3,GEN,Andhra Pradesh,Botcha Satyanarayana,Indian National Congress,949773,716703,75.5 %,3821,0.5%,AC View
103,Bolangir,16,SC,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,1051199,642761,61.2 %,180979,28.2%,AC View
104,Bolpur,41,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),1037427,792871,76.4 %,186389,23.5%,AC View
105,Broach,23,ST,Gujarat,Mansukhbhai Vasava,Bharatiya Janta Party,1096772,591461,53.9 %,47140,8.0%,AC View
106,Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Saleem Iqbal Shervani,Samajwadi Party,1108847,610270,55.0 %,41314,6.8%,AC View
107,Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Chhatra Pal,Bharatiya Janta Party,1098334,499074,45.4 %,61929,12.4%,AC View
108,Buldhana,18,GEN,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1039128,743613,71.6 %,45007,6.1%,AC View
109,Bulsar,26,ST,Gujarat,Manibhai Ramjibhai Chaudhari,Bharatiya Janta Party,1151087,596510,51.8 %,26786,4.5%,AC View
110,Burdwan,39,GEN,West Bengal,Sar Nikhilananda,Communist Party Of India (MARXIST),1216764,984678,80.9 %,301683,30.6%,AC View
111,Buxar,37,GEN,Bihar [1947 - 1999],Lal Muni Choubey,Bharatiya Janta Party,1029419,609414,59.2 %,11606,1.9%,AC View
112,Calcutta North East,22,GEN,West Bengal,Ajit Kumar Panja,All India Trinamool Congress,924613,658740,71.2 %,41574,6.3%,AC View
113,Calcutta North West,21,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,704009,444043,63.1 %,94170,21.2%,AC View
114,Calcutta South,23,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,1202607,805268,67.0 %,214008,26.6%,AC View
115,Calicut,4,GEN,Kerala,K. Muraleedharan,Indian National Congress,1124640,826901,73.5 %,50402,6.1%,AC View
116,Cannanore,2,GEN,Kerala,A.P. Abdullakkutty,Communist Party Of India (MARXIST),1121192,886354,79.1 %,10247,1.2%,AC View
117,Chail,57,SC,Uttar Pradesh [1947 - 1999],Suresh Pasi,Bahujan Samaj Party,1310550,515937,39.4 %,29285,5.7%,AC View
118,Chamarajanagar,15,GEN,Karnataka,V.Sreenivasaprasad,Janata Dal (United),1101851,811900,73.7 %,16146,2.0%,AC View
119,Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Jawahar Lal Jaiswal,Samajwadi Party,1340398,738159,55.1 %,73529,10.0%,AC View
120,Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,585006,282879,48.4 %,5449,1.9%,AC View
121,Chandni Chowk,5,SC,Delhi [1977 Onwards],Vijay Goel,Bharatiya Janta Party,376654,204453,54.3 %,1995,1.0%,AC View
122,Chandrapur,26,GEN,Maharashtra,Puglia Nareshkumar Chunnalal,Indian National Congress,1224338,828220,67.7 %,2837,0.3%,AC View
123,Chapra,7,GEN,Bihar [1947 - 1999],Rajiv Pratap Rudi,Bharatiya Janta Party,1003426,778714,77.6 %,43553,5.6%,AC View
124,Chatra,44,GEN,Bihar [1947 - 1999],Nagmani,Rashtriya Janata Dal,1015184,426241,42.0 %,55099,12.9%,AC View
125,Chengalpattu,5,GEN,Tamil Nadu,"Moorthy, A.K.",Pattali Makkal Katchi,1200040,699911,58.3 %,12811,1.8%,AC View
126,Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress,1055697,636741,60.3 %,188928,29.7%,AC View
127,Chhota Udaipur,21,ST,Gujarat,Ramsinh Rathawa,Bharatiya Janta Party,962525,525505,54.6 %,1198,0.2%,AC View
128,Chidambaram,12,GEN,Tamil Nadu,"Ponnuswamy, E.",Pattali Makkal Katchi,1110229,732994,66.0 %,119563,16.3%,AC View
129,Chikballapur,9,ST,Karnataka,R.L. Jalappa,Indian National Congress,1189272,850230,71.5 %,211186,24.8%,AC View
130,Chikkodi,26,GEN,Karnataka,Jigajinagi Rameshchandappa,Janata Dal (United),1094053,768685,70.3 %,84590,11.0%,AC View
131,Chikmagalur,20,GEN,Karnataka,D.C.Srikantappa,Bharatiya Janta Party,1050838,741895,70.6 %,30277,4.1%,AC View
132,Chimur,25,GEN,Maharashtra,Diwathe Namdeo Harbaji,Bharatiya Janta Party,1013322,780721,77.1 %,70040,9.0%,AC View
133,Chirayinkil,19,GEN,Kerala,Varkala Radhakrishnan,Communist Party Of India (MARXIST),1096417,691113,63.0 %,3128,0.5%,AC View
134,Chitradurga,7,GEN,Karnataka,Shashi Kumar,Janata Dal (United),1177238,868544,73.8 %,11178,1.3%,AC View
135,Chittoor,21,GEN,Andhra Pradesh,Noothana Kalva Ramakrishna Reddy,Telugu Desam,1140219,853778,74.9 %,18638,2.2%,AC View
136,Chittorgarh,19,ST,Rajasthan,Shrichand Kriplani,Bharatiya Janta Party,1248906,820674,65.7 %,37377,4.6%,AC View
137,Churu,3,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,1239736,685792,55.3 %,46809,6.8%,AC View
138,Coimbatore,20,GEN,Tamil Nadu,"Radhakrishnan, C.P.",Bharatiya Janta Party,1571475,874136,55.6 %,54077,6.2%,AC View
139,Contai,31,GEN,West Bengal,Neetish Sengupta,All India Trinamool Congress,990917,823941,83.2 %,12133,1.5%,AC View
140,Cooch Behar,1,SC,West Bengal,Amar Roy Pradhan,All India Forward Bloc,1116523,902487,80.8 %,108165,12.0%,AC View
141,Cuddalore,11,GEN,Tamil Nadu,"Sankar, Adhi",Dravida Munetra Kazhagam,1136122,724354,63.8 %,73953,10.2%,AC View
142,Cuddapah,23,GEN,Andhra Pradesh,Vivekananda Reddy Y.S.,Indian National Congress,1090670,739109,67.8 %,26597,3.6%,AC View
143,Cuttack,6,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,1215249,624984,51.4 %,205317,32.9%,AC View
144,Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,98376,73507,74.7 %,14878,20.2%,AC View
145,Dahanu,11,GEN,Maharashtra,Adv Chintaman Wanaga,Bharatiya Janta Party,1434678,708881,49.4 %,62270,8.8%,AC View
146,Dahod,17,GEN,Gujarat,Katara Babubhai Khimabhai,Bharatiya Janta Party,1028979,477887,46.4 %,12431,2.6%,AC View
147,Daman And Diu,1,GEN,Daman & Diu,Patel Dahyabhai Vallabhbhai,Indian National Congress,72216,51811,71.7 %,3226,6.2%,AC View
148,Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Dr. Ramkrishna Kusmaria,Bharatiya Janta Party,1240626,571868,46.1 %,13719,2.4%,AC View
149,Darbhanga,15,GEN,Bihar [1947 - 1999],Kirti Azad,Bharatiya Janta Party,1043388,766168,73.4 %,55548,7.3%,AC View
150,Darjeeling,4,GEN,West Bengal,S.P. Lepcha,Communist Party Of India (MARXIST),1276753,590023,46.2 %,111969,19.0%,AC View
151,Dausa,7,GEN,Rajasthan,Rajesh Pilot,Indian National Congress,1261758,752241,59.6 %,6902,0.9%,AC View
152,Davangere,6,ST,Karnataka,G.Mallikarjunappa,Bharatiya Janta Party,1217506,882717,72.5 %,16269,1.8%,AC View
153,Delhi Sadar,6,GEN,Delhi [1977 Onwards],Madan Lal Khurana,Bharatiya Janta Party,529646,278297,52.5 %,13870,5.0%,AC View
154,Deogarh,18,GEN,Orissa,Debendra Pradhan,Bharatiya Janta Party,1168931,690605,59.1 %,86869,12.6%,AC View
155,Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Shri Prakash Mani,Bharatiya Janta Party,1275208,704710,55.3 %,42141,6.0%,AC View
156,Dhanbad,47,GEN,Bihar [1947 - 1999],Rita Verma,Bharatiya Janta Party,1433645,771044,53.8 %,14226,1.8%,AC View
157,Dhandhuka,9,GEN,Gujarat,Varma Ratilal Kalidas,Bharatiya Janta Party,1029877,472898,45.9 %,5223,1.1%,AC View
158,Dhar,36,ST,Madhya Pradesh [1947 - 1999],Gajendra Singh Rajukhedi,Indian National Congress,1157368,698901,60.4 %,34105,4.9%,AC View
159,Dharmapuri,13,SC,Tamil Nadu,"Elangovan, P.D.",Pattali Makkal Katchi,1226879,728960,59.4 %,25540,3.5%,AC View
160,Dharwad North,24,GEN,Karnataka,Vijay Sankeshwar,Bharatiya Janta Party,1121461,752900,67.1 %,41602,5.5%,AC View
161,Dharwad South,23,GEN,Karnataka,Prof. I.G. Sanadi,Indian National Congress,1088328,799552,73.5 %,39198,4.9%,AC View
162,Dhenkanal,19,GEN,Orissa,Kamakhya Prasad Singh Deo,Indian National Congress,1118853,611061,54.6 %,3674,0.6%,AC View
163,Dhubri,4,GEN,Assam,Abdul Hamid,Indian National Congress,1050547,825531,78.6 %,21340,2.6%,AC View
164,Dhule,14,GEN,Maharashtra,Ramdas Rupla Gavit,Bharatiya Janta Party,1102845,626353,56.8 %,12985,2.1%,AC View
165,Diamond Harbour,17,GEN,West Bengal,Samik Lahiri,Communist Party Of India (MARXIST),1136879,858209,75.5 %,71163,8.3%,AC View
166,Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,945785,578810,61.2 %,67116,11.6%,AC View
167,Dindigul,23,GEN,Tamil Nadu,"Sreenivaasan, C.",All India Anna Dravida Munnetra Kazhagam,1194616,686477,57.5 %,20343,3.0%,AC View
168,Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Ram Pal Singh,Bharatiya Janta Party,1146572,624312,54.5 %,35567,5.7%,AC View
169,Dum Dum,20,SC,West Bengal,Tapan Sikdar,Bharatiya Janta Party,1598044,1209926,75.7 %,134561,11.1%,AC View
170,Dumka,27,ST,Bihar [1947 - 1999],Babu Lal Marandi,Bharatiya Janta Party,951280,554237,58.3 %,4648,0.8%,AC View
171,Durg,21,GEN,Madhya Pradesh [1947 - 1999],Tara Chand Sahu,Bharatiya Janta Party,1329978,772240,58.1 %,44518,5.8%,AC View
172,Durgapur,37,SC,West Bengal,Sunil Khan,Communist Party Of India (MARXIST),1212641,885335,73.0 %,117963,13.3%,AC View
173,East Delhi,4,GEN,Delhi [1977 Onwards],Lal Bihari Tiwari,Bharatiya Janta Party,2393813,1038278,43.4 %,82760,8.0%,AC View
174,Eluru,11,GEN,Andhra Pradesh,Bolla Bulli Ramaiah,Telugu Desam,1147205,852429,74.3 %,62231,7.3%,AC View
175,Erandol,16,GEN,Maharashtra,Annasaheb M K Patil,Bharatiya Janta Party,1082958,679754,62.8 %,104456,15.4%,AC View
176,Ernakulam,11,GEN,Kerala,Adv. George Eden,Indian National Congress,1180911,776933,65.8 %,111305,14.3%,AC View
177,Etah,71,GEN,Uttar Pradesh [1947 - 1999],Kr. Devendra Singh Yadav,Samajwadi Party,1036859,595040,57.4 %,52524,8.8%,AC View
178,Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Raghuraj Singh Shakya,Samajwadi Party,1148723,608768,53.0 %,83683,13.7%,AC View
179,Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Vinay Katiyar,Bharatiya Janta Party,1228752,666543,54.3 %,57562,8.6%,AC View
180,Faridabad,6,GEN,Haryana,Ram Chander Bainda,Bharatiya Janta Party,1330157,755003,56.8 %,34248,4.5%,AC View
181,Faridkot,12,GEN,Punjab,Jagmeet Singh Brar,Indian National Congress,1224531,871755,71.2 %,5148,0.6%,AC View
182,Farrukhabad,68,GEN,Uttar Pradesh [1947 - 1999],Chandra Bhushan Singh (Munnoo Babu),Samajwadi Party,1241968,640642,51.6 %,62562,9.8%,AC View
183,Fatehpur,58,GEN,Uttar Pradesh [1947 - 1999],Ashok Patel,Bharatiya Janta Party,1171111,545594,46.6 %,1063,0.2%,AC View
184,Ferozepur,13,GEN,Punjab,Zora Singh,Shiromani Akali Dal,1214129,756925,62.3 %,14861,2.0%,AC View
185,Firozabad,72,SC,Uttar Pradesh [1947 - 1999],Ram Jilal Suman,Samajwadi Party,1157680,583195,50.4 %,83368,14.3%,AC View
186,Gandhinagar,11,GEN,Gujarat,Lal Krishna Advani,Bharatiya Janta Party,1833844,741283,40.4 %,188944,25.5%,AC View
187,Ganganagar,1,SC,Rajasthan,Nihal Chand,Bharatiya Janta Party,1269075,670032,52.8 %,95886,14.3%,AC View
