#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
86,Bhopal,175,GEN,Madhya Pradesh [1947 - 1999],J.R. Joshi,Bhartiya Jan Sangh,528531,295340,55.9 %,43931,14.9%
87,Bhubaneswar,304,GEN,Orissa,C. Panigrahi,Indian National Congress,515093,236328,45.9 %,20731,8.8%
88,Bidar,269,SC,Mysore,R. Veerappa,Indian National Congress,474941,290022,61.1 %,60320,20.8%
89,Bijapur,295,GEN,Mysore,G. D. Patil,Swatantra,447774,239633,53.5 %,2104,0.9%
90,Bijnor,357,SC,Uttar Pradesh [1947 - 1999],S. R. Nand,Indian National Congress,485212,323835,66.7 %,32781,10.1%
91,Bikaner,331,GEN,Rajasthan,K. Singh,Independent,551193,317472,57.6 %,193816,61.0%
92,Bikramganj,93,GEN,Bihar [1947 - 1999],S. Shastry,Samyukta Socialist Party,561269,340936,60.7 %,54916,16.1%
93,Bilaspur,160,GEN,Madhya Pradesh [1947 - 1999],Amarsingh,Indian National Congress,468243,229060,48.9 %,1541,0.7%
94,Bilhaur,416,GEN,Uttar Pradesh [1947 - 1999],S. Rohtagi,Indian National Congress,493276,268572,54.5 %,16647,6.2%
95,Birbhum,477,SC,West Bengal,S. K. Saha,Indian National Congress,466332,242686,52.0 %,32217,13.3%
96,Bobbili,3,GEN,Andhra Pradesh,K.N. Rao,Indian National Congress,485448,350963,72.3 %,75197,21.4%
97,Bolangir,311,GEN,Orissa,R. R. S. Deo,Swatantra,465745,218750,47.0 %,82279,37.6%
98,Bombay Central,229,GEN,Maharashtra,R. D. Bhandare,Indian National Congress,520524,357839,68.8 %,6952,1.9%
99,Bombay Central South,228,GEN,Maharashtra,S A Dange,Communist Party Of India,483146,342542,70.9 %,7004,2.0%
100,Bombay North East,231,GEN,Maharashtra,S. G. Barve,Indian National Congress,644638,442348,68.6 %,13169,3.0%
101,Bombay North West,230,GEN,Maharashtra,S. H. Shah,Indian National Congress,620183,406042,65.5 %,1364,0.3%
102,Bombay South,227,GEN,Maharashtra,G. Fernandes,Samyukta Socialist Party,464850,313388,67.4 %,29434,9.4%
103,Broach,129,GEN,Gujarat,M.B. Rana,Indian National Congress,452985,299159,66.0 %,37857,12.7%
104,Budaun,361,GEN,Uttar Pradesh [1947 - 1999],O. Singh,Bhartiya Jan Sangh,509445,309212,60.7 %,55671,18.0%
105,Bulandshahr,430,GEN,Uttar Pradesh [1947 - 1999],S.P. Singh,Indian National Congress,498160,313051,62.8 %,20656,6.6%
106,Buldana,239,GEN,Maharashtra,S. R. Rane,Indian National Congress,482954,350045,72.5 %,94904,27.1%
107,Bulsar,132,ST,Gujarat,N.N. Patel,Indian National Congress,465000,288574,62.1 %,95706,33.2%
108,Burdwan,474,GEN,West Bengal,N. C. Chatterjee,Independent,494561,293266,59.3 %,36086,12.3%
109,Buxar,92,GEN,Bihar [1947 - 1999],R. S. Singh,Indian National Congress,558072,297389,53.3 %,34223,11.5%
110,Cachar,42,GEN,Assam,J. Chanda,Indian National Congress,462862,208010,44.9 %,46510,22.4%
111,Calcutta North East,457,GEN,West Bengal,H. Mukherjee,Communist Party Of India,549928,354874,64.5 %,14143,4.0%
112,Calcutta North West,456,GEN,West Bengal,A. K. Sen,Indian National Congress,591674,347334,58.7 %,64826,18.7%
113,Calcutta South,458,GEN,West Bengal,G. Ghosh,Communist Party Of India (MARXIST),506688,317171,62.6 %,39287,12.4%
114,Chail,409,SC,Uttar Pradesh [1947 - 1999],M. Din,Indian National Congress,498035,211243,42.4 %,25934,12.3%
115,Chamarajanagar,282,SC,Mysore,S. M. Siddaiah,Indian National Congress,454447,311090,68.5 %,28977,9.3%
116,Chamba,513,GEN,Himachal Pradesh,V. Chand,Indian National Congress,245876,123209,50.1 %,4861,3.9%
117,Chanda,247,GEN,Maharashtra,K. M. Kaushik,Independent,474396,295777,62.4 %,16836,5.7%
118,Chandauli,403,GEN,Uttar Pradesh [1947 - 1999],Nihal,Samyukta Socialist Party,481980,280595,58.2 %,1595,0.6%
119,Chandigarh,498,GEN,Chandigarh,C. Goyal,Bhartiya Jan Sangh,76232,49829,65.4 %,12616,25.3%
120,Chandni Chowk,504,GEN,Delhi,R. Gopal,Bhartiya Jan Sangh,194661,141466,72.7 %,17150,12.1%
121,Chapra,61,GEN,Bihar [1947 - 1999],R. P. Singh,Indian National Congress,563139,290282,51.6 %,28209,9.7%
122,Chatra,99,GEN,Bihar [1947 - 1999],V. Raje,Independent,493028,201737,40.9 %,21979,10.9%
123,Chatrapur,306,GEN,Orissa,J. R. Rachakonda,Indian National Congress,508555,212036,41.7 %,41661,19.6%
124,Chhindwara,172,GEN,Madhya Pradesh [1947 - 1999],G.R. Mishra,Indian National Congress,492457,207556,42.2 %,47983,23.1%
125,Chidambaram,195,SC,Madras,V. Mayavan,Dravida Munetra Kazhagam,524610,403331,76.9 %,17429,4.3%
126,Chikmagalur,287,GEN,Mysore,M. Huchegowda,Praja Socialist Party,407267,260483,64.0 %,18223,7.0%
127,Chikodi,293,SC,Mysore,B. Sahankaranand,Indian National Congress,462055,294102,63.7 %,101542,34.5%
128,Chimur,246,GEN,Maharashtra,R. M. Hajarnawis,Indian National Congress,506614,335136,66.2 %,45223,13.5%
129,Chingleput,188,GEN,Madras,C. C. Babu,Dravida Munetra Kazhagam,538456,431101,80.1 %,105731,24.5%
130,Chirayinkil,495,GEN,Kerala,K. Anirudhan,Communist Party Of India (MARXIST),410807,310052,75.5 %,29343,9.5%
131,Chitorgarh,346,GEN,Rajasthan,O. L. Bohra,Indian National Congress,505661,265725,52.6 %,35101,13.2%
132,Chitradurga,274,GEN,Mysore,J. M. Imam,Swatantra,499894,341214,68.3 %,31932,9.4%
133,Chittoor,21,GEN,Andhra Pradesh,N.P.C. Naidu,Indian National Congress,518637,355499,68.5 %,27663,7.8%
134,Coimbatore,202,GEN,Madras,K. Ramani,Communist Party Of India (MARXIST),561096,427419,76.2 %,65921,15.4%
135,Contai,466,GEN,West Bengal,G. Samar,Praja Socialist Party,512594,366246,71.5 %,17169,4.7%
136,Cooch Behar,438,SC,West Bengal,B. K. D. Chowdhury,Forward Bloc,508364,341555,67.2 %,43836,12.8%
137,Cuddalore,194,GEN,Madras,V. K. Gounder,Dravida Munetra Kazhagam,545062,416423,76.4 %,47973,11.5%
138,Cuddapah,23,GEN,Andhra Pradesh,Y.E. Reddy,Communist Party Of India,527110,402943,76.4 %,37719,9.4%
139,Cuttack,302,GEN,Orissa,S. Misra,Praja Socialist Party,547621,276875,50.6 %,12138,4.4%
140,Dabhoi,128,GEN,Gujarat,M.M. Patel,Indian National Congress,458775,306310,66.8 %,27589,9.0%
141,Dadra Nagar Haveli,499,ST,Dadra & Nagar Haveli,S. R. Delkar,Indian National Congress,29564,23144,78.3 %,6406,27.7%
142,Dahanu,233,ST,Maharashtra,Y. M. Mukne,Indian National Congress,439251,247807,56.4 %,35940,14.5%
143,Dahod,123,ST,Gujarat,B.R. Parmar,Indian National Congress,420684,244947,58.2 %,8084,3.3%
144,Damoh,170,GEN,Madhya Pradesh [1947 - 1999],M.J.B. Patel,Indian National Congress,482099,278035,57.7 %,59621,21.4%
145,Darbhanga,71,GEN,Bihar [1947 - 1999],S. N. Sinha,Indian National Congress,589019,349480,59.3 %,53073,15.2%
146,Darjeeling,440,GEN,West Bengal,M. Basu,Independent,442750,258528,58.4 %,1831,0.7%
147,Dausa,335,GEN,Rajasthan,R. C. Ganpat,Swatantra,550250,311199,56.6 %,45091,14.5%
148,Dehra Dun,437,GEN,Uttar Pradesh [1947 - 1999],K.Y. Singh,Independent,465613,320353,68.8 %,40112,12.5%
149,Delhi Sadar,505,GEN,Delhi,K. L. Gupta,Bhartiya Jan Sangh,225517,160283,71.1 %,9705,6.1%
150,Deoria,393,GEN,Uttar Pradesh [1947 - 1999],B. Rai,Indian National Congress,512391,273610,53.4 %,34979,12.8%
151,Dhanbad,101,GEN,Bihar [1947 - 1999],L. R. Lakshmi,Jana Kranti Dal,480690,194970,40.6 %,20267,10.4%
152,Dhandhuka,116,GEN,Gujarat,R.K. Amin,Swatantra,432903,277016,64.0 %,30658,11.1%
153,Dhar,180,ST,Madhya Pradesh [1947 - 1999],Bharatsingh,Bhartiya Jan Sangh,458570,266069,58.0 %,20510,7.7%
154,Dharapuram,204,SC,Madras,C. T. Dhandapani,Dravida Munetra Kazhagam,563703,428401,76.0 %,110866,25.9%
155,Dharwar North,291,GEN,Mysore,M. S. Bindurao,Indian National Congress,433794,283277,65.3 %,87430,30.9%
156,Dharwar South,290,GEN,Mysore,M. F. Hussensab,Indian National Congress,471334,307737,65.3 %,64631,21.0%
157,Dhenkanal,315,GEN,Orissa,R.K.P.S.D.M. Bahadur,Swatantra,499572,245220,49.1 %,88045,35.9%
158,Dhubri,45,GEN,Assam,J. Ahmed,Praja Socialist Party,402189,287387,71.5 %,66308,23.1%
159,Dhulia,237,GEN,Maharashtra,C. A. Patil,Indian National Congress,506847,309332,61.0 %,81383,26.3%
160,Diamond Harbour,453,GEN,West Bengal,J. Basu,Communist Party Of India (MARXIST),531464,394853,74.3 %,70974,18.0%
161,Dibrugarh,55,GEN,Assam,J. N. Hazarika,Indian National Congress,399041,219091,54.9 %,22897,10.5%
162,Dindigul,207,GEN,Madras,N. Anbuchezhian,Dravida Munetra Kazhagam,555868,428095,77.0 %,103346,24.1%
163,Domariaganj,387,GEN,Uttar Pradesh [1947 - 1999],N. S. Sharma,Bhartiya Jan Sangh,495854,294468,59.4 %,29992,10.2%
164,Dumka,81,ST,Bihar [1947 - 1999],S. C. Besra,Indian National Congress,478393,162235,33.9 %,12040,7.4%
165,Durg,165,GEN,Madhya Pradesh [1947 - 1999],V.Y. Tamaskar,Indian National Congress,532152,280983,52.8 %,34318,12.2%
166,East Delhi,503,GEN,Delhi,H. Devgun,Bhartiya Jan Sangh,265230,178484,67.3 %,5616,3.1%
167,Eluru,11,GEN,Andhra Pradesh,K. Suryanarayan,Indian National Congress,508275,404043,79.5 %,1953,0.5%
168,Ernakulam,487,GEN,Kerala,V. V. Menon,Communist Party Of India (MARXIST),457108,372561,81.5 %,16606,4.5%
169,Etah,423,GEN,Uttar Pradesh [1947 - 1999],Rohanlal,Indian National Congress,482836,284078,58.8 %,15383,5.4%
170,Etawah,418,GEN,Uttar Pradesh [1947 - 1999],A. Singh,Samyukta Socialist Party,482147,275956,57.2 %,45348,16.4%
171,Faizabad,379,GEN,Uttar Pradesh [1947 - 1999],R. K. Sinha,Indian National Congress,440689,234080,53.1 %,16909,7.2%
172,Farrukhabad,420,GEN,Uttar Pradesh [1947 - 1999],A.C. Singh,Indian National Congress,517331,293868,56.8 %,24688,8.4%
173,Fatehpur,410,GEN,Uttar Pradesh [1947 - 1999],S.B. Singh,Indian National Congress,535616,260884,48.7 %,25557,9.8%
174,Fazilka,317,GEN,Punjab,I. Singh,Indian National Congress,494461,343288,69.4 %,26495,7.7%
175,Ferozepur,318,GEN,Punjab,S. Singh,Akali Dal - Sant Fateh Singh Group,465986,338127,72.6 %,12640,3.7%
176,Firozabad,424,SC,Uttar Pradesh [1947 - 1999],S.C. Lal,Samyukta Socialist Party,500659,248869,49.7 %,13281,5.3%
177,Gandhinagar,118,SC,Gujarat,S.M. Solanki,Indian National Congress,515980,354758,68.8 %,29840,8.4%
178,Ganganagar,330,SC,Rajasthan,P. Lal,Indian National Congress,543522,333180,61.3 %,56378,16.9%
179,Garhwal,354,GEN,Uttar Pradesh [1947 - 1999],B. Darshan,Indian National Congress,421277,173000,41.1 %,59923,34.6%
180,Gauhati,48,GEN,Assam,D. Kalita,Communist Party Of India,412702,275000,66.6 %,1550,0.6%
181,Gaya,98,SC,Bihar [1947 - 1999],R. Das,Indian National Congress,484827,217255,44.8 %,33988,15.6%
182,Ghatal,464,GEN,West Bengal,G. Parimal,Indian National Congress,475725,348573,73.3 %,28910,8.3%
183,Ghatampur,415,SC,Uttar Pradesh [1947 - 1999],T. Ram,Indian National Congress,509217,296023,58.1 %,8538,2.9%
184,Ghazipur,402,GEN,Uttar Pradesh [1947 - 1999],S. Pandey,Communist Party Of India,498188,277743,55.8 %,3240,1.2%
185,Ghosi,396,GEN,Uttar Pradesh [1947 - 1999],J. Bahadur,Communist Party Of India,501984,291645,58.1 %,4288,1.5%
186,Giridih,100,GEN,Bihar [1947 - 1999],A. I. Ahmad,Indian National Congress,488257,212724,43.6 %,3831,1.8%
187,Gobichettipalayam,205,GEN,Madras,P. A. Saminathan,Dravida Munetra Kazhagam,513981,387769,75.4 %,48945,12.6%
188,Godda,80,GEN,Bihar [1947 - 1999],P. H. Singhka,Indian National Congress,518431,225809,43.6 %,21862,9.7%
189,Godhra,124,GEN,Gujarat,P.H. Mody,Swatantra,426461,271165,63.6 %,24449,9.0%
190,Gonda,385,GEN,Uttar Pradesh [1947 - 1999],S. Kripalani,Indian National Congress,462900,243676,52.6 %,11661,4.8%
191,Gopalganj,59,GEN,Bihar [1947 - 1999],D. N. Tiwary,Indian National Congress,518630,248353,47.9 %,3016,1.2%
192,Gorakhpur,390,GEN,Uttar Pradesh [1947 - 1999],D. V. Nath,Independent,434485,266262,61.3 %,42715,16.0%
193,Gudivada,12,GEN,Andhra Pradesh,M. Ankineedu,Indian National Congress,513970,409419,79.7 %,40198,9.8%
194,Gulbarga,270,GEN,Mysore,M. Yeshvantappa,Indian National Congress,489226,242601,49.6 %,58277,24.0%
195,Guna,151,GEN,Madhya Pradesh [1947 - 1999],V.R. Scindhia,Swatantra,526703,305701,58.0 %,186189,60.9%
196,Guntur,16,GEN,Andhra Pradesh,K. Raghuramaiah,Indian National Congress,564418,413981,73.4 %,117032,28.3%
197,Gurdaspur,321,GEN,Punjab,D. Chand,Indian National Congress,492194,351135,71.3 %,22746,6.5%
198,Gurgaon,138,GEN,Haryana,A. Gani,Independent,527625,369196,70.0 %,1308,0.4%
199,Gwalior,150,GEN,Madhya Pradesh [1947 - 1999],R. Avtar,Bhartiya Jan Sangh,524192,323071,61.6 %,148467,46.0%
200,Hajipur,64,GEN,Bihar [1947 - 1999],V. Chaudhary,Indian National Congress,569874,346087,60.7 %,28530,8.2%
201,Hamirpur,412,GEN,Uttar Pradesh [1947 - 1999],S.B. Ji,Bhartiya Jan Sangh,480478,270899,56.4 %,59125,21.8%
202,Hamirpur,511,GEN,Himachal Pradesh,P. C. Verma,Indian National Congress,279659,149356,53.4 %,3243,2.2%
203,Hapur,431,GEN,Uttar Pradesh [1947 - 1999],P.V. Shastri,Independent,514929,360888,70.1 %,48068,13.3%
204,Hardoi,370,SC,Uttar Pradesh [1947 - 1999],K. Lal,Indian National Congress,506407,271838,53.7 %,17555,6.5%
205,Hassan,286,GEN,Mysore,N. Shivappa,Swatantra,468830,307979,65.7 %,42452,13.8%
206,Hathras,427,SC,Uttar Pradesh [1947 - 1999],"N, Deo",Indian National Congress,523727,284992,54.4 %,7119,2.5%
207,Hatkanangale,267,GEN,Maharashtra,M. V. R. C. Bhosale,Peasants & Workers Party,470375,360450,76.6 %,44277,12.3%
208,Hazaribagh,102,GEN,Bihar [1947 - 1999],B. N. Singh,Independent,498131,200934,40.3 %,19758,9.8%
209,Hindaun,338,SC,Rajasthan,J. Prasad,Indian National Congress,549718,309919,56.4 %,41097,13.3%
210,Hindupur,24,GEN,Andhra Pradesh,S. R. Neelam,Indian National Congress,496405,320531,64.6 %,42236,13.2%
211,Hissar,140,GEN,Haryana,R. Kishan,Indian National Congress,473354,335463,70.9 %,7179,2.1%
212,Hooghly,462,GEN,West Bengal,B. K. Modak,Communist Party Of India (MARXIST),545246,397701,72.9 %,9570,2.4%
213,Hoshangabad,174,GEN,Madhya Pradesh [1947 - 1999],C.N.S. Daulatsingh,Indian National Congress,457587,255016,55.7 %,22310,8.7%
214,Hoshiarpur,322,GEN,Punjab,R. Kishan,Indian National Congress,494190,342956,69.4 %,1511,0.4%
215,Hoskote,278,GEN,Mysore,M. V. Krishnappa,Indian National Congress,503040,306019,60.8 %,61796,20.2%
216,Howrah,459,GEN,West Bengal,K. K. Chatterjee,Indian National Congress,572727,388788,67.9 %,42294,10.9%
217,Hyderabad,30,GEN,Andhra Pradesh,G. S. Melkote,Indian National Congress,458524,264510,57.7 %,45585,17.2%
218,Indore,179,GEN,Madhya Pradesh [1947 - 1999],P.C. Sethi,Indian National Congress,499407,323444,64.8 %,34118,10.5%
219,Inner Manipur,516,GEN,Manipur,M. Meghachandra,Communist Party Of India,263495,204788,77.7 %,16983,8.3%
220,Jabalpur,169,GEN,Madhya Pradesh [1947 - 1999],G. Das,Indian National Congress,487689,286672,58.8 %,64730,22.6%
221,Jainagar,68,GEN,Bihar [1947 - 1999],B. Jha,Communist Party Of India,552639,313260,56.7 %,55773,17.8%
