#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0
#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
55,Bastar,98,ST,Madhya Pradesh [1947 - 1999],Muchaki Kosa,Independent,384277,213845,55.7 %
56,Basti District (NORTH),264,GEN,Uttar Pradesh [1947 - 1999],Udai Shanker Dubey,Indian National Congress,374224,172752,46.2 %
57,Basti Distt Central (EAST) CUM GORAKHPUR DISTT (WEST),265,GEN,Uttar Pradesh [1947 - 1999],Ram Shanker Lal,Indian National Congress,730319,498251,34.1 %
58,Basti Distt Central (EAST) CUM GORAKHPUR DISTT (WEST),265,GEN,Uttar Pradesh [1947 - 1999],Sohan Lal Dhusiya,Indian National Congress,730319,498251,34.1 %
59,Belgaum North,80,GEN,Bombay,Datar Balwant Nagesh,Indian National Congress,357228,217619,60.9 %
60,Belgaum South,81,GEN,Bombay,Patil Shankargouda Virangouda,Indian National Congress,385241,237245,61.6 %
61,Bellary,133,GEN,Madras,T. Subrahmanyam,Indian National Congress,358727,219591,61.2 %
62,Berhampore,282,GEN,West Bengal,Tridib Chaudhuri,Revolutionary Socialist Party,371621,178873,48.1 %
63,Betul,106,GEN,Madhya Pradesh [1947 - 1999],Bhikulal Lakhmichand Chandak,Indian National Congress,387336,216283,55.8 %
64,Bhagalpur Central,41,GEN,Bihar [1947 - 1999],Banarshi Pd. Jhunjhunwala,Indian National Congress,306142,145939,47.7 %
65,Bhagalpur Cum Purnea,40,GEN,Bihar [1947 - 1999],Anup Lal Mehata,Indian National Congress,640994,512765,40.0 %
66,Bhagalpur Cum Purnea,40,GEN,Bihar [1947 - 1999],Kirai Mushahar,Socialist Party,640994,512765,40.0 %
67,Bhagalpur South,42,GEN,Bihar [1947 - 1999],Susama Sen,Indian National Congress,301167,144686,48.0 %
68,Bhandara,109,GEN,Madhya Pradesh [1947 - 1999],Chaturbhuj Vithaldas Jasani,Indian National Congress,770354,808807,52.5 %
69,Bhandara,109,GEN,Madhya Pradesh [1947 - 1999],Tularam Chandrabhan Sakhare,Indian National Congress,770354,808807,52.5 %
70,Bharatpur Sawaimadhopur,347,GEN,Rajasthan,Girraj Sharan Singh,Independent,748347,687306,45.9 %
71,Bharatpur Sawaimadhopur,347,GEN,Rajasthan,Manak Chand,Krishikar Lok Party,748347,687306,45.9 %
72,Bhilwara,358,GEN,Rajasthan,Hari Ram,Akhil Bharatiya Ram Rajya Parishad,419186,108838,26.0 %
73,Bhir,312,GEN,Hyderabad,Ramchander Govind Paranjppe,Peoples Democratic Front,344586,126253,36.6 %
74,Bhusawal,69,GEN,Bombay,Rane Shivram Rango,Indian National Congress,381993,219720,57.5 %
75,Bidar,309,GEN,Hyderabad,Shoukatulla Shah Ansari,Indian National Congress,335863,158378,47.2 %
76,Bijapur North,84,GEN,Bombay,Dube Rajaram Girdharlal,Indian National Congress,370216,179215,48.4 %
77,Bijapur South,85,GEN,Bombay,Bidari Ramappa Balappa,Indian National Congress,342857,219578,64.0 %
78,Bijnor District (SOUTH),218,GEN,Uttar Pradesh [1947 - 1999],Nemi Saran,Indian National Congress,381477,190669,50.0 %
79,Bikaner Churu,350,GEN,Rajasthan,Maharaja Karni Singh,Independent,397481,187557,47.2 %
80,Bilaspur,93,GEN,Madhya Pradesh [1947 - 1999],Reshamlal,Indian National Congress,762814,463236,30.4 %
81,Bilaspur,93,GEN,Madhya Pradesh [1947 - 1999],Sardar Amarsingh Saigal,Indian National Congress,762814,463236,30.4 %
82,Bilaspur,385,GEN,Bilaspur,Anand Chand,Independent,68130,RU,
83,Bilaspur Durg Raipur,94,GEN,Madhya Pradesh [1947 - 1999],Agamdas,Indian National Congress,759650,529972,34.9 %
84,Bilaspur Durg Raipur,94,GEN,Madhya Pradesh [1947 - 1999],Bhupendranath Mishra,Indian National Congress,759650,529972,34.9 %
85,Birbhum,280,GEN,West Bengal,Anil Kumar Chanda,Indian National Congress,761831,503410,33.0 %
86,Birbhum,280,GEN,West Bengal,Kamal Krishna Das,Indian National Congress,761831,503410,33.0 %
87,Bombay City North,90,GEN,Bombay,Gandhi Vithal Balkrishna,Indian National Congress,730126,715888,49.0 %
88,Bombay City North,90,GEN,Bombay,Kajrolkar Narayan Sadoba,Indian National Congress,730126,715888,49.0 %
89,Bombay City South,89,GEN,Bombay,Patil Sadashiv Kanoji,Indian National Congress,370548,194136,52.4 %
90,Bombay Suburban,91,GEN,Bombay,Raiji Jayashri Naishadh,Indian National Congress,379457,199927,52.7 %
91,Broach,64,GEN,Bombay,Bhatt Chandrashankar Manishankar,Indian National Congress,380694,208885,54.9 %
92,Budaun District (WEST),232,GEN,Uttar Pradesh [1947 - 1999],Badan Sing,Indian National Congress,354848,131103,37.0 %
93,Bulandshahr District,224,GEN,Uttar Pradesh [1947 - 1999],Balmiki Kanhaiya Lal,Indian National Congress,770017,696063,45.2 %
94,Bulandshahr District,224,GEN,Uttar Pradesh [1947 - 1999],Raghubar Dayal,Indian National Congress,770017,696063,45.2 %
95,Buldana Akola,114,GEN,Madhya Pradesh [1947 - 1999],Gopalrao Bajirao Khedkar,Indian National Congress,783957,862425,55.0 %
96,Buldana Akola,114,GEN,Madhya Pradesh [1947 - 1999],Laxman Sharwan Bhatkar,Indian National Congress,783957,862425,55.0 %
97,Burdwan,292,GEN,West Bengal,Atulla Ghose,Indian National Congress,722434,512219,35.5 %
98,Burdwan,292,GEN,West Bengal,Mono Mohan Das,Indian National Congress,722434,512219,35.5 %
99,Cachar Lushal Hills,1,SC,Assam,"Laskar, Nibaran Chandra",Indian National Congress,658171,627706,47.7 %
100,Cachar Lushal Hills,1,SC,Assam,"Deb, Suresh Chandra",Indian National Congress,658171,627706,47.7 %
101,Calcutta North East,301,GEN,West Bengal,Hirendra Nath Mukherjee,Communist Party Of India,375515,143132,38.1 %
102,Calcutta North West,302,GEN,West Bengal,Meghnath Shah,Revolutionary Socialist Party,382636,139731,36.5 %
103,Calcutta South East,300,GEN,West Bengal,Syama Prosad Mookerjee,All India Bhartiya Jan Sangh,381486,144614,37.9 %
104,Calcutta South West,299,GEN,West Bengal,Ashim Krishna Dutt,Indian National Congress,380061,144065,37.9 %
105,Cannanore,172,GEN,Madras,A. K. Gopalan,Communist Party Of India,364218,252481,69.3 %
106,Chailbassa,54,ST,Bihar [1947 - 1999],Kanu Ram Deogam,Jharkhand Party,376306,178206,47.4 %
107,Chamba Sirmur,391,GEN,Himachal Pradesh,A. R. Sewal,Indian National Congress,180581,47812,26.5 %
108,Champaran East,26,GEN,Bihar [1947 - 1999],Syed Mahmood,Indian National Congress,327728,138767,42.3 %
109,Champaran North,25,GEN,Bihar [1947 - 1999],Bipin Bihari Verma,Indian National Congress,341318,104179,30.5 %
110,Chanda,110,GEN,Madhya Pradesh [1947 - 1999],Mulla Abdullabhai Taherali,Indian National Congress,368225,230336,62.6 %
111,Chhatarpur Datia Tikamgarh,401,GEN,Vindhya Pradesh,Ram Sahai Tiwari,Indian National Congress,587455,347010,29.5 %
112,Chhatarpur Datia Tikamgarh,401,GEN,Vindhya Pradesh,Moti Lal Malvi,Indian National Congress,587455,347010,29.5 %
113,Chhindwara,105,GEN,Madhya Pradesh [1947 - 1999],Raichand Bhai Shah,Indian National Congress,381555,131682,34.5 %
114,Chingleput,141,GEN,Madras,O. V. Alagesan,Indian National Congress,334352,150835,45.1 %
115,Chirayinkil,372,GEN,Travancore Cochin,V. Parameswaran Nair,Independent,351642,233287,66.3 %
116,Chitaldrug,341,GEN,Mysore,S Nijalingappa,Indian National Congress,361943,218227,60.3 %
117,Chittoor,137,GEN,Madras,T. N. Vishwanatha Reddi,Indian National Congress,717443,788694,55.0 %
118,Chittoor,137,GEN,Madras,M. V. Gangadara Siva,Indian National Congress,717443,788694,55.0 %
119,Chittor,361,GEN,Rajasthan,Umashanker,All India Bhartiya Jan Sangh,405205,112548,27.8 %
120,Coimbatore,152,GEN,Madras,T. A. Ramalinga Chettiar,Indian National Congress,346405,RU,
121,Contai,287,GEN,West Bengal,"Dass, Basanta Kumar",Indian National Congress,375591,210471,56.0 %
122,Coorg,386,GEN,Coorg,N. Somanna,Indian National Congress,94593,63813,67.5 %
123,Crangannur,379,GEN,Travancore Cochin,K. T. Achyuthan,Indian National Congress,348264,239313,68.7 %
124,Cuddalore,159,GEN,Madras,L. Elayaperumal,Indian National Congress,745514,739971,49.6 %
125,Cuddalore,159,GEN,Madras,Govindaswamy Kachirayar,The Tamil Nad Toilers Party,745514,739971,49.6 %
126,Cuddapah,136,GEN,Madras,Eswara Reddi Yeddula,Communist Party Of India,368066,239982,65.2 %
127,Cuttack,188,GEN,Orissa,Harekrishna Mahtab,Indian National Congress,399482,164145,41.1 %
128,Darbhanga Central,33,GEN,Bihar [1947 - 1999],Shri Narayan Das,Indian National Congress,394744,136243,34.5 %
129,Darbhanga Cum Bhagalpur,36,GEN,Bihar [1947 - 1999],Lalit Narayan Misra,Indian National Congress,331476,146291,44.1 %
130,Darbhanga East,34,GEN,Bihar [1947 - 1999],Aniruydh Sinha,Indian National Congress,372053,132722,35.7 %
131,Darbhanga North,35,GEN,Bihar [1947 - 1999],Shyam Nandan Prasad,Indian National Congress,376316,167758,44.6 %
132,Darrang,6,GEN,Assam,Kamakhya Prasad Tripathi,Indian National Congress,310934,162120,52.1 %
133,Delhi City,389,GEN,Delhi,Radha Raman,Indian National Congress,174522,101590,58.2 %
134,Deoria District (EAST),271,GEN,Uttar Pradesh [1947 - 1999],Ram Ji,Socialist Party,360505,127752,35.4 %
135,Deoria District (SOUTH),269,GEN,Uttar Pradesh [1947 - 1999],Sarayu,Indian National Congress,356039,119616,33.6 %
136,Deoria District (WEST),270,GEN,Uttar Pradesh [1947 - 1999],Bishwa Nath,Indian National Congress,369077,114804,31.1 %
137,Dharamapuri,146,GEN,Madras,N. Satyanathan,Independent,360076,185545,51.5 %
138,Dharwar North,86,GEN,Bombay,Karmaka Dattatraya Parsuramrao,Indian National Congress,365182,216283,59.2 %
139,Dharwar South,87,GEN,Bombay,Neswi Timmappa Rudrappa,Indian National Congress,371753,239315,64.4 %
140,Dhenkanal West Cuttack,183,GEN,Orissa,Niranjan Jena,Indian National Congress,754809,495558,32.8 %
141,Dhenkanal West Cuttack,183,GEN,Orissa,Sarangadhar Das,Socialist Party,754809,495558,32.8 %
142,Diamond Harbour,298,GEN,West Bengal,Basu Kamal,Communist Party Of India,730094,680143,46.6 %
143,Diamond Harbour,298,GEN,West Bengal,Naskar Purnendu Sekhar,Indian National Congress,730094,680143,46.6 %
144,Dibrugarh,10,GEN,Assam,"Hazarika, Jogendra Nath",Indian National Congress,347258,148712,42.8 %
145,Dindigul,169,GEN,Madras,Ammu Swaminathan,Indian National Congress,347422,209488,60.3 %
146,Durg,96,GEN,Madhya Pradesh [1947 - 1999],W. S. Kirolikar,Indian National Congress,398341,191348,48.0 %
147,Durg Bastar,97,GEN,Madhya Pradesh [1947 - 1999],Bhagwati Charan Shukla,Indian National Congress,394803,214924,54.4 %
148,Eluru,122,GEN,Madras,K. Subha Rao,Communist Party Of India,694382,1000456,72.0 %
149,Eluru,122,GEN,Madras,B. S. Murthy,Kisan Mazdoor Praja Party,694382,1000456,72.0 %
150,Ernakulam,378,GEN,Travancore Cochin,A. M. Thomas,Indian National Congress,355060,247832,69.8 %
151,Erode,148,GEN,Madras,Balakrishnan,Indian National Congress,743081,782686,52.7 %
152,Erode,148,GEN,Madras,Periasami Gounder,Indian National Congress,743081,782686,52.7 %
153,Etah Disctict North East Cum Budaun Distt (EAST),231,GEN,Uttar Pradesh [1947 - 1999],Raghubir Sahai,Indian National Congress,352544,153239,43.5 %
154,Etah District (CENTRAL),230,GEN,Uttar Pradesh [1947 - 1999],Rohan Lal Chaturvedi,Indian National Congress,365009,168730,46.2 %
155,Etah Distt (WEST) CUM MAINPURI DISTT (WEST) CUM MATHURA DISTRICT (EAST),229,GEN,Uttar Pradesh [1947 - 1999],Digamber Si,Indian National Congress,361599,185634,51.3 %
156,Faizabad Distt (NORTH WEST),252,GEN,Uttar Pradesh [1947 - 1999],Panna Lal,Indian National Congress,718760,526515,36.6 %
157,Faizabad Distt (NORTH WEST),252,GEN,Uttar Pradesh [1947 - 1999],Lallan Ji,Indian National Congress,718760,526515,36.6 %
158,Farrukhabad District (NORTH),233,GEN,Uttar Pradesh [1947 - 1999],Mool Chand Dube,Indian National Congress,407275,167836,41.2 %
159,Fazilka Sirsa,199,GEN,Punjab,Atma Singh,Indian National Congress,360933,214413,59.4 %
160,Ferozepore Ludhiana,200,GEN,Punjab,Lal Singh,Shiromani Akali Dal,764171,811732,53.1 %
161,Ferozepore Ludhiana,200,GEN,Punjab,Bahadur Singh,Shiromani Akali Dal,764171,811732,53.1 %
162,Ganganagar Jhunjhunu,349,GEN,Rajasthan,Panna Lal,Indian National Congress,758860,662222,43.6 %
163,Ganganagar Jhunjhunu,349,GEN,Rajasthan,Murarka Radhey Shyam,Indian National Congress,758860,662222,43.6 %
164,Ganjam South,192,GEN,Orissa,Bijoy Chandra Das,Communist Party Of India,390236,109695,28.1 %
165,Garhwal Distt (EAST) CUM MORADABAD DISTT (NORTH EAST),210,GEN,Uttar Pradesh [1947 - 1999],Bhaktadarsh,Indian National Congress,347009,96529,27.8 %
166,Garhwal Distt (WEST) CUM TEHRI GARHWAL DISTT CUM BIJNOR DISTT (NORTH),209,GEN,Uttar Pradesh [1947 - 1999],Maharani Sahiba Kamlendumati Shah,Independent,373418,135092,36.2 %
167,Gauhati,5,ST,Assam,Rohini Kumar Chaudhury,Indian National Congress,360331,202596,56.2 %
168,Gaya East,15,GEN,Bihar [1947 - 1999],Brajeshwar Prasad,Indian National Congress,572471,415816,36.3 %
169,Gaya East,15,GEN,Bihar [1947 - 1999],Ramdhari Das,Indian National Congress,572471,415816,36.3 %
170,Gaya North,16,GEN,Bihar [1947 - 1999],Bigeshwar Missir,Socialist Party,288509,127767,44.3 %
171,Gaya West,17,GEN,Bihar [1947 - 1999],Satyandra Narain Singh,Indian National Congress,336977,141212,41.9 %
172,Ghatal,285,GEN,West Bengal,Chowdhury Nikunja Behari,Communist Party Of India,361187,180379,49.9 %
173,Ghazipur District (WEST),274,GEN,Uttar Pradesh [1947 - 1999],Har Prasad,Indian National Congress,392667,169758,43.2 %
174,Ghazipur Distt (EAST) CUM BALLIA DISTRICT SOUTH (WEST),275,GEN,Uttar Pradesh [1947 - 1999],Ram Nagina,Socialist Party,360946,117115,32.5 %
175,Ghumsur,191,GEN,Orissa,Umacharan Patnaik,Independent,386460,145186,37.6 %
176,Goalpara Garo Hills,3,ST,Assam,Jonab Amjad Ali,Socialist Party,719456,704435,49.0 %
177,Goalpara Garo Hills,3,ST,Assam,Sitanath Brahma Chowdhury,Indian National Congress,719456,704435,49.0 %
178,Gohilwad,367,GEN,Saurashtra,Mehta Balwantrai Gopalji,Indian National Congress,310380,124240,40.0 %
179,Gohilwad Sorath,368,GEN,Saurashtra,Shah Chimanlal Chakubhai,Indian National Congress,288399,163639,56.7 %
180,Golaghat Jorhat,8,GEN,Assam,Debeswar Sarma,Indian National Congress,363384,172180,47.4 %
181,Gonda District (EAST) CUM BASTI DISTRICT (WEST),263,GEN,Uttar Pradesh [1947 - 1999],Kesho Deo Malviya,Indian National Congress,337344,117305,34.8 %
182,Gonda District (NORTH),261,GEN,Uttar Pradesh [1947 - 1999],Chowdhari Hyder Husain,Indian National Congress,364459,164274,45.1 %
183,Gonda District (WEST),262,GEN,Uttar Pradesh [1947 - 1999],Nayar Shakuntala,Akhil Bharatiya Hindu Mahasabha,380009,131240,34.5 %
184,Gorakhpur District (CENTRAL),267,GEN,Uttar Pradesh [1947 - 1999],Dasrath Pd. Divedi,Indian National Congress,388724,144643,37.2 %
185,Gorakhpur District (NORTH),266,GEN,Uttar Pradesh [1947 - 1999],Hari Shanker Prasad,Indian National Congress,369306,120382,32.6 %
186,Gorakhpur District (SOUTH),268,GEN,Uttar Pradesh [1947 - 1999],Sinhasan Singh,Indian National Congress,342796,104695,30.5 %
187,Gudivada,124,GEN,Madras,K. Gopala Rao,Communist Party Of India,355301,276723,77.9 %
188,Gulabarga,307,GEN,Hyderabad,Swamy Ramanand Tirth,Indian National Congress,364590,106140,29.1 %
189,Guna,330,GEN,Madhya Bharat,V. G. Deshpande,Akhil Bharatiya Hindu Mahasabha,378353,138858,36.7 %
190,Guntur,127,GEN,Madras,S. V. Laxmi Narasimham,Independent,364698,254499,69.8 %
191,Gurdaspur,205,GEN,Punjab,Teja Singh,Indian National Congress,353804,182413,51.6 %
192,Gurgaon,197,GEN,Punjab,Thakar Das,Indian National Congress,381963,251946,66.0 %
193,Gwalior,331,GEN,Madhya Bharat,V. G. Deshpande,Akhil Bharatiya Hindu Mahasabha,379320,144412,38.1 %
194,Halar,364,GEN,Saurashtra,Major Gen. M. S. Himatsinhji,Indian National Congress,295369,RU,
195,Hamirpur District,240,GEN,Uttar Pradesh [1947 - 1999],Mannu Lal Duvedi,Indian National Congress,336458,128684,38.3 %
196,Hardoi Distt (NORTH WEST) CUM FARRUKHABAD DISTT (EAST) CUM SHAHJANPUR DISTT (SOUTH),243,GEN,Uttar Pradesh [1947 - 1999],Bashir,Indian National Congress,754683,532687,35.3 %
197,Hardoi Distt (NORTH WEST) CUM FARRUKHABAD DISTT (EAST) CUM SHAHJANPUR DISTT (SOUTH),243,GEN,Uttar Pradesh [1947 - 1999],Bulaqi,Indian National Congress,754683,532687,35.3 %
198,Hassan Chickmagalur,339,GEN,Mysore,H. Siddananjappa,Indian National Congress,354206,171850,48.5 %
199,Hazaribagh West,48,GEN,Bihar [1947 - 1999],Ram Narayan Singh,Chota Nagpur Santhal Parganas Janta Party,332278,118881,35.8 %
200,Hazaribhag East,47,GEN,Bihar [1947 - 1999],Nageshwar Pd. Sinha,Indian National Congress,335212,129617,38.7 %
201,Hissar,198,GEN,Punjab,Achint Ram,Indian National Congress,370693,188389,50.8 %
202,Hooghly,291,GEN,West Bengal,N. C. Chatterjee,Akhil Bharatiya Hindu Mahasabha,385944,198385,51.4 %
203,Hoshangabad,104,GEN,Madhya Pradesh [1947 - 1999],Syed Ahmad,Indian National Congress,364350,164838,45.2 %
204,Hoshiarpur,203,GEN,Punjab,Diwan Chand,Indian National Congress,775828,799356,51.5 %
205,Hoshiarpur,203,GEN,Punjab,Ram Das,Indian National Congress,775828,799356,51.5 %
206,Howrah,289,GEN,West Bengal,Santosh Kumar Dutta,Indian National Congress,378918,178071,47.0 %
207,Hyderabad City,303,GEN,Hyderabad,Ahmed Mohiuddin,Indian National Congress,343535,147657,43.0 %
208,Ibrahimpatam,304,GEN,Hyderabad,Sadat Ali Khan,Indian National Congress,345396,144579,41.9 %
209,Indore,326,GEN,Madhya Bharat,Nandlal Surya Narayan,Indian National Congress,387379,178654,46.1 %
210,Inner Manipur,394,GEN,Manipur,Jogeswor Singh,Indian National Congress,149617,74906,50.1 %
211,Jabalpur North,101,GEN,Madhya Pradesh [1947 - 1999],Sushil Kumar,Indian National Congress,399430,176914,44.3 %
212,Jaipur,356,GEN,Rajasthan,Daulat Mal,Indian National Congress,397855,119094,29.9 %
213,Jaipur Sawaimadhopur,346,GEN,Rajasthan,Ram Karan Joshi,Indian National Congress,382763,122770,32.1 %
214,Jajpur Keonjhar,184,GEN,Orissa,Bhubananda Das,Indian National Congress,729056,457314,31.4 %
215,Jajpur Keonjhar,184,GEN,Orissa,Lakhmidhar Jena,All India Gantantra Parishad,729056,457314,31.4 %
216,Jalaun Distt Cum Etawah Distt (WEST) CUM JHANSI DISTT (NORTH),235,GEN,Uttar Pradesh [1947 - 1999],Lotan Ram,Indian National Congress,753180,584312,38.8 %
217,Jalaun Distt Cum Etawah Distt (WEST) CUM JHANSI DISTT (NORTH),235,GEN,Uttar Pradesh [1947 - 1999],Hoti Lal,Indian National Congress,753180,584312,38.8 %
218,Jalgaon,70,GEN,Bombay,Pataskar Hari Vinayak,Indian National Congress,356253,205133,57.6 %
219,Jaunpur District (EAST),253,GEN,Uttar Pradesh [1947 - 1999],Birbal Singh,Indian National Congress,709849,563586,39.7 %
220,Jaunpur District (EAST),253,GEN,Uttar Pradesh [1947 - 1999],Ganpat,Indian National Congress,709849,563586,39.7 %
221,Jhabua,325,ST,Madhya Bharat,Amar Singh,Indian National Congress,369032,140946,38.2 %
222,Jhajjar Rewari,196,GEN,Punjab,Ghamandi Lal,Indian National Congress,382413,246224,64.4 %
223,Jhansi District (SOUTH),239,GEN,Uttar Pradesh [1947 - 1999],Dhulekar Raghunath,Indian National Congress,359042,135532,37.8 %
224,Jodhpur,351,GEN,Rajasthan,Hanwant Singh,Independent,402871,177850,44.2 %
225,Jullundur,202,GEN,Punjab,Amar Nath,Indian National Congress,359274,199468,55.5 %
