PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Charan Singh,Janta Party (SECULAR),712650,501292,70.3 %,165121,32.9%
Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Mulana Saiyad Muzaffar Hussain,Indian National Congress (I),709921,261538,36.8 %,49890,19.1%
Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Nandkishore Sharma,Indian National Congress (I),577626,345657,59.8 %,113373,32.8%
Balasore,2,ST,Orissa,Chintamani Jena,Indian National Congress (I),673732,398950,59.2 %,139889,35.1%
Balia,19,GEN,Bihar [1947 - 1999],Surya Narayan Singh,Communist Party Of India,714492,389642,54.5 %,1900,0.5%
Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shikhar,Janta Party,750408,394280,52.5 %,23588,6.0%
Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Chandra Bhal Mani Tewari,Indian National Congress (I),702801,309020,44.0 %,20986,6.8%
Balurghat,6,GEN,West Bengal,Barman Palas,Revolutionary Socialist Party,689058,521156,75.6 %,80328,15.4%
Banaskantha,14,GEN,Gujarat,Bheravdan Khetdanji Gadhavi,Indian National Congress (I),598878,316247,52.8 %,89487,28.3%
Banda,59,GEN,Uttar Pradesh [1947 - 1999],Ram Nath Dubey,Indian National Congress (I),650023,328630,50.6 %,45054,13.7%
Bangalore North,12,GEN,Karnataka,C.K. Jaffar Sharief,Indian National Congress (I),775150,405967,52.4 %,116535,28.7%
Bangalore South,13,GEN,Karnataka,T.R. Shamanna,Janta Party,862157,441603,51.2 %,2727,0.6%
Banka,29,GEN,Bihar [1947 - 1999],Chandra Shekhar Singh,Indian National Congress (I),690997,351663,50.9 %,76423,21.7%
Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),720874,459862,63.8 %,43911,9.5%
Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Mahabir Prasad,Indian National Congress (I),723581,316926,43.8 %,32061,10.1%
Banswara,16,GEN,Rajasthan,Bhikha Bhai,Indian National Congress (I),638458,384996,60.3 %,88581,23.0%
Bapatla,16,GEN,Andhra Pradesh,Ankineedu Prasada Rao Pamulapati,Indian National Congress (I),762427,489114,64.2 %,151741,31.0%
Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Ram Kinkar,Janta Party (SECULAR),653671,311092,47.6 %,15641,5.0%
Baramati,43,GEN,Maharashtra,Patil Shankarrao Bajirao,Indian National Congress (I),766039,454323,59.3 %,85868,18.9%
Baramulla,1,GEN,Jammu & Kashmir,Khawaja Mubarak Shah,Jammu & Kashmir National Conference,489040,273949,56.0 %,103277,37.7%
Barasat,13,SC,West Bengal,Chitta Basu,All India Forward Bloc,759050,571761,75.3 %,93920,16.4%
Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Nisar Yar Khan,Janta Party (SECULAR),614536,274181,44.6 %,1710,0.6%
Barh,18,GEN,Bihar [1947 - 1999],Dharmvir Singh,Indian National Congress (U),780459,484029,62.0 %,31606,6.5%
Barmer,23,GEN,Rajasthan,Virdhi Chand,Indian National Congress (I),792635,425912,53.7 %,37977,8.9%
Baroda,22,GEN,Gujarat,Gaekwad Ranjitsinhji Pratapsinji,Indian National Congress (I),727197,468156,64.4 %,95493,20.4%
Barpeta,6,GEN,Assam,Data Not Available,-,-,-,-,-,-
Barrackpore,19,SC,West Bengal,Mahammed Ismail,Communist Party Of India (MARXIST),699806,482460,68.9 %,103925,21.5%
Basirhat,14,SC,West Bengal,Indrajit Gupta,Communist Party Of India,696796,550004,78.9 %,95854,17.4%
Bastar,20,ST,Madhya Pradesh [1947 - 1999],Laxman Karma,Indian National Congress (I),505816,188193,37.2 %,15050,8.0%
Basti,34,SC,Uttar Pradesh [1947 - 1999],Kalpnath,Indian National Congress (I),703177,268864,38.2 %,26890,10.0%
Bayana,10,SC,Rajasthan,Jagannath Persad Pahadia,Indian National Congress (I),674118,310026,46.0 %,31189,10.1%
Beed,34,GEN,Maharashtra,Kashirsagar Kesarbai Sonajirao Alias Kaku,Indian National Congress (I),808308,382959,47.4 %,67503,17.6%
Begusarai,33,GEN,Bihar [1947 - 1999],Krishna Shahi,Indian National Congress (I),772911,459452,59.4 %,172723,37.6%
Belgaum,25,GEN,Karnataka,Sidnal Shanmukhappa Basappa,Indian National Congress (I),702656,428774,61.0 %,141197,32.9%
Bellary,5,SC,Karnataka,R.Y. Ghorpade,Indian National Congress (I),701437,380495,54.3 %,136037,35.8%
Berhampore,10,GEN,West Bengal,Tridib Chaudhari,Revolutionary Socialist Party,778897,545770,70.1 %,92269,16.9%
Berhampur,11,GEN,Orissa,Jagannath Rao R.,Indian National Congress (I),661874,252858,38.2 %,114170,45.2%
Bettiah,2,GEN,Bihar [1947 - 1999],Kedar Pandey,Indian National Congress (I),707334,320806,45.4 %,104725,32.6%
Betul,28,GEN,Madhya Pradesh [1947 - 1999],Gufran Azam,Indian National Congress (I),547564,265906,48.6 %,29322,11.0%
Bhadrachalam,5,ST,Andhra Pradesh,B.Radhabai Ananda Rao,Indian National Congress (I),669348,286010,42.7 %,68326,23.9%
Bhadrak,3,GEN,Orissa,Arjun Charan Sethi,Indian National Congress (I),676438,383819,56.7 %,124035,32.3%
Bhagalpur,30,GEN,Bihar [1947 - 1999],Bhagwat Jha Azad,Indian National Congress (I),774045,424379,54.8 %,76685,18.1%
Bhandara,24,GEN,Maharashtra,Pardhir Keshaorao Atmaramji,Indian National Congress (I),671565,465342,69.3 %,99928,21.5%
Bharatpur,9,SC,Rajasthan,Rajesh Pilot,Indian National Congress (I),648260,346270,53.4 %,12259,3.5%
Bhatinda,11,GEN,Punjab,Hakam Singh,Indian National Congress (I),708507,415962,58.7 %,17009,4.1%
Bhavnagar,8,SC,Gujarat,Gohil Gigabhai Bhavubhai,Indian National Congress (I),605711,264090,43.6 %,53929,20.4%
Bhilwara,20,ST,Rajasthan,Girdhari Lal,Indian National Congress (I),703496,355785,50.6 %,74349,20.9%
Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Kalicharan Sharma,Indian National Congress (I),709517,326368,46.0 %,10036,3.1%
Bhiwani,8,GEN,Haryana,Bansi Lal,Indian National Congress (I),709065,474103,66.9 %,50071,10.6%
Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],Shankardayal Sharma,Indian National Congress (I),701163,397589,56.7 %,13602,3.4%
Bhubaneswar,9,GEN,Orissa,Chintamani Panigrahi,Indian National Congress (I),684665,308777,45.1 %,132617,42.9%
Bidar,1,GEN,Karnataka,Narsing Hulla,Indian National Congress (I),691041,276075,40.0 %,105408,38.2%
Bijapur,28,SC,Karnataka,Choudhari Kalingappa Bhimanna,Indian National Congress (I),677105,376398,55.6 %,10562,2.8%
Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Mangal Ram,Janta Party (SECULAR),678754,350199,51.6 %,46099,13.2%
Bikaner,2,SC,Rajasthan,Manfool Singh,Indian National Congress (I),881540,504351,57.2 %,61542,12.2%
Bikramganj,39,GEN,Bihar [1947 - 1999],Tapeshwar Singh,Indian National Congress (I),787636,441458,56.1 %,21386,4.8%
Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Godil Prasad Anuragi,Indian National Congress (I),592243,276214,46.6 %,79079,28.6%
Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Ram Narain Tripathi,Indian National Congress (I),696895,370711,53.2 %,9190,2.5%
Birbhum,42,GEN,West Bengal,Gadadhar Saha,Communist Party Of India (MARXIST),657619,441811,67.2 %,40663,9.2%
Bobbili,3,GEN,Andhra Pradesh,P.V.Gajapathi Raju,Indian National Congress (I),651967,300608,46.1 %,138126,45.9%
Bolangir,16,SC,Orissa,Nityananda Mishra,Indian National Congress (I),621132,268462,43.2 %,79861,29.7%
Bolpur,41,SC,West Bengal,Saradish Roy,Communist Party Of India (MARXIST),666936,493812,74.0 %,68629,13.9%
Bombay North,9,SC,Maharashtra,Ravindra Varma,Janta Party,845233,458938,54.3 %,64694,14.1%
Bombay North Central,6,GEN,Maharashtra,Pramila Madhu Dandvate,Janta Party,769629,418271,54.4 %,9811,2.3%
Bombay North East,7,SC,Maharashtra,Subramanian Swamy,Janta Party,916054,506158,55.3 %,38906,7.7%
Bombay North West,8,GEN,Maharashtra,Ram Jethamalani,Janta Party,823642,411461,50.0 %,27055,6.6%
Bombay South,4,GEN,Maharashtra,Rajda Ratasinh Gokuldas,Janta Party,683197,325638,47.7 %,15170,4.7%
Bombay South Central,5,GEN,Maharashtra,Bhole R. R.,Indian National Congress (I),686338,368483,53.7 %,26888,7.3%
Broach,23,ST,Gujarat,Patel Ahmedbhai Mohammedbhai,Indian National Congress (I),623529,386554,62.0 %,82844,21.4%
Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Mohammad Asrar Ahmad,Indian National Congress (I),658689,328422,49.9 %,9934,3.0%
Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Mahmood Hasan Khan,Janta Party (SECULAR),686246,412737,60.1 %,56660,13.7%
Buldhana,18,GEN,Maharashtra,Wasnik Balkrishna Ramchandra,Indian National Congress (I),672909,349375,51.9 %,113096,32.4%
Bulsar,26,ST,Gujarat,Patel Uttambhai Harjibhai,Indian National Congress (I),645419,360114,55.8 %,25947,7.2%
Burdwan,39,GEN,West Bengal,Sushil Kumar Bhattacharya,Communist Party Of India (MARXIST),754743,558707,74.0 %,119727,21.4%
Buxar,37,GEN,Bihar [1947 - 1999],K. K. Tiwari,Indian National Congress (I),792731,360718,45.5 %,31724,8.8%
Calcutta North East,22,GEN,West Bengal,Sunil Moitra,Communist Party Of India (MARXIST),727431,400397,55.0 %,27069,6.8%
Calcutta North West,21,GEN,West Bengal,Ashoke Kumar Sen,Indian National Congress (I),616287,319813,51.9 %,43833,13.7%
Calcutta South,23,GEN,West Bengal,Satya Sadhan Chakrabarty,Communist Party Of India (MARXIST),768155,472722,61.5 %,37009,7.8%
Calicut,4,GEN,Kerala,E. K. Imbichi Bava,Communist Party Of India (MARXIST),705630,427612,60.6 %,40695,9.5%
Cannanore,2,GEN,Kerala,K. Kunhambu,Indian National Congress (U),637975,449902,70.5 %,73257,16.3%
Chail,57,SC,Uttar Pradesh [1947 - 1999],Ram Nihore Rakesh,Indian National Congress (I),706177,231347,32.8 %,13717,5.9%
Chamarajanagar,15,GEN,Karnataka,V. Sreenivasa Prasad,Indian National Congress (I),706081,404429,57.3 %,110461,27.3%
Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Nihal Singh,Janta Party,717834,382286,53.3 %,20858,5.5%
Chandigarh,1,GEN,Chandigarh,Jagan Nath Kasuhal,Indian National Congress (I),197016,125944,63.9 %,33319,26.5%
Chandni Chowk,5,SC,Delhi [1977 Onwards],Bhiku Ram Jain,Indian National Congress (I),299479,214837,71.7 %,17235,8.0%
Chandrapur,26,GEN,Maharashtra,Shantaram Potdukhe,Indian National Congress (I),681948,396987,58.2 %,72890,18.4%
Chapra,7,GEN,Bihar [1947 - 1999],Satyadeo Singh,Janta Party,763005,394398,51.7 %,8781,2.2%
Chatra,44,GEN,Bihar [1947 - 1999],Ranjit Singh,Indian National Congress (I),658959,275401,41.8 %,45586,16.6%
Chengalpattu,5,GEN,Tamil Nadu,Anbarasu Era,Indian National Congress (I),673832,484102,71.8 %,110016,22.7%
Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress (I),568711,300998,52.9 %,70131,23.3%
Chhota Udaipur,21,ST,Gujarat,Rathawa Amarsinghbhai Viriyabhai,Indian National Congress (I),607938,368001,60.5 %,72483,19.7%
Chidambaram,12,GEN,Tamil Nadu,Kulandaivelu V.,Dravida Munetra Kazhagam,694357,487049,70.1 %,138725,28.5%
Chikballapur,9,ST,Karnataka,S.N. Prasan Kumar,Indian National Congress (I),715087,408214,57.1 %,146943,36.0%
Chikkodi,26,GEN,Karnataka,B Shankaranand,Indian National Congress (I),656188,354422,54.0 %,146084,41.2%
Chikmagalur,20,GEN,Karnataka,D.M. Puttegowda,Indian National Congress (I),630138,384830,61.1 %,164136,42.7%
Chimur,25,GEN,Maharashtra,Muttemwar Vilas Babura,Indian National Congress (I),711541,495032,69.6 %,138852,28.0%
Chirayinkil,19,GEN,Kerala,A. A. Rahim,Indian National Congress (I),660715,390602,59.1 %,6063,1.6%
Chitradurga,7,GEN,Karnataka,K. Mallanna,Indian National Congress (I),718324,430256,59.9 %,109361,25.4%
Chittoor,21,GEN,Andhra Pradesh,P. Rajagopal Naidu,Indian National Congress (I),739000,461430,62.4 %,59847,13.0%
Chittorgarh,19,ST,Rajasthan,Nrimala Kumari,Indian National Congress (I),694658,374187,53.9 %,34637,9.3%
Churu,3,GEN,Rajasthan,Daulat Ram Saran,Janta Party (SECULAR),738304,428225,58.0 %,9890,2.3%
Coimbatore,20,GEN,Tamil Nadu,Ram Mohan Alias Era Mohan R.,Dravida Munetra Kazhagam,785260,518780,66.1 %,56109,10.8%
Contai,31,GEN,West Bengal,Giri Sudhir Kumar,Communist Party Of India (MARXIST),644267,477134,74.1 %,89774,18.8%
Cooch Behar,1,SC,West Bengal,Amar Roy Pradhan,All India Forward Bloc,708442,524578,74.1 %,118146,22.5%
Cuddalore,11,GEN,Tamil Nadu,Muthukumaran R.,Indian National Congress (I),692583,454244,65.6 %,108651,23.9%
Cuddapah,23,GEN,Andhra Pradesh,K. Obul Reddy,Indian National Congress (I),774582,512879,66.2 %,50546,9.9%
Cuttack,6,GEN,Orissa,Janaki Ballav Patnaik,Indian National Congress (I),704852,368514,52.3 %,123952,33.6%
Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Mahala Ramji Potla,Indian National Congress (I),45874,33378,72.8 %,13580,40.7%
Dahanu,11,GEN,Maharashtra,Shinghada Damu Barku,Indian National Congress (I),715384,289462,40.5 %,71158,24.6%
Dahod,17,GEN,Gujarat,Damor Somjibhai Punjabhai,Indian National Congress (I),590075,232474,39.4 %,77123,33.2%
Daman And Diu,1,GEN,Daman & Diu,Data Not Available,-,-,-,-,-,-
Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Prabhunarayan Ramdhan,Indian National Congress (I),690994,365794,52.9 %,53525,14.6%
Darbhanga,15,GEN,Bihar [1947 - 1999],Hari Nath Mishra,Indian National Congress (I),732217,473415,64.7 %,58201,12.3%
Darjeeling,4,GEN,West Bengal,Ananda Pathak,Communist Party Of India (MARXIST),740258,419397,56.7 %,18161,4.3%
Dausa,7,GEN,Rajasthan,Nawal Kishore Sharma,Indian National Congress (I),710537,367988,51.8 %,8072,2.2%
Davangere,6,ST,Karnataka,T.V. Chandrashekharappa,Indian National Congress (I),737332,443514,60.2 %,140996,31.8%
Delhi Sadar,6,GEN,Delhi [1977 Onwards],Jagdish Tytler,Indian National Congress (I),333500,230779,69.2 %,8118,3.5%
Deogarh,18,GEN,Orissa,Narayan Sahu,Indian National Congress (I),680409,312557,45.9 %,119804,38.3%
Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Ramayan Rai,Indian National Congress (I),739362,345104,46.7 %,77,0.0%
Dhanbad,47,GEN,Bihar [1947 - 1999],A. K. Roy,Independent,829241,405558,48.9 %,15306,3.8%
Dhandhuka,9,GEN,Gujarat,Makwana Narsinhbhai Karsanbhai,Indian National Congress (I),622248,298718,48.0 %,86873,29.1%
Dhar,36,ST,Madhya Pradesh [1947 - 1999],Fatehbhanusinh S/o Ramsinh,Indian National Congress (I),610884,351372,57.5 %,62646,17.8%
Dharmapuri,13,SC,Tamil Nadu,Arjunan K.,Dravida Munetra Kazhagam,694088,384635,55.4 %,66871,17.4%
Dharwad North,24,GEN,Karnataka,D.K. Naikar,Indian National Congress (I),648344,371546,57.3 %,96694,26.0%
Dharwad South,23,GEN,Karnataka,Mohsin Fakruddinsab Hussensab,Indian National Congress (I),676885,384924,56.9 %,151033,39.2%
Dhenkanal,19,GEN,Orissa,Raja Kamakhya Prasad Singh Deo Mahindra Bahadur,Indian National Congress (I),645017,303642,47.1 %,131032,43.2%
Dhubri,4,GEN,Assam,Data Not Available,-,-,-,-,-,-
Dhule,14,GEN,Maharashtra,Bhoye Reshma Motiram,Indian National Congress (I),657330,302437,46.0 %,112062,37.1%
Diamond Harbour,17,GEN,West Bengal,Jyotirmoy Basu,Communist Party Of India (MARXIST),700277,496366,70.9 %,145932,29.4%
Dibrugarh,13,GEN,Assam,Data Not Available,-,-,-,-,-,-
Dindigul,23,GEN,Tamil Nadu,Maya Thevar K.,Dravida Munetra Kazhagam,757333,481438,63.6 %,26746,5.6%
Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Kazi Jalil Abbasi,Indian National Congress (I),719976,386830,53.7 %,65467,16.9%
Dum Dum,20,SC,West Bengal,Niren Ghosh,Communist Party Of India (MARXIST),902611,616483,68.3 %,165672,26.9%
Dumka,27,ST,Bihar [1947 - 1999],Shibu Siren,Independent,645270,310392,48.1 %,3513,1.1%
Durg,21,GEN,Madhya Pradesh [1947 - 1999],Chandulal Chanrakar,Indian National Congress (I),671279,385981,57.5 %,112304,29.1%
Durgapur,37,SC,West Bengal,Krishna Chandra Halder,Communist Party Of India (MARXIST),739456,513170,69.4 %,95187,18.5%
East Delhi,4,GEN,Delhi [1977 Onwards],H.K.L. Bhagat,Indian National Congress (I),677955,422772,62.4 %,87708,20.7%
Eluru,11,GEN,Andhra Pradesh,Chittoori Subbarao Chowdary,Indian National Congress (I),732089,459574,62.8 %,183335,39.9%
Erandol,16,GEN,Maharashtra,Vijay Kumar Naval Patil,Indian National Congress (I),715273,402534,56.3 %,128592,31.9%
Ernakulam,11,GEN,Kerala,Xavier Varghese Arakal,Indian National Congress (I),675831,398409,59.0 %,2502,0.6%
Etah,71,GEN,Uttar Pradesh [1947 - 1999],Malik Mohd. Mishir A.Khan,Indian National Congress (I),622201,295104,47.4 %,8340,2.8%
Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Ram Singh Shakya,Janta Party (SECULAR),662472,436954,66.0 %,56075,12.8%
Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Jai Ram Verma,Indian National Congress (I),675957,308188,45.6 %,54416,17.7%
Faridabad,6,GEN,Haryana,Tayyab Hussain,Indian National Congress (I),740832,449927,60.7 %,158,0.0%
Faridkot,12,GEN,Punjab,Gurbinder Kaur,Indian National Congress (I),772846,483196,62.5 %,20661,4.3%
Farrukhabad,68,GEN,Uttar Pradesh [1947 - 1999],Daya Ram Shakya,Janta Party,724527,348762,48.1 %,6110,1.8%
Fatehpur,58,GEN,Uttar Pradesh [1947 - 1999],Hari Kishan Shastri,Indian National Congress (I),692245,311915,45.1 %,40146,12.9%
Ferozepur,13,GEN,Punjab,Bal Ram,Indian National Congress (I),755567,460364,60.9 %,194214,42.2%
Firozabad,72,SC,Uttar Pradesh [1947 - 1999],Rajesh Kumar Singh,Independent,678935,284771,41.9 %,22086,7.8%
Gandhinagar,11,GEN,Gujarat,Amrit Mohanal Patel,Indian National Congress (I),791640,454333,57.4 %,49217,10.8%
Ganganagar,1,SC,Rajasthan,Birbal,Indian National Congress (I),739320,445212,60.2 %,85840,19.3%
Garhwal,2,GEN,Uttar Pradesh [1947 - 1999],Hemwati Nandan Bahuguna,Indian National Congress (I),603296,281745,46.7 %,125440,44.5%
Gauhati,7,GEN,Assam,Data Not Available,-,-,-,-,-,-
Gaya,43,SC,Bihar [1947 - 1999],Ramswaroop Ram,Indian National Congress (I),709388,390505,55.1 %,33927,8.7%
Ghatampur,63,SC,Uttar Pradesh [1947 - 1999],Ash Karan Sankhwar,Janta Party (SECULAR),685777,341323,49.8 %,43720,12.8%
Ghazipur,50,GEN,Uttar Pradesh [1947 - 1999],Jainul Bashar,Indian National Congress (I),727709,385038,52.9 %,5291,1.4%
Ghosi,44,GEN,Uttar Pradesh [1947 - 1999],Jharkhande,Communist Party Of India,707879,379349,53.6 %,6296,1.7%
Giridih,46,GEN,Bihar [1947 - 1999],Bindeshwari Dubey,Indian National Congress (I),683106,305695,44.8 %,26029,8.5%
Gobichettipalayam,19,SC,Tamil Nadu,Chinnasamy G.,All India Anna Dravida Munnetra Kazhagam,678003,434266,64.1 %,13875,3.2%
Godda,28,GEN,Bihar [1947 - 1999],Samin Udin,Indian National Congress (I),711384,356239,50.1 %,30342,8.5%
Godhra,18,GEN,Gujarat,Maharaol Jaydeepsinhji Subhagsinhji,Indian National Congress (I),588905,348420,59.2 %,62969,18.1%
Gonda,33,GEN,Uttar Pradesh [1947 - 1999],Anand Singh Alias Annubhaiya,Indian National Congress (I),698411,245719,35.2 %,72926,29.7%
Gopalganj,4,GEN,Bihar [1947 - 1999],Nagina Rai,Indian National Congress (I),734157,341415,46.5 %,63820,18.7%
Gorakhpur,38,GEN,Uttar Pradesh [1947 - 1999],Hari Kesh Bahadur,Indian National Congress (I),654106,331565,50.7 %,16141,4.9%
Gulbarga,2,GEN,Karnataka,Dharamsingh,Indian National Congress (I),700751,322788,46.1 %,117976,36.5%
Guna,4,GEN,Madhya Pradesh [1947 - 1999],Madhavrao Seindia,Indian National Congress (I),693067,354533,51.2 %,116126,32.8%
Guntur,15,GEN,Andhra Pradesh,N. G. Ranga,Indian National Congress (I),841689,449094,53.4 %,157336,35.0%
Gurdaspur,1,GEN,Punjab,Sukhbans Kaur,Indian National Congress (I),683185,437319,64.0 %,151739,34.7%
Gwalior,3,GEN,Madhya Pradesh [1947 - 1999],Narayan Krishnarao Shejwalkar,Janta Party,659308,326171,49.5 %,25480,7.8%
Hajipur,8,SC,Bihar [1947 - 1999],Ram Vilas Paswan,Janta Party (SECULAR),761330,465147,61.1 %,145839,31.4%
Hamirpur,4,SC,Himachal Pradesh,Narain Chand,Indian National Congress (I),587599,368376,62.7 %,72434,19.7%
Hamirpur,60,GEN,Uttar Pradesh [1947 - 1999],Doongar Singh,Indian National Congress (I),622309,335657,53.9 %,66209,19.7%
Hanamkonda,38,GEN,Andhra Pradesh,P. V. Narsimha Rao,Indian National Congress (I),692790,404764,58.4 %,162949,40.3%
Hapur,79,GEN,Uttar Pradesh [1947 - 1999],Anwar,Janta Party (SECULAR),723435,420427,58.1 %,5402,1.3%
Hardoi,19,SC,Uttar Pradesh [1947 - 1999],Manni Lal,Indian National Congress (I),643392,251297,39.1 %,53157,21.2%
