PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Aonla,381,GEN,Uttar Pradesh [1947 - 1999],Savitri Shyam,Indian National Congress,549804,233418,42.5 %,10381,4.4%
Arambagh,482,GEN,West Bengal,Manoranjan Hazra,Communist Party Of India (MARXIST),523073,354073,67.7 %,22220,6.3%
Araria,75,SC,Bihar [1947 - 1999],Tul Mohan Ram,Indian National Congress,527567,206878,39.2 %,83185,40.2%
Asansol,492,GEN,West Bengal,Robin Sen,Communist Party Of India (MARXIST),542914,280338,51.6 %,33660,12.0%
Aurangabad,95,GEN,Bihar [1947 - 1999],Satyendra Narayan Sinha,Indian National Congress (ORGANISATION),609643,361216,59.3 %,91099,25.2%
Aurangabad,234,GEN,Maharashtra,Manik Rao Palodkar,Indian National Congress,530926,279390,52.6 %,147911,52.9%
Ausgram,491,SC,West Bengal,Halder Krishna Chandra,Communist Party Of India (MARXIST),629094,363981,57.9 %,90912,25.0%
Autonomous Districts,44,ST,Assam,G. G. Swell,All Party Hill Leaders Conference,418700,183301,43.8 %,31544,17.2%
Azamgarh,416,GEN,Uttar Pradesh [1947 - 1999],Chandrajeet,Indian National Congress,557014,253775,45.6 %,56669,22.3%
Badagara,150,GEN,Kerala,K. P. Unnikrishnan,Indian National Congress,566738,380037,67.1 %,57804,15.2%
Bagaha,56,SC,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,544044,200220,36.8 %,91639,45.8%
Bagalkot,274,GEN,Mysore,Sanganagouda Basanagouda Patil,Indian National Congress,488440,299677,61.4 %,105768,35.3%
Baghpat,452,GEN,Uttar Pradesh [1947 - 1999],Ram Chandra Vikal,Indian National Congress,551746,340780,61.8 %,47610,14.0%
Bahraich,402,GEN,Uttar Pradesh [1947 - 1999],Badlu Ram,Indian National Congress,520211,176313,33.9 %,25495,14.5%
Balaghat,186,GEN,Madhya Pradesh [1947 - 1999],Chintaman Rao Gautam,Indian National Congress,482981,229210,47.5 %,87370,38.1%
Balasore,278,GEN,Orissa,Shyamsundar Mohapatra,Indian National Congress,524558,272407,51.9 %,23787,8.7%
Ballia,414,GEN,Uttar Pradesh [1947 - 1999],Chandrika Prasad,Indian National Congress,576082,263023,45.7 %,117517,44.7%
Balrampur,403,GEN,Uttar Pradesh [1947 - 1999],Chandra Bhal Mani Tewari,Indian National Congress,568985,249265,43.8 %,5705,2.3%
Balurghat,461,SC,West Bengal,Rasendra Nath Barman,Indian National Congress,496362,349541,70.4 %,85278,24.4%
Banaskantha,121,GEN,Gujarat,Popatlal M. Joshi,Indian National Congress,471796,233765,49.6 %,23407,10.0%
Banda,430,GEN,Uttar Pradesh [1947 - 1999],Ram Ratan Sharma,Bhartiya Jan Sangh,558639,228655,40.9 %,7042,3.1%
Bangalore,259,GEN,Mysore,K. Hanumanthaiya,Indian National Congress,625147,282994,45.3 %,104030,36.8%
Banka,82,GEN,Bihar [1947 - 1999],Shiv Chandika Prasad,Indian National Congress,559147,275068,49.2 %,11075,4.0%
Bankura,489,GEN,West Bengal,Sankar Narayan Singh Deo,Indian National Congress,545829,262110,48.0 %,25498,9.7%
Bansgaon,408,SC,Uttar Pradesh [1947 - 1999],Ram Surat,Indian National Congress,538583,176733,32.8 %,90024,50.9%
Banswara,324,ST,Rajasthan,Hiralal,Indian National Congress,523521,297854,56.9 %,1144,0.4%
Bara Banki,400,GEN,Uttar Pradesh [1947 - 1999],Kunwar Rudra Pratap Singh,Indian National Congress,568434,265580,46.7 %,58345,22.0%
Baramati,243,GEN,Maharashtra,Raghunath Keshav Khadilkar,Indian National Congress,482816,267635,55.4 %,130960,48.9%
Baramulla,142,GEN,Jammu & Kashmir,Syed Ahmad Aga,Indian National Congress,370345,187484,50.6 %,14498,7.7%
Barasat,468,GEN,West Bengal,Ranendra Nath Sen,Communist Party Of India,545889,349894,64.1 %,9239,2.6%
Bareilly,382,GEN,Uttar Pradesh [1947 - 1999],Satish Chandra,Indian National Congress,489846,228779,46.7 %,25345,11.1%
Barh,89,GEN,Bihar [1947 - 1999],Dharamvir Singh,Indian National Congress,635516,388724,61.2 %,31440,8.1%
Barmer,330,GEN,Rajasthan,Amrit Nahata,Indian National Congress,568740,306722,53.9 %,50573,16.5%
Baroda,127,GEN,Gujarat,Fatesinhrao Pratap Sinhrao,Indian National Congress (ORGANISATION),482587,275882,57.2 %,71964,26.1%
Barpeta,47,GEN,Assam,Fakhruddin Ali Ahmed,Indian National Congress,467766,298728,63.9 %,136120,45.6%
Barrackpore,474,GEN,West Bengal,Md. Ismail,Communist Party Of India (MARXIST),760565,522103,68.7 %,83775,16.0%
Basirhat,469,GEN,West Bengal,A. K. M. Ishaque,Indian National Congress,537387,323367,60.2 %,54910,17.0%
Bastar,183,ST,Madhya Pradesh [1947 - 1999],Lambodar Baliyar,Independent,479049,231926,48.4 %,7494,3.2%
Basti,405,SC,Uttar Pradesh [1947 - 1999],Anant Prasad Dhusia,Indian National Congress,514908,187741,36.5 %,72109,38.4%
Begusarai,87,GEN,Bihar [1947 - 1999],Shyamnandan Mishra,Indian National Congress (ORGANISATION),628724,357545,56.9 %,5462,1.5%
Belgaum,272,GEN,Mysore,Kotrasetti Appaya Karavirappa,Indian National Congress,506598,278171,54.9 %,77176,27.7%
Bellary,253,GEN,Mysore,V. K. R. V. Rao,Indian National Congress,530510,332265,62.6 %,152860,46.0%
Berhampore,465,GEN,West Bengal,Tridib Choudhuri,Revolutionary Socialist Party,538838,312302,58.0 %,10757,3.4%
Bettiah,58,GEN,Bihar [1947 - 1999],Kamal Nath Tiwari,Indian National Congress,549914,204520,37.2 %,110377,54.0%
Betul,192,GEN,Madhya Pradesh [1947 - 1999],Narendra Kuma Salve,Indian National Congress,534493,239265,44.8 %,68091,28.5%
Bhadrachalam,5,ST,Andhra Pradesh,B. Radhabai Ananda Rao,Indian National Congress,501947,205533,41.0 %,68048,33.1%
Bhadrak,279,SC,Orissa,Arjun Sethi,Indian National Congress,601170,329173,54.8 %,46329,14.1%
Bhagalpur,83,GEN,Bihar [1947 - 1999],Bhagwat Jha Azad,Indian National Congress,606019,321834,53.1 %,61039,19.0%
Bhandara,225,GEN,Maharashtra,Vishmbhardas Jwalaprasadji Dube,Indian National Congress,546280,330548,60.5 %,190948,57.8%
Bhanjanagar,285,GEN,Orissa,Dutikrishna Panda,Communist Party Of India,560369,255729,45.6 %,2858,1.1%
Bharatpur,317,GEN,Rajasthan,Raj Bahadur,Indian National Congress,570873,346258,60.7 %,67563,19.5%
Bhatinda,309,SC,Punjab,Bhan Singh Bhaura,Communist Party Of India,531021,275026,51.8 %,18323,6.7%
Bhavnagar,115,GEN,Gujarat,Prasanwvadan Manilal Mehta,Indian National Congress (ORGANISATION),501185,218600,43.6 %,18978,8.7%
Bhilwara,327,GEN,Rajasthan,Hamendra Singh,Bhartiya Jan Sangh,560991,303352,54.1 %,19459,6.4%
Bhind,168,GEN,Madhya Pradesh [1947 - 1999],Vijaya Raje Scindia,Bhartiya Jan Sangh,548963,367951,67.0 %,91238,24.8%
Bhir,235,GEN,Maharashtra,Pandit Sayajirao Trimbakrao,Indian National Congress,570905,279818,49.0 %,154581,55.2%
Bhiwandi,212,GEN,Maharashtra,Shrikrishna Vaijanath Dhamankar,Indian National Congress,579891,347627,60.0 %,66481,19.1%
Bhopal,194,GEN,Madhya Pradesh [1947 - 1999],Shankar Dayal Sharma Khushilal Vaidya,Indian National Congress,581472,326690,56.2 %,31412,9.6%
Bhubaneswar,284,GEN,Orissa,Chintamani Panigrahi,Indian National Congress,571276,265968,46.6 %,73694,27.7%
Bidar,249,SC,Mysore,Shanker Dev Balaji Rao,Indian National Congress,519641,282251,54.3 %,152674,54.1%
Bijapur,275,GEN,Mysore,Bhimappa Ellappa Choudhari,Indian National Congress,450749,223285,49.5 %,47693,21.4%
Bijnor,376,SC,Uttar Pradesh [1947 - 1999],Swami Ramanand Shastri,Indian National Congress,518152,223152,43.1 %,103828,46.5%
Bikaner,311,GEN,Rajasthan,Karni Singh,Independent,604172,341913,56.6 %,48432,14.2%
Bikramganj,93,GEN,Bihar [1947 - 1999],Sheo Pujan Singh,Indian National Congress,631135,346088,54.8 %,95046,27.5%
Bilaspur,179,GEN,Madhya Pradesh [1947 - 1999],Ramgopal Tiwari,Indian National Congress,503299,222939,44.3 %,8310,3.7%
Bilhaur,435,GEN,Uttar Pradesh [1947 - 1999],Shushila Rohatgi,Indian National Congress,539963,276893,51.3 %,101635,36.7%
Birbhum,496,SC,West Bengal,Gadadhar Saha,Communist Party Of India (MARXIST),491845,215720,43.9 %,8385,3.9%
Bobbili,3,GEN,Andhra Pradesh,Karri Narayana Rao,Indian National Congress,509133,274000,53.8 %,182169,66.5%
Bodda,80,GEN,Bihar [1947 - 1999],Jagdish N. Mandal,Indian National Congress,551225,198068,35.9 %,48141,24.3%
Bolangir,291,GEN,Orissa,Raj Raj Singh Deo,Swatantra,501534,213390,42.6 %,70976,33.3%
Bolpur,495,GEN,West Bengal,Saradish Roy,Communist Party Of India (MARXIST),513097,270782,52.8 %,36625,13.5%
Bombay Central,209,GEN,Maharashtra,R. D. Bhandare,Indian National Congress,550555,357338,64.9 %,99542,27.9%
Bombay Central South,208,GEN,Maharashtra,Kader Abdul Saledbnoy,Indian National Congress,537390,338356,63.0 %,89993,26.6%
Bombay North East,211,GEN,Maharashtra,Rajaram Gopal Kulkarni Alias Raja,Indian National Congress,858986,530817,61.8 %,175279,33.0%
Bombay North West,210,GEN,Maharashtra,Hari Ramachandra Gokhale,Indian National Congress,744376,453040,60.9 %,104893,23.2%
Bombay South,207,GEN,Maharashtra,Kailas Narain Narula Shivnarain,Indian National Congress,473507,297698,62.9 %,19749,6.6%
Broach,129,GEN,Gujarat,T. S. Mansinhji Bhasahes,Indian National Congress,485094,305207,62.9 %,53132,17.4%
Budaun,380,GEN,Uttar Pradesh [1947 - 1999],Karan Singh Yadav,Indian National Congress,540654,271265,50.2 %,21137,7.8%
Bulandshahr,449,GEN,Uttar Pradesh [1947 - 1999],Surendra Pal Singh,Indian National Congress,547535,306452,56.0 %,34255,11.2%
Buldana,219,GEN,Maharashtra,Yadav Shivram Mahajan,Indian National Congress,490284,318398,64.9 %,113723,35.7%
Bulsar,132,ST,Gujarat,Nanubhai Nichhabhai Patel,Indian National Congress (ORGANISATION),495109,255444,51.6 %,58133,22.8%
Burdwan,493,GEN,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),577512,372040,64.4 %,64080,17.2%
Buxar,92,GEN,Bihar [1947 - 1999],Anant Prasad Sharma,Indian National Congress,605435,294676,48.7 %,30064,10.2%
Cachar,42,GEN,Assam,Jyotsna Chanda,Indian National Congress,495827,205486,41.4 %,63004,30.7%
Calcutta North East,476,GEN,West Bengal,Hiren Mukherjee,Communist Party Of India,538997,292503,54.3 %,2291,0.8%
Calcutta North West,475,GEN,West Bengal,Asoke Kumar Sen,Indian National Congress,629041,257684,41.0 %,73279,28.4%
Calcutta South,477,GEN,West Bengal,Priya Ranjandas Munsi,Indian National Congress,501831,296088,59.0 %,22039,7.4%
Chail,428,SC,Uttar Pradesh [1947 - 1999],Chhote Lal,Indian National Congress,532023,159692,30.0 %,42889,26.9%
Chamarajanagar,262,SC,Mysore,S. M. Siddaiya,Indian National Congress,485184,285347,58.8 %,72622,25.5%
Chanda,227,GEN,Maharashtra,Abdul Shafi,Indian National Congress,520311,343096,65.9 %,12284,3.6%
Chandauli,422,GEN,Uttar Pradesh [1947 - 1999],Sudhaker Pandey,Indian National Congress,548251,310357,56.6 %,14387,4.6%
Chandigarh,502,GEN,Chandigarh,Amar Nath Vidyalankar,Indian National Congress,116685,73418,62.9 %,31481,42.9%
Chandni Chowk,508,GEN,Delhi,Subhadra Joshi,Indian National Congress,194732,140186,72.0 %,45223,32.3%
Chapra,61,GEN,Bihar [1947 - 1999],Ram Shekhar Prasad Singh,Indian National Congress,624439,310930,49.8 %,39170,12.6%
Chatra,99,GEN,Bihar [1947 - 1999],Shankar Dyal Singh,Indian National Congress,546816,161031,29.5 %,10081,6.3%
Chatrapur,286,GEN,Orissa,Jaganath Rao R.,Indian National Congress,559938,259232,46.3 %,85933,33.1%
Chhindwara,191,GEN,Madhya Pradesh [1947 - 1999],Gargishanker Ramkrishna,Indian National Congress,516841,213510,41.3 %,18234,8.5%
Chidambaram,343,SC,Tamil Nadu,V. Mayavan,Dravida Munetra Kazhagam,554449,410311,74.0 %,22398,5.5%
Chikkodi,273,SC,Mysore,B Shankaranand,Indian National Congress,472997,280501,59.3 %,97743,34.8%
Chikmagalur,267,GEN,Mysore,D. B. Chandre Gowda,Indian National Congress,456969,270207,59.1 %,120409,44.6%
Chimur,226,GEN,Maharashtra,Krishnarao Dagoji Thakur,Indian National Congress,534997,357087,66.8 %,156266,43.8%
Chingleput,336,GEN,Tamil Nadu,C. Chittibabu,Dravida Munetra Kazhagam,580796,433934,74.7 %,118756,27.4%
Chirayinkil,165,GEN,Kerala,Vayalar Ravi,Indian National Congress,502730,320083,63.7 %,49272,15.4%
Chitradurga,254,GEN,Mysore,Kondajji Basappa,Indian National Congress,571726,346945,60.7 %,169702,48.9%
Chittoor,21,GEN,Andhra Pradesh,P. Narasimha Reddy,Indian National Congress,541516,374038,69.1 %,128739,34.4%
Chittorgarh,326,GEN,Rajasthan,Jhunjhunwala Bishwanath,Bhartiya Jan Sangh,543641,264399,48.6 %,18972,7.2%
Coimbatore,350,GEN,Tamil Nadu,K. Balathandayutham,Communist Party Of India,631568,426188,67.5 %,77053,18.1%
Contai,485,GEN,West Bengal,Samar Guha,Praja Socialist Party,534463,360838,67.5 %,70359,19.5%
Cooch Behar,457,SC,West Bengal,Benoy Krishna Daschowdhury,Indian National Congress,565683,359788,63.6 %,70604,19.6%
Cuddalore,342,GEN,Tamil Nadu,S. Radhakrishnan,Indian National Congress,591447,442672,74.9 %,36487,8.2%
Cuddapah,23,GEN,Andhra Pradesh,Yieswara Reddy,Communist Party Of India,577026,339165,58.8 %,93614,27.6%
Cuttack,282,GEN,Orissa,Janki Ballav Patnaik,Indian National Congress,585928,297637,50.8 %,80092,26.9%
D And N Haveli,503,ST,Dadra & Nagar Haveli,Ramubhai Ravjibhai Patel,Indian National Congress,33012,23037,69.8 %,1346,5.8%
Dabhoi,128,GEN,Gujarat,Prabhudas Khushalbhai Patel,Indian National Congress,478771,314222,65.6 %,29675,9.4%
Dahanu,213,ST,Maharashtra,Laxman Karadya Dumada,Indian National Congress,464763,240453,51.7 %,93600,38.9%
Dahod,123,ST,Gujarat,Bhaljibhai Ravjibhai Parmar,Indian National Congress (ORGANISATION),449130,174580,38.9 %,26910,15.4%
Damoh,189,GEN,Madhya Pradesh [1947 - 1999],Varah Giri Shanker Giri,Indian National Congress,515469,249783,48.5 %,70629,28.3%
Darbhanga,71,GEN,Bihar [1947 - 1999],Vinoda Nand Jha,Indian National Congress,670870,383417,57.2 %,57146,14.9%
Darjeeling,459,GEN,West Bengal,Ratanlall Brahman,Communist Party Of India (MARXIST),502303,268931,53.5 %,12277,4.6%
Dausa,315,GEN,Rajasthan,Nawal Kishore Sharma,Indian National Congress,598337,286647,47.9 %,21217,7.4%
Dehra Dun,456,GEN,Uttar Pradesh [1947 - 1999],Mulki Raj,Indian National Congress,514650,284188,55.2 %,141525,49.8%
Delhi Sadar,509,GEN,Delhi,Amar Nath Chawla,Indian National Congress,234764,158528,67.5 %,42803,27.0%
Deoria,412,GEN,Uttar Pradesh [1947 - 1999],Bishwanath Roy,Indian National Congress,566332,214463,37.9 %,107036,49.9%
Dhanbad,101,GEN,Bihar [1947 - 1999],Ram Narain Sharma,Indian National Congress,570192,238464,41.8 %,70923,29.7%
Dhandhuka,116,GEN,Gujarat,H. M. Patel,Swatantra,458464,250443,54.6 %,10991,4.4%
Dhar,199,ST,Madhya Pradesh [1947 - 1999],Bharatsingh,Bhartiya Jan Sangh,487056,241511,49.6 %,20621,8.5%
Dharapuram,352,SC,Tamil Nadu,C. T. Dhandapani,Dravida Munetra Kazhagam,606592,416568,68.7 %,116186,27.9%
Dharwar North,271,GEN,Mysore,Sarojini Bindurao Mahishi,Indian National Congress,462408,293135,63.4 %,98069,33.5%
Dharwar South,270,GEN,Mysore,Momsin Fhakruddin Musensab,Indian National Congress,479636,297573,62.0 %,113942,38.3%
Dhenkanal,295,GEN,Orissa,Devendra Satpathy,Indian National Congress,549438,242999,44.2 %,31659,13.0%
Dhubri,45,GEN,Assam,Moinul Haque Chowdhury,Indian National Congress,434342,274329,63.2 %,149748,54.6%
Dhulia,217,GEN,Maharashtra,Chudaman Ananda Patil,Indian National Congress,518605,298910,57.6 %,132713,44.4%
Diamond Harbour,472,GEN,West Bengal,Jyotirmoy Basu,Communist Party Of India (MARXIST),569286,396845,69.7 %,73336,18.5%
Dibrugarh,55,GEN,Assam,Robindra Nath Kakoty,Indian National Congress,422229,212155,50.3 %,91008,42.9%
Dindigul,355,GEN,Tamil Nadu,M. Rajangam,Dravida Munetra Kazhagam,619290,439408,71.0 %,97635,22.2%
Domariaganj,406,GEN,Uttar Pradesh [1947 - 1999],Keshav Dev Malviya,Indian National Congress,550897,286485,52.0 %,63583,22.2%
Dumka,81,ST,Bihar [1947 - 1999],Satya Charan Besra,Indian National Congress,525852,166147,31.6 %,10084,6.1%
Durg,184,GEN,Madhya Pradesh [1947 - 1999],Chandoolal Chandrakar,Indian National Congress,563344,255044,45.3 %,121007,47.4%
East Delhi,507,GEN,Delhi,H. K. L. Bhagat,Indian National Congress,358046,232070,64.8 %,74250,32.0%
Eluru,11,GEN,Andhra Pradesh,Kommareddi Suryanarayana,Indian National Congress,565759,362960,64.2 %,175055,48.2%
Ernakulam,157,GEN,Kerala,Henry Austin,Indian National Congress,534112,382724,71.7 %,22670,5.9%
Etah,442,GEN,Uttar Pradesh [1947 - 1999],Rohan Lal,Indian National Congress,514110,295425,57.5 %,16559,5.6%
Etawah,437,GEN,Uttar Pradesh [1947 - 1999],Shree Shankar Tewari,Indian National Congress,505583,278229,55.0 %,58690,21.1%
Faizabad,398,GEN,Uttar Pradesh [1947 - 1999],Ram Krishna Sinha,Indian National Congress,475256,207803,43.7 %,77690,37.4%
Farrukhabad,439,GEN,Uttar Pradesh [1947 - 1999],Awadhesh Chandra Singh,Indian National Congress,549383,291901,53.1 %,33881,11.6%
Fatehpur,429,GEN,Uttar Pradesh [1947 - 1999],Sant Bux Singh,Indian National Congress,558022,241128,43.2 %,54583,22.6%
Fazilka,297,GEN,Punjab,Gurdas Singh,Shiromani Akali Dal,546486,351323,64.3 %,5323,1.5%
Ferozepur,298,GEN,Punjab,Mohinder Singh,Indian National Congress,537573,290318,54.0 %,52926,18.2%
Firozabad,443,SC,Uttar Pradesh [1947 - 1999],Chhatrapati Ambesh,Indian National Congress,535786,166702,31.1 %,90305,54.2%
Gandhinagar,118,SC,Gujarat,Somchandbhai Manubhai Solanki,Indian National Congress (ORGANISATION),559956,303113,54.1 %,3502,1.2%
Ganganagar,310,SC,Rajasthan,Panna Lal Barupal,Indian National Congress,611698,281280,46.0 %,65908,23.4%
Garhwal,373,GEN,Uttar Pradesh [1947 - 1999],Pratap Singh,Indian National Congress,456149,145398,31.9 %,90224,62.1%
Gauhati,48,GEN,Assam,Dinesh Chandra Goswami,Indian National Congress,429982,231908,53.9 %,96001,41.4%
Gaya,98,SC,Bihar [1947 - 1999],Ishwar Choudhary,Bhartiya Jan Sangh,539404,253735,47.0 %,7099,2.8%
Ghatal,483,GEN,West Bengal,Jagadish Bhattacharyya,Communist Party Of India (MARXIST),509019,372171,73.1 %,1322,0.4%
Ghatampur,434,SC,Uttar Pradesh [1947 - 1999],Tula Ram,Indian National Congress,551028,224110,40.7 %,81902,36.5%
Ghazipur,421,GEN,Uttar Pradesh [1947 - 1999],Sarjoo Pandey,Communist Party Of India,553089,281576,50.9 %,65493,23.3%
Ghosi,415,GEN,Uttar Pradesh [1947 - 1999],Jharkhande,Communist Party Of India,567904,266488,46.9 %,84955,31.9%
Giridih,100,GEN,Bihar [1947 - 1999],Chapalendu Bhattacharyya,Indian National Congress,530962,180711,34.0 %,4154,2.3%
Gobichettipalayam,353,GEN,Tamil Nadu,P. A. Saminathan,Dravida Munetra Kazhagam,565827,389907,68.9 %,60492,15.5%
Godhra,124,GEN,Gujarat,Piloo Homi Mody,Swatantra,452598,206136,45.6 %,13895,6.7%
Gonda,404,GEN,Uttar Pradesh [1947 - 1999],Anand Singh,Indian National Congress (ORGANISATION),491813,215971,43.9 %,631,0.3%
Gopalganj,59,GEN,Bihar [1947 - 1999],Dwarika Nath Tiwary,Indian National Congress,562299,313957,55.8 %,80546,25.7%
Gorakhpur,409,GEN,Uttar Pradesh [1947 - 1999],Narsingh Narian,Indian National Congress,493030,261439,53.0 %,37578,14.4%
Gudivada,12,GEN,Andhra Pradesh,Ankinedu Maganti,Indian National Congress,581062,400773,69.0 %,210434,52.5%
Gulbarga,250,GEN,Mysore,Dharamao Sharanappa Afzalpurkar,Indian National Congress,523684,262905,50.2 %,95574,36.4%
Guna,170,GEN,Madhya Pradesh [1947 - 1999],Madhav Rao Scindia,Bhartiya Jan Sangh,570743,323325,56.7 %,141090,43.6%
Guntur,16,GEN,Andhra Pradesh,Kotha Raghuramaiah,Indian National Congress,629787,424053,67.3 %,191018,45.0%
Gurdaspur,301,GEN,Punjab,Prabodh Chandra,Indian National Congress,538901,301337,55.9 %,93847,31.1%
Gurgaon,138,GEN,Haryana,Tayyab Hussain,Indian National Congress,584957,398638,68.2 %,67942,17.0%
Gwalior,169,GEN,Madhya Pradesh [1947 - 1999],Atal Bihari Vajpayee,Bhartiya Jan Sangh,568108,331716,58.4 %,70310,21.2%
Hajipur,64,GEN,Bihar [1947 - 1999],Digvijay Narain Singh,Indian National Congress (ORGANISATION),622672,401687,64.5 %,7084,1.8%
Hamirpur,431,GEN,Uttar Pradesh [1947 - 1999],Swami Brahmanand Ji,Indian National Congress,514662,279854,54.4 %,55660,19.9%
Hamirpur,500,GEN,Himachal Pradesh,Narain Chand,Indian National Congress,428989,204222,47.6 %,121783,59.6%
Hapur,450,GEN,Uttar Pradesh [1947 - 1999],B. P. Maurya,Indian National Congress,578138,376612,65.1 %,108743,28.9%
Hardoi,389,SC,Uttar Pradesh [1947 - 1999],Kinder Lal,Indian National Congress,530174,201783,38.1 %,33024,16.4%
Hassan,266,GEN,Mysore,Nuggehalli Shivappa,Indian National Congress,509214,268070,52.6 %,75345,28.1%
Hathras,446,SC,Uttar Pradesh [1947 - 1999],Chandra Pal Shailani,Indian National Congress,548458,240087,43.8 %,61833,25.8%
Hatkanangale,247,GEN,Maharashtra,Dattatraya Baburao Kadam,Indian National Congress,518707,382895,73.8 %,84991,22.2%
Hazaribagh,102,GEN,Bihar [1947 - 1999],Damodar Pandey,Indian National Congress,575155,178226,31.0 %,10988,6.2%
Hindaun,318,SC,Rajasthan,Jagannath Prasad,Indian National Congress,590800,274855,46.5 %,131499,47.8%
Hindupur,24,GEN,Andhra Pradesh,P. Bayapa Reddy,Indian National Congress,530692,291271,54.9 %,124010,42.6%
Hissar,140,GEN,Haryana,Mani Ram Godara,Indian National Congress,514678,321994,62.6 %,83694,26.0%
Hooghly,481,GEN,West Bengal,Bijoy Krishna Modak,Communist Party Of India (MARXIST),630767,441659,70.0 %,31471,7.1%
Hoshangabad,193,GEN,Madhya Pradesh [1947 - 1999],Chaudhary Nitiraj Singh Daulat Singh,Indian National Congress,479175,209776,43.8 %,57579,27.4%
Hoshiarpur,302,GEN,Punjab,Darbara Singh,Indian National Congress,524148,327544,62.5 %,100835,30.8%
Hoskote,258,GEN,Mysore,M. V. Krishnappa,Indian National Congress,575814,320722,55.7 %,186634,58.2%
Howrah,478,GEN,West Bengal,Samar Mukherjee,Communist Party Of India (MARXIST),599034,330787,55.2 %,25042,7.6%
Hyderabad,30,GEN,Andhra Pradesh,G. S. Melkote,Telangana Praja Samithi,491227,242830,49.4 %,49412,20.3%
Indore,198,GEN,Madhya Pradesh [1947 - 1999],Prakash Chandra Sethi,Indian National Congress,540530,312416,57.8 %,45698,14.6%
Inner Manipur,514,GEN,Manipur,N. Tomsi Singh,Indian National Congress,285986,142405,49.8 %,2033,1.4%
