PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout
Dharwar North,230,GEN,Mysore,Karmarkar Dattatraya Parashuram,Indian National Congress,389830,207987,53.4 %
Dharwar South,229,GEN,Mysore,Neswi Thimmappa Rudrappa,Indian National Congress,350400,208431,59.5 %
Dhenkanai,259,GEN,Orissa,Surendra Mohanty,Ganatantra Parishad,414908,167688,40.4 %
Dhubri,38,GEN,Assam,Ali Amjad,Praja Socialist Party,369328,174713,47.3 %
Dhulia,132,GEN,Bombay,Patil Uttamrao Laxman,All India Bhartiya Jan Sangh,398872,222098,55.7 %
Diamond Harbour,389,GEN,West Bengal,Kansari Halder,Communist Party Of India,925761,974006,52.6 %
Diamond Harbour,389,GEN,West Bengal,Purnindu Sekhar Naskar,Indian National Congress,925761,974006,52.6 %
Dibrugarh,45,GEN,Assam,"Hazarika, Jogendra Nath",Indian National Congress,346534,137398,39.7 %
Dindigul,220,GEN,Madras,M. Ghulam Mohideen,Indian National Congress,855235,805662,47.1 %
Dindigul,220,GEN,Madras,S. C. Balakrishna,Indian National Congress,855235,805662,47.1 %
Domariaganj,350,GEN,Uttar Pradesh [1947 - 1999],Ram Shanker Lal,Indian National Congress,421656,214101,50.8 %
Dumka,66,GEN,Bihar [1947 - 1999],Suresh Chandra Chudhury,Jharkhand Party,750384,582379,38.8 %
Dumka,66,GEN,Bihar [1947 - 1999],Debi Soren,Jharkhand Party,750384,582379,38.8 %
Durg,182,GEN,Madhya Pradesh [1947 - 1999],Mohanlal Bakliwal,Indian National Congress,415827,171789,41.3 %
East Khandesh,133,GEN,Bombay,Bharucha Naushir Cursetji,Praja Socialist Party,381999,223946,58.6 %
Eluru,8,GEN,Andhra Pradesh,Kumari Mothey Veda Kumari,Indian National Congress,418227,225340,53.9 %
Ernakulam,156,GEN,Kerala,Thomas ( ALUNGAL ),Indian National Congress,417148,294600,70.6 %
Etah,323,GEN,Uttar Pradesh [1947 - 1999],Rohan Lal,Indian National Congress,391650,214117,54.7 %
Etawah,329,GEN,Uttar Pradesh [1947 - 1999],Tula Ram,Indian National Congress,798143,749353,46.9 %
Etawah,329,GEN,Uttar Pradesh [1947 - 1999],Arjun Singh,Independent,798143,749353,46.9 %
Faizabad,356,GEN,Uttar Pradesh [1947 - 1999],Raja Ram,Indian National Congress,812128,614954,37.9 %
Faizabad,356,GEN,Uttar Pradesh [1947 - 1999],Panna Lal,Indian National Congress,812128,614954,37.9 %
Farrukhabad,328,GEN,Uttar Pradesh [1947 - 1999],Mul Chand,Indian National Congress,450393,248224,55.1 %
Fatehpur,332,GEN,Uttar Pradesh [1947 - 1999],Ansar Harvani,Indian National Congress,398123,145645,36.6 %
Ferozepur,271,GEN,Punjab,Iqbal Singh,Indian National Congress,428416,279204,65.2 %
Firozabad,321,GEN,Uttar Pradesh [1947 - 1999],Brij Raj Singh,Independent,411952,216457,52.5 %
Ganjam,250,GEN,Orissa,Mohan Nayak,Indian National Congress,751685,545590,36.3 %
Ganjam,250,GEN,Orissa,Uma Charan Patnaik,Independent,751685,545590,36.3 %
Garhwal,299,GEN,Uttar Pradesh [1947 - 1999],Bhakta Darshan,Indian National Congress,376070,141321,37.6 %
Gauhati,40,GEN,Assam,"Barua, Hem",Praja Socialist Party,420761,240121,57.1 %
Gaya,80,GEN,Bihar [1947 - 1999],Brajshwar Prasad,Indian National Congress,297223,121012,40.7 %
Ghatal,381,GEN,West Bengal,Nikunja Behari Maity,Indian National Congress,443265,277622,62.6 %
Ghazipur,339,GEN,Uttar Pradesh [1947 - 1999],Har Prasad Singh,Indian National Congress,382561,187549,49.0 %
Ghosi,342,GEN,Uttar Pradesh [1947 - 1999],Umrao Singh,Indian National Congress,383475,218451,57.0 %
Giridih,82,GEN,Bihar [1947 - 1999],Quazi S. A. Matin,Chota Nagpur Santhal Parganas Janta Party,327591,126018,38.5 %
Girnar,96,GEN,Bombay,Shah Jayaben Vajubhai,Indian National Congress,352947,166305,47.1 %
Goalpara,39,GEN,Assam,"Debi, Rani Manjula",Indian National Congress,783396,696041,44.4 %
Goalpara,39,GEN,Assam,"Basumauari, Dharanidh",Indian National Congress,783396,696041,44.4 %
Gobichettipalayam,223,GEN,Madras,Ramasami Gounder,Indian National Congress,416999,190099,45.6 %
Gohilwad,97,GEN,Bombay,Mehta Balvantrai Gopalji,Indian National Congress,355030,145540,41.0 %
Golugonda,4,GEN,Andhra Pradesh,Missula Suryanarayana Murthy,Indian National Congress,820319,493010,30.1 %
Golugonda,4,GEN,Andhra Pradesh,Kankipati Veeranna Padal,Indian National Congress,820319,493010,30.1 %
Gonda,354,GEN,Uttar Pradesh [1947 - 1999],Dinesh Pratap Singh,Indian National Congress,417016,182090,43.7 %
Gopalganj,48,GEN,Bihar [1947 - 1999],Dr. Syed Mahmud,Indian National Congress,368473,134227,36.4 %
Gorakhpur,348,GEN,Uttar Pradesh [1947 - 1999],Sinhasan Singh,Indian National Congress,849617,633241,37.3 %
Gorakhpur,348,GEN,Uttar Pradesh [1947 - 1999],Mahadeo Prasad,Indian National Congress,849617,633241,37.3 %
Gudivada,9,GEN,Andhra Pradesh,Duggirala Balarama Krishnaiah,Indian National Congress,458205,284126,62.0 %
Gulbarga,233,GEN,Mysore,Mahadevappa Yeshwant Rao,Indian National Congress,718374,531073,37.0 %
Gulbarga,233,GEN,Mysore,Shankardeo,Indian National Congress,718374,531073,37.0 %
Guna,167,GEN,Madhya Pradesh [1947 - 1999],Vijaya Raje Scindia,Indian National Congress,441820,177099,40.1 %
Guntur,13,GEN,Andhra Pradesh,K. Raghuramayya,Indian National Congress,505891,267579,52.9 %
Gurdaspur,274,GEN,Punjab,Dewan Chand,Indian National Congress,394742,250561,63.5 %
Gurgaon,268,GEN,Punjab,Maulana Abdul Kalam Azad,Indian National Congress,434621,286774,66.0 %
Gwalior,165,GEN,Madhya Pradesh [1947 - 1999],Radha Charan,Indian National Congress,810838,639278,39.4 %
Gwalior,165,GEN,Madhya Pradesh [1947 - 1999],Sooraj Prasad Alias Surya Prasad,Indian National Congress,810838,639278,39.4 %
Hajipur,53,GEN,Bihar [1947 - 1999],Rajeshwar Patel,Indian National Congress,785053,707039,45.0 %
Hajipur,53,GEN,Bihar [1947 - 1999],Chandramani Lal Chaudhary,Indian National Congress,785053,707039,45.0 %
Halar,94,GEN,Bombay,Hathi Jaisukhlal Lals,Indian National Congress,344232,120561,35.0 %
Hamirpur,326,GEN,Uttar Pradesh [1947 - 1999],Mannu Lal,Indian National Congress,782934,805690,51.5 %
Hamirpur,326,GEN,Uttar Pradesh [1947 - 1999],Lachhmi Ram,Indian National Congress,782934,805690,51.5 %
Hapur,306,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra Sharma,Indian National Congress,420441,244734,58.2 %
Hardoi,363,GEN,Uttar Pradesh [1947 - 1999],Chheda Lal,Indian National Congress,867802,847956,48.9 %
Hardoi,363,GEN,Uttar Pradesh [1947 - 1999],Sheodeen,All India Bhartiya Jan Sangh,867802,847956,48.9 %
Hassan,239,GEN,Mysore,J. Siddananjappa H.,Indian National Congress,367251,RU,
Hata,346,GEN,Uttar Pradesh [1947 - 1999],Kashi Nath Pande,Indian National Congress,416485,173763,41.7 %
Hazaribagh,84,GEN,Bihar [1947 - 1999],Lalita Rajya Lakshmi,Chota Nagpur Santhal Parganas Janta Party,340558,115905,34.0 %
Hindupur,21,GEN,Andhra Pradesh,K.V. Ramakrishna Reddy,Indian National Congress,401230,109671,27.3 %
Hissar,270,GEN,Punjab,Thakar Dass Bhargava,Indian National Congress,419250,234599,56.0 %
Hooghly,377,GEN,West Bengal,Provat Kar,Communist Party Of India,402713,232335,57.7 %
Hoshangabad,177,GEN,Madhya Pradesh [1947 - 1999],Bagdi Maganlal Radhakishan,Indian National Congress,350094,144358,41.2 %
Hoshiarpur,275,GEN,Punjab,Baldev Singh,Indian National Congress,426687,263751,61.8 %
Howrah,379,GEN,West Bengal,Mohammed Elias,Communist Party Of India,461154,224098,48.6 %
Hyderabad,25,GEN,Andhra Pradesh,Vinayak Rao,Indian National Congress,283749,116614,41.1 %
Indore,172,GEN,Madhya Pradesh [1947 - 1999],Khadiwala Kanhaiyalal,Indian National Congress,357132,163844,45.9 %
Inner Manipur,401,GEN,Manipur,Laisram Achow Singh,Independent,166959,92844,55.6 %
Jabalpur,176,GEN,Madhya Pradesh [1947 - 1999],Seth Govinddas Diwan Bahadur Seth Jeewandas,Indian National Congress,336417,144898,43.1 %
Jainagar,57,GEN,Bihar [1947 - 1999],Shyam Nandan Mishra,Indian National Congress,419604,178811,42.6 %
Jaipur,282,GEN,Rajasthan,Harish Chandra,Independent,382822,118036,30.8 %
Jalesar,322,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra,Indian National Congress,397444,223605,56.3 %
Jalna,147,GEN,Bombay,Tyabji Saif Faiz,Indian National Congress,368408,118898,32.3 %
Jalore,293,GEN,Rajasthan,Damani Suraj Ratan,Indian National Congress,410988,138063,33.6 %
Jamshedpur,86,GEN,Bihar [1947 - 1999],M.K. Ghosh,Indian National Congress,399840,160822,40.2 %
Janjgir,187,GEN,Madhya Pradesh [1947 - 1999],Amarsingh Saigal,Indian National Congress,410835,124089,30.2 %
Jaunpur,338,GEN,Uttar Pradesh [1947 - 1999],Ganpat Ram,Indian National Congress,816055,794713,48.7 %
Jaunpur,338,GEN,Uttar Pradesh [1947 - 1999],Birbal Singh,Indian National Congress,816055,794713,48.7 %
Jhabua,171,ST,Madhya Pradesh [1947 - 1999],Amarsingh (ST),Indian National Congress,374691,138510,37.0 %
Jhajjar,267,GEN,Punjab,Partap Singh,Communist Party Of India,422351,270637,64.1 %
Jhansi,325,GEN,Uttar Pradesh [1947 - 1999],Sushila Nayar,Indian National Congress,390926,165447,42.3 %
Jhunjhunu,280,GEN,Rajasthan,Murarka Radhey Shyam Ram Kumar,Indian National Congress,403570,196729,48.8 %
Jodhpur,295,GEN,Rajasthan,Jaswant Raj,Indian National Congress,407500,181362,44.5 %
Jorhat,43,GEN,Assam,Ahmed Mofida,Indian National Congress,373626,176442,47.2 %
Jullundur,276,GEN,Punjab,Swaran Singh,Indian National Congress,853060,1009778,59.2 %
Jullundur,276,GEN,Punjab,Sadhu Ram,Indian National Congress,853060,1009778,59.2 %
Kaira,103,GEN,Bombay,Dabhi Thakorshri Fatesinhji Ratansinhji,Independent,382298,245504,64.2 %
Kaisarganj,352,GEN,Uttar Pradesh [1947 - 1999],Bhagwan Din,Indian National Congress,398173,156398,39.3 %
Kaithal,265,GEN,Punjab,Mool Chand,Indian National Congress,402728,256120,63.6 %
Kakinada,6,GEN,Andhra Pradesh,B.S. Murthy,Indian National Congress,903182,745933,41.3 %
Kakinada,6,GEN,Andhra Pradesh,Mosalakanti Tirumala Rao,Indian National Congress,903182,745933,41.3 %
Kalahandi,251,GEN,Orissa,Pratap Keshari Deo,Ganatantra Parishad,732328,471952,32.2 %
Kalahandi,251,GEN,Orissa,Bijaya Chandra Padhan,Ganatantra Parishad,732328,471952,32.2 %
Kanara,228,GEN,Mysore,Alva Joachim Piadad,Indian National Congress,431122,242867,56.3 %
Kangra,263,GEN,Punjab,Daljit Singh,Indian National Congress,846795,286822,16.9 %
Kangra,263,GEN,Punjab,Hem Raj,Indian National Congress,846795,286822,16.9 %
Kanpur,331,GEN,Uttar Pradesh [1947 - 1999],S. M. Banerjee,Independent,418638,177016,42.3 %
Karad,124,GEN,Bombay,Chavan Dajisaheb Ramrao,Peasants & Workers Party,348850,238652,68.4 %
Karimnagar,31,GEN,Andhra Pradesh,M.R. Krishna,Indian National Congress,748201,732963,49.0 %
Karimnagar,31,GEN,Andhra Pradesh,M. Sri Ranga Rao,Indian National Congress,748201,732963,49.0 %
Karur,209,GEN,Madras,K. Periasami Gounder,Indian National Congress,427431,207071,48.5 %
Kasergod,164,GEN,Kerala,Gopalan Ayillath Kuttieri,Communist Party Of India,449300,252533,56.2 %
Katihar,64,GEN,Bihar [1947 - 1999],Awadhesh Kumar Singh,Indian National Congress,376760,150894,40.1 %
Kendrapara,257,GEN,Orissa,Surendranath Dwivedy,Praja Socialist Party,853833,759146,44.5 %
Kendrapara,257,GEN,Orissa,Baishanab Charan Malik,Praja Socialist Party,853833,759146,44.5 %
Keonjhar,254,GEN,Orissa,Bhanj Deo Laxmi Narayan,Independent,346575,93392,27.0 %
Kesaria,52,GEN,Bihar [1947 - 1999],Dwarkanath Tiwari,Indian National Congress,339047,131716,38.9 %
Khagaria,70,GEN,Bihar [1947 - 1999],Jiya Lal Mandal,Indian National Congress,363573,205000,56.4 %
Khajuraho,191,GEN,Madhya Pradesh [1947 - 1999],Motilal Malviya,Indian National Congress,771940,536011,34.7 %
Khajuraho,191,GEN,Madhya Pradesh [1947 - 1999],Ram Sahai,Indian National Congress,771940,536011,34.7 %
