No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
3,GEN,Kerala,O. Bharathan,Communist Party Of India (MARXIST),1089716,825203,75.7 %,79945,9.7%
1,SC,Bihar [1947 - 1999],Mahendra Baitha,Samata Party,1010335,463015,45.8 %,56072,12.1%
27,GEN,Karnataka,Meti Hullappa Yamanappa,Janata Dal,1054336,675719,64.1 %,21332,3.2%
81,GEN,Uttar Pradesh [1947 - 1999],Ajit Singh,Indian National Congress,1271152,666928,52.5 %,198891,29.8%
31,GEN,Uttar Pradesh [1947 - 1999],Padam Sen Chaudhari,Bharatiya Janta Party,1200265,481472,40.1 %,65968,13.7%
23,GEN,Madhya Pradesh [1947 - 1999],Vishveshwar Bhagat,Indian National Congress,859897,568630,66.1 %,1257,0.2%
2,ST,Orissa,Kartik Mohapatra,Indian National Congress,1136681,784650,69.0 %,190681,24.3%
19,GEN,Bihar [1947 - 1999],Shatrughan Prasad Singh,Communist Party Of India,994509,537617,54.1 %,88334,16.4%
43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shekhar,Samata Party,1276125,541957,42.5 %,186605,34.4%
32,GEN,Uttar Pradesh [1947 - 1999],Satyadev Singh,Bharatiya Janta Party,1136223,540951,47.6 %,57590,10.6%
6,GEN,West Bengal,Barman Ranen,Revolutionary Socialist Party,1067771,926427,86.8 %,143707,15.5%
14,GEN,Gujarat,B.K. Gadhavi,Indian National Congress,1085314,482669,44.5 %,11960,2.5%
59,GEN,Uttar Pradesh [1947 - 1999],Ram Sajeevan Singh,Bahujan Samaj Party,1112281,367953,33.1 %,9171,2.5%
12,GEN,Karnataka,C Narayanaswamy,Janata Dal,1538457,834759,54.3 %,133302,16.0%
13,GEN,Karnataka,Ananth Kumar,Bharatiya Janta Party,1300498,727220,55.9 %,21968,3.0%
29,GEN,Bihar [1947 - 1999],Giridhari Yadav,Janata Dal,1053423,640950,60.8 %,14715,2.3%
35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),994144,774916,78.0 %,228987,29.5%
37,SC,Uttar Pradesh [1947 - 1999],Subhawati Debi,Samajwadi Party,1255383,537834,42.8 %,26169,4.9%
16,GEN,Rajasthan,Tarachand Bhagora,Indian National Congress,1148900,521227,45.4 %,51152,9.8%
16,GEN,Andhra Pradesh,Ummareddy Venkateswarlu,Telugu Desam,1073890,675719,62.9 %,8262,1.2%
29,SC,Uttar Pradesh [1947 - 1999],Ram Sagar,Samajwadi Party,1097187,507199,46.2 %,14722,2.9%
43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Indian National Congress,1399042,762533,54.5 %,160501,21.0%
1,GEN,Jammu & Kashmir,Gh. Rasool Kar,Indian National Congress,704601,328688,46.7 %,64981,19.8%
13,SC,West Bengal,Chitta Basu,All India Forward Bloc,1241826,1072009,86.3 %,35347,3.3%
12,GEN,Uttar Pradesh [1947 - 1999],Santosh Kumar Gangwar,Bharatiya Janta Party,1081013,546942,50.6 %,39092,7.1%
18,GEN,Bihar [1947 - 1999],Nitish Kumar,Samata Party,1088618,707618,65.0 %,64854,9.2%
23,GEN,Rajasthan,Sona Ram,Indian National Congress,1329885,655776,49.3 %,64666,9.9%
22,GEN,Gujarat,Gaekwad Satyajitsinh Dilipsinh,Indian National Congress,1396257,437236,31.3 %,17,0.0%
6,GEN,Assam,Uddhab Barman,Communist Party Of India (MARXIST),857358,705207,82.3 %,67503,9.6%
19,SC,West Bengal,Tarit Baran Topdar,Communist Party Of India (MARXIST),1012225,825298,81.5 %,50894,6.2%
14,SC,West Bengal,Ajay Chakraborty,Communist Party Of India,1023023,912574,89.2 %,86016,9.4%
20,ST,Madhya Pradesh [1947 - 1999],Mahendra Karma,Independent,923408,422541,45.8 %,14057,3.3%
34,SC,Uttar Pradesh [1947 - 1999],Sriram Chauhan,Bharatiya Janta Party,1156395,544459,47.1 %,49838,9.2%
10,SC,Rajasthan,Gangaram,Bharatiya Janta Party,1072750,387319,36.1 %,77298,20.0%
34,GEN,Maharashtra,Rajani Ashokrao Patil,Bharatiya Janta Party,1146418,659340,57.5 %,57460,8.7%
33,GEN,Bihar [1947 - 1999],Ramendra Kumar,Independent,1102549,669783,60.8 %,25924,3.9%
25,GEN,Karnataka,Koujalagi Shivanand Hemappa,Janata Dal,1166310,660679,56.7 %,70637,10.7%
5,SC,Karnataka,K C Kondaiah,Indian National Congress,1155671,642633,55.6 %,4519,0.7%
10,GEN,West Bengal,Pramothes Mukherjee,Revolutionary Socialist Party,1166530,945166,81.0 %,44357,4.7%
11,GEN,Orissa,P V Narasimha Rao,Indian National Congress,1049078,558038,53.2 %,168540,30.2%
2,GEN,Bihar [1947 - 1999],Madan Prasad Jaiswal,Bharatiya Janta Party,1091777,631754,57.9 %,51489,8.2%
28,GEN,Madhya Pradesh [1947 - 1999],Vijay Kumar Khandelwal,Bharatiya Janta Party,942780,525173,55.7 %,112076,21.3%
5,ST,Andhra Pradesh,Sode Ramaiah,Communist Party Of India,1102108,676585,61.4 %,27408,4.1%
3,GEN,Orissa,Muralidhar Jena,Indian National Congress,1129875,722571,64.0 %,64572,8.9%
30,GEN,Bihar [1947 - 1999],Chunchun Prasad Yadav,Janata Dal,1227940,655328,53.4 %,53137,8.1%
24,GEN,Maharashtra,Patel Praful Manoharbhai,Indian National Congress,907907,616741,67.9 %,6963,1.1%
9,SC,Rajasthan,Maharani Divya Singh,Bharatiya Janta Party,1070695,512919,47.9 %,90693,17.7%
11,GEN,Punjab,Harinder Singh Khalsa(NORWAY),Shiromani Akali Dal,1131612,692961,61.2 %,92229,13.3%
8,SC,Gujarat,Rajendrasinh Ghanshyamsinh Rana,Bharatiya Janta Party,949885,441164,46.4 %,7771,1.8%
20,ST,Rajasthan,Subhash Chandra Baheriya,Bharatiya Janta Party,1125810,481958,42.8 %,17209,3.6%
2,GEN,Madhya Pradesh [1947 - 1999],Dr. Ram Lakhan Singh,Bharatiya Janta Party,1189827,513481,43.2 %,15798,3.1%
8,GEN,Haryana,Surender Singh,Haryana Vikas Party,1060563,749299,70.7 %,225183,30.1%
30,GEN,Madhya Pradesh [1947 - 1999],Sushil Chandra,Bharatiya Janta Party,1456014,732726,50.3 %,150894,20.6%
9,GEN,Orissa,Soumya Ranjan Pattnaik,Indian National Congress,1208667,635298,52.6 %,78419,12.3%
1,GEN,Karnataka,Ramachandra Veerappa,Bharatiya Janta Party,1128431,497707,44.1 %,159413,32.0%
28,SC,Karnataka,Patil Basangouda Rudragouda,Janata Dal,1096455,519633,47.4 %,30593,5.9%
5,SC,Uttar Pradesh [1947 - 1999],Mangal Ram Premi,Bharatiya Janta Party,1213828,612732,50.5 %,27417,4.5%
2,SC,Rajasthan,Mahender Singh Bhati,Bharatiya Janta Party,1674836,777212,46.4 %,31536,4.1%
39,GEN,Bihar [1947 - 1999],Kanti Singh,Janata Dal,1121577,659395,58.8 %,2423,0.4%
15,SC,Madhya Pradesh [1947 - 1999],Punnulal Mohle,Bharatiya Janta Party,1031337,557347,54.0 %,34880,6.3%
64,GEN,Uttar Pradesh [1947 - 1999],Shyam Behari S/o Baij Nath,Bharatiya Janta Party,1237577,562195,45.4 %,33539,6.0%
42,GEN,West Bengal,Ramchandra Dome,Communist Party Of India (MARXIST),994683,827366,83.2 %,111020,13.4%
3,GEN,Andhra Pradesh,Kondapalli Pydithalli Naidu,Telugu Desam,942900,640026,67.9 %,20967,3.3%
16,SC,Orissa,Sarat Pattanayak,Indian National Congress,972722,587130,60.4 %,11702,2.0%
41,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),977226,802298,82.1 %,253646,31.6%
23,ST,Gujarat,Chandubhai Shanabhai Deshmukh,Bharatiya Janta Party,1028659,458547,44.6 %,23826,5.2%
10,GEN,Uttar Pradesh [1947 - 1999],Salim Iqbal Shervani,Samajwadi Party,1097550,535414,48.8 %,45187,8.4%
78,GEN,Uttar Pradesh [1947 - 1999],Chattar Pal,Bharatiya Janta Party,1113800,481519,43.2 %,51170,10.6%
18,GEN,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,1023215,607477,59.4 %,69431,11.4%
26,ST,Gujarat,Manibhai Ramjibhai Chaudhari,Bharatiya Janta Party,1130987,429819,38.0 %,368,0.1%
39,GEN,West Bengal,Balai Ray,Communist Party Of India (MARXIST),1144191,983515,86.0 %,262714,26.7%
37,GEN,Bihar [1947 - 1999],Lal Muni Choubey,Bharatiya Janta Party,1024374,592145,57.8 %,63764,10.8%
22,GEN,West Bengal,Ajit Kumar Panja,Indian National Congress,907284,660413,72.8 %,64985,9.8%
21,GEN,West Bengal,Debi Prosad Pal,Indian National Congress,693995,452757,65.2 %,64951,14.3%
23,GEN,West Bengal,Mamata Banerjee,Indian National Congress,1167381,852458,73.0 %,103261,12.1%
4,GEN,Kerala,M P Veerendra Kumar,Janata Dal,1059411,758736,71.6 %,38703,5.1%
2,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,1046188,774769,74.1 %,39302,5.1%
57,SC,Uttar Pradesh [1947 - 1999],Amrit Lal Bharti,Bharatiya Janta Party,1300833,380785,29.3 %,31579,8.3%
15,GEN,Karnataka,A Siddaraju,Janata Dal,1057750,714967,67.6 %,23576,3.3%
51,GEN,Uttar Pradesh [1947 - 1999],Anand Ratna Maurya,Bharatiya Janta Party,1278693,600277,46.9 %,31151,5.2%
1,GEN,Chandigarh,Satya Pal Jain,Bharatiya Janta Party,450599,263189,58.4 %,23969,9.1%
5,SC,Delhi [1977 Onwards],Jai Parkash Agarwal,Indian National Congress,362555,208531,57.5 %,22244,10.7%
26,GEN,Maharashtra,Ahir Hansaraj Gangaram,Bharatiya Janta Party,1180374,770875,65.3 %,96131,12.5%
7,GEN,Bihar [1947 - 1999],Rajiv Pratap Rudi,Bharatiya Janta Party,1001896,715458,71.4 %,15496,2.2%
44,GEN,Bihar [1947 - 1999],Dheerendra Agrawal,Bharatiya Janta Party,1016116,515428,50.7 %,54370,10.5%
5,GEN,Tamil Nadu,Parasuraman.K,Dravida Munetra Kazhagam,1043889,738989,70.8 %,235657,31.9%
27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress,996034,638331,64.1 %,21382,3.3%
21,ST,Gujarat,Rathawa Naranbhai Jemalabhai,Indian National Congress,943031,350637,37.2 %,57906,16.5%
12,GEN,Tamil Nadu,Ganesan V,Dravida Munetra Kazhagam,1026604,725700,70.7 %,176266,24.3%
9,ST,Karnataka,R L Jalappa,Janata Dal,1100377,781056,71.0 %,16814,2.2%
26,GEN,Karnataka,Ratnamala Dhareshwar Savanoor,Janata Dal,1027561,584189,56.9 %,112759,19.3%
20,GEN,Karnataka,B L Shankar,Janata Dal,996548,649775,65.2 %,4059,0.6%
25,GEN,Maharashtra,Diwate Namdeo Harbaji,Bharatiya Janta Party,989212,721187,72.9 %,112335,15.6%
19,GEN,Kerala,A.Sampath,Communist Party Of India (MARXIST),1035445,696024,67.2 %,48083,6.9%
7,GEN,Karnataka,P.Kodandaramaiah,Janata Dal,1118685,722485,64.6 %,19382,2.7%
21,GEN,Andhra Pradesh,N.Ramakrishna Reddy,Telugu Desam,1132837,811110,71.6 %,61350,7.6%
19,ST,Rajasthan,Jaswant Singh,Bharatiya Janta Party,1236357,469227,38.0 %,47843,10.2%
3,GEN,Rajasthan,Narendra Budaniya,Indian National Congress,1160594,595501,51.3 %,24438,4.1%
20,GEN,Tamil Nadu,Ramanathan M.,Dravida Munetra Kazhagam,1317120,848217,64.4 %,262787,31.0%
31,GEN,West Bengal,Sudhir Giri,Communist Party Of India (MARXIST),931232,829074,89.0 %,24042,2.9%
1,SC,West Bengal,Amar Roy Pradhan,All India Forward Bloc,1064791,953613,89.6 %,89034,9.3%
11,GEN,Tamil Nadu,Venkatesan P.R.S,Tamil Maanila Congress (MOOPANAR),1042486,729417,70.0 %,205204,28.1%
23,GEN,Andhra Pradesh,Rajasekhara Reddy Y.S.,Indian National Congress,1152736,767958,66.6 %,5445,0.7%
6,GEN,Orissa,Biju Patnaik,Janata Dal,1127256,708148,62.8 %,57807,8.2%
1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Indian National Congress,94909,73032,77.0 %,9349,12.8%
11,GEN,Maharashtra,Chintaman Wanaga,Bharatiya Janta Party,1393889,558156,40.0 %,72518,13.0%
17,GEN,Gujarat,Damor Somjibhai Punjabhai,Indian National Congress,1006608,308477,30.7 %,67582,21.9%
1,GEN,Daman & Diu,Tandel Gopalbhai Kalyanbhai,Indian National Congress,70202,49606,70.7 %,4931,9.9%
7,GEN,Madhya Pradesh [1947 - 1999],Ram Krishna Kusmaria,Bharatiya Janta Party,1174713,613528,52.2 %,168257,27.4%
15,GEN,Bihar [1947 - 1999],Md. Ali Ashraf Fatmi,Janata Dal,1025836,628362,61.3 %,104021,16.6%
4,GEN,West Bengal,R B Rai,Communist Party Of India (MARXIST),1212950,843297,69.5 %,77124,9.1%
7,GEN,Rajasthan,Rajesh Pilot,Indian National Congress,1243812,664895,53.5 %,62861,9.5%
6,ST,Karnataka,G Mallikarjunappa,Bharatiya Janta Party,1143500,747950,65.4 %,97087,13.0%
6,GEN,Delhi [1977 Onwards],Vijay Kumar Goel,Bharatiya Janta Party,500633,301583,60.2 %,1603,0.5%
18,GEN,Orissa,Sriballav Panigrahi,Indian National Congress,1081508,580176,53.7 %,47382,8.2%
41,GEN,Uttar Pradesh [1947 - 1999],Shriprakash Mani,Bharatiya Janta Party,1236272,584094,47.3 %,46927,8.0%
47,GEN,Bihar [1947 - 1999],Rita Verma,Bharatiya Janta Party,1432169,819890,57.3 %,22196,2.7%
9,GEN,Gujarat,Varma Ratilal Kalidas,Bharatiya Janta Party,976470,319475,32.7 %,30229,9.5%
36,ST,Madhya Pradesh [1947 - 1999],Chhatar Sinh Darbar,Bharatiya Janta Party,1111600,605585,54.5 %,81611,13.5%
13,SC,Tamil Nadu,Theertharaman.P,Tamil Maanila Congress (MOOPANAR),1122427,738915,65.8 %,131246,17.8%
24,GEN,Karnataka,Vijay Sankeshwar,Bharatiya Janta Party,1071304,598156,55.8 %,40351,6.7%
23,GEN,Karnataka,I G Sanadi,Indian National Congress,1040747,622321,59.8 %,9609,1.5%
19,GEN,Orissa,Kamakhya Prasad Singh Deo,Indian National Congress,1050237,574824,54.7 %,86094,15.0%
4,GEN,Assam,Nurul Islam,Indian National Congress,930942,810647,87.1 %,132221,16.3%
14,GEN,Maharashtra,Bagul Sahebrao Sukram,Bharatiya Janta Party,1077969,390563,36.2 %,29633,7.6%
17,GEN,West Bengal,Samik Lahiri,Communist Party Of India (MARXIST),1105494,889735,80.5 %,22526,2.5%
13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,840893,591297,70.3 %,107355,18.2%
23,GEN,Tamil Nadu,Chitthan.N.S.V.,Tamil Maanila Congress (MOOPANAR),1075085,725466,67.5 %,267914,36.9%
35,GEN,Uttar Pradesh [1947 - 1999],Brij Bhushan Tiwari,Samajwadi Party,1121884,581728,51.9 %,25923,4.5%
20,SC,West Bengal,Nirmal Kanti Chatterjee,Communist Party Of India (MARXIST),1544506,1252429,81.1 %,58291,4.7%
27,ST,Bihar [1947 - 1999],Shibu Soren,Jharkhand Mukti Morcha,949909,528690,55.7 %,5478,1.0%
21,GEN,Madhya Pradesh [1947 - 1999],Tarachand Sahu,Bharatiya Janta Party,1250065,654596,52.4 %,25747,3.9%
37,SC,West Bengal,Sunil Khan,Communist Party Of India (MARXIST),1139493,917970,80.6 %,181713,19.8%
4,GEN,Delhi [1977 Onwards],"B.L. Sharma ""prem""",Bharatiya Janta Party,2221193,1122631,50.5 %,152499,13.6%
11,GEN,Andhra Pradesh,Bolla Buli Ramaiah,Telugu Desam,1118637,795079,71.1 %,1635,0.2%
16,GEN,Maharashtra,Annasaheb Patil M.K.,Bharatiya Janta Party,1035322,531894,51.4 %,46527,8.7%
11,GEN,Kerala,Xavier Arrakkal,Independent,1070063,729915,68.2 %,30385,4.2%
71,GEN,Uttar Pradesh [1947 - 1999],Mahadeepak Singh,Bharatiya Janta Party,1020377,478551,46.9 %,45703,9.6%
66,GEN,Uttar Pradesh [1947 - 1999],Ram Singh Shakya,Samajwadi Party,1123677,518933,46.2 %,10733,2.1%
28,GEN,Uttar Pradesh [1947 - 1999],Vinay Katiyar,Bharatiya Janta Party,1188558,573616,48.3 %,26302,4.6%
6,GEN,Haryana,Ram Chander,Bharatiya Janta Party,1394387,844989,60.6 %,61516,7.3%
12,GEN,Punjab,Sukhbir Singh Badal,Shiromani Akali Dal,1109708,799077,72.0 %,37858,4.7%
68,GEN,Uttar Pradesh [1947 - 1999],Swami Sacchidanand Sakshi,Bharatiya Janta Party,1213726,590001,48.6 %,84978,14.4%
58,GEN,Uttar Pradesh [1947 - 1999],Vishambhar Pratap Nishad,Bahujan Samaj Party,1141848,414013,36.3 %,23474,5.7%
13,GEN,Punjab,Mohan Singh,Bahujan Samaj Party,1147220,734250,64.0 %,59912,8.2%
72,SC,Uttar Pradesh [1947 - 1999],Prabhudayal Katheria,Bharatiya Janta Party,1131286,463468,41.0 %,67032,14.5%
11,GEN,Gujarat,Atal Bihari Vajpayee,Bharatiya Janta Party,1752944,498010,28.4 %,188872,37.9%
1,SC,Rajasthan,Nihal Chand,Bharatiya Janta Party,1180035,516622,43.8 %,55634,10.8%
2,GEN,Uttar Pradesh [1947 - 1999],Satpal Maharaj,All India Indira Congress (TIWARI),971613,423910,43.6 %,15020,3.5%
7,GEN,Assam,Prabin Chandra Sarmah,Asom Gana Parisad,1170068,872505,74.6 %,114397,13.1%
43,SC,Bihar [1947 - 1999],Bhagwati Devi,Janata Dal,1065862,638012,59.9 %,59623,9.3%
63,SC,Uttar Pradesh [1947 - 1999],Kamal Rani,Bharatiya Janta Party,1087112,449012,41.3 %,11151,2.5%
50,GEN,Uttar Pradesh [1947 - 1999],Manoj,Bharatiya Janta Party,1271538,636824,50.1 %,105499,16.6%
44,GEN,Uttar Pradesh [1947 - 1999],Kalapnath Rai,Independent,1201951,606943,50.5 %,14552,2.4%
46,GEN,Bihar [1947 - 1999],Ravindra Kumar Pandey,Bharatiya Janta Party,1108540,609940,55.0 %,91663,15.0%
19,SC,Tamil Nadu,Shanmugasundaram V.P,Dravida Munetra Kazhagam,971883,691388,71.1 %,142968,20.7%
28,GEN,Bihar [1947 - 1999],Jagdambi Prasad Yadav,Bharatiya Janta Party,1083740,631098,58.2 %,56185,8.9%
18,GEN,Gujarat,Patel Shantilal Parsotamdas,Indian National Congress,998949,326079,32.6 %,3228,1.0%
33,GEN,Uttar Pradesh [1947 - 1999],Ketki Devi Singh,Bharatiya Janta Party,1157038,523192,45.2 %,67149,12.8%
4,GEN,Bihar [1947 - 1999],Lal Babu Pd. Yadav,Janata Dal,1159352,685446,59.1 %,119496,17.4%
38,GEN,Uttar Pradesh [1947 - 1999],Avaidyanath,Bharatiya Janta Party,1224971,569269,46.5 %,56880,10.0%
2,GEN,Karnataka,Qamarul Islam,Janata Dal,1204474,580679,48.2 %,15545,2.7%
4,GEN,Madhya Pradesh [1947 - 1999],Rajmata Vijaya Raje Scindia,Bharatiya Janta Party,1201687,560145,46.6 %,130824,23.4%
15,GEN,Andhra Pradesh,Rayapati Samba Siva Rao,Indian National Congress,1270532,745023,58.6 %,68499,9.2%
1,GEN,Punjab,Sukhbuns Kaur,Indian National Congress,1050121,687387,65.5 %,74547,10.8%
3,GEN,Madhya Pradesh [1947 - 1999],Madhavrao Scindhiya,Madhya Pradesh Vikas Congress,1183071,518240,43.8 %,223994,43.2%
8,SC,Bihar [1947 - 1999],Ram Vilas Paswan,Janata Dal,1058192,759759,71.8 %,46231,6.1%
4,SC,Himachal Pradesh,Major General Vikram Singh (RETD),Indian National Congress,867556,499881,57.6 %,15113,3.0%
60,GEN,Uttar Pradesh [1947 - 1999],Ganga Charan Rajput,Bharatiya Janta Party,1016288,445639,43.9 %,67980,15.3%
38,GEN,Andhra Pradesh,M. Kamaluddin Ahmed,Indian National Congress,1113889,584307,52.5 %,75570,12.9%
79,GEN,Uttar Pradesh [1947 - 1999],Ramesh Chand Tomar,Bharatiya Janta Party,1493707,695482,46.6 %,94449,13.6%
19,SC,Uttar Pradesh [1947 - 1999],Jaiprakash,Bharatiya Janta Party,1083292,408207,37.7 %,23318,5.7%
85,SC,Uttar Pradesh [1947 - 1999],Harpal Sathi,Bharatiya Janta Party,1158091,616554,53.2 %,66100,10.7%
19,GEN,Karnataka,Y N Rudreshagowda,Janata Dal,1134805,772298,68.1 %,80787,10.5%
75,SC,Uttar Pradesh [1947 - 1999],Kishan Lal Diler,Bharatiya Janta Party,1112622,434103,39.0 %,111794,25.8%
48,GEN,Bihar [1947 - 1999],Mahabir Lal Viswakarma,Bharatiya Janta Party,1213041,628922,51.9 %,71251,11.3%
24,GEN,Andhra Pradesh,S.Ramachandra Reddy,Telugu Desam,1171708,714646,61.0 %,172422,24.1%
29,GEN,Maharashtra,Mane Shivaji Gyanbarao,Shiv Sena,1015490,591100,58.2 %,79067,13.4%
9,GEN,Haryana,Jai Parkash S/o Harikesh,Haryana Vikas Party,1030467,746249,72.4 %,174652,23.4%
27,GEN,West Bengal,Rupchand Pal,Communist Party Of India (MARXIST),1095875,934941,85.3 %,38497,4.1%
29,GEN,Madhya Pradesh [1947 - 1999],Sartaj Singh,Bharatiya Janta Party,1077648,584096,54.2 %,52527,9.0%
6,GEN,Punjab,Kanshi Ram,Bahujan Samaj Party,1036111,593425,57.3 %,10944,1.8%
24,GEN,West Bengal,Priya Ranjan Das Munsi,Indian National Congress,1311094,985507,75.2 %,33931,3.4%
30,GEN,Andhra Pradesh,Sultan Salahuddin Owaisi,All India Majlis-E-Ittehadul Muslimoon,1498515,949560,63.4 %,73273,7.7%
47,GEN,Maharashtra,Awade Kallappa Baburao,Indian National Congress,1093847,710691,65.0 %,28510,4.0%
14,GEN,Kerala,A.C.Jos,Indian National Congress,1034335,729832,70.6 %,30140,4.1%
37,GEN,Madhya Pradesh [1947 - 1999],Sau. Sumitra Mahajan,Bharatiya Janta Party,1239628,674473,54.4 %,104433,15.5%
1,GEN,Manipur,Th. Chaoba,Indian National Congress,626653,414736,66.2 %,36588,8.8%
25,GEN,Madhya Pradesh [1947 - 1999],Dada Baburao Paranjape,Bharatiya Janta Party,1217255,536039,44.0 %,93680,17.5%
18,GEN,West Bengal,Krishna Bose,Indian National Congress,1313111,1075315,81.9 %,13038,1.2%
7,SC,Orissa,Ranjib Biswal,Indian National Congress,1144183,800715,70.0 %,47278,5.9%
41,GEN,Bihar [1947 - 1999],Ramashraya Prasad Singh,Communist Party Of India,1093022,795058,72.7 %,95650,12.0%
6,GEN,Rajasthan,Girdhari Lal Bhargava,Bharatiya Janta Party,1656381,639549,38.6 %,115254,18.0%
4,ST,Orissa,Anchal Das,Janata Dal,1076547,642252,59.7 %,3873,0.6%
62,SC,Uttar Pradesh [1947 - 1999],Bhanu Pratap Singh,Bharatiya Janta Party,1134180,468654,41.3 %,45724,9.8%
70,GEN,Uttar Pradesh [1947 - 1999],Om Pal Singh Nigar,Bharatiya Janta Party,1097730,536395,48.9 %,39375,7.3%
