PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,160940,115403,71.7 %,18914,16.4%
Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Raj Veer Singh,Bharatiya Janta Party,814530,441446,54.2 %,78489,17.8%
Arakkonam,6,SC,Tamil Nadu,"Jeevarathinam, R.",Indian National Congress,975104,712528,73.1 %,62393,8.8%
Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),945549,812748,86.0 %,64498,7.9%
Araria,22,SC,Bihar [1947 - 1999],Sukdeo Paswan,Janata Dal,917760,569501,62.1 %,72655,12.8%
Arrah,36,GEN,Bihar [1947 - 1999],Rameshwar Prasad,Indian Peoples Front,1060759,557507,52.6 %,16440,2.9%
Arunachal East,2,GEN,Arunachal Pradesh,Laeta Umbrey,Indian National Congress,193555,127260,65.8 %,32614,25.6%
Arunachal West,1,GEN,Arunachal Pradesh,Prem Khandu Thungon,Indian National Congress,282496,154405,54.7 %,7746,5.0%
Asansol,38,SC,West Bengal,Haradhan Roy,Communist Party Of India (MARXIST),1104458,771578,69.9 %,42237,5.5%
Aska,10,GEN,Orissa,Ananta Narayan Singh Deo,Janata Dal,985245,537400,54.5 %,130295,24.2%
Aurangabad,40,GEN,Bihar [1947 - 1999],Ram Naresh Singh,Janata Dal,975199,574035,58.9 %,57082,9.9%
Aurangabad,33,GEN,Maharashtra,Moroshwar Save,Independent,1145802,686825,59.9 %,17824,2.6%
Autonomous District,3,ST,Assam,Data Not Available,-,-,-,-,-,-
Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Ram Kishana,Bahujan Samaj Party,962986,464503,48.2 %,9081,2.0%
Badagara,3,GEN,Kerala,K. P. Unnikrishnan,Indian Congress (SOCIALIST- SARAT CHANDRA SINHA),984309,795853,80.9 %,8209,1.0%
Bagaha,1,SC,Bihar [1947 - 1999],Mahendra Baitha,Janata Dal,871641,395345,45.4 %,88032,22.3%
Bagalkot,27,GEN,Karnataka,Patil Subhash Tammannappa,Indian National Congress,956206,663239,69.4 %,32238,4.9%
Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Ajeet Singh,Janata Dal,922288,578085,62.7 %,244647,42.3%
Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Arif Mohd. Khan,Janata Dal,915618,369252,40.3 %,21639,5.9%
Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Kankar Munjare,Independent,791000,533206,67.4 %,10466,2.0%
Balasore,2,ST,Orissa,Samarendra Kundu,Janata Dal,966388,657153,68.0 %,117804,17.9%
Balia,19,GEN,Bihar [1947 - 1999],Suryanarayan Singh,Communist Party Of India,906074,524873,57.9 %,161449,30.8%
Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Chandra Shekhar,Janata Dal,988096,499485,50.6 %,90981,18.2%
Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Fasiuraahmanaliyas Munnan Khan,Independent,942209,529421,56.2 %,29306,5.5%
Balurghat,6,GEN,West Bengal,Palas Barman,Revolutionary Socialist Party,948682,795507,83.9 %,33526,4.2%
Banaskantha,14,GEN,Gujarat,Shah Jayantilal Virchandbhai,Janata Dal,895911,573929,64.1 %,250251,43.6%
Banda,59,GEN,Uttar Pradesh [1947 - 1999],Ram Sajiwan,Communist Party Of India,868718,407295,46.9 %,27247,6.7%
Bangalore North,12,GEN,Karnataka,C.K.Jaffer Sharieff,Indian National Congress,1328013,781199,58.8 %,107124,13.7%
Bangalore South,13,GEN,Karnataka,R.Gundu Rao,Indian National Congress,1312751,744332,56.7 %,239854,32.2%
Banka,29,GEN,Bihar [1947 - 1999],Pratap Singh,Janata Dal,955374,540071,56.5 %,216615,40.1%
Bankura,35,GEN,West Bengal,Basudeb Acharia,Communist Party Of India (MARXIST),915339,694886,75.9 %,124398,17.9%
Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Mahabir Prasad,Indian National Congress,950199,499162,52.5 %,10329,2.1%
Banswara,16,GEN,Rajasthan,Heera Bhai,Janata Dal,937898,504102,53.8 %,109325,21.7%
Bapatla,16,GEN,Andhra Pradesh,Salagala Benjamin,Indian National Congress,999676,724960,72.5 %,43620,6.0%
Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Ram Sagar,Janata Dal,868388,456710,52.6 %,64117,14.0%
Baramati,43,GEN,Maharashtra,Patil Shankarrao Bajirao,Indian National Congress,1217719,673538,55.3 %,171092,25.4%
Baramulla,1,GEN,Jammu & Kashmir,Saif Ud Din Soze,Jammu & Kashmir National Conference,698284,38235,5.5 %,34420,90.0%
Barasat,13,SC,West Bengal,Chitta Basu,All India Forward Bloc,1049554,898099,85.6 %,55369,6.2%
Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Santosh Kumar Gangwar,Bharatiya Janta Party,851467,441237,51.8 %,43165,9.8%
Barh,18,GEN,Bihar [1947 - 1999],Nitish Kumar,Janata Dal,1031955,709052,68.7 %,78347,11.0%
Barmer,23,GEN,Rajasthan,Kalyan Singh Kalvi,Janata Dal,1107371,610713,55.2 %,157455,25.8%
Baroda,22,GEN,Gujarat,Koko Alias Prakash Kanubhai Brahmbhatt,Janata Dal,1109306,704314,63.5 %,52898,7.5%
Barpeta,6,GEN,Assam,Data Not Available,-,-,-,-,-,-
Barrackpore,19,SC,West Bengal,Tarit Baran Topder,Communist Party Of India (MARXIST),919052,733757,79.8 %,37091,5.1%
Basirhat,14,SC,West Bengal,Monoranjan Sur,Communist Party Of India,892829,770589,86.3 %,20343,2.6%
Bastar,20,ST,Madhya Pradesh [1947 - 1999],Mankuram Sodi,Indian National Congress,751296,261460,34.8 %,36226,13.9%
Basti,34,SC,Uttar Pradesh [1947 - 1999],Kalpa Nath Sonakar,Janata Dal,949910,473013,49.8 %,33219,7.0%
Bayana,10,SC,Rajasthan,Than Singh Jatav,Bharatiya Janta Party,942994,406820,43.1 %,63128,15.5%
Beed,34,GEN,Maharashtra,Dhakno Babanrao Dadaba,Janata Dal,1111872,625743,56.3 %,1985,0.3%
Begusarai,33,GEN,Bihar [1947 - 1999],Lalit Vijay Singh,Janata Dal,986317,613692,62.2 %,74721,12.2%
Belgaum,25,GEN,Karnataka,Sidnal Shanmukappa Bassappa,Indian National Congress,1024662,682826,66.6 %,23048,3.4%
Bellary,5,SC,Karnataka,Basavarajesweri,Indian National Congress,1031006,689764,66.9 %,76085,11.0%
Berhampore,10,GEN,West Bengal,Mani Bhattacharya,Revolutionary Socialist Party,1045559,791398,75.7 %,62796,7.9%
Berhampur,11,GEN,Orissa,Gopinath Gajpathi Narayan Deo,Indian National Congress,932374,486137,52.1 %,14746,3.0%
Bettiah,2,GEN,Bihar [1947 - 1999],Dharmesh Prassad Verma,Janata Dal,911262,519407,57.0 %,48348,9.3%
Betul,28,GEN,Madhya Pradesh [1947 - 1999],Arif Beg,Bharatiya Janta Party,812246,410229,50.5 %,40772,9.9%
Bhadrachalam,5,ST,Andhra Pradesh,Kariyeddula Kamala Kumari,Indian National Congress,941288,595519,63.3 %,23986,4.0%
Bhadrak,3,GEN,Orissa,Mangaraj Malik,Janata Dal,958640,670289,69.9 %,106527,15.9%
Bhagalpur,30,GEN,Bihar [1947 - 1999],Chun Chun Prasad Yadav,Janata Dal,1046877,684005,65.3 %,435398,63.7%
Bhandara,24,GEN,Maharashtra,Khushal Parasram Sopche,Bharatiya Janta Party,857992,619525,72.2 %,40094,6.5%
Bharatpur,9,SC,Rajasthan,Vishwendra Singh,Janata Dal,902689,594223,65.8 %,70452,11.9%
Bhatinda,11,GEN,Punjab,Sucha Singh,Shiromani Akali Dal (SIMRANJIT SINGH MANN),989706,612103,61.9 %,207380,33.9%
Bhavnagar,8,SC,Gujarat,Jamod Shashikant Mavjibhai,Indian National Congress,900926,358853,39.8 %,552,0.2%
Bhilwara,20,ST,Rajasthan,Hamendra Singh,Janata Dal,973497,532843,54.7 %,132097,24.8%
Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Narsingh Rao Dixit,Bharatiya Janta Party,998307,470724,47.2 %,21924,4.7%
Bhiwani,8,GEN,Haryana,Bansi Lal,Indian National Congress,944629,604350,64.0 %,157330,26.0%
Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],Sushil Chandra Verma,Bharatiya Janta Party,1120927,617985,55.1 %,103654,16.8%
Bhubaneswar,9,GEN,Orissa,Sivaji Patnaik,Communist Party Of India (MARXIST),985749,578133,58.7 %,145346,25.1%
Bidar,1,GEN,Karnataka,Narsingrao Surya Vanshi,Indian National Congress,993316,589166,59.3 %,38947,6.6%
Bijapur,28,SC,Karnataka,Gudadinni Basagondappa Kadappa,Indian National Congress,949422,599198,63.1 %,123333,20.6%
Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Mayawati,Bahujan Samaj Party,926223,498547,53.8 %,8879,1.8%
Bikaner,2,SC,Rajasthan,Shopat Singh Makkassar,Communist Party Of India (MARXIST),1392338,703282,50.5 %,67771,9.6%
Bikramganj,39,GEN,Bihar [1947 - 1999],Ram Parsad Singh,Janata Dal,983892,550578,56.0 %,125993,22.9%
Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Resham Lal Jangade,Bharatiya Janta Party,870746,491398,56.4 %,5171,1.1%
Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Arun Kumar Nehru,Janata Dal,968528,513606,53.0 %,146232,28.5%
Birbhum,42,GEN,West Bengal,Dome Ramchandra,Communist Party Of India (MARXIST),907420,692217,76.3 %,61949,8.9%
Bobbili,3,GEN,Andhra Pradesh,Komburi Ram Mohan Rao,Telugu Desam,860717,642044,74.6 %,39944,6.2%
Bolangir,16,SC,Orissa,Balgopal Mishra,Janata Dal,845121,529830,62.7 %,168870,31.9%
Bolpur,41,SC,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),897907,711128,79.2 %,163593,23.0%
Bombay North,9,SC,Maharashtra,Ram Naik,Bharatiya Janta Party,1522476,885188,58.1 %,100205,11.3%
Bombay North Central,6,GEN,Maharashtra,Vidyadhar Sambhaji Gokhale,Shiv Sena,1007678,577138,57.3 %,8185,1.4%
Bombay North East,7,SC,Maharashtra,Mehta Jayawanti Navinchandra,Bharatiya Janta Party,1474388,892703,60.6 %,71555,8.0%
Bombay North West,8,GEN,Maharashtra,Sunil Dutt,Indian National Congress,1224733,696429,56.9 %,72574,10.4%
Bombay South,4,GEN,Maharashtra,Deora Murli,Indian National Congress,730429,396477,54.3 %,17739,4.5%
Bombay South Central,5,GEN,Maharashtra,Vamanrao Mahadik,Independent,799411,453892,56.8 %,10466,2.3%
Broach,23,ST,Gujarat,Deshmukh Chandubhai Shambhai,Bharatiya Janta Party,914569,637720,69.7 %,115335,18.1%
Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Sharad Yadav,Janata Dal,875527,499259,57.0 %,92086,18.4%
Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Sarvar Husain,Janata Dal,926063,495156,53.5 %,76579,15.5%
Buldhana,18,GEN,Maharashtra,Kale Sukhdeo Nandaji,Bharatiya Janta Party,908190,601105,66.2 %,65994,11.0%
Bulsar,26,ST,Gujarat,Ajunbhai Lallubhai Patel,Janata Dal,958712,451740,47.1 %,22085,4.9%
Burdwan,39,GEN,West Bengal,Sudhir Ray,Communist Party Of India (MARXIST),1024881,853782,83.3 %,195530,22.9%
Buxar,37,GEN,Bihar [1947 - 1999],Tej Narain Singh,Communist Party Of India,988344,557944,56.5 %,37322,6.7%
Calcutta North East,22,GEN,West Bengal,Ajit Kumar Panja,Indian National Congress,830794,604048,72.7 %,27629,4.6%
Calcutta North West,21,GEN,West Bengal,Debi Prasad Pal,Indian National Congress,694467,439766,63.3 %,54732,12.4%
Calcutta South,23,GEN,West Bengal,Biplab Dasgupta,Communist Party Of India (MARXIST),1013580,740076,73.0 %,25156,3.4%
Calicut,4,GEN,Kerala,K. Muraleedharan,Indian National Congress,958405,788439,82.3 %,28957,3.7%
Cannanore,2,GEN,Kerala,Mullappally Ramachandran,Indian National Congress,939750,781281,83.1 %,42404,5.4%
Chail,57,SC,Uttar Pradesh [1947 - 1999],Ram Nihor Rakesh,Indian National Congress,932234,384168,41.2 %,12053,3.1%
Chamarajanagar,15,GEN,Karnataka,V.Srinivasa Prasad,Indian National Congress,942181,701690,74.5 %,153645,21.9%
Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Kailash Nath Singh Yadav,Janata Dal,1035265,512944,49.6 %,144400,28.2%
Chandigarh,1,GEN,Chandigarh,Harmohan Dhawan,Janata Dal,334522,219697,65.7 %,3974,1.8%
Chandni Chowk,5,SC,Delhi [1977 Onwards],Jai Prakash Aggarwal,Indian National Congress,381491,253560,66.5 %,9431,3.7%
Chandrapur,26,GEN,Maharashtra,Potdukhe Shantaram Rajeshwar,Indian National Congress,986600,632901,64.2 %,50457,8.0%
Chapra,7,GEN,Bihar [1947 - 1999],Laloo Prassad,Janata Dal,1010173,659029,65.2 %,141882,21.5%
Chatra,44,GEN,Bihar [1947 - 1999],Upender Nath Verma,Janata Dal,885097,462798,52.3 %,77371,16.7%
Chengalpattu,5,GEN,Tamil Nadu,Kanchee Paneer,All India Anna Dravida Munnetra Kazhagam,957415,700195,73.1 %,122867,17.5%
Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress,828757,442608,53.4 %,40104,9.1%
Chhota Udaipur,21,ST,Gujarat,Rahawa Naranbhai Jamalbhai,Janata Dal,847132,463773,54.8 %,21301,4.6%
Chidambaram,12,GEN,Tamil Nadu,"Vallalperuman, P.",Indian National Congress,938462,670801,71.5 %,28283,4.2%
Chikballapur,9,ST,Karnataka,V.Krishna Rao,Indian National Congress,979204,727444,74.3 %,136888,18.8%
Chikkodi,26,GEN,Karnataka,B Shankaranand,Indian National Congress,927517,636543,68.6 %,61264,9.6%
Chikmagalur,20,GEN,Karnataka,D.M.Putte Gowda,Indian National Congress,940328,670328,71.3 %,161357,24.1%
Chimur,25,GEN,Maharashtra,Shiwnkar Manoharrao Sukaji,Bharatiya Janta Party,913813,721716,79.0 %,33604,4.7%
Chirayinkil,19,GEN,Kerala,Thalekunnil Basheer,Indian National Congress,984118,730320,74.2 %,5130,0.7%
Chitradurga,7,GEN,Karnataka,C.P.Mudalagiriyappa,Indian National Congress,1026027,693903,67.6 %,142193,20.5%
Chittoor,21,GEN,Andhra Pradesh,Gnanendra Reddy,Indian National Congress,1002523,741202,73.9 %,82508,11.1%
Chittorgarh,19,ST,Rajasthan,Mahendra Singh,Bharatiya Janta Party,1027352,643728,62.7 %,191738,29.8%
Churu,3,GEN,Rajasthan,Daulat Ram Saran,Janata Dal,1046463,604675,57.8 %,124670,20.6%
Coimbatore,20,GEN,Tamil Nadu,"Kuppusamy, C.K.",Indian National Congress,1173906,762404,65.0 %,140068,18.4%
Contai,31,GEN,West Bengal,Sudhir Giri,Communist Party Of India (MARXIST),858997,712006,82.9 %,27080,3.8%
Cooch Behar,1,SC,West Bengal,Amar Roy Pradhan,All India Forward Bloc,965700,834207,86.4 %,53470,6.4%
Cuddalore,11,GEN,Tamil Nadu,P. R. S. Venkatesan,Indian National Congress,959014,666457,69.5 %,116835,17.5%
Cuddapah,23,GEN,Andhra Pradesh,Y.S.Rajasekhar Reddy,Indian National Congress,1135322,819354,72.2 %,166752,20.4%
Cuttack,6,GEN,Orissa,Srikanta Jena,Janata Dal,963296,655187,68.0 %,204685,31.2%
Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,74320,54200,72.9 %,7309,13.5%
Dahanu,11,GEN,Maharashtra,Damodar Baraku Shingada,Indian National Congress,1033327,542953,52.5 %,24780,4.6%
Dahod,17,GEN,Gujarat,Somaibahi Damor,Indian National Congress,841474,339407,40.3 %,27759,8.2%
Daman And Diu,1,GEN,Daman & Diu,Tandel Devji Jogibhai,Independent,56719,37451,66.0 %,1840,4.9%
Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Lokendra Sngh,Bharatiya Janta Party,1003959,564384,56.2 %,119201,21.1%
Darbhanga,15,GEN,Bihar [1947 - 1999],Shakeeul Rahman,Janata Dal,921749,657262,71.3 %,78457,11.9%
Darjeeling,4,GEN,West Bengal,Inderjeet,Gorkha National Liberation Front,1061634,788359,74.3 %,145105,18.4%
Dausa,7,GEN,Rajasthan,Nathu Singh,Bharatiya Janta Party,1030283,584215,56.7 %,116850,20.0%
Davangere,6,ST,Karnataka,Channaiah Odeyar,Indian National Congress,1079519,742962,68.8 %,76120,10.2%
Delhi Sadar,6,GEN,Delhi [1977 Onwards],Vijay Kumar Malhotra,Bharatiya Janta Party,506017,309267,61.1 %,32099,10.4%
Deogarh,18,GEN,Orissa,Ravi Narayan Pani,Janata Dal,949696,568193,59.8 %,121417,21.4%
Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Rajmangal,Janata Dal,989706,541113,54.7 %,94583,17.5%
Dhanbad,47,GEN,Bihar [1947 - 1999],A.K.Roy,Marxist (CO-ORDINATION),1156446,650782,56.3 %,13571,2.1%
Dhandhuka,9,GEN,Gujarat,Ratilal Kalidas Verma,Bharatiya Janta Party,890279,460950,51.8 %,141618,30.7%
Dhar,36,ST,Madhya Pradesh [1947 - 1999],Suraj Bhanu Shiv Bhanu Solanki,Indian National Congress,889675,533306,59.9 %,11771,2.2%
Dharmapuri,13,SC,Tamil Nadu,"Sekhar, M. G.",All India Anna Dravida Munnetra Kazhagam,1008221,690708,68.5 %,113020,16.4%
Dharwad North,24,GEN,Karnataka,D.K.Naikar,Indian National Congress,952624,635790,66.7 %,55548,8.7%
Dharwad South,23,GEN,Karnataka,Mujahid B.M.,Indian National Congress,938007,691607,73.7 %,28648,4.1%
Dhenkanal,19,GEN,Orissa,Bhajaman Behra,Janata Dal,890023,587411,66.0 %,123005,20.9%
Dhubri,4,GEN,Assam,Data Not Available,-,-,-,-,-,-
Dhule,14,GEN,Maharashtra,Bhoy Reshma Motiram,Indian National Congress,897783,447540,49.9 %,22567,5.0%
Diamond Harbour,17,GEN,West Bengal,Amal Datta,Communist Party Of India (MARXIST),940260,746043,79.3 %,43045,5.8%
Dibrugarh,13,GEN,Assam,Data Not Available,-,-,-,-,-,-
Dindigul,23,GEN,Tamil Nadu,"Srinivasan, C.",All India Anna Dravida Munnetra Kazhagam,1032870,654944,63.4 %,235368,35.9%
Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Brij Bhushan Tiwari,Janata Dal,956276,559704,58.5 %,65140,11.6%
Dum Dum,20,SC,West Bengal,Nirmal Kanti Chatterjee,Communist Party Of India (MARXIST),1297758,1027270,79.2 %,117004,11.4%
Dumka,27,ST,Bihar [1947 - 1999],Shibu Sohan,Jharkhand Mukti Morcha,869933,416655,47.9 %,109601,26.3%
Durg,21,GEN,Madhya Pradesh [1947 - 1999],Purushottam Kaushik,Janata Dal,1042098,643231,61.7 %,110033,17.1%
Durgapur,37,SC,West Bengal,Purna Chandra Malik,Communist Party Of India (MARXIST),1020338,732788,71.8 %,262624,35.8%
East Delhi,4,GEN,Delhi [1977 Onwards],H. K. L. Bhagat,Indian National Congress,1480564,734802,49.6 %,175999,24.0%
Eluru,11,GEN,Andhra Pradesh,Krishana,Indian National Congress,981369,773567,78.8 %,71407,9.2%
Erandol,16,GEN,Maharashtra,Patil Uttamrao Laxmanrao,Bharatiya Janta Party,951004,517540,54.4 %,4557,0.9%
Ernakulam,11,GEN,Kerala,K. V. Thomas,Indian National Congress,961739,776614,80.8 %,36465,4.7%
Etah,71,GEN,Uttar Pradesh [1947 - 1999],Mahadeepk Singh,Bharatiya Janta Party,839232,453519,54.0 %,7473,1.6%
Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Ram Singh Shakya,Janata Dal,943657,508636,53.9 %,43015,8.5%
Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Mitra Sen,Communist Party Of India,920193,488752,53.1 %,5855,1.2%
Faridabad,6,GEN,Haryana,Bhajan Lal,Indian National Congress,1131257,710487,62.8 %,131227,18.5%
Faridkot,12,GEN,Punjab,Jagdev Singh,Shiromani Akali Dal (SIMRANJIT SINGH MANN),1000795,643893,64.3 %,157383,24.4%
Farrukhabad,68,GEN,Uttar Pradesh [1947 - 1999],Santosh Bhartiya,Janata Dal,954177,531687,55.7 %,7484,1.4%
Fatehpur,58,GEN,Uttar Pradesh [1947 - 1999],Vishwanath Pratap,Janata Dal,918378,456882,49.8 %,121556,26.6%
Ferozepur,13,GEN,Punjab,Dhian Singh,Independent,1037784,673128,64.9 %,32850,4.9%
Firozabad,72,SC,Uttar Pradesh [1947 - 1999],Ramji Lal Suman,Janata Dal,918575,447164,48.7 %,172826,38.6%
Gandhinagar,11,GEN,Gujarat,Veghela Shankarji Laxmanji,Bharatiya Janta Party,1318428,763015,57.9 %,268492,35.2%
Ganganagar,1,SC,Rajasthan,Bega Ram,Janata Dal,1086118,576580,53.1 %,63533,11.0%
Garhwal,2,GEN,Uttar Pradesh [1947 - 1999],Chandra Mohan,Janata Dal,849189,418316,49.3 %,1007,0.2%
Gauhati,7,GEN,Assam,Data Not Available,-,-,-,-,-,-
Gaya,43,SC,Bihar [1947 - 1999],Inswar Chaudhary,Janata Dal,965265,676699,70.1 %,252923,37.4%
Ghatampur,63,SC,Uttar Pradesh [1947 - 1999],Keshari Lal,Janata Dal,908277,487047,53.6 %,155982,32.0%
Ghazipur,50,GEN,Uttar Pradesh [1947 - 1999],Jagdish,Independent,1014670,543161,53.5 %,108142,19.9%
Ghosi,44,GEN,Uttar Pradesh [1947 - 1999],Kalp Nath,Indian National Congress,997052,506311,50.8 %,67290,13.3%
Giridih,46,GEN,Bihar [1947 - 1999],Ram Das Singh,Bharatiya Janta Party,938564,496118,52.9 %,8182,1.6%
Gobichettipalayam,19,SC,Tamil Nadu,"Narayanan, P.G.",All India Anna Dravida Munnetra Kazhagam,912953,630971,69.1 %,225957,35.8%
Godda,28,GEN,Bihar [1947 - 1999],Janardhan Yadav,Bharatiya Janta Party,960243,580292,60.4 %,181433,31.3%
Godhra,18,GEN,Gujarat,Patel Shantila Purushottamdas,Janata Dal,831918,422431,50.8 %,60373,14.3%
Gonda,33,GEN,Uttar Pradesh [1947 - 1999],Anand Singh Alias Annu Bhaiya,Indian National Congress,941053,485985,51.6 %,164150,33.8%
Gopalganj,4,GEN,Bihar [1947 - 1999],Rajmangal Mishra,Janata Dal,944046,688818,73.0 %,193921,28.2%
Gorakhpur,38,GEN,Uttar Pradesh [1947 - 1999],Avedya Nath,Akhil Bharatiya Hindu Mahasabha,872461,477838,54.8 %,45837,9.6%
Gulbarga,2,GEN,Karnataka,B.G.Jawali,Indian National Congress,1035569,637640,61.6 %,108838,17.1%
Guna,4,GEN,Madhya Pradesh [1947 - 1999],Vijaya Raje Scindia,Bharatiya Janta Party,1006096,568851,56.5 %,146290,25.7%
Guntur,15,GEN,Andhra Pradesh,N.G.Ranga,Indian National Congress,1114045,765766,68.7 %,65013,8.5%
Gurdaspur,1,GEN,Punjab,Sukhbans Kaur,Indian National Congress,948524,557362,58.8 %,77215,13.9%
Gwalior,3,GEN,Madhya Pradesh [1947 - 1999],Madhava Rao Scindiya Jeewaji Rao,Indian National Congress,953238,493898,51.8 %,149425,30.3%
Hajipur,8,SC,Bihar [1947 - 1999],Ram Vilas Paswan,Janata Dal,977499,736399,75.3 %,504448,68.5%
Hamirpur,4,SC,Himachal Pradesh,Thakur Prem Kumar Dhumal,Bharatiya Janta Party,770754,497814,64.6 %,31575,6.3%
Hamirpur,60,GEN,Uttar Pradesh [1947 - 1999],Ganga Charan,Janata Dal,836789,432526,51.7 %,68600,15.9%
Hanamkonda,38,GEN,Andhra Pradesh,Kamaluddin Ahmed,Indian National Congress,959004,646420,67.4 %,63343,9.8%
Hapur,79,GEN,Uttar Pradesh [1947 - 1999],K.C.Tyagi (Kishan Chand),Janata Dal,1077433,539599,50.1 %,33254,6.2%
Hardoi,19,SC,Uttar Pradesh [1947 - 1999],Parmai Lal,Janata Dal,893767,484185,54.2 %,24465,5.1%
Hardwar,85,SC,Uttar Pradesh [1947 - 1999],Jagpal Singh,Indian National Congress,891098,505620,56.7 %,2463,0.5%
Hassan,19,GEN,Karnataka,H.C.Srikantaiah,Indian National Congress,1049009,773964,73.8 %,189155,24.4%
Hathras,75,SC,Uttar Pradesh [1947 - 1999],Bangali Singh,Janata Dal,896362,460444,51.4 %,95852,20.8%
