[LINE 1] UID=RJ2023AC01 | family_rows=1 | sources_rows=3
[LINE 112] UID=RJ2023AC112 | family_rows=1 | sources_rows=2
[LINE 113] Existing error preserved | UID=RJ2023AC113
[LINE 114] UID=RJ2023AC114 | family_rows=1 | sources_rows=1
[LINE 115] UID=RJ2023AC115 | family_rows=2 | sources_rows=3
[LINE 116] UID=RJ2023AC116 | family_rows=1 | sources_rows=5
[LINE 117] UID=RJ2023AC117 | family_rows=1 | sources_rows=3
[LINE 118] UID=RJ2023AC118 | family_rows=1 | sources_rows=5
[LINE 119] UID=RJ2023AC119 | family_rows=1 | sources_rows=3
[LINE 120] UID=RJ2023AC120 | family_rows=1 | sources_rows=4
[LINE 121] UID=RJ2023AC121 | family_rows=1 | sources_rows=4
[LINE 122] UID=RJ2023AC122 | family_rows=1 | sources_rows=4
[LINE 123] UID=RJ2023AC123 | family_rows=1 | sources_rows=3
[LINE 124] UID=RJ2023AC124 | family_rows=1 | sources_rows=3
[LINE 125] UID=RJ2023AC125 | family_rows=1 | sources_rows=3
[LINE 126] UID=RJ2023AC126 | family_rows=1 | sources_rows=3
[LINE 127] UID=RJ2023AC127 | family_rows=1 | sources_rows=4
[LINE 128] UID=RJ2023AC128 | family_rows=1 | sources_rows=2
[LINE 129] UID=RJ2023AC129 | family_rows=1 | sources_rows=3
[LINE 130] UID=RJ2023AC130 | family_rows=1 | sources_rows=3
[LINE 131] UID=RJ2023AC131 | family_rows=1 | sources_rows=3
[LINE 132] Existing error preserved | UID=RJ2023AC132
[LINE 133] UID=RJ2023AC133 | family_rows=1 | sources_rows=3
[LINE 134] UID=RJ2023AC134 | family_rows=1 | sources_rows=5
[LINE 135] UID=RJ2023AC135 | family_rows=1 | sources_rows=6
[LINE 136] UID=RJ2023AC136 | family_rows=1 | sources_rows=3
[LINE 137] UID=RJ2023AC137 | family_rows=1 | sources_rows=3
[LINE 138] UID=RJ2023AC138 | family_rows=1 | sources_rows=5
[LINE 139] UID=RJ2023AC139 | family_rows=2 | sources_rows=2
[LINE 140] UID=RJ2023AC140 | family_rows=1 | sources_rows=3
[LINE 141] UID=RJ2023AC141 | family_rows=1 | sources_rows=3
[LINE 142] UID=RJ2023AC142 | family_rows=1 | sources_rows=5
[LINE 143] UID=RJ2023AC143 | family_rows=1 | sources_rows=3
[LINE 144] UID=RJ2023AC144 | family_rows=1 | sources_rows=3
[LINE 145] UID=RJ2023AC145 | family_rows=1 | sources_rows=3
[LINE 146] UID=RJ2023AC146 | family_rows=1 | sources_rows=2
[LINE 147] UID=RJ2023AC147 | family_rows=1 | sources_rows=4
[LINE 148] UID=RJ2023AC148 | family_rows=1 | sources_rows=4
[LINE 149] UID=RJ2023AC149 | family_rows=1 | sources_rows=4
[LINE 150] UID=RJ2023AC150 | family_rows=1 | sources_rows=8
[LINE 151] UID=RJ2023AC151 | family_rows=1 | sources_rows=3
[LINE 152] UID=RJ2023AC152 | family_rows=1 | sources_rows=3
[LINE 153] UID=RJ2023AC153 | family_rows=1 | sources_rows=3
[LINE 154] UID=RJ2023AC154 | family_rows=1 | sources_rows=4
[LINE 155] UID=RJ2023AC155 | family_rows=1 | sources_rows=4
[LINE 156] UID=RJ2023AC156 | family_rows=1 | sources_rows=3
[LINE 157] UID=RJ2023AC157 | family_rows=1 | sources_rows=5
[LINE 158] UID=RJ2023AC158 | family_rows=1 | sources_rows=4
[LINE 159] UID=RJ2023AC159 | family_rows=1 | sources_rows=3
[LINE 160] UID=RJ2023AC160 | family_rows=1 | sources_rows=4
[LINE 161] UID=RJ2023AC161 | family_rows=1 | sources_rows=4
[LINE 162] UID=RJ2023AC162 | family_rows=1 | sources_rows=3
[LINE 163] UID=RJ2023AC163 | family_rows=1 | sources_rows=3
[LINE 164] UID=RJ2023AC164 | family_rows=1 | sources_rows=1
[LINE 165] UID=RJ2023AC165 | family_rows=1 | sources_rows=2
[LINE 166] UID=RJ2023AC166 | family_rows=1 | sources_rows=3
[LINE 167] UID=RJ2023AC167 | family_rows=1 | sources_rows=3
[LINE 168] UID=RJ2023AC168 | family_rows=1 | sources_rows=3
[LINE 169] UID=RJ2023AC169 | family_rows=1 | sources_rows=3
[LINE 170] UID=RJ2023AC170 | family_rows=1 | sources_rows=4
[LINE 171] UID=RJ2023AC171 | family_rows=1 | sources_rows=5
[LINE 172] UID=RJ2023AC172 | family_rows=1 | sources_rows=3
[LINE 173] UID=RJ2023AC173 | family_rows=1 | sources_rows=3
[LINE 174] UID=RJ2023AC174 | family_rows=1 | sources_rows=4
[LINE 175] UID=RJ2023AC175 | family_rows=1 | sources_rows=4
[LINE 176] UID=RJ2023AC176 | family_rows=4 | sources_rows=4
[LINE 177] UID=RJ2023AC177 | family_rows=1 | sources_rows=5
[LINE 178] UID=RJ2023AC178 | family_rows=1 | sources_rows=4
[LINE 179] UID=RJ2023AC179 | family_rows=1 | sources_rows=3
[LINE 180] UID=RJ2023AC180 | family_rows=1 | sources_rows=4
[LINE 181] UID=RJ2023AC181 | family_rows=1 | sources_rows=4
[LINE 182] UID=RJ2023AC182 | family_rows=1 | sources_rows=5
[LINE 183] UID=RJ2023AC183 | family_rows=1 | sources_rows=3
[LINE 184] UID=RJ2023AC184 | family_rows=1 | sources_rows=3
[LINE 185] UID=RJ2023AC185 | family_rows=1 | sources_rows=4
[LINE 186] UID=RJ2023AC186 | family_rows=1 | sources_rows=3
[LINE 187] UID=RJ2023AC187 | family_rows=1 | sources_rows=3
[LINE 188] UID=RJ2023AC188 | family_rows=1 | sources_rows=3
[LINE 189] UID=RJ2023AC189 | family_rows=2 | sources_rows=3
[LINE 190] UID=RJ2023AC190 | family_rows=1 | sources_rows=3
[LINE 191] UID=RJ2023AC191 | family_rows=1 | sources_rows=2
[LINE 192] UID=RJ2023AC192 | family_rows=1 | sources_rows=5
[LINE 193] UID=RJ2023AC193 | family_rows=1 | sources_rows=4
[LINE 194] UID=RJ2023AC194 | family_rows=1 | sources_rows=3
[LINE 195] UID=RJ2023AC195 | family_rows=1 | sources_rows=3
[LINE 196] UID=RJ2023AC196 | family_rows=1 | sources_rows=2
[LINE 197] UID=RJ2023AC197 | family_rows=1 | sources_rows=3
[LINE 198] UID=RJ2023AC198 | family_rows=5 | sources_rows=6
[LINE 199] UID=RJ2023AC199 | family_rows=1 | sources_rows=3
[LINE 200] UID=RJ2023AC200 | family_rows=1 | sources_rows=4

PROCESSING COMPLETE
Total family rows: 235
Total source rows: 728
