[LINE 1] UID=JH2024AC01 | family_rows=1 | sources_rows=3
[LINE 64] UID=JH2024AC64 | family_rows=1 | sources_rows=3
[LINE 65] UID=JH2024AC65 | family_rows=1 | sources_rows=5
[LINE 66] UID=JH2024AC66 | family_rows=1 | sources_rows=4
[LINE 67] UID=JH2024AC67 | family_rows=1 | sources_rows=3
[LINE 68] UID=JH2024AC68 | family_rows=1 | sources_rows=3
[LINE 69] UID=JH2024AC69 | family_rows=1 | sources_rows=3
[LINE 70] UID=JH2024AC70 | family_rows=1 | sources_rows=3
[LINE 71] UID=JH2024AC71 | family_rows=1 | sources_rows=4
[LINE 72] UID=JH2024AC72 | family_rows=1 | sources_rows=3
[LINE 73] UID=JH2024AC73 | family_rows=1 | sources_rows=5
[LINE 74] UID=JH2024AC74 | family_rows=1 | sources_rows=3
[LINE 75] UID=JH2024AC75 | family_rows=1 | sources_rows=3
[LINE 76] UID=JH2024AC76 | family_rows=1 | sources_rows=4
[LINE 77] UID=JH2024AC77 | family_rows=1 | sources_rows=3
[LINE 78] UID=JH2024AC78 | family_rows=1 | sources_rows=4
[LINE 79] UID=JH2024AC79 | family_rows=1 | sources_rows=4
[LINE 80] UID=JH2024AC80 | family_rows=1 | sources_rows=3
[LINE 81] UID=JH2024AC81 | family_rows=1 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 101
Total source rows: 292
