[LINE 1] UID=TG2023AC01 | family_rows=2 | sources_rows=4
[LINE 74] UID=TG2023AC75 | family_rows=1 | sources_rows=6
[LINE 75] UID=TG2023AC76 | family_rows=1 | sources_rows=6
[LINE 76] UID=TG2023AC77 | family_rows=3 | sources_rows=3
[LINE 77] UID=TG2023AC78 | family_rows=1 | sources_rows=3
[LINE 78] UID=TG2023AC79 | family_rows=1 | sources_rows=5
[LINE 79] UID=TG2023AC80 | family_rows=1 | sources_rows=8
[LINE 80] UID=TG2023AC81 | family_rows=1 | sources_rows=2
[LINE 81] UID=TG2023AC82 | family_rows=1 | sources_rows=3
[LINE 82] UID=TG2023AC83 | family_rows=1 | sources_rows=4
[LINE 83] Existing error preserved | UID=TG2023AC84
[LINE 84] UID=TG2023AC85 | family_rows=1 | sources_rows=5
[LINE 85] UID=TG2023AC86 | family_rows=1 | sources_rows=3
[LINE 86] UID=TG2023AC87 | family_rows=2 | sources_rows=4
[LINE 87] UID=TG2023AC88 | family_rows=1 | sources_rows=5
[LINE 88] UID=TG2023AC89 | family_rows=1 | sources_rows=3
[LINE 89] UID=TG2023AC90 | family_rows=1 | sources_rows=6
[LINE 90] UID=TG2023AC91 | family_rows=1 | sources_rows=3
[LINE 91] UID=TG2023AC92 | family_rows=1 | sources_rows=4
[LINE 92] UID=TG2023AC93 | family_rows=1 | sources_rows=4
[LINE 93] UID=TG2023AC94 | family_rows=1 | sources_rows=4
[LINE 94] UID=TG2023AC95 | family_rows=1 | sources_rows=5
[LINE 95] UID=TG2023AC96 | family_rows=1 | sources_rows=5
[LINE 96] UID=TG2023AC97 | family_rows=1 | sources_rows=5
[LINE 97] UID=TG2023AC98 | family_rows=1 | sources_rows=5
[LINE 98] UID=TG2023AC99 | family_rows=1 | sources_rows=6
[LINE 99] UID=TG2023AC100 | family_rows=1 | sources_rows=3
[LINE 100] UID=TG2023AC101 | family_rows=1 | sources_rows=3
[LINE 101] UID=TG2023AC102 | family_rows=1 | sources_rows=5
[LINE 102] UID=TG2023AC103 | family_rows=1 | sources_rows=7
[LINE 103] UID=TG2023AC104 | family_rows=1 | sources_rows=5
[LINE 104] UID=TG2023AC105 | family_rows=1 | sources_rows=5
[LINE 105] UID=TG2023AC106 | family_rows=2 | sources_rows=4
[LINE 106] UID=TG2023AC107 | family_rows=1 | sources_rows=4
[LINE 107] UID=TG2023AC108 | family_rows=1 | sources_rows=2
[LINE 108] UID=TG2023AC109 | family_rows=1 | sources_rows=3
[LINE 109] UID=TG2023AC110 | family_rows=1 | sources_rows=4
[LINE 110] UID=TG2023AC111 | family_rows=1 | sources_rows=6
[LINE 111] UID=TG2023AC112 | family_rows=1 | sources_rows=4
[LINE 112] Existing error preserved | UID=TG2023AC113
[LINE 113] UID=TG2023AC114 | family_rows=2 | sources_rows=5
[LINE 114] UID=TG2023AC115 | family_rows=1 | sources_rows=3
[LINE 115] UID=TG2023AC116 | family_rows=2 | sources_rows=4
[LINE 116] UID=TG2023AC117 | family_rows=1 | sources_rows=4
[LINE 117] UID=TG2023AC118 | family_rows=1 | sources_rows=4
[LINE 118] UID=TG2023AC119 | family_rows=1 | sources_rows=5

PROCESSING COMPLETE
Total family rows: 146
Total source rows: 481
