[LINE 1] UID=WB2021AC01 | family_rows=1 | sources_rows=4
[LINE 34] UID=WB2021AC34 | family_rows=1 | sources_rows=4
[LINE 35] UID=WB2021AC35 | family_rows=1 | sources_rows=3
[LINE 36] UID=WB2021AC36 | family_rows=1 | sources_rows=3
[LINE 37] UID=WB2021AC37 | family_rows=1 | sources_rows=3
[LINE 38] UID=WB2021AC38 | family_rows=1 | sources_rows=3
[LINE 39] UID=WB2021AC39 | family_rows=1 | sources_rows=3
[LINE 40] UID=WB2021AC40 | family_rows=1 | sources_rows=4
[LINE 41] UID=WB2021AC41 | family_rows=1 | sources_rows=4
[LINE 42] UID=WB2021AC42 | family_rows=1 | sources_rows=5
[LINE 43] UID=WB2021AC43 | family_rows=1 | sources_rows=3
[LINE 44] UID=WB2021AC44 | family_rows=1 | sources_rows=2
[LINE 45] UID=WB2021AC45 | family_rows=1 | sources_rows=4
[LINE 46] UID=WB2021AC46 | family_rows=1 | sources_rows=5
[LINE 47] UID=WB2021AC47 | family_rows=1 | sources_rows=3
[LINE 48] UID=WB2021AC48 | family_rows=1 | sources_rows=4
[LINE 49] UID=WB2021AC49 | family_rows=1 | sources_rows=3
[LINE 50] UID=WB2021AC50 | family_rows=1 | sources_rows=4
[LINE 51] UID=WB2021AC51 | family_rows=1 | sources_rows=5
[LINE 52] UID=WB2021AC52 | family_rows=1 | sources_rows=3
[LINE 53] UID=WB2021AC53 | family_rows=1 | sources_rows=4
[LINE 54] UID=WB2021AC54 | family_rows=1 | sources_rows=3
[LINE 55] UID=WB2021AC55 | family_rows=1 | sources_rows=3
[LINE 56] UID=WB2021AC57 | family_rows=1 | sources_rows=3
[LINE 57] UID=WB2021AC59 | family_rows=1 | sources_rows=3
[LINE 58] UID=WB2021AC60 | family_rows=1 | sources_rows=5
[LINE 59] UID=WB2021AC61 | family_rows=1 | sources_rows=3
[LINE 60] UID=WB2021AC62 | family_rows=1 | sources_rows=5
[LINE 61] UID=WB2021AC63 | family_rows=1 | sources_rows=3
[LINE 62] UID=WB2021AC64 | family_rows=1 | sources_rows=3
[LINE 63] UID=WB2021AC65 | family_rows=1 | sources_rows=3
[LINE 64] UID=WB2021AC66 | family_rows=1 | sources_rows=5
[LINE 65] UID=WB2021AC67 | family_rows=1 | sources_rows=2
[LINE 66] UID=WB2021AC68 | family_rows=1 | sources_rows=4
[LINE 67] Existing error preserved | UID=WB2021AC69
[LINE 68] UID=WB2021AC70 | family_rows=1 | sources_rows=3
[LINE 69] UID=WB2021AC71 | family_rows=1 | sources_rows=3
[LINE 70] UID=WB2021AC72 | family_rows=1 | sources_rows=3
[LINE 71] UID=WB2021AC73 | family_rows=1 | sources_rows=3
[LINE 72] UID=WB2021AC74 | family_rows=1 | sources_rows=5
[LINE 73] UID=WB2021AC75 | family_rows=1 | sources_rows=4
[LINE 74] UID=WB2021AC76 | family_rows=1 | sources_rows=4
[LINE 75] UID=WB2021AC77 | family_rows=1 | sources_rows=3
[LINE 76] UID=WB2021AC78 | family_rows=1 | sources_rows=3
[LINE 77] UID=WB2021AC79 | family_rows=1 | sources_rows=3
[LINE 78] UID=WB2021AC80 | family_rows=1 | sources_rows=5
[LINE 79] UID=WB2021AC81 | family_rows=1 | sources_rows=3
[LINE 80] UID=WB2021AC82 | family_rows=1 | sources_rows=2
[LINE 81] UID=WB2021AC83 | family_rows=1 | sources_rows=3
[LINE 82] UID=WB2021AC84 | family_rows=1 | sources_rows=4
[LINE 83] UID=WB2021AC85 | family_rows=3 | sources_rows=3
[LINE 84] UID=WB2021AC86 | family_rows=1 | sources_rows=5
[LINE 85] UID=WB2021AC87 | family_rows=1 | sources_rows=3
[LINE 86] UID=WB2021AC88 | family_rows=1 | sources_rows=3
[LINE 87] UID=WB2021AC89 | family_rows=1 | sources_rows=3
[LINE 88] UID=WB2021AC90 | family_rows=1 | sources_rows=3
[LINE 89] UID=WB2021AC91 | family_rows=1 | sources_rows=3
[LINE 90] UID=WB2021AC92 | family_rows=1 | sources_rows=3
[LINE 91] UID=WB2021AC93 | family_rows=1 | sources_rows=3
[LINE 92] UID=WB2021AC94 | family_rows=1 | sources_rows=3
[LINE 93] UID=WB2021AC95 | family_rows=1 | sources_rows=6
[LINE 94] UID=WB2021AC96 | family_rows=1 | sources_rows=4
[LINE 95] UID=WB2021AC97 | family_rows=5 | sources_rows=7
[LINE 96] UID=WB2021AC98 | family_rows=1 | sources_rows=3
[LINE 97] UID=WB2021AC99 | family_rows=1 | sources_rows=2
[LINE 98] UID=WB2021AC100 | family_rows=2 | sources_rows=4
[LINE 99] UID=WB2021AC101 | family_rows=1 | sources_rows=3
[LINE 100] UID=WB2021AC102 | family_rows=1 | sources_rows=3
[LINE 101] UID=WB2021AC103 | family_rows=1 | sources_rows=3
[LINE 102] UID=WB2021AC104 | family_rows=1 | sources_rows=6
[LINE 103] UID=WB2021AC105 | family_rows=2 | sources_rows=3
[LINE 104] UID=WB2021AC106 | family_rows=1 | sources_rows=3
[LINE 105] UID=WB2021AC107 | family_rows=1 | sources_rows=5
[LINE 106] UID=WB2021AC108 | family_rows=1 | sources_rows=3
[LINE 107] Existing error preserved | UID=WB2021AC109
[LINE 108] UID=WB2021AC110 | family_rows=1 | sources_rows=4
[LINE 109] UID=WB2021AC111 | family_rows=1 | sources_rows=3
[LINE 110] UID=WB2021AC112 | family_rows=1 | sources_rows=1
[LINE 111] UID=WB2021AC113 | family_rows=1 | sources_rows=5
[LINE 112] UID=WB2021AC114 | family_rows=1 | sources_rows=7
[LINE 113] UID=WB2021AC115 | family_rows=1 | sources_rows=3
[LINE 114] UID=WB2021AC116 | family_rows=4 | sources_rows=4
[LINE 115] UID=WB2021AC117 | family_rows=1 | sources_rows=3
[LINE 116] UID=WB2021AC118 | family_rows=1 | sources_rows=3
[LINE 117] UID=WB2021AC119 | family_rows=1 | sources_rows=4
[LINE 118] UID=WB2021AC120 | family_rows=1 | sources_rows=5
[LINE 119] UID=WB2021AC121 | family_rows=1 | sources_rows=2
[LINE 120] UID=WB2021AC122 | family_rows=1 | sources_rows=3
[LINE 121] UID=WB2021AC123 | family_rows=1 | sources_rows=3
[LINE 122] UID=WB2021AC124 | family_rows=1 | sources_rows=5
[LINE 123] UID=WB2021AC125 | family_rows=1 | sources_rows=5
[LINE 124] Existing error preserved | UID=WB2021AC126
[LINE 125] UID=WB2021AC127 | family_rows=1 | sources_rows=4
[LINE 126] UID=WB2021AC128 | family_rows=1 | sources_rows=3
[LINE 127] UID=WB2021AC129 | family_rows=1 | sources_rows=3
[LINE 128] UID=WB2021AC130 | family_rows=1 | sources_rows=3
[LINE 129] UID=WB2021AC131 | family_rows=1 | sources_rows=3
[LINE 130] UID=WB2021AC132 | family_rows=1 | sources_rows=4
[LINE 131] UID=WB2021AC133 | family_rows=1 | sources_rows=4
[LINE 132] UID=WB2021AC134 | family_rows=1 | sources_rows=3
[LINE 133] UID=WB2021AC135 | family_rows=1 | sources_rows=4
[LINE 134] UID=WB2021AC136 | family_rows=1 | sources_rows=4
[LINE 135] UID=WB2021AC137 | family_rows=1 | sources_rows=3
[LINE 136] UID=WB2021AC138 | family_rows=1 | sources_rows=3
[LINE 137] Existing error preserved | UID=WB2021AC139
[LINE 138] UID=WB2021AC140 | family_rows=1 | sources_rows=4
[LINE 139] UID=WB2021AC141 | family_rows=1 | sources_rows=3
[LINE 140] UID=WB2021AC142 | family_rows=1 | sources_rows=3
[LINE 141] UID=WB2021AC143 | family_rows=1 | sources_rows=4
[LINE 142] UID=WB2021AC144 | family_rows=1 | sources_rows=5
[LINE 143] UID=WB2021AC145 | family_rows=1 | sources_rows=4
[LINE 144] UID=WB2021AC146 | family_rows=1 | sources_rows=4
[LINE 145] UID=WB2021AC147 | family_rows=1 | sources_rows=3
[LINE 146] UID=WB2021AC148 | family_rows=2 | sources_rows=3
[LINE 147] UID=WB2021AC149 | family_rows=1 | sources_rows=1
[LINE 148] UID=WB2021AC150 | family_rows=1 | sources_rows=4
[LINE 149] UID=WB2021AC151 | family_rows=1 | sources_rows=3
[LINE 150] UID=WB2021AC152 | family_rows=2 | sources_rows=2
[LINE 151] UID=WB2021AC153 | family_rows=1 | sources_rows=4
[LINE 152] UID=WB2021AC154 | family_rows=1 | sources_rows=6
[LINE 153] UID=WB2021AC155 | family_rows=2 | sources_rows=3
[LINE 154] UID=WB2021AC156 | family_rows=1 | sources_rows=3
[LINE 155] UID=WB2021AC157 | family_rows=1 | sources_rows=2
[LINE 156] UID=WB2021AC158 | family_rows=1 | sources_rows=5
[LINE 157] UID=WB2021AC159 | family_rows=1 | sources_rows=5
[LINE 158] UID=WB2021AC160 | family_rows=1 | sources_rows=3
[LINE 159] UID=WB2021AC161 | family_rows=1 | sources_rows=5
[LINE 160] UID=WB2021AC162 | family_rows=1 | sources_rows=3
[LINE 161] UID=WB2021AC163 | family_rows=1 | sources_rows=3
[LINE 162] UID=WB2021AC164 | family_rows=1 | sources_rows=3
[LINE 163] UID=WB2021AC165 | family_rows=1 | sources_rows=3
[LINE 164] UID=WB2021AC166 | family_rows=1 | sources_rows=3
[LINE 165] UID=WB2021AC167 | family_rows=1 | sources_rows=3
[LINE 166] UID=WB2021AC168 | family_rows=1 | sources_rows=3
[LINE 167] UID=WB2021AC169 | family_rows=1 | sources_rows=4
[LINE 168] UID=WB2021AC170 | family_rows=1 | sources_rows=3
[LINE 169] UID=WB2021AC171 | family_rows=1 | sources_rows=3
[LINE 170] UID=WB2021AC172 | family_rows=1 | sources_rows=3
[LINE 171] UID=WB2021AC173 | family_rows=1 | sources_rows=2
[LINE 172] UID=WB2021AC174 | family_rows=1 | sources_rows=4
[LINE 173] UID=WB2021AC175 | family_rows=1 | sources_rows=3
[LINE 174] UID=WB2021AC176 | family_rows=1 | sources_rows=4
[LINE 175] UID=WB2021AC177 | family_rows=1 | sources_rows=5
[LINE 176] UID=WB2021AC178 | family_rows=1 | sources_rows=4
[LINE 177] UID=WB2021AC179 | family_rows=1 | sources_rows=4
[LINE 178] UID=WB2021AC180 | family_rows=1 | sources_rows=5
[LINE 179] UID=WB2021AC181 | family_rows=1 | sources_rows=3
[LINE 180] UID=WB2021AC182 | family_rows=1 | sources_rows=4
[LINE 181] UID=WB2021AC183 | family_rows=1 | sources_rows=4
[LINE 182] UID=WB2021AC184 | family_rows=1 | sources_rows=2
[LINE 183] UID=WB2021AC185 | family_rows=1 | sources_rows=4
[LINE 184] UID=WB2021AC186 | family_rows=1 | sources_rows=3
[LINE 185] UID=WB2021AC187 | family_rows=1 | sources_rows=3
[LINE 186] UID=WB2021AC188 | family_rows=2 | sources_rows=4
[LINE 187] UID=WB2021AC189 | family_rows=1 | sources_rows=4
[LINE 188] UID=WB2021AC190 | family_rows=1 | sources_rows=3
[LINE 189] UID=WB2021AC191 | family_rows=1 | sources_rows=5
[LINE 190] UID=WB2021AC192 | family_rows=1 | sources_rows=5
[LINE 191] UID=WB2021AC193 | family_rows=1 | sources_rows=3
[LINE 192] UID=WB2021AC194 | family_rows=1 | sources_rows=5
[LINE 193] UID=WB2021AC195 | family_rows=1 | sources_rows=4
[LINE 194] UID=WB2021AC196 | family_rows=1 | sources_rows=4
[LINE 195] UID=WB2021AC197 | family_rows=1 | sources_rows=4
[LINE 196] UID=WB2021AC198 | family_rows=1 | sources_rows=3
[LINE 197] UID=WB2021AC199 | family_rows=1 | sources_rows=4
[LINE 198] UID=WB2021AC200 | family_rows=1 | sources_rows=3
[LINE 199] UID=WB2021AC201 | family_rows=1 | sources_rows=3
[LINE 200] UID=WB2021AC202 | family_rows=1 | sources_rows=5
[LINE 201] Existing error preserved | UID=WB2021AC203
[LINE 202] UID=WB2021AC204 | family_rows=1 | sources_rows=4
[LINE 203] UID=WB2021AC205 | family_rows=1 | sources_rows=4
[LINE 204] UID=WB2021AC206 | family_rows=1 | sources_rows=4
[LINE 205] UID=WB2021AC207 | family_rows=1 | sources_rows=3
[LINE 206] UID=WB2021AC208 | family_rows=1 | sources_rows=3
[LINE 207] UID=WB2021AC209 | family_rows=1 | sources_rows=3
[LINE 208] UID=WB2021AC210 | family_rows=3 | sources_rows=6
[LINE 209] UID=WB2021AC211 | family_rows=1 | sources_rows=4
[LINE 210] UID=WB2021AC212 | family_rows=1 | sources_rows=3
[LINE 211] UID=WB2021AC213 | family_rows=1 | sources_rows=3
[LINE 212] UID=WB2021AC214 | family_rows=1 | sources_rows=2
[LINE 213] UID=WB2021AC215 | family_rows=1 | sources_rows=3
[LINE 214] UID=WB2021AC216 | family_rows=1 | sources_rows=4
[LINE 215] UID=WB2021AC217 | family_rows=1 | sources_rows=5
[LINE 216] UID=WB2021AC218 | family_rows=1 | sources_rows=3
[LINE 217] UID=WB2021AC219 | family_rows=1 | sources_rows=3
[LINE 218] UID=WB2021AC220 | family_rows=1 | sources_rows=3
[LINE 219] UID=WB2021AC221 | family_rows=1 | sources_rows=3
[LINE 220] UID=WB2021AC222 | family_rows=2 | sources_rows=6
[LINE 221] UID=WB2021AC223 | family_rows=1 | sources_rows=4
[LINE 222] UID=WB2021AC224 | family_rows=1 | sources_rows=4
[LINE 223] UID=WB2021AC225 | family_rows=1 | sources_rows=2
[LINE 224] UID=WB2021AC226 | family_rows=2 | sources_rows=3
[LINE 225] UID=WB2021AC227 | family_rows=1 | sources_rows=4
[LINE 226] UID=WB2021AC228 | family_rows=1 | sources_rows=3
[LINE 227] UID=WB2021AC229 | family_rows=1 | sources_rows=5
[LINE 228] UID=WB2021AC230 | family_rows=1 | sources_rows=2
[LINE 229] UID=WB2021AC231 | family_rows=1 | sources_rows=3
[LINE 230] UID=WB2021AC232 | family_rows=1 | sources_rows=3
[LINE 231] UID=WB2021AC233 | family_rows=1 | sources_rows=3
[LINE 232] UID=WB2021AC234 | family_rows=1 | sources_rows=1
[LINE 233] UID=WB2021AC235 | family_rows=1 | sources_rows=4
[LINE 234] UID=WB2021AC236 | family_rows=1 | sources_rows=3
[LINE 235] UID=WB2021AC237 | family_rows=1 | sources_rows=3
[LINE 236] UID=WB2021AC238 | family_rows=1 | sources_rows=3
[LINE 237] UID=WB2021AC239 | family_rows=1 | sources_rows=3
[LINE 238] UID=WB2021AC240 | family_rows=1 | sources_rows=3
[LINE 239] UID=WB2021AC241 | family_rows=1 | sources_rows=5
[LINE 240] UID=WB2021AC242 | family_rows=1 | sources_rows=3
[LINE 241] UID=WB2021AC243 | family_rows=1 | sources_rows=3
[LINE 242] UID=WB2021AC244 | family_rows=1 | sources_rows=3
[LINE 243] UID=WB2021AC245 | family_rows=1 | sources_rows=3
[LINE 244] UID=WB2021AC246 | family_rows=1 | sources_rows=3
[LINE 245] UID=WB2021AC247 | family_rows=1 | sources_rows=5
[LINE 246] UID=WB2021AC248 | family_rows=1 | sources_rows=3
[LINE 247] UID=WB2021AC249 | family_rows=1 | sources_rows=4
[LINE 248] UID=WB2021AC250 | family_rows=1 | sources_rows=3
[LINE 249] UID=WB2021AC251 | family_rows=1 | sources_rows=4
[LINE 250] UID=WB2021AC252 | family_rows=1 | sources_rows=4
[LINE 251] UID=WB2021AC253 | family_rows=1 | sources_rows=3
[LINE 252] UID=WB2021AC254 | family_rows=1 | sources_rows=3
[LINE 253] UID=WB2021AC255 | family_rows=1 | sources_rows=3
[LINE 254] UID=WB2021AC256 | family_rows=1 | sources_rows=3
[LINE 255] UID=WB2021AC257 | family_rows=1 | sources_rows=5
[LINE 256] UID=WB2021AC258 | family_rows=1 | sources_rows=3
[LINE 257] UID=WB2021AC259 | family_rows=1 | sources_rows=4
[LINE 258] UID=WB2021AC260 | family_rows=1 | sources_rows=1
[LINE 259] UID=WB2021AC261 | family_rows=1 | sources_rows=4
[LINE 260] UID=WB2021AC262 | family_rows=1 | sources_rows=2
[LINE 261] UID=WB2021AC263 | family_rows=1 | sources_rows=5
[LINE 262] UID=WB2021AC264 | family_rows=1 | sources_rows=3
[LINE 263] UID=WB2021AC265 | family_rows=1 | sources_rows=4
[LINE 264] UID=WB2021AC266 | family_rows=1 | sources_rows=3
[LINE 265] UID=WB2021AC267 | family_rows=1 | sources_rows=3
[LINE 266] UID=WB2021AC268 | family_rows=1 | sources_rows=4
[LINE 267] UID=WB2021AC269 | family_rows=1 | sources_rows=3
[LINE 268] UID=WB2021AC270 | family_rows=1 | sources_rows=4
[LINE 269] UID=WB2021AC271 | family_rows=1 | sources_rows=3
[LINE 270] UID=WB2021AC272 | family_rows=1 | sources_rows=3
[LINE 271] UID=WB2021AC273 | family_rows=1 | sources_rows=3
[LINE 272] UID=WB2021AC274 | family_rows=1 | sources_rows=3
[LINE 273] UID=WB2021AC275 | family_rows=1 | sources_rows=5
[LINE 274] UID=WB2021AC276 | family_rows=1 | sources_rows=3
[LINE 275] UID=WB2021AC277 | family_rows=1 | sources_rows=3
[LINE 276] UID=WB2021AC278 | family_rows=1 | sources_rows=3
[LINE 277] UID=WB2021AC279 | family_rows=1 | sources_rows=3
[LINE 278] UID=WB2021AC280 | family_rows=1 | sources_rows=4
[LINE 279] UID=WB2021AC281 | family_rows=1 | sources_rows=3
[LINE 280] UID=WB2021AC282 | family_rows=1 | sources_rows=3
[LINE 281] UID=WB2021AC283 | family_rows=1 | sources_rows=3
[LINE 282] UID=WB2021AC284 | family_rows=1 | sources_rows=3
[LINE 283] UID=WB2021AC285 | family_rows=1 | sources_rows=3
[LINE 284] UID=WB2021AC286 | family_rows=1 | sources_rows=3
[LINE 285] UID=WB2021AC287 | family_rows=1 | sources_rows=3
[LINE 286] UID=WB2021AC288 | family_rows=1 | sources_rows=3
[LINE 287] UID=WB2021AC289 | family_rows=1 | sources_rows=3
[LINE 288] UID=WB2021AC290 | family_rows=1 | sources_rows=3
[LINE 289] UID=WB2021AC291 | family_rows=1 | sources_rows=3
[LINE 290] UID=WB2021AC292 | family_rows=1 | sources_rows=3
[LINE 291] UID=WB2021AC293 | family_rows=1 | sources_rows=3
[LINE 292] UID=WB2021AC294 | family_rows=1 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 308
Total source rows: 1013
