[LINE 1] UID=CG2023AC01 | family_rows=1 | sources_rows=5
[LINE 76] UID=CG2023AC76 | family_rows=1 | sources_rows=3
[LINE 77] UID=CG2023AC77 | family_rows=1 | sources_rows=5
[LINE 78] UID=CG2023AC78 | family_rows=1 | sources_rows=5
[LINE 79] UID=CG2023AC79 | family_rows=1 | sources_rows=5
[LINE 80] UID=CG2023AC80 | family_rows=1 | sources_rows=4
[LINE 81] UID=CG2023AC81 | family_rows=1 | sources_rows=3
[LINE 82] UID=CG2023AC82 | family_rows=1 | sources_rows=5
[LINE 83] UID=CG2023AC83 | family_rows=1 | sources_rows=2
[LINE 84] UID=CG2023AC84 | family_rows=2 | sources_rows=6
[LINE 85] UID=CG2023AC85 | family_rows=1 | sources_rows=4
[LINE 86] UID=CG2023AC86 | family_rows=1 | sources_rows=3
[LINE 87] UID=CG2023AC87 | family_rows=1 | sources_rows=1
[LINE 88] UID=CG2023AC88 | family_rows=1 | sources_rows=1
[LINE 89] UID=CG2023AC89 | family_rows=1 | sources_rows=4
[LINE 90] UID=CG2023AC90 | family_rows=1 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 98
Total source rows: 326
