[LINE 1] UID=KL2021AC01 | family_rows=1 | sources_rows=3
[LINE 33] UID=KL2021AC33 | family_rows=1 | sources_rows=5
[LINE 34] UID=KL2021AC34 | family_rows=1 | sources_rows=3
[LINE 35] UID=KL2021AC35 | family_rows=2 | sources_rows=3
[LINE 36] UID=KL2021AC36 | family_rows=1 | sources_rows=4
[LINE 37] UID=KL2021AC37 | family_rows=1 | sources_rows=4
[LINE 38] UID=KL2021AC38 | family_rows=1 | sources_rows=3
[LINE 39] UID=KL2021AC39 | family_rows=1 | sources_rows=2
[LINE 40] UID=KL2021AC40 | family_rows=1 | sources_rows=7
[LINE 41] UID=KL2021AC41 | family_rows=2 | sources_rows=4
[LINE 42] UID=KL2021AC42 | family_rows=1 | sources_rows=3
[LINE 43] UID=KL2021AC43 | family_rows=1 | sources_rows=3
[LINE 44] UID=KL2021AC44 | family_rows=1 | sources_rows=4
[LINE 45] UID=KL2021AC45 | family_rows=1 | sources_rows=3
[LINE 46] UID=KL2021AC46 | family_rows=1 | sources_rows=4
[LINE 47] UID=KL2021AC47 | family_rows=1 | sources_rows=4
[LINE 48] UID=KL2021AC48 | family_rows=1 | sources_rows=3
[LINE 49] UID=KL2021AC49 | family_rows=1 | sources_rows=3
[LINE 50] UID=KL2021AC50 | family_rows=1 | sources_rows=4
[LINE 51] UID=KL2021AC51 | family_rows=1 | sources_rows=3
[LINE 52] UID=KL2021AC52 | family_rows=1 | sources_rows=3
[LINE 53] UID=KL2021AC53 | family_rows=1 | sources_rows=4
[LINE 54] UID=KL2021AC54 | family_rows=1 | sources_rows=4
[LINE 55] UID=KL2021AC55 | family_rows=1 | sources_rows=5
[LINE 56] UID=KL2021AC56 | family_rows=1 | sources_rows=6
[LINE 57] UID=KL2021AC57 | family_rows=1 | sources_rows=3
[LINE 58] UID=KL2021AC58 | family_rows=1 | sources_rows=3
[LINE 59] UID=KL2021AC59 | family_rows=1 | sources_rows=3
[LINE 60] UID=KL2021AC60 | family_rows=1 | sources_rows=3
[LINE 61] UID=KL2021AC61 | family_rows=1 | sources_rows=3
[LINE 62] UID=KL2021AC62 | family_rows=1 | sources_rows=3
[LINE 63] UID=KL2021AC63 | family_rows=1 | sources_rows=3
[LINE 64] UID=KL2021AC64 | family_rows=1 | sources_rows=4
[LINE 65] UID=KL2021AC65 | family_rows=1 | sources_rows=5
[LINE 66] UID=KL2021AC66 | family_rows=1 | sources_rows=5
[LINE 67] UID=KL2021AC67 | family_rows=1 | sources_rows=5
[LINE 68] UID=KL2021AC68 | family_rows=1 | sources_rows=5
[LINE 69] UID=KL2021AC69 | family_rows=1 | sources_rows=5
[LINE 70] UID=KL2021AC70 | family_rows=1 | sources_rows=3
[LINE 71] UID=KL2021AC71 | family_rows=1 | sources_rows=4
[LINE 72] UID=KL2021AC72 | family_rows=1 | sources_rows=3
[LINE 73] UID=KL2021AC73 | family_rows=1 | sources_rows=4
[LINE 74] UID=KL2021AC74 | family_rows=1 | sources_rows=4
[LINE 75] UID=KL2021AC75 | family_rows=1 | sources_rows=4
[LINE 76] UID=KL2021AC76 | family_rows=1 | sources_rows=3
[LINE 77] UID=KL2021AC77 | family_rows=1 | sources_rows=4
[LINE 78] UID=KL2021AC78 | family_rows=1 | sources_rows=3
[LINE 79] UID=KL2021AC79 | family_rows=1 | sources_rows=4
[LINE 80] UID=KL2021AC80 | family_rows=1 | sources_rows=5
[LINE 81] UID=KL2021AC81 | family_rows=1 | sources_rows=6
[LINE 82] UID=KL2021AC82 | family_rows=1 | sources_rows=5
[LINE 83] UID=KL2021AC83 | family_rows=1 | sources_rows=3
[LINE 84] UID=KL2021AC84 | family_rows=1 | sources_rows=4
[LINE 85] UID=KL2021AC85 | family_rows=1 | sources_rows=4
[LINE 86] Existing error preserved | UID=KL2021AC86
[LINE 87] UID=KL2021AC87 | family_rows=1 | sources_rows=4
[LINE 88] UID=KL2021AC88 | family_rows=1 | sources_rows=6
[LINE 89] UID=KL2021AC89 | family_rows=1 | sources_rows=6
[LINE 90] UID=KL2021AC90 | family_rows=1 | sources_rows=3
[LINE 91] UID=KL2021AC91 | family_rows=1 | sources_rows=4
[LINE 92] UID=KL2021AC92 | family_rows=1 | sources_rows=2
[LINE 93] UID=KL2021AC93 | family_rows=1 | sources_rows=4
[LINE 94] UID=KL2021AC94 | family_rows=1 | sources_rows=2
[LINE 95] UID=KL2021AC95 | family_rows=1 | sources_rows=1
[LINE 96] UID=KL2021AC96 | family_rows=1 | sources_rows=3
[LINE 97] UID=KL2021AC97 | family_rows=1 | sources_rows=4
[LINE 98] UID=KL2021AC98 | family_rows=1 | sources_rows=5
[LINE 99] UID=KL2021AC99 | family_rows=1 | sources_rows=4
[LINE 100] UID=KL2021AC100 | family_rows=1 | sources_rows=3
[LINE 101] UID=KL2021AC101 | family_rows=1 | sources_rows=3
[LINE 102] UID=KL2021AC102 | family_rows=1 | sources_rows=4
[LINE 103] UID=KL2021AC103 | family_rows=1 | sources_rows=2
[LINE 104] UID=KL2021AC104 | family_rows=1 | sources_rows=5
[LINE 105] UID=KL2021AC105 | family_rows=1 | sources_rows=5
[LINE 106] UID=KL2021AC106 | family_rows=1 | sources_rows=3
[LINE 107] UID=KL2021AC107 | family_rows=1 | sources_rows=2
[LINE 108] UID=KL2021AC108 | family_rows=1 | sources_rows=5
[LINE 109] UID=KL2021AC109 | family_rows=1 | sources_rows=1
[LINE 110] UID=KL2021AC110 | family_rows=1 | sources_rows=6
[LINE 111] UID=KL2021AC111 | family_rows=1 | sources_rows=5
[LINE 112] UID=KL2021AC112 | family_rows=1 | sources_rows=3
[LINE 113] UID=KL2021AC113 | family_rows=1 | sources_rows=2
[LINE 114] UID=KL2021AC114 | family_rows=1 | sources_rows=5
[LINE 115] UID=KL2021AC115 | family_rows=1 | sources_rows=7
[LINE 116] UID=KL2021AC116 | family_rows=3 | sources_rows=2
[LINE 117] UID=KL2021AC117 | family_rows=2 | sources_rows=4
[LINE 118] UID=KL2021AC118 | family_rows=1 | sources_rows=2
[LINE 119] UID=KL2021AC119 | family_rows=1 | sources_rows=3
[LINE 120] UID=KL2021AC120 | family_rows=1 | sources_rows=3
[LINE 121] UID=KL2021AC121 | family_rows=1 | sources_rows=4
[LINE 122] UID=KL2021AC122 | family_rows=1 | sources_rows=4
[LINE 123] UID=KL2021AC123 | family_rows=1 | sources_rows=5
[LINE 124] UID=KL2021AC124 | family_rows=1 | sources_rows=3
[LINE 125] UID=KL2021AC125 | family_rows=1 | sources_rows=4
[LINE 126] UID=KL2021AC126 | family_rows=1 | sources_rows=3
[LINE 127] UID=KL2021AC127 | family_rows=1 | sources_rows=3
[LINE 128] UID=KL2021AC128 | family_rows=1 | sources_rows=4
[LINE 129] UID=KL2021AC129 | family_rows=1 | sources_rows=3
[LINE 130] UID=KL2021AC130 | family_rows=1 | sources_rows=5
[LINE 131] UID=KL2021AC131 | family_rows=1 | sources_rows=5
[LINE 132] UID=KL2021AC132 | family_rows=1 | sources_rows=4
[LINE 133] UID=KL2021AC133 | family_rows=1 | sources_rows=5
[LINE 134] UID=KL2021AC134 | family_rows=1 | sources_rows=4
[LINE 135] UID=KL2021AC135 | family_rows=2 | sources_rows=3
[LINE 136] UID=KL2021AC136 | family_rows=1 | sources_rows=3
[LINE 137] UID=KL2021AC137 | family_rows=1 | sources_rows=3
[LINE 138] UID=KL2021AC138 | family_rows=1 | sources_rows=4
[LINE 139] UID=KL2021AC139 | family_rows=1 | sources_rows=4
[LINE 140] UID=KL2021AC140 | family_rows=1 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 147
Total source rows: 527
