[LINE 1] UID=TN2021AC01 | family_rows=1 | sources_rows=4
[LINE 40] UID=TN2021AC40 | family_rows=1 | sources_rows=5
[LINE 41] UID=TN2021AC41 | family_rows=1 | sources_rows=2
[LINE 42] UID=TN2021AC42 | family_rows=1 | sources_rows=4
[LINE 43] UID=TN2021AC43 | family_rows=1 | sources_rows=4
[LINE 44] UID=TN2021AC44 | family_rows=1 | sources_rows=4
[LINE 45] UID=TN2021AC45 | family_rows=1 | sources_rows=3
[LINE 46] UID=TN2021AC46 | family_rows=1 | sources_rows=3
[LINE 47] UID=TN2021AC47 | family_rows=1 | sources_rows=4
[LINE 48] UID=TN2021AC48 | family_rows=1 | sources_rows=3
[LINE 49] UID=TN2021AC49 | family_rows=1 | sources_rows=3
[LINE 50] UID=TN2021AC50 | family_rows=1 | sources_rows=4
[LINE 51] UID=TN2021AC51 | family_rows=1 | sources_rows=3
[LINE 52] UID=TN2021AC52 | family_rows=1 | sources_rows=3
[LINE 53] UID=TN2021AC53 | family_rows=1 | sources_rows=4
[LINE 54] UID=TN2021AC54 | family_rows=1 | sources_rows=4
[LINE 55] UID=TN2021AC55 | family_rows=1 | sources_rows=3
[LINE 56] UID=TN2021AC56 | family_rows=1 | sources_rows=4
[LINE 57] UID=TN2021AC57 | family_rows=5 | sources_rows=2
[LINE 58] UID=TN2021AC58 | family_rows=1 | sources_rows=3
[LINE 59] UID=TN2021AC59 | family_rows=1 | sources_rows=3
[LINE 60] UID=TN2021AC60 | family_rows=1 | sources_rows=3
[LINE 61] UID=TN2021AC61 | family_rows=1 | sources_rows=4
[LINE 62] UID=TN2021AC62 | family_rows=1 | sources_rows=3
[LINE 63] UID=TN2021AC63 | family_rows=1 | sources_rows=3
[LINE 64] Existing error preserved | UID=TN2021AC64
[LINE 65] UID=TN2021AC65 | family_rows=1 | sources_rows=2
[LINE 66] UID=TN2021AC66 | family_rows=1 | sources_rows=5
[LINE 67] UID=TN2021AC67 | family_rows=1 | sources_rows=3
[LINE 68] UID=TN2021AC68 | family_rows=1 | sources_rows=3
[LINE 69] UID=TN2021AC69 | family_rows=1 | sources_rows=4
[LINE 70] UID=TN2021AC70 | family_rows=1 | sources_rows=5
[LINE 71] UID=TN2021AC71 | family_rows=1 | sources_rows=3
[LINE 72] UID=TN2021AC72 | family_rows=1 | sources_rows=3
[LINE 73] UID=TN2021AC73 | family_rows=1 | sources_rows=3
[LINE 74] UID=TN2021AC74 | family_rows=1 | sources_rows=3
[LINE 75] UID=TN2021AC75 | family_rows=1 | sources_rows=5
[LINE 76] UID=TN2021AC76 | family_rows=1 | sources_rows=3
[LINE 77] UID=TN2021AC77 | family_rows=1 | sources_rows=3
[LINE 78] UID=TN2021AC78 | family_rows=1 | sources_rows=4
[LINE 79] UID=TN2021AC79 | family_rows=1 | sources_rows=4
[LINE 80] UID=TN2021AC80 | family_rows=1 | sources_rows=3
[LINE 81] UID=TN2021AC81 | family_rows=1 | sources_rows=3
[LINE 82] UID=TN2021AC82 | family_rows=1 | sources_rows=3
[LINE 83] UID=TN2021AC83 | family_rows=1 | sources_rows=5
[LINE 84] UID=TN2021AC84 | family_rows=1 | sources_rows=4
[LINE 85] UID=TN2021AC85 | family_rows=1 | sources_rows=3
[LINE 86] UID=TN2021AC86 | family_rows=1 | sources_rows=6
[LINE 87] UID=TN2021AC87 | family_rows=1 | sources_rows=3
[LINE 88] UID=TN2021AC88 | family_rows=1 | sources_rows=6
[LINE 89] UID=TN2021AC89 | family_rows=1 | sources_rows=5
[LINE 90] UID=TN2021AC90 | family_rows=1 | sources_rows=3
[LINE 91] UID=TN2021AC91 | family_rows=1 | sources_rows=4
[LINE 92] UID=TN2021AC92 | family_rows=1 | sources_rows=2
[LINE 93] UID=TN2021AC93 | family_rows=1 | sources_rows=5
[LINE 94] UID=TN2021AC94 | family_rows=1 | sources_rows=4
[LINE 95] UID=TN2021AC95 | family_rows=1 | sources_rows=3
[LINE 96] UID=TN2021AC96 | family_rows=1 | sources_rows=4
[LINE 97] UID=TN2021AC97 | family_rows=1 | sources_rows=4
[LINE 98] UID=TN2021AC98 | family_rows=3 | sources_rows=3
[LINE 99] UID=TN2021AC99 | family_rows=1 | sources_rows=4
[LINE 100] UID=TN2021AC100 | family_rows=1 | sources_rows=3
[LINE 101] UID=TN2021AC101 | family_rows=1 | sources_rows=4
[LINE 102] UID=TN2021AC102 | family_rows=1 | sources_rows=3
[LINE 103] UID=TN2021AC103 | family_rows=1 | sources_rows=3
[LINE 104] UID=TN2021AC104 | family_rows=1 | sources_rows=3
[LINE 105] UID=TN2021AC105 | family_rows=1 | sources_rows=3
[LINE 106] UID=TN2021AC106 | family_rows=1 | sources_rows=5
[LINE 107] UID=TN2021AC107 | family_rows=1 | sources_rows=3
[LINE 108] UID=TN2021AC108 | family_rows=1 | sources_rows=3
[LINE 109] UID=TN2021AC109 | family_rows=1 | sources_rows=3
[LINE 110] UID=TN2021AC110 | family_rows=1 | sources_rows=3
[LINE 111] UID=TN2021AC111 | family_rows=1 | sources_rows=3
[LINE 112] UID=TN2021AC112 | family_rows=1 | sources_rows=5
[LINE 113] UID=TN2021AC113 | family_rows=1 | sources_rows=6
[LINE 114] UID=TN2021AC114 | family_rows=1 | sources_rows=1
[LINE 115] UID=TN2021AC115 | family_rows=1 | sources_rows=3
[LINE 116] UID=TN2021AC116 | family_rows=1 | sources_rows=3
[LINE 117] UID=TN2021AC117 | family_rows=1 | sources_rows=3
[LINE 118] UID=TN2021AC118 | family_rows=1 | sources_rows=3
[LINE 119] Existing error preserved | UID=TN2021AC119
[LINE 120] UID=TN2021AC120 | family_rows=1 | sources_rows=5
[LINE 121] UID=TN2021AC121 | family_rows=1 | sources_rows=4
[LINE 122] UID=TN2021AC122 | family_rows=1 | sources_rows=3
[LINE 123] UID=TN2021AC123 | family_rows=1 | sources_rows=6
[LINE 124] UID=TN2021AC124 | family_rows=1 | sources_rows=5
[LINE 125] UID=TN2021AC125 | family_rows=1 | sources_rows=3
[LINE 126] UID=TN2021AC126 | family_rows=1 | sources_rows=5
[LINE 127] Existing error preserved | UID=TN2021AC127
[LINE 128] UID=TN2021AC128 | family_rows=1 | sources_rows=5
[LINE 129] UID=TN2021AC129 | family_rows=1 | sources_rows=5
[LINE 130] UID=TN2021AC130 | family_rows=1 | sources_rows=3
[LINE 131] UID=TN2021AC131 | family_rows=1 | sources_rows=3
[LINE 132] UID=TN2021AC132 | family_rows=1 | sources_rows=3
[LINE 133] UID=TN2021AC133 | family_rows=1 | sources_rows=3
[LINE 134] UID=TN2021AC134 | family_rows=1 | sources_rows=4
[LINE 135] UID=TN2021AC135 | family_rows=1 | sources_rows=4
[LINE 136] UID=TN2021AC136 | family_rows=1 | sources_rows=3
[LINE 137] UID=TN2021AC137 | family_rows=1 | sources_rows=4
[LINE 138] UID=TN2021AC138 | family_rows=1 | sources_rows=3
[LINE 139] UID=TN2021AC139 | family_rows=1 | sources_rows=4
[LINE 140] Existing error preserved | UID=TN2021AC140
[LINE 141] UID=TN2021AC141 | family_rows=1 | sources_rows=4
[LINE 142] UID=TN2021AC142 | family_rows=3 | sources_rows=5
[LINE 143] UID=TN2021AC143 | family_rows=1 | sources_rows=4
[LINE 144] UID=TN2021AC144 | family_rows=1 | sources_rows=4
[LINE 145] UID=TN2021AC145 | family_rows=1 | sources_rows=3
[LINE 146] UID=TN2021AC146 | family_rows=1 | sources_rows=4
[LINE 147] UID=TN2021AC147 | family_rows=1 | sources_rows=3
[LINE 148] Existing error preserved | UID=TN2021AC148
[LINE 149] UID=TN2021AC149 | family_rows=1 | sources_rows=4
[LINE 150] UID=TN2021AC150 | family_rows=1 | sources_rows=3
[LINE 151] UID=TN2021AC151 | family_rows=1 | sources_rows=4
[LINE 152] UID=TN2021AC152 | family_rows=1 | sources_rows=5
[LINE 153] UID=TN2021AC153 | family_rows=1 | sources_rows=4
[LINE 154] UID=TN2021AC154 | family_rows=1 | sources_rows=4
[LINE 155] UID=TN2021AC155 | family_rows=1 | sources_rows=5
[LINE 156] UID=TN2021AC156 | family_rows=1 | sources_rows=1
[LINE 157] UID=TN2021AC157 | family_rows=1 | sources_rows=4
[LINE 158] UID=TN2021AC158 | family_rows=1 | sources_rows=4
[LINE 159] UID=TN2021AC159 | family_rows=1 | sources_rows=3
[LINE 160] UID=TN2021AC160 | family_rows=1 | sources_rows=3
[LINE 161] UID=TN2021AC161 | family_rows=1 | sources_rows=3
[LINE 162] UID=TN2021AC162 | family_rows=1 | sources_rows=1
[LINE 163] UID=TN2021AC163 | family_rows=1 | sources_rows=3
[LINE 164] UID=TN2021AC164 | family_rows=1 | sources_rows=4
[LINE 165] UID=TN2021AC165 | family_rows=1 | sources_rows=4
[LINE 166] UID=TN2021AC166 | family_rows=1 | sources_rows=4
[LINE 167] UID=TN2021AC167 | family_rows=1 | sources_rows=3
[LINE 168] UID=TN2021AC168 | family_rows=1 | sources_rows=4
[LINE 169] UID=TN2021AC169 | family_rows=1 | sources_rows=5
[LINE 170] UID=TN2021AC170 | family_rows=1 | sources_rows=5
[LINE 171] UID=TN2021AC171 | family_rows=1 | sources_rows=3
[LINE 172] UID=TN2021AC172 | family_rows=1 | sources_rows=4
[LINE 173] UID=TN2021AC173 | family_rows=1 | sources_rows=3
[LINE 174] UID=TN2021AC174 | family_rows=1 | sources_rows=6
[LINE 175] Existing error preserved | UID=TN2021AC175
[LINE 176] UID=TN2021AC176 | family_rows=1 | sources_rows=6
[LINE 177] UID=TN2021AC177 | family_rows=1 | sources_rows=4
[LINE 178] UID=TN2021AC178 | family_rows=1 | sources_rows=4
[LINE 179] UID=TN2021AC179 | family_rows=1 | sources_rows=4
[LINE 180] UID=TN2021AC180 | family_rows=1 | sources_rows=3
[LINE 181] UID=TN2021AC181 | family_rows=1 | sources_rows=4
[LINE 182] UID=TN2021AC182 | family_rows=1 | sources_rows=4
[LINE 183] Existing error preserved | UID=TN2021AC183
[LINE 184] UID=TN2021AC184 | family_rows=1 | sources_rows=3
[LINE 185] UID=TN2021AC185 | family_rows=1 | sources_rows=4
[LINE 186] UID=TN2021AC186 | family_rows=1 | sources_rows=3
[LINE 187] UID=TN2021AC187 | family_rows=1 | sources_rows=3
[LINE 188] UID=TN2021AC188 | family_rows=1 | sources_rows=5
[LINE 189] UID=TN2021AC189 | family_rows=1 | sources_rows=5
[LINE 190] UID=TN2021AC190 | family_rows=1 | sources_rows=3
[LINE 191] UID=TN2021AC191 | family_rows=1 | sources_rows=3
[LINE 192] UID=TN2021AC192 | family_rows=1 | sources_rows=3
[LINE 193] UID=TN2021AC193 | family_rows=2 | sources_rows=5
[LINE 194] UID=TN2021AC194 | family_rows=1 | sources_rows=4
[LINE 195] UID=TN2021AC195 | family_rows=1 | sources_rows=4
[LINE 196] UID=TN2021AC196 | family_rows=1 | sources_rows=3
[LINE 197] UID=TN2021AC197 | family_rows=1 | sources_rows=3
[LINE 198] UID=TN2021AC198 | family_rows=1 | sources_rows=3
[LINE 199] UID=TN2021AC199 | family_rows=1 | sources_rows=4
[LINE 200] UID=TN2021AC200 | family_rows=1 | sources_rows=3
[LINE 201] UID=TN2021AC201 | family_rows=1 | sources_rows=5
[LINE 202] UID=TN2021AC202 | family_rows=1 | sources_rows=5
[LINE 203] UID=TN2021AC203 | family_rows=1 | sources_rows=3
[LINE 204] UID=TN2021AC204 | family_rows=1 | sources_rows=3
[LINE 205] UID=TN2021AC205 | family_rows=2 | sources_rows=3
[LINE 206] UID=TN2021AC206 | family_rows=1 | sources_rows=4
[LINE 207] UID=TN2021AC207 | family_rows=1 | sources_rows=3
[LINE 208] UID=TN2021AC208 | family_rows=2 | sources_rows=3
[LINE 209] UID=TN2021AC209 | family_rows=1 | sources_rows=4
[LINE 210] UID=TN2021AC210 | family_rows=1 | sources_rows=1
[LINE 211] UID=TN2021AC211 | family_rows=1 | sources_rows=3
[LINE 212] UID=TN2021AC212 | family_rows=3 | sources_rows=2
[LINE 213] UID=TN2021AC213 | family_rows=1 | sources_rows=4
[LINE 214] UID=TN2021AC214 | family_rows=2 | sources_rows=4
[LINE 215] UID=TN2021AC215 | family_rows=1 | sources_rows=4
[LINE 216] UID=TN2021AC216 | family_rows=1 | sources_rows=3
[LINE 217] UID=TN2021AC217 | family_rows=1 | sources_rows=3
[LINE 218] UID=TN2021AC218 | family_rows=1 | sources_rows=5
[LINE 219] UID=TN2021AC219 | family_rows=1 | sources_rows=4
[LINE 220] UID=TN2021AC220 | family_rows=1 | sources_rows=3
[LINE 221] UID=TN2021AC221 | family_rows=1 | sources_rows=3
[LINE 222] UID=TN2021AC222 | family_rows=1 | sources_rows=6
[LINE 223] UID=TN2021AC223 | family_rows=1 | sources_rows=4
[LINE 224] UID=TN2021AC224 | family_rows=1 | sources_rows=5
[LINE 225] UID=TN2021AC225 | family_rows=1 | sources_rows=3
[LINE 226] UID=TN2021AC226 | family_rows=1 | sources_rows=3
[LINE 227] UID=TN2021AC227 | family_rows=1 | sources_rows=4
[LINE 228] UID=TN2021AC228 | family_rows=1 | sources_rows=3
[LINE 229] UID=TN2021AC229 | family_rows=1 | sources_rows=3
[LINE 230] UID=TN2021AC230 | family_rows=1 | sources_rows=3
[LINE 231] UID=TN2021AC231 | family_rows=1 | sources_rows=4
[LINE 232] UID=TN2021AC232 | family_rows=1 | sources_rows=3
[LINE 233] UID=TN2021AC233 | family_rows=1 | sources_rows=5
[LINE 234] UID=TN2021AC234 | family_rows=1 | sources_rows=3

PROCESSING COMPLETE
Total family rows: 251
Total source rows: 824
