[LINE 1] UID=AP2024AC01 | family_rows=1 | sources_rows=1
[LINE 87] UID=AP2024AC87 | family_rows=7 | sources_rows=7
[LINE 88] UID=AP2024AC88 | family_rows=1 | sources_rows=3
[LINE 89] UID=AP2024AC89 | family_rows=1 | sources_rows=4
[LINE 90] UID=AP2024AC90 | family_rows=1 | sources_rows=5
[LINE 91] UID=AP2024AC91 | family_rows=1 | sources_rows=5
[LINE 92] UID=AP2024AC92 | family_rows=1 | sources_rows=4
[LINE 93] UID=AP2024AC93 | family_rows=1 | sources_rows=4
[LINE 94] UID=AP2024AC94 | family_rows=1 | sources_rows=4
[LINE 95] UID=AP2024AC95 | family_rows=1 | sources_rows=4
[LINE 96] UID=AP2024AC96 | family_rows=1 | sources_rows=3
[LINE 97] UID=AP2024AC97 | family_rows=1 | sources_rows=4
[LINE 98] UID=AP2024AC98 | family_rows=1 | sources_rows=3
[LINE 99] UID=AP2024AC99 | family_rows=1 | sources_rows=2
[LINE 100] UID=AP2024AC100 | family_rows=1 | sources_rows=6
[LINE 101] UID=AP2024AC101 | family_rows=2 | sources_rows=4
[LINE 102] UID=AP2024AC102 | family_rows=1 | sources_rows=4
[LINE 103] UID=AP2024AC103 | family_rows=2 | sources_rows=4
[LINE 104] UID=AP2024AC104 | family_rows=1 | sources_rows=6
[LINE 105] UID=AP2024AC105 | family_rows=4 | sources_rows=2
[LINE 106] UID=AP2024AC106 | family_rows=1 | sources_rows=5
[LINE 107] UID=AP2024AC107 | family_rows=1 | sources_rows=5
[LINE 108] UID=AP2024AC108 | family_rows=2 | sources_rows=5
[LINE 109] UID=AP2024AC109 | family_rows=1 | sources_rows=7
[LINE 110] UID=AP2024AC110 | family_rows=1 | sources_rows=4
[LINE 111] UID=AP2024AC111 | family_rows=1 | sources_rows=3
[LINE 112] UID=AP2024AC112 | family_rows=1 | sources_rows=4
[LINE 113] UID=AP2024AC113 | family_rows=2 | sources_rows=3
[LINE 114] UID=AP2024AC114 | family_rows=1 | sources_rows=4
[LINE 115] UID=AP2024AC115 | family_rows=6 | sources_rows=8
[LINE 116] UID=AP2024AC116 | family_rows=1 | sources_rows=5
[LINE 117] UID=AP2024AC117 | family_rows=1 | sources_rows=4
[LINE 118] UID=AP2024AC118 | family_rows=1 | sources_rows=2
[LINE 119] UID=AP2024AC119 | family_rows=2 | sources_rows=3
[LINE 120] UID=AP2024AC120 | family_rows=1 | sources_rows=4
[LINE 121] UID=AP2024AC121 | family_rows=1 | sources_rows=3
[LINE 122] UID=AP2024AC122 | family_rows=1 | sources_rows=4
[LINE 123] UID=AP2024AC123 | family_rows=1 | sources_rows=3
[LINE 124] UID=AP2024AC124 | family_rows=1 | sources_rows=4
[LINE 125] UID=AP2024AC125 | family_rows=2 | sources_rows=1
[LINE 126] UID=AP2024AC126 | family_rows=2 | sources_rows=5
[LINE 127] UID=AP2024AC127 | family_rows=1 | sources_rows=3
[LINE 128] UID=AP2024AC128 | family_rows=1 | sources_rows=3
[LINE 129] UID=AP2024AC129 | family_rows=5 | sources_rows=7
[LINE 130] UID=AP2024AC130 | family_rows=1 | sources_rows=4
[LINE 131] UID=AP2024AC131 | family_rows=1 | sources_rows=3
[LINE 132] UID=AP2024AC132 | family_rows=1 | sources_rows=4
[LINE 133] UID=AP2024AC133 | family_rows=4 | sources_rows=5
[LINE 134] UID=AP2024AC134 | family_rows=3 | sources_rows=4
[LINE 135] UID=AP2024AC135 | family_rows=3 | sources_rows=3
[LINE 136] UID=AP2024AC136 | family_rows=1 | sources_rows=3
[LINE 137] UID=AP2024AC137 | family_rows=1 | sources_rows=3
[LINE 138] UID=AP2024AC138 | family_rows=1 | sources_rows=5
[LINE 139] UID=AP2024AC139 | family_rows=1 | sources_rows=4
[LINE 140] UID=AP2024AC140 | family_rows=1 | sources_rows=4
[LINE 141] UID=AP2024AC141 | family_rows=2 | sources_rows=5
[LINE 142] UID=AP2024AC142 | family_rows=3 | sources_rows=3
[LINE 143] UID=AP2024AC143 | family_rows=1 | sources_rows=5
[LINE 144] UID=AP2024AC144 | family_rows=1 | sources_rows=3
[LINE 145] UID=AP2024AC145 | family_rows=1 | sources_rows=7
[LINE 146] UID=AP2024AC146 | family_rows=1 | sources_rows=4
[LINE 147] UID=AP2024AC147 | family_rows=1 | sources_rows=5
[LINE 148] UID=AP2024AC148 | family_rows=1 | sources_rows=3
[LINE 149] UID=AP2024AC149 | family_rows=1 | sources_rows=4
[LINE 150] UID=AP2024AC150 | family_rows=1 | sources_rows=3
[LINE 151] UID=AP2024AC151 | family_rows=3 | sources_rows=5
[LINE 152] UID=AP2024AC152 | family_rows=1 | sources_rows=6
[LINE 153] UID=AP2024AC153 | family_rows=1 | sources_rows=1
[LINE 154] UID=AP2024AC154 | family_rows=1 | sources_rows=5
[LINE 155] UID=AP2024AC155 | family_rows=2 | sources_rows=5
[LINE 156] UID=AP2024AC156 | family_rows=1 | sources_rows=4
[LINE 157] Existing error preserved | UID=AP2024AC157
[LINE 158] UID=AP2024AC158 | family_rows=1 | sources_rows=3
[LINE 159] UID=AP2024AC159 | family_rows=1 | sources_rows=4
[LINE 160] UID=AP2024AC160 | family_rows=1 | sources_rows=4
[LINE 161] Existing error preserved | UID=AP2024AC161
[LINE 162] UID=AP2024AC162 | family_rows=2 | sources_rows=5
[LINE 163] UID=AP2024AC163 | family_rows=2 | sources_rows=8
[LINE 164] UID=AP2024AC164 | family_rows=1 | sources_rows=3
[LINE 165] UID=AP2024AC165 | family_rows=2 | sources_rows=3
[LINE 166] UID=AP2024AC166 | family_rows=1 | sources_rows=4
[LINE 167] UID=AP2024AC167 | family_rows=1 | sources_rows=3
[LINE 168] UID=AP2024AC168 | family_rows=1 | sources_rows=4
[LINE 169] UID=AP2024AC169 | family_rows=1 | sources_rows=7
[LINE 170] UID=AP2024AC170 | family_rows=3 | sources_rows=3
[LINE 171] UID=AP2024AC171 | family_rows=1 | sources_rows=4
[LINE 172] UID=AP2024AC172 | family_rows=1 | sources_rows=4
[LINE 173] UID=AP2024AC173 | family_rows=1 | sources_rows=5
[LINE 174] UID=AP2024AC174 | family_rows=1 | sources_rows=4
[LINE 175] UID=AP2024AC175 | family_rows=4 | sources_rows=5

PROCESSING COMPLETE
Total family rows: 244
Total source rows: 659
