[LINE 1] UID=AN2024PC01 | family_rows=1 | sources_rows=3
[LINE 32] UID=AS2024PC13 | family_rows=1 | sources_rows=7
[LINE 33] UID=AS2024PC06 | family_rows=1 | sources_rows=4
[LINE 34] UID=AS2024PC05 | family_rows=1 | sources_rows=3
[LINE 35] UID=AS2024PC14 | family_rows=2 | sources_rows=3
[LINE 36] UID=AS2024PC07 | family_rows=1 | sources_rows=3
[LINE 37] UID=AS2024PC10 | family_rows=1 | sources_rows=4
[LINE 38] UID=AS2024PC01 | family_rows=1 | sources_rows=3
[LINE 39] UID=AS2024PC12 | family_rows=1 | sources_rows=5
[LINE 40] UID=AS2024PC09 | family_rows=1 | sources_rows=5
[LINE 41] UID=AS2024PC08 | family_rows=1 | sources_rows=5
[LINE 42] UID=AS2024PC11 | family_rows=1 | sources_rows=3
[LINE 43] UID=BR2024PC09 | family_rows=1 | sources_rows=7
[LINE 44] UID=BR2024PC32 | family_rows=1 | sources_rows=5
[LINE 45] UID=BR2024PC37 | family_rows=1 | sources_rows=5
[LINE 46] UID=BR2024PC27 | family_rows=1 | sources_rows=1
[LINE 47] UID=BR2024PC24 | family_rows=1 | sources_rows=5
[LINE 48] UID=BR2024PC26 | family_rows=1 | sources_rows=4
[LINE 49] UID=BR2024PC33 | family_rows=2 | sources_rows=3
[LINE 50] UID=BR2024PC14 | family_rows=1 | sources_rows=3
[LINE 51] UID=BR2024PC38 | family_rows=5 | sources_rows=4
[LINE 52] UID=BR2024PC17 | family_rows=1 | sources_rows=3
[LINE 53] UID=BR2024PC21 | family_rows=6 | sources_rows=6
[LINE 54] UID=BR2024PC36 | family_rows=1 | sources_rows=3
[LINE 55] UID=BR2024PC40 | family_rows=5 | sources_rows=5
[LINE 56] UID=BR2024PC07 | family_rows=1 | sources_rows=5
[LINE 57] UID=BR2024PC35 | family_rows=1 | sources_rows=5
[LINE 58] UID=BR2024PC11 | family_rows=2 | sources_rows=6
[LINE 59] UID=BR2024PC25 | family_rows=1 | sources_rows=8
[LINE 60] UID=BR2024PC10 | family_rows=1 | sources_rows=4
[LINE 61] UID=BR2024PC13 | family_rows=1 | sources_rows=3
[LINE 62] UID=BR2024PC06 | family_rows=1 | sources_rows=4
[LINE 63] UID=BR2024PC19 | family_rows=1 | sources_rows=9
[LINE 64] UID=BR2024PC28 | family_rows=1 | sources_rows=3
[LINE 65] UID=BR2024PC15 | family_rows=1 | sources_rows=5
[LINE 66] UID=BR2024PC29 | family_rows=1 | sources_rows=5
[LINE 67] UID=BR2024PC39 | family_rows=1 | sources_rows=3
[LINE 68] UID=BR2024PC02 | family_rows=1 | sources_rows=2
[LINE 69] UID=BR2024PC31 | family_rows=8 | sources_rows=5
[LINE 70] UID=BR2024PC30 | family_rows=2 | sources_rows=3
[LINE 71] UID=BR2024PC12 | family_rows=1 | sources_rows=5
[LINE 72] UID=BR2024PC03 | family_rows=1 | sources_rows=6
[LINE 73] UID=BR2024PC23 | family_rows=3 | sources_rows=5
[LINE 74] UID=BR2024PC20 | family_rows=1 | sources_rows=5
[LINE 75] UID=BR2024PC34 | family_rows=1 | sources_rows=5
[LINE 76] UID=BR2024PC04 | family_rows=4 | sources_rows=5
[LINE 77] UID=BR2024PC05 | family_rows=1 | sources_rows=4
[LINE 78] UID=BR2024PC18 | family_rows=1 | sources_rows=4
[LINE 79] UID=BR2024PC08 | family_rows=1 | sources_rows=5
[LINE 80] UID=BR2024PC22 | family_rows=1 | sources_rows=3
[LINE 81] UID=BR2024PC16 | family_rows=2 | sources_rows=4
[LINE 82] UID=BR2024PC01 | family_rows=1 | sources_rows=3
[LINE 83] UID=CH2024PC01 | family_rows=2 | sources_rows=3
[LINE 84] UID=CG2024PC10 | family_rows=1 | sources_rows=2
[LINE 85] UID=CG2024PC05 | family_rows=1 | sources_rows=3
[LINE 86] UID=CG2024PC07 | family_rows=1 | sources_rows=4
[LINE 87] UID=CG2024PC03 | family_rows=1 | sources_rows=4
[LINE 88] UID=CG2024PC11 | family_rows=1 | sources_rows=4
[LINE 89] UID=CG2024PC04 | family_rows=1 | sources_rows=3
[LINE 90] UID=CG2024PC09 | family_rows=1 | sources_rows=4
[LINE 91] UID=CG2024PC02 | family_rows=1 | sources_rows=4
[LINE 92] UID=CG2024PC08 | family_rows=1 | sources_rows=4
[LINE 93] UID=CG2024PC06 | family_rows=1 | sources_rows=5
[LINE 94] UID=CG2024PC01 | family_rows=1 | sources_rows=5
[LINE 95] UID=DH2024PC01 | family_rows=1 | sources_rows=3
[LINE 96] UID=DD2024PC01 | family_rows=1 | sources_rows=5
[LINE 97] UID=DL2024PC01 | family_rows=1 | sources_rows=1
[LINE 98] UID=DL2024PC03 | family_rows=1 | sources_rows=5
[LINE 99] UID=DL2024PC04 | family_rows=2 | sources_rows=4
[LINE 100] UID=DL2024PC02 | family_rows=1 | sources_rows=3
[LINE 101] UID=DL2024PC05 | family_rows=1 | sources_rows=4
[LINE 102] UID=DL2024PC07 | family_rows=1 | sources_rows=4
[LINE 103] UID=DL2024PC06 | family_rows=1 | sources_rows=6
[LINE 104] UID=GA2024PC01 | family_rows=1 | sources_rows=3
[LINE 105] UID=GA2024PC02 | family_rows=1 | sources_rows=5
[LINE 106] UID=GJ2024PC07 | family_rows=1 | sources_rows=3
[LINE 107] UID=GJ2024PC08 | family_rows=1 | sources_rows=6
[LINE 108] UID=GJ2024PC14 | family_rows=1 | sources_rows=3
[LINE 109] UID=GJ2024PC16 | family_rows=1 | sources_rows=4
[LINE 110] UID=GJ2024PC02 | family_rows=1 | sources_rows=3
[LINE 111] UID=GJ2024PC23 | family_rows=1 | sources_rows=4
[LINE 112] UID=GJ2024PC22 | family_rows=1 | sources_rows=3
[LINE 113] UID=GJ2024PC15 | family_rows=1 | sources_rows=6
[LINE 114] UID=GJ2024PC21 | family_rows=1 | sources_rows=5
[LINE 115] UID=GJ2024PC19 | family_rows=1 | sources_rows=5
[LINE 116] UID=GJ2024PC06 | family_rows=1 | sources_rows=4
[LINE 117] UID=GJ2024PC12 | family_rows=2 | sources_rows=8
[LINE 118] UID=GJ2024PC13 | family_rows=1 | sources_rows=5
[LINE 119] UID=GJ2024PC01 | family_rows=1 | sources_rows=5
[LINE 120] UID=GJ2024PC17 | family_rows=1 | sources_rows=4
[LINE 121] Existing error preserved | UID=GJ2024PC04
[LINE 122] UID=GJ2024PC25 | family_rows=1 | sources_rows=2
[LINE 123] UID=GJ2024PC18 | family_rows=1 | sources_rows=5
[LINE 124] UID=GJ2024PC03 | family_rows=1 | sources_rows=4
[LINE 125] UID=GJ2024PC11 | family_rows=1 | sources_rows=4
[LINE 126] UID=GJ2024PC10 | family_rows=1 | sources_rows=5
[LINE 127] UID=GJ2024PC05 | family_rows=1 | sources_rows=6
[LINE 128] UID=GJ2024PC24 | family_rows=1 | sources_rows=5
[LINE 129] UID=GJ2024PC09 | family_rows=1 | sources_rows=4
[LINE 130] UID=GJ2024PC20 | family_rows=1 | sources_rows=4
[LINE 131] Existing error preserved | UID=GJ2024PC26
[LINE 132] UID=HR2024PC01 | family_rows=2 | sources_rows=4
[LINE 133] UID=HR2024PC08 | family_rows=1 | sources_rows=5
[LINE 134] UID=HR2024PC10 | family_rows=2 | sources_rows=3
[LINE 135] UID=HR2024PC09 | family_rows=2 | sources_rows=6
[LINE 136] UID=HR2024PC04 | family_rows=1 | sources_rows=5
[LINE 137] UID=HR2024PC05 | family_rows=1 | sources_rows=5
[LINE 138] UID=HR2024PC02 | family_rows=2 | sources_rows=4
[LINE 139] UID=HR2024PC07 | family_rows=4 | sources_rows=5
[LINE 140] UID=HR2024PC03 | family_rows=1 | sources_rows=6
[LINE 141] UID=HR2024PC06 | family_rows=1 | sources_rows=5
[LINE 142] UID=HP2024PC03 | family_rows=2 | sources_rows=4
[LINE 143] UID=HP2024PC01 | family_rows=1 | sources_rows=3
[LINE 144] UID=HP2024PC02 | family_rows=2 | sources_rows=4
[LINE 145] UID=HP2024PC04 | family_rows=1 | sources_rows=4
[LINE 146] UID=JK2024PC03 | family_rows=3 | sources_rows=5
[LINE 147] UID=JK2024PC01 | family_rows=1 | sources_rows=2
[LINE 148] UID=JK2024PC05 | family_rows=1 | sources_rows=4
[LINE 149] Existing error preserved | UID=JK2024PC02
[LINE 150] UID=JK2024PC04 | family_rows=1 | sources_rows=3
[LINE 151] UID=JH2024PC04 | family_rows=1 | sources_rows=4
[LINE 152] UID=JH2024PC07 | family_rows=1 | sources_rows=7
[LINE 153] UID=JH2024PC02 | family_rows=1 | sources_rows=1
[LINE 154] UID=JH2024PC06 | family_rows=1 | sources_rows=4
[LINE 155] UID=JH2024PC03 | family_rows=1 | sources_rows=5
[LINE 156] UID=JH2024PC14 | family_rows=1 | sources_rows=2
[LINE 157] UID=JH2024PC09 | family_rows=1 | sources_rows=5
[LINE 158] UID=JH2024PC11 | family_rows=1 | sources_rows=2
[LINE 159] UID=JH2024PC05 | family_rows=1 | sources_rows=4
[LINE 160] UID=JH2024PC12 | family_rows=1 | sources_rows=5
[LINE 161] UID=JH2024PC13 | family_rows=1 | sources_rows=4
[LINE 162] UID=JH2024PC01 | family_rows=1 | sources_rows=3
[LINE 163] UID=JH2024PC08 | family_rows=1 | sources_rows=5
[LINE 164] UID=JH2024PC10 | family_rows=1 | sources_rows=2
[LINE 165] UID=KA2024PC03 | family_rows=1 | sources_rows=5
[LINE 166] UID=KA2024PC25 | family_rows=1 | sources_rows=6
[LINE 167] UID=KA2024PC24 | family_rows=1 | sources_rows=6
[LINE 168] UID=KA2024PC23 | family_rows=4 | sources_rows=6
[LINE 169] UID=KA2024PC26 | family_rows=1 | sources_rows=4
[LINE 170] UID=KA2024PC02 | family_rows=4 | sources_rows=5
[LINE 171] UID=KA2024PC09 | family_rows=1 | sources_rows=4
[LINE 172] UID=KA2024PC07 | family_rows=3 | sources_rows=4
[LINE 173] UID=KA2024PC04 | family_rows=1 | sources_rows=4
[LINE 174] UID=KA2024PC22 | family_rows=1 | sources_rows=5
[LINE 175] UID=KA2024PC27 | family_rows=1 | sources_rows=3
[LINE 176] UID=KA2024PC01 | family_rows=5 | sources_rows=6
[LINE 177] UID=KA2024PC18 | family_rows=1 | sources_rows=3
[LINE 178] UID=KA2024PC17 | family_rows=1 | sources_rows=4
[LINE 179] UID=KA2024PC13 | family_rows=2 | sources_rows=5
[LINE 180] UID=KA2024PC11 | family_rows=3 | sources_rows=5
[LINE 181] UID=KA2024PC05 | family_rows=2 | sources_rows=5
[LINE 182] UID=KA2024PC16 | family_rows=2 | sources_rows=3
[LINE 183] UID=KA2024PC10 | family_rows=2 | sources_rows=5
[LINE 184] UID=KA2024PC28 | family_rows=1 | sources_rows=4
[LINE 185] UID=KA2024PC08 | family_rows=1 | sources_rows=3
[LINE 186] UID=KA2024PC20 | family_rows=5 | sources_rows=8
[LINE 187] UID=KA2024PC21 | family_rows=2 | sources_rows=4
[LINE 188] UID=KA2024PC06 | family_rows=1 | sources_rows=4
[LINE 189] UID=KA2024PC14 | family_rows=2 | sources_rows=5
[LINE 190] UID=KA2024PC19 | family_rows=1 | sources_rows=4
[LINE 191] UID=KA2024PC15 | family_rows=1 | sources_rows=5
[LINE 192] UID=KA2024PC12 | family_rows=1 | sources_rows=6
[LINE 193] UID=KL2024PC15 | family_rows=1 | sources_rows=5
[LINE 194] UID=KL2024PC09 | family_rows=1 | sources_rows=5
[LINE 195] UID=KL2024PC19 | family_rows=1 | sources_rows=4
[LINE 196] UID=KL2024PC11 | family_rows=1 | sources_rows=5
[LINE 197] UID=KL2024PC12 | family_rows=1 | sources_rows=5
[LINE 198] UID=KL2024PC13 | family_rows=1 | sources_rows=7
[LINE 199] UID=KL2024PC02 | family_rows=1 | sources_rows=4
[LINE 200] UID=KL2024PC01 | family_rows=1 | sources_rows=4
[LINE 201] UID=KL2024PC18 | family_rows=1 | sources_rows=8
[LINE 202] UID=KL2024PC14 | family_rows=1 | sources_rows=4
[LINE 203] UID=KL2024PC05 | family_rows=1 | sources_rows=3
[LINE 204] UID=KL2024PC06 | family_rows=1 | sources_rows=4
[LINE 205] UID=KL2024PC16 | family_rows=1 | sources_rows=7
[LINE 206] UID=KL2024PC08 | family_rows=1 | sources_rows=3
[LINE 207] UID=KL2024PC17 | family_rows=1 | sources_rows=5
[LINE 208] UID=KL2024PC07 | family_rows=1 | sources_rows=4
[LINE 209] UID=KL2024PC20 | family_rows=1 | sources_rows=4
[LINE 210] UID=KL2024PC10 | family_rows=1 | sources_rows=5
[LINE 211] UID=KL2024PC03 | family_rows=1 | sources_rows=5
[LINE 212] UID=KL2024PC04 | family_rows=8 | sources_rows=6
[LINE 213] UID=LA2024PC01 | family_rows=1 | sources_rows=6
[LINE 214] UID=LD2024PC01 | family_rows=1 | sources_rows=4
[LINE 215] UID=MP2024PC15 | family_rows=2 | sources_rows=2
[LINE 216] UID=MP2024PC29 | family_rows=1 | sources_rows=4
[LINE 217] UID=MP2024PC02 | family_rows=1 | sources_rows=5
[LINE 218] UID=MP2024PC19 | family_rows=1 | sources_rows=6
[LINE 219] UID=MP2024PC16 | family_rows=1 | sources_rows=5
[LINE 220] UID=MP2024PC07 | family_rows=1 | sources_rows=3
[LINE 221] UID=MP2024PC21 | family_rows=1 | sources_rows=5
[LINE 222] UID=MP2024PC25 | family_rows=1 | sources_rows=5
[LINE 223] UID=MP2024PC04 | family_rows=4 | sources_rows=5
[LINE 224] UID=MP2024PC03 | family_rows=1 | sources_rows=4
[LINE 225] UID=MP2024PC17 | family_rows=1 | sources_rows=3
[LINE 226] UID=MP2024PC26 | family_rows=1 | sources_rows=3
[LINE 227] UID=MP2024PC13 | family_rows=1 | sources_rows=2
[LINE 228] Existing error preserved | UID=MP2024PC08
[LINE 229] UID=MP2024PC28 | family_rows=1 | sources_rows=3
[LINE 230] UID=MP2024PC27 | family_rows=1 | sources_rows=4
[LINE 231] UID=MP2024PC14 | family_rows=1 | sources_rows=5
[LINE 232] UID=MP2024PC23 | family_rows=1 | sources_rows=6
[LINE 233] UID=MP2024PC01 | family_rows=1 | sources_rows=3
[LINE 234] UID=MP2024PC20 | family_rows=1 | sources_rows=4
[LINE 235] UID=MP2024PC24 | family_rows=1 | sources_rows=3
[LINE 236] UID=MP2024PC10 | family_rows=1 | sources_rows=4
[LINE 237] UID=MP2024PC05 | family_rows=1 | sources_rows=2
[LINE 238] UID=MP2024PC09 | family_rows=1 | sources_rows=4
[LINE 239] UID=MP2024PC12 | family_rows=3 | sources_rows=5
[LINE 240] UID=MP2024PC11 | family_rows=1 | sources_rows=6
[LINE 241] UID=MP2024PC06 | family_rows=1 | sources_rows=2
[LINE 242] UID=MP2024PC22 | family_rows=1 | sources_rows=5
[LINE 243] UID=MP2024PC18 | family_rows=1 | sources_rows=3
[LINE 244] UID=MH2024PC37 | family_rows=1 | sources_rows=3
[LINE 245] UID=MH2024PC06 | family_rows=3 | sources_rows=5
[LINE 246] UID=MH2024PC07 | family_rows=1 | sources_rows=4
[LINE 247] UID=MH2024PC19 | family_rows=1 | sources_rows=5
[LINE 248] UID=MH2024PC35 | family_rows=3 | sources_rows=4
[LINE 249] UID=MH2024PC39 | family_rows=1 | sources_rows=5
[LINE 250] UID=MH2024PC11 | family_rows=1 | sources_rows=5
[LINE 251] UID=MH2024PC23 | family_rows=1 | sources_rows=5
[LINE 252] UID=MH2024PC05 | family_rows=1 | sources_rows=3
[LINE 253] UID=MH2024PC13 | family_rows=1 | sources_rows=3
[LINE 254] UID=MH2024PC02 | family_rows=1 | sources_rows=6
[LINE 255] UID=MH2024PC20 | family_rows=1 | sources_rows=4
[LINE 256] UID=MH2024PC12 | family_rows=1 | sources_rows=4
[LINE 257] Existing error preserved | UID=MH2024PC48
[LINE 258] UID=MH2024PC15 | family_rows=1 | sources_rows=4
[LINE 259] UID=MH2024PC03 | family_rows=1 | sources_rows=5
[LINE 260] UID=MH2024PC18 | family_rows=1 | sources_rows=3
[LINE 261] UID=MH2024PC24 | family_rows=1 | sources_rows=4
[LINE 262] UID=MH2024PC47 | family_rows=2 | sources_rows=4
[LINE 263] UID=MH2024PC41 | family_rows=1 | sources_rows=5
[LINE 264] UID=MH2024PC43 | family_rows=3 | sources_rows=5
[LINE 265] UID=MH2024PC33 | family_rows=1 | sources_rows=5
[LINE 266] UID=MH2024PC26 | family_rows=2 | sources_rows=4
[LINE 267] UID=MH2024PC29 | family_rows=2 | sources_rows=4
[LINE 268] UID=MH2024PC28 | family_rows=2 | sources_rows=3
[LINE 269] UID=MH2024PC27 | family_rows=1 | sources_rows=3
[LINE 270] UID=MH2024PC31 | family_rows=1 | sources_rows=5
[LINE 271] UID=MH2024PC30 | family_rows=1 | sources_rows=5
[LINE 272] UID=MH2024PC10 | family_rows=1 | sources_rows=4
[LINE 273] UID=MH2024PC16 | family_rows=2 | sources_rows=3
[LINE 274] UID=MH2024PC01 | family_rows=1 | sources_rows=4
[LINE 275] UID=MH2024PC21 | family_rows=3 | sources_rows=3
[LINE 276] UID=MH2024PC40 | family_rows=3 | sources_rows=3
[LINE 277] UID=MH2024PC22 | family_rows=2 | sources_rows=4
[LINE 278] UID=MH2024PC17 | family_rows=1 | sources_rows=6
[LINE 279] UID=MH2024PC34 | family_rows=1 | sources_rows=3
[LINE 280] Existing error preserved | UID=MH2024PC32
[LINE 281] UID=MH2024PC09 | family_rows=1 | sources_rows=3
[LINE 282] Existing error preserved | UID=MH2024PC46
[LINE 283] UID=MH2024PC04 | family_rows=2 | sources_rows=4
[LINE 284] Existing error preserved | UID=MH2024PC44
[LINE 285] UID=MH2024PC45 | family_rows=2 | sources_rows=2
[LINE 286] UID=MH2024PC38 | family_rows=1 | sources_rows=5
[LINE 287] UID=MH2024PC36 | family_rows=1 | sources_rows=6
[LINE 288] UID=MH2024PC42 | family_rows=1 | sources_rows=5
[LINE 289] UID=MH2024PC25 | family_rows=1 | sources_rows=5
[LINE 290] UID=MH2024PC08 | family_rows=1 | sources_rows=3
[LINE 291] UID=MH2024PC14 | family_rows=1 | sources_rows=3
[LINE 292] UID=MN2024PC01 | family_rows=1 | sources_rows=7
[LINE 293] UID=MN2024PC02 | family_rows=1 | sources_rows=2
[LINE 294] UID=ML2024PC01 | family_rows=1 | sources_rows=4
[LINE 295] UID=ML2024PC02 | family_rows=1 | sources_rows=6
[LINE 296] UID=MZ2024PC01 | family_rows=1 | sources_rows=3
[LINE 297] UID=NL2024PC01 | family_rows=1 | sources_rows=5
[LINE 298] UID=OR2024PC19 | family_rows=2 | sources_rows=3
[LINE 299] Existing error preserved | UID=OR2024PC06
[LINE 300] UID=OR2024PC01 | family_rows=1 | sources_rows=4
[LINE 301] UID=OR2024PC20 | family_rows=1 | sources_rows=5
[LINE 302] UID=OR2024PC07 | family_rows=1 | sources_rows=3
[LINE 303] UID=OR2024PC18 | family_rows=1 | sources_rows=3
[LINE 304] UID=OR2024PC10 | family_rows=5 | sources_rows=6
[LINE 305] UID=OR2024PC14 | family_rows=1 | sources_rows=3
[LINE 306] UID=OR2024PC09 | family_rows=1 | sources_rows=5
[LINE 307] UID=OR2024PC16 | family_rows=1 | sources_rows=3
[LINE 308] UID=OR2024PC08 | family_rows=1 | sources_rows=3
[LINE 309] Existing error preserved | UID=OR2024PC11
[LINE 310] UID=OR2024PC13 | family_rows=1 | sources_rows=5
[LINE 311] Existing error preserved | UID=OR2024PC15
[LINE 312] UID=OR2024PC04 | family_rows=1 | sources_rows=3
[LINE 313] UID=OR2024PC21 | family_rows=2 | sources_rows=4
[LINE 314] UID=OR2024PC05 | family_rows=1 | sources_rows=5
[LINE 315] UID=OR2024PC12 | family_rows=1 | sources_rows=4
[LINE 316] UID=OR2024PC17 | family_rows=1 | sources_rows=7
[LINE 317] UID=OR2024PC03 | family_rows=1 | sources_rows=3
[LINE 318] UID=OR2024PC02 | family_rows=1 | sources_rows=9
[LINE 319] Existing error preserved | UID=PY2024PC01
[LINE 320] UID=PB2024PC02 | family_rows=1 | sources_rows=2
[LINE 321] UID=PB2024PC06 | family_rows=1 | sources_rows=4
[LINE 322] UID=PB2024PC11 | family_rows=4 | sources_rows=5
[LINE 323] UID=PB2024PC09 | family_rows=2 | sources_rows=4
[LINE 324] UID=PB2024PC08 | family_rows=1 | sources_rows=4
[LINE 325] UID=PB2024PC10 | family_rows=1 | sources_rows=2
[LINE 326] UID=PB2024PC01 | family_rows=4 | sources_rows=5
[LINE 327] UID=PB2024PC05 | family_rows=1 | sources_rows=2
[LINE 328] UID=PB2024PC04 | family_rows=4 | sources_rows=5
[LINE 329] UID=PB2024PC03 | family_rows=2 | sources_rows=3
[LINE 330] UID=PB2024PC07 | family_rows=1 | sources_rows=2
[LINE 331] UID=PB2024PC13 | family_rows=1 | sources_rows=5
[LINE 332] UID=PB2024PC12 | family_rows=1 | sources_rows=4
[LINE 333] UID=RJ2024PC13 | family_rows=1 | sources_rows=1
[LINE 334] UID=RJ2024PC08 | family_rows=1 | sources_rows=5
[LINE 335] UID=RJ2024PC20 | family_rows=1 | sources_rows=4
[LINE 336] UID=RJ2024PC17 | family_rows=1 | sources_rows=4
[LINE 337] UID=RJ2024PC09 | family_rows=2 | sources_rows=3
[LINE 338] UID=RJ2024PC23 | family_rows=1 | sources_rows=2
[LINE 339] UID=RJ2024PC02 | family_rows=1 | sources_rows=1
[LINE 340] UID=RJ2024PC21 | family_rows=1 | sources_rows=4
[LINE 341] UID=RJ2024PC03 | family_rows=3 | sources_rows=6
[LINE 342] UID=RJ2024PC11 | family_rows=1 | sources_rows=2
[LINE 343] UID=RJ2024PC01 | family_rows=2 | sources_rows=2
[LINE 344] UID=RJ2024PC07 | family_rows=1 | sources_rows=3
[LINE 345] UID=RJ2024PC06 | family_rows=1 | sources_rows=5
[LINE 346] UID=RJ2024PC18 | family_rows=1 | sources_rows=3
[LINE 347] UID=RJ2024PC25 | family_rows=4 | sources_rows=7
[LINE 348] UID=RJ2024PC04 | family_rows=4 | sources_rows=5
[LINE 349] UID=RJ2024PC16 | family_rows=1 | sources_rows=8
[LINE 350] UID=RJ2024PC10 | family_rows=1 | sources_rows=5
[LINE 351] UID=RJ2024PC24 | family_rows=1 | sources_rows=5
[LINE 352] UID=RJ2024PC14 | family_rows=3 | sources_rows=4
[LINE 353] UID=RJ2024PC15 | family_rows=1 | sources_rows=5
[LINE 354] UID=RJ2024PC22 | family_rows=6 | sources_rows=2
[LINE 355] UID=RJ2024PC05 | family_rows=1 | sources_rows=5
[LINE 356] UID=RJ2024PC12 | family_rows=1 | sources_rows=3
[LINE 357] UID=RJ2024PC19 | family_rows=1 | sources_rows=4
[LINE 358] UID=SK2024PC01 | family_rows=1 | sources_rows=3
[LINE 359] UID=TN2024PC07 | family_rows=1 | sources_rows=4
[LINE 360] UID=TN2024PC12 | family_rows=1 | sources_rows=3
[LINE 361] UID=TN2024PC04 | family_rows=2 | sources_rows=5
[LINE 362] UID=TN2024PC02 | family_rows=1 | sources_rows=5
[LINE 363] UID=TN2024PC03 | family_rows=2 | sources_rows=5
[LINE 364] UID=TN2024PC27 | family_rows=1 | sources_rows=4
[LINE 365] UID=TN2024PC20 | family_rows=1 | sources_rows=4
[LINE 366] UID=TN2024PC26 | family_rows=3 | sources_rows=5
[LINE 367] UID=TN2024PC10 | family_rows=1 | sources_rows=4
[LINE 368] UID=TN2024PC22 | family_rows=1 | sources_rows=7
[LINE 369] UID=TN2024PC17 | family_rows=1 | sources_rows=3
[LINE 370] UID=TN2024PC14 | family_rows=1 | sources_rows=4
[LINE 371] UID=TN2024PC06 | family_rows=1 | sources_rows=3
[LINE 372] UID=TN2024PC39 | family_rows=2 | sources_rows=5
[LINE 373] UID=TN2024PC23 | family_rows=1 | sources_rows=5
[LINE 374] UID=TN2024PC09 | family_rows=1 | sources_rows=3
[LINE 375] UID=TN2024PC32 | family_rows=1 | sources_rows=4
[LINE 376] UID=TN2024PC28 | family_rows=1 | sources_rows=6
[LINE 377] UID=TN2024PC29 | family_rows=1 | sources_rows=6
[LINE 378] UID=TN2024PC16 | family_rows=1 | sources_rows=5
[LINE 379] UID=TN2024PC19 | family_rows=1 | sources_rows=5
[LINE 380] UID=TN2024PC25 | family_rows=1 | sources_rows=1
[LINE 381] UID=TN2024PC21 | family_rows=1 | sources_rows=3
[LINE 382] UID=TN2024PC35 | family_rows=1 | sources_rows=6
[LINE 383] UID=TN2024PC15 | family_rows=1 | sources_rows=3
[LINE 384] UID=TN2024PC31 | family_rows=1 | sources_rows=3
[LINE 385] UID=TN2024PC05 | family_rows=1 | sources_rows=4
[LINE 386] UID=TN2024PC37 | family_rows=1 | sources_rows=6
[LINE 387] UID=TN2024PC30 | family_rows=1 | sources_rows=1
[LINE 388] UID=TN2024PC33 | family_rows=1 | sources_rows=4
[LINE 389] UID=TN2024PC01 | family_rows=1 | sources_rows=5
[LINE 390] UID=TN2024PC36 | family_rows=6 | sources_rows=3
[LINE 391] UID=TN2024PC24 | family_rows=1 | sources_rows=4
[LINE 392] UID=TN2024PC38 | family_rows=1 | sources_rows=6
[LINE 393] UID=TN2024PC18 | family_rows=1 | sources_rows=6
[LINE 394] UID=TN2024PC11 | family_rows=1 | sources_rows=3
[LINE 395] UID=TN2024PC08 | family_rows=1 | sources_rows=6
[LINE 396] UID=TN2024PC13 | family_rows=1 | sources_rows=5
[LINE 397] UID=TN2024PC34 | family_rows=1 | sources_rows=4
[LINE 398] UID=TG2024PC01 | family_rows=1 | sources_rows=4
[LINE 399] UID=TG2024PC14 | family_rows=1 | sources_rows=3
[LINE 400] UID=TG2024PC10 | family_rows=1 | sources_rows=5
