[LINE 1] UID=TG2014PC01 | family_rows=1 | sources_rows=4
[LINE 122] UID=TG2014PC10 | family_rows=1 | sources_rows=4
[LINE 123] UID=TN2014PC04 | family_rows=1 | sources_rows=5
[LINE 124] UID=TN2014PC02 | family_rows=1 | sources_rows=8
[LINE 125] UID=TN2014PC03 | family_rows=1 | sources_rows=4
[LINE 126] UID=MP2014PC16 | family_rows=2 | sources_rows=5
[LINE 127] Existing error preserved | UID=GJ2014PC21
[LINE 128] UID=TN2014PC27 | family_rows=1 | sources_rows=6
[LINE 129] Existing error preserved | UID=KA2014PC27
[LINE 130] UID=KA2014PC01 | family_rows=1 | sources_rows=3
[LINE 131] Existing error preserved | UID=KA2014PC18
[LINE 132] UID=AP2014PC42 | family_rows=1 | sources_rows=5
[LINE 133] UID=RJ2014PC21 | family_rows=1 | sources_rows=4
[LINE 134] UID=RJ2014PC03 | family_rows=3 | sources_rows=6
[LINE 135] UID=TN2014PC20 | family_rows=1 | sources_rows=4
[LINE 136] UID=WB2014PC01 | family_rows=1 | sources_rows=5
[LINE 137] UID=TN2014PC26 | family_rows=1 | sources_rows=4
[LINE 138] UID=OR2014PC14 | family_rows=1 | sources_rows=5
[LINE 139] UID=DH2014PC01 | family_rows=1 | sources_rows=5
[LINE 140] UID=GJ2014PC19 | family_rows=1 | sources_rows=6
[LINE 141] UID=KA2014PC17 | family_rows=1 | sources_rows=6
[LINE 142] UID=DD2014PC01 | family_rows=2 | sources_rows=3
[LINE 143] UID=MP2014PC07 | family_rows=1 | sources_rows=3
[LINE 144] UID=BR2014PC14 | family_rows=2 | sources_rows=5
[LINE 145] UID=WB2014PC04 | family_rows=1 | sources_rows=3
[LINE 146] UID=RJ2014PC11 | family_rows=1 | sources_rows=2
[LINE 147] UID=KA2014PC13 | family_rows=1 | sources_rows=5
[LINE 148] UID=UP2014PC66 | family_rows=1 | sources_rows=7
[LINE 149] UID=MP2014PC21 | family_rows=1 | sources_rows=4
[LINE 150] UID=JH2014PC07 | family_rows=1 | sources_rows=6
[LINE 151] UID=MP2014PC25 | family_rows=1 | sources_rows=5
[LINE 152] UID=TN2014PC10 | family_rows=4 | sources_rows=4
[LINE 153] UID=KA2014PC11 | family_rows=1 | sources_rows=9
[LINE 154] UID=UP2014PC29 | family_rows=2 | sources_rows=2
[LINE 155] UID=OR2014PC09 | family_rows=3 | sources_rows=3
[LINE 156] UID=AS2014PC04 | family_rows=2 | sources_rows=3
[LINE 157] UID=MH2014PC02 | family_rows=1 | sources_rows=3
[LINE 158] UID=WB2014PC21 | family_rows=1 | sources_rows=3
[LINE 159] UID=AS2014PC13 | family_rows=1 | sources_rows=4
[LINE 160] UID=TN2014PC22 | family_rows=1 | sources_rows=5
[LINE 161] UID=MH2014PC20 | family_rows=1 | sources_rows=4
[LINE 162] UID=UP2014PC60 | family_rows=1 | sources_rows=5
[LINE 163] UID=WB2014PC16 | family_rows=1 | sources_rows=2
[LINE 164] UID=JH2014PC02 | family_rows=6 | sources_rows=5
[LINE 165] UID=CG2014PC07 | family_rows=1 | sources_rows=3
[LINE 166] UID=DL2014PC03 | family_rows=1 | sources_rows=3
[LINE 167] UID=AP2014PC27 | family_rows=1 | sources_rows=5
[LINE 168] UID=KL2014PC12 | family_rows=1 | sources_rows=5
[LINE 169] UID=TN2014PC17 | family_rows=1 | sources_rows=5
[LINE 170] UID=UP2014PC22 | family_rows=2 | sources_rows=5
[LINE 171] UID=UP2014PC41 | family_rows=1 | sources_rows=5
[LINE 172] UID=UP2014PC54 | family_rows=1 | sources_rows=5
[LINE 173] UID=HR2014PC10 | family_rows=2 | sources_rows=1
[LINE 174] UID=PB2014PC09 | family_rows=1 | sources_rows=4
[LINE 175] UID=UP2014PC40 | family_rows=1 | sources_rows=7
[LINE 176] UID=PB2014PC08 | family_rows=1 | sources_rows=4
[LINE 177] UID=UP2014PC49 | family_rows=1 | sources_rows=5
[LINE 178] UID=UP2014PC19 | family_rows=1 | sources_rows=3
[LINE 179] UID=PB2014PC10 | family_rows=1 | sources_rows=2
[LINE 180] UID=UP2014PC20 | family_rows=6 | sources_rows=5
[LINE 181] UID=MH2014PC12 | family_rows=1 | sources_rows=4
[LINE 182] UID=GJ2014PC06 | family_rows=1 | sources_rows=4
[LINE 183] UID=RJ2014PC01 | family_rows=1 | sources_rows=4
[LINE 184] UID=UK2014PC02 | family_rows=2 | sources_rows=3
[LINE 185] UID=AS2014PC07 | family_rows=1 | sources_rows=4
[LINE 186] Existing error preserved | UID=UP2014PC13
[LINE 187] UID=BR2014PC38 | family_rows=1 | sources_rows=3
[LINE 188] Existing error preserved | UID=WB2014PC32
[LINE 189] UID=UP2014PC12 | family_rows=1 | sources_rows=5
[LINE 190] Existing error preserved | UID=UP2014PC75
[LINE 191] UID=UP2014PC70 | family_rows=1 | sources_rows=6
[LINE 192] UID=JH2014PC06 | family_rows=1 | sources_rows=4
[LINE 193] UID=JH2014PC03 | family_rows=2 | sources_rows=4
[LINE 194] UID=UP2014PC59 | family_rows=3 | sources_rows=4
[LINE 195] UID=BR2014PC17 | family_rows=1 | sources_rows=4
[LINE 196] UID=UP2014PC64 | family_rows=1 | sources_rows=6
[LINE 197] UID=KA2014PC05 | family_rows=2 | sources_rows=2
[LINE 198] UID=MP2014PC04 | family_rows=4 | sources_rows=4
[LINE 199] UID=AP2014PC30 | family_rows=2 | sources_rows=5
[LINE 200] UID=PB2014PC01 | family_rows=1 | sources_rows=3
[LINE 201] UID=HR2014PC09 | family_rows=2 | sources_rows=4
[LINE 202] UID=MP2014PC03 | family_rows=1 | sources_rows=2
[LINE 203] UID=BR2014PC21 | family_rows=6 | sources_rows=4
[LINE 204] UID=HP2014PC03 | family_rows=2 | sources_rows=4
[LINE 205] UID=UP2014PC47 | family_rows=1 | sources_rows=4
[LINE 206] UID=UP2014PC31 | family_rows=1 | sources_rows=4
[LINE 207] UID=UK2014PC05 | family_rows=1 | sources_rows=4
[LINE 208] UID=KA2014PC16 | family_rows=8 | sources_rows=5
[LINE 209] UID=UP2014PC16 | family_rows=1 | sources_rows=6
[LINE 210] UID=MH2014PC48 | family_rows=1 | sources_rows=4
[LINE 211] UID=KA2014PC10 | family_rows=1 | sources_rows=4
[LINE 212] UID=JH2014PC14 | family_rows=2 | sources_rows=5
[LINE 213] UID=AP2014PC37 | family_rows=1 | sources_rows=3
[LINE 214] UID=MH2014PC15 | family_rows=2 | sources_rows=3
[LINE 215] UID=HR2014PC04 | family_rows=7 | sources_rows=7
[LINE 216] UID=WB2014PC28 | family_rows=1 | sources_rows=3
[LINE 217] UID=MP2014PC17 | family_rows=1 | sources_rows=5
[LINE 218] UID=PB2014PC05 | family_rows=1 | sources_rows=4
[LINE 219] UID=WB2014PC25 | family_rows=1 | sources_rows=3
[LINE 220] UID=TG2014PC09 | family_rows=3 | sources_rows=3
[LINE 221] UID=KL2014PC13 | family_rows=1 | sources_rows=5
[LINE 222] UID=MP2014PC26 | family_rows=1 | sources_rows=5
[LINE 223] UID=MN2014PC01 | family_rows=1 | sources_rows=3
[LINE 224] UID=MP2014PC13 | family_rows=1 | sources_rows=4
[LINE 225] UID=WB2014PC22 | family_rows=4 | sources_rows=5
[LINE 226] UID=OR2014PC16 | family_rows=1 | sources_rows=5
[LINE 227] UID=BR2014PC36 | family_rows=3 | sources_rows=4
[LINE 228] UID=RJ2014PC07 | family_rows=1 | sources_rows=5
[LINE 229] UID=RJ2014PC06 | family_rows=1 | sources_rows=3
[LINE 230] UID=OR2014PC08 | family_rows=1 | sources_rows=5
[LINE 231] UID=PB2014PC04 | family_rows=5 | sources_rows=6
[LINE 232] UID=UP2014PC45 | family_rows=1 | sources_rows=7
[LINE 233] UID=MH2014PC03 | family_rows=1 | sources_rows=4
[LINE 234] UID=MH2014PC18 | family_rows=2 | sources_rows=3
[LINE 235] UID=RJ2014PC18 | family_rows=1 | sources_rows=4
[LINE 236] UID=WB2014PC03 | family_rows=1 | sources_rows=5
[LINE 237] UID=JK2014PC06 | family_rows=1 | sources_rows=4
[LINE 238] UID=GJ2014PC12 | family_rows=2 | sources_rows=7
[LINE 239] UID=JH2014PC09 | family_rows=1 | sources_rows=3
[LINE 240] UID=BR2014PC40 | family_rows=5 | sources_rows=4
[LINE 241] UID=WB2014PC09 | family_rows=3 | sources_rows=4
[LINE 242] UID=CG2014PC03 | family_rows=1 | sources_rows=4
[LINE 243] UID=UP2014PC73 | family_rows=1 | sources_rows=2
[LINE 244] UID=RJ2014PC25 | family_rows=4 | sources_rows=8
[LINE 245] UID=BR2014PC07 | family_rows=1 | sources_rows=4
[LINE 246] UID=UP2014PC46 | family_rows=1 | sources_rows=3
[LINE 247] UID=WB2014PC33 | family_rows=1 | sources_rows=5
[LINE 248] UID=RJ2014PC04 | family_rows=1 | sources_rows=6
[LINE 249] UID=RJ2014PC16 | family_rows=1 | sources_rows=3
[LINE 250] UID=AS2014PC12 | family_rows=1 | sources_rows=4
[LINE 251] UID=WB2014PC19 | family_rows=1 | sources_rows=5
[LINE 252] UID=GJ2014PC13 | family_rows=1 | sources_rows=7
[LINE 253] UID=GJ2014PC01 | family_rows=1 | sources_rows=5
[LINE 254] UID=AP2014PC38 | family_rows=5 | sources_rows=7
[LINE 255] UID=UP2014PC02 | family_rows=1 | sources_rows=4
[LINE 256] UID=UP2014PC57 | family_rows=3 | sources_rows=6
[LINE 257] UID=AP2014PC23 | family_rows=1 | sources_rows=3
[LINE 258] UID=OR2014PC11 | family_rows=3 | sources_rows=5
[LINE 259] UID=AS2014PC11 | family_rows=2 | sources_rows=4
[LINE 260] UID=TN2014PC14 | family_rows=1 | sources_rows=2
[LINE 261] UID=MH2014PC24 | family_rows=1 | sources_rows=3
[LINE 262] UID=TN2014PC06 | family_rows=1 | sources_rows=4
[LINE 263] UID=OR2014PC13 | family_rows=1 | sources_rows=3
[LINE 264] UID=HP2014PC01 | family_rows=1 | sources_rows=5
[LINE 265] UID=CG2014PC11 | family_rows=1 | sources_rows=5
[LINE 266] UID=UP2014PC42 | family_rows=6 | sources_rows=4
[LINE 267] UID=TN2014PC39 | family_rows=2 | sources_rows=1
[LINE 268] UID=KL2014PC02 | family_rows=1 | sources_rows=4
[LINE 269] UID=UP2014PC43 | family_rows=1 | sources_rows=3
[LINE 270] UID=WB2014PC31 | family_rows=3 | sources_rows=5
[LINE 271] UID=BR2014PC35 | family_rows=2 | sources_rows=6
[LINE 272] UID=RJ2014PC10 | family_rows=1 | sources_rows=4
[LINE 273] UID=AS2014PC01 | family_rows=1 | sources_rows=5
[LINE 274] UID=TG2014PC03 | family_rows=3 | sources_rows=3
[LINE 275] UID=HR2014PC05 | family_rows=2 | sources_rows=5
[LINE 276] UID=TN2014PC23 | family_rows=1 | sources_rows=4
[LINE 277] UID=KL2014PC01 | family_rows=2 | sources_rows=3
[LINE 278] UID=BR2014PC11 | family_rows=3 | sources_rows=3
[LINE 279] UID=UP2014PC50 | family_rows=1 | sources_rows=5
[LINE 280] UID=OR2014PC15 | family_rows=1 | sources_rows=3
[LINE 281] UID=OR2014PC04 | family_rows=1 | sources_rows=3
[LINE 282] UID=PB2014PC03 | family_rows=1 | sources_rows=4
[LINE 283] UID=BR2014PC25 | family_rows=4 | sources_rows=4
[LINE 284] UID=MP2014PC08 | family_rows=1 | sources_rows=3
[LINE 285] UID=TG2014PC17 | family_rows=2 | sources_rows=4
[LINE 286] UID=MP2014PC28 | family_rows=1 | sources_rows=3
[LINE 287] UID=MP2014PC27 | family_rows=1 | sources_rows=5
[LINE 288] UID=GJ2014PC17 | family_rows=1 | sources_rows=4
[LINE 289] UID=UP2014PC28 | family_rows=1 | sources_rows=4
[LINE 290] UID=JH2014PC11 | family_rows=1 | sources_rows=5
[LINE 291] Existing error preserved | UID=BR2014PC10
[LINE 292] UID=JH2014PC05 | family_rows=2 | sources_rows=3
[LINE 293] Existing error preserved | UID=AS2014PC05
[LINE 294] UID=KA2014PC28 | family_rows=2 | sources_rows=4
[LINE 295] UID=MH2014PC47 | family_rows=2 | sources_rows=3
[LINE 296] UID=WB2014PC23 | family_rows=1 | sources_rows=5
[LINE 297] UID=WB2014PC24 | family_rows=1 | sources_rows=4
[LINE 298] UID=KL2014PC18 | family_rows=1 | sources_rows=1
[LINE 299] UID=KA2014PC08 | family_rows=2 | sources_rows=4
[LINE 300] UID=OR2014PC21 | family_rows=1 | sources_rows=7
[LINE 301] Existing error preserved | UID=CG2014PC04
[LINE 302] UID=RJ2014PC24 | family_rows=6 | sources_rows=2
[LINE 303] Existing error preserved | UID=KL2014PC14
[LINE 304] UID=KL2014PC05 | family_rows=1 | sources_rows=7
[LINE 305] UID=TN2014PC09 | family_rows=1 | sources_rows=4
[LINE 306] UID=WB2014PC12 | family_rows=1 | sources_rows=3
[LINE 307] UID=AP2014PC35 | family_rows=2 | sources_rows=4
[LINE 308] UID=HR2014PC02 | family_rows=1 | sources_rows=4
[LINE 309] UID=UP2014PC65 | family_rows=1 | sources_rows=4
[LINE 310] UID=JK2014PC04 | family_rows=1 | sources_rows=3
[LINE 311] UID=AS2014PC14 | family_rows=1 | sources_rows=5
[LINE 312] UID=LD2014PC01 | family_rows=1 | sources_rows=5
[LINE 313] UID=UP2014PC68 | family_rows=1 | sources_rows=5
[LINE 314] UID=MH2014PC41 | family_rows=1 | sources_rows=6
[LINE 315] UID=JH2014PC12 | family_rows=1 | sources_rows=7
[LINE 316] UID=UP2014PC35 | family_rows=1 | sources_rows=3
[LINE 317] UID=PB2014PC07 | family_rows=5 | sources_rows=4
[LINE 318] UID=UP2014PC74 | family_rows=1 | sources_rows=4
[LINE 319] UID=AP2014PC28 | family_rows=1 | sources_rows=8
[LINE 320] UID=MH2014PC43 | family_rows=3 | sources_rows=4
[LINE 321] UID=BR2014PC13 | family_rows=1 | sources_rows=5
[LINE 322] UID=BR2014PC06 | family_rows=1 | sources_rows=3
[LINE 323] UID=TN2014PC32 | family_rows=1 | sources_rows=5
[LINE 324] UID=TG2014PC16 | family_rows=1 | sources_rows=3
[LINE 325] UID=BR2014PC19 | family_rows=1 | sources_rows=5
[LINE 326] UID=UP2014PC63 | family_rows=1 | sources_rows=4
[LINE 327] UID=CG2014PC09 | family_rows=1 | sources_rows=5
[LINE 328] UID=TG2014PC11 | family_rows=1 | sources_rows=1
[LINE 329] UID=GJ2014PC04 | family_rows=1 | sources_rows=3
[LINE 330] UID=UP2014PC21 | family_rows=7 | sources_rows=5
[LINE 331] UID=KL2014PC06 | family_rows=1 | sources_rows=3
[LINE 332] UID=WB2014PC08 | family_rows=3 | sources_rows=4
[LINE 333] UID=WB2014PC07 | family_rows=5 | sources_rows=5
[LINE 334] UID=TG2014PC07 | family_rows=3 | sources_rows=4
[LINE 335] UID=HP2014PC02 | family_rows=1 | sources_rows=6
[LINE 336] UID=MP2014PC14 | family_rows=1 | sources_rows=4
[LINE 337] UID=MP2014PC23 | family_rows=1 | sources_rows=5
[LINE 338] UID=KA2014PC20 | family_rows=1 | sources_rows=5
[LINE 339] UID=AS2014PC08 | family_rows=1 | sources_rows=4
[LINE 340] UID=UP2014PC17 | family_rows=1 | sources_rows=3
[LINE 341] UID=WB2014PC20 | family_rows=1 | sources_rows=8
[LINE 342] UID=MH2014PC33 | family_rows=1 | sources_rows=5
[LINE 343] UID=KL2014PC16 | family_rows=1 | sources_rows=5
[LINE 344] UID=TN2014PC28 | family_rows=1 | sources_rows=5
[LINE 345] UID=OR2014PC05 | family_rows=1 | sources_rows=3
[LINE 346] UID=TG2014PC06 | family_rows=5 | sources_rows=4
[LINE 347] UID=WB2014PC34 | family_rows=1 | sources_rows=4
[LINE 348] UID=UP2014PC10 | family_rows=1 | sources_rows=6
[LINE 349] UID=UP2014PC79 | family_rows=4 | sources_rows=7
[LINE 350] UID=UP2014PC32 | family_rows=1 | sources_rows=3
[LINE 351] UID=MZ2014PC01 | family_rows=1 | sources_rows=4
[LINE 352] UID=UP2014PC34 | family_rows=3 | sources_rows=3
[LINE 353] UID=UP2014PC06 | family_rows=1 | sources_rows=3
[LINE 354] UID=MP2014PC01 | family_rows=1 | sources_rows=4
[LINE 355] UID=MH2014PC26 | family_rows=1 | sources_rows=3
[LINE 356] UID=MH2014PC29 | family_rows=5 | sources_rows=7
[LINE 357] UID=MH2014PC28 | family_rows=1 | sources_rows=6
[LINE 358] UID=MH2014PC27 | family_rows=1 | sources_rows=3
[LINE 359] UID=MH2014PC31 | family_rows=1 | sources_rows=5
[LINE 360] UID=MH2014PC30 | family_rows=1 | sources_rows=3
[LINE 361] UID=BR2014PC28 | family_rows=1 | sources_rows=5
[LINE 362] UID=WB2014PC11 | family_rows=1 | sources_rows=4
[LINE 363] UID=UP2014PC03 | family_rows=1 | sources_rows=5
[LINE 364] UID=BR2014PC15 | family_rows=2 | sources_rows=4
[LINE 365] UID=KA2014PC21 | family_rows=1 | sources_rows=6
[LINE 366] UID=OR2014PC12 | family_rows=1 | sources_rows=3
[LINE 367] UID=NL2014PC01 | family_rows=1 | sources_rows=3
[LINE 368] UID=TN2014PC29 | family_rows=1 | sources_rows=3
[LINE 369] UID=TG2014PC12 | family_rows=1 | sources_rows=4
[LINE 370] UID=RJ2014PC14 | family_rows=1 | sources_rows=5
[LINE 371] UID=UP2014PC05 | family_rows=1 | sources_rows=4
[LINE 372] UID=MH2014PC10 | family_rows=1 | sources_rows=5
[LINE 373] UID=UK2014PC04 | family_rows=1 | sources_rows=4
[LINE 374] UID=BR2014PC29 | family_rows=1 | sources_rows=5
[LINE 375] UID=TG2014PC13 | family_rows=1 | sources_rows=5
[LINE 376] UID=TN2014PC16 | family_rows=1 | sources_rows=5
[LINE 377] UID=MH2014PC16 | family_rows=3 | sources_rows=4
[LINE 378] UID=MH2014PC01 | family_rows=3 | sources_rows=3
[LINE 379] UID=AP2014PC34 | family_rows=1 | sources_rows=5
[LINE 380] UID=AP2014PC31 | family_rows=1 | sources_rows=2
[LINE 381] UID=AP2014PC26 | family_rows=4 | sources_rows=5
[LINE 382] UID=MH2014PC21 | family_rows=1 | sources_rows=6
[LINE 383] UID=GJ2014PC25 | family_rows=1 | sources_rows=3
[LINE 384] UID=BR2014PC39 | family_rows=1 | sources_rows=6
[LINE 385] UID=AP2014PC39 | family_rows=4 | sources_rows=5
[LINE 386] UID=DL2014PC04 | family_rows=1 | sources_rows=4
[LINE 387] UID=TN2014PC19 | family_rows=1 | sources_rows=3
[LINE 388] UID=TG2014PC04 | family_rows=3 | sources_rows=5
[LINE 389] UID=DL2014PC02 | family_rows=1 | sources_rows=3
[LINE 390] UID=GA2014PC01 | family_rows=1 | sources_rows=3
[LINE 391] UID=DL2014PC05 | family_rows=1 | sources_rows=5
[LINE 392] UID=AS2014PC10 | family_rows=1 | sources_rows=6
[LINE 393] UID=AP2014PC33 | family_rows=2 | sources_rows=4
[LINE 394] UID=MH2014PC40 | family_rows=1 | sources_rows=2
[LINE 395] UID=MN2014PC02 | family_rows=1 | sources_rows=5
[LINE 396] UID=KL2014PC08 | family_rows=1 | sources_rows=2
[LINE 397] UID=JH2014PC13 | family_rows=1 | sources_rows=6
[LINE 398] UID=MH2014PC22 | family_rows=3 | sources_rows=2
[LINE 399] UID=RJ2014PC15 | family_rows=1 | sources_rows=5
[LINE 400] UID=GJ2014PC18 | family_rows=1 | sources_rows=5
