Constituency Name,ConstituencyName (PC all relatives.csv),District Name,DistrictName (PC all relatives.csv),Family ID,FamilyID (PC all relatives.csv),Father/Husband Name,Table Name,UID,States,States Str,Name,Name (PC all relatives.csv),Winning Candidate,Party,pc name,Political Role,PoliticalRole (PC all relatives.csv),Relation,Relation (PC all relatives.csv),Name1,UID(AC/PC all relatives),Relation(AC/PC),state,State Name,StateName (PC all relatives.csv),PoliticalRole(AC and PC),Type,UID (AC all recent relatives.csv),UID (PC all relatives.csv),Years Held,YearsHeld (PC all relatives.csv),YearsHeld(AC/PC),Age,Poll %,Total electors(AC/PC),Total Votes(AC/PC),electors,Margin,Margin %,No,Total Electors,Total Votes,turnout,votes,if Dynasty
,,,,,,SANYASINAIDU ADDAKULA,AC_all_winning_cand.csv,AP2024AC11,Andhra Pradesh,Andhra Pradesh,Kurupam,,Jagadeeswari Thoyaka,Telugu Desam,,,,,,,,,,,,,ST,,,,,,39,53.68,,83355,,,,11,,83355,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC12,Andhra Pradesh,Andhra Pradesh,Parvathipuram,,Bonela Vijaya Chandra,Telugu Desam,,,,,,,,,,,,,SC,,,,,,,55.33,,83905,,,,12,,83905,,,0
Salur,,Vizianagaram (now Parvathipuram Manyam),,18,,JAYA KUMAR GUMMIDI,AC_all_winning_cand.csv,AP2024AC13,Andhra Pradesh,Andhra Pradesh,Salur,,Gummidi Sandhyarani,Telugu Desam,,"Contested MLA (Salur), Congress",,Father,,Janni Muthyalu,AP2024AC13,Father,,Andhra Pradesh,,"Contested MLA (Salur), Congress",ST,AP2024AC13,,"1999 (Contested, not elected)",,"1999 (Contested, not elected)",51,50.65,,80211,,,,13,,80211,,,1
Cheepurupalli,,Vizianagaram,,19,,,AC_all_winning_cand.csv,AP2024AC14,Andhra Pradesh,Andhra Pradesh,Bobbili,,Ravu Venkata Swetha Kumara Krishna Ranga Rao (BabyNayana),Telugu Desam,,Member of Parliament (Lok Sabha),,Father,,Ravu Venkata Gopala Krishna Ranga Rao,AP2024AC14,Father,,Andhra Pradesh,,Member of Parliament (Lok Sabha),,AP2024AC14,,1962–1967,,1962–1967,,59.45,,112366,,,,14,,112366,,,1
Unukuru,,Srikakulam,,22,,,AC_all_winning_cand.csv,AP2024AC15,Andhra Pradesh,Andhra Pradesh,Cheepurupalli,,Kimidi Kalavenkata Rao,Telugu Desam,,"MLA, Unukuru Assembly Constituency",,Brother,,Kimidi Ganapathi Rao,AP2024AC15,Brother,,Andhra Pradesh,,"MLA, Unukuru Assembly Constituency",,AP2024AC15,,2004-2009,,2004-2009,,50.98,,88225,,,,15,,88225,,,1
Bobbili (Lok Sabha),,Vizianagaram,,25,,KONDAPALLI KONDALA RAO,AC_all_winning_cand.csv,AP2024AC16,Andhra Pradesh,Andhra Pradesh,Gajapathinagaram,,Kondapalli Srinivas,Telugu Desam,,"Member of Parliament (Lok Sabha), Vizianagaram ZP Chairman, TDP District President",,Grandfather,,Kondapalli Pydithalli Naidu,AP2024AC16,Grandfather,,Andhra Pradesh,,"Member of Parliament (Lok Sabha), Vizianagaram ZP Chairman, TDP District President",,AP2024AC16,,"MP: 1996, 1998, Vizianagaram ZP Chairman: Unknown, TDP District President: Unknown",,"MP: 1996, 1998, Vizianagaram ZP Chairman: Unknown, TDP District President: Unknown",41,54.99,,98051,,,,16,,98051,,,1
Unknown,,Unknown,,28,,Venkata Nagendra Vara Prasad Lokam,AC_all_winning_cand.csv,AP2024AC17,Andhra Pradesh,Andhra Pradesh,Nellimarla,,Lokam Naga Madhavi,Janasena Party,,None (No record of having contested or held any political office),,Husband,,Venkata Nagendra Vara Prasad Lokam,AP2024AC17,Husband,,Unknown,,None (No record of having contested or held any political office),,AP2024AC17,,Unknown,,Unknown,55,57.75,,109915,,,,17,,109915,,,1
Vizianagaram (Lok Sabha & Assembly at various times),,Vizianagaram,,29,,,AC_all_winning_cand.csv,AP2024AC18,Andhra Pradesh,Andhra Pradesh,Vizianagaram,,Puspati Aditi Vijayalakshmi Gajapathi Raju,Telugu Desam,,"Union Minister, Member of Parliament, MLA, Minister in Andhra Pradesh Government, Governor of Goa",,Father,,Pusapati Ashok Gajapathi Raju,AP2024AC18,Father,,Andhra Pradesh,,"Union Minister, Member of Parliament, MLA, Minister in Andhra Pradesh Government, Governor of Goa",,AP2024AC18,,1978–2024,,1978–2024,,64.21,,121241,,,,18,,121241,,,1
Uttarapalli,,Vizianagaram,,32,,K B A RAMPRASAD,AC_all_winning_cand.csv,AP2024AC19,Andhra Pradesh,Andhra Pradesh,Srungavarapukota,,Kolla Lalitha Kumari,Telugu Desam,,"MLA, Minister for Endowments in Andhra Pradesh",,Grandfather,,Kolla Appala Naidu,AP2024AC19,Grandfather,,Andhra Pradesh,,"MLA, Minister for Endowments in Andhra Pradesh",,AP2024AC19,,1983–2004,,1983–2004,54,58.36,,111026,,,,19,,111026,,,1
,,,,,,LATE CHINA ROSAIAH,AC_all_winning_cand.csv,AP2024AC20,Andhra Pradesh,Andhra Pradesh,Bhimili,,Ganta Srinivasa Rao,Telugu Desam,,,,,,,,,,,,,,,,,,,64,63.34,,176230,,,,20,,176230,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC21,Andhra Pradesh,Andhra Pradesh,Visakhapatnam East,,Velagapudi Ramakrishna Babu,Telugu Desam,,,,,,,,,,,,,,,,,,,,64.89,,132047,,,,21,,132047,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC22,Andhra Pradesh,Andhra Pradesh,Visakhapatnam South,,Vamsi Krishna Srinivasa Yadav,Janasena Party,,,,,,,,,,,,,,,,,,,,70.23,,97868,,,,22,,97868,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC23,Andhra Pradesh,Andhra Pradesh,Visakhapatnam North,,Penmetsa Vishnu Kumar Raju,Bharatiya Janata Party,,,,,,,,,,,,,,,,,,,,57.81,,108801,,,,23,,108801,,,0
"Anakapalle (Lok Sabha), Pendurthi (Assembly)",,Visakhapatnam,,37,,,AC_all_winning_cand.csv,AP2024AC24,Andhra Pradesh,Andhra Pradesh,Visakhapatnam West,,P. G. V. R. Naidu,Telugu Desam,,"Member of Parliament (Anakapalle), Member of Legislative Assembly (Pendurthi), Founding member of the Telugu Desam Party",,Father,,P. Appala Narasimham,AP2024AC24,Father,,Andhra Pradesh,,"Member of Parliament (Anakapalle), Member of Legislative Assembly (Pendurthi), Founding member of the Telugu Desam Party",,AP2024AC24,,"MP (Years not specifically cited, but known as former), MLA (Pendurthi) (Years not specified)",,"MP (Years not specifically cited, but known as former), MLA (Pendurthi) (Years not specified)",,60.13,,90805,,,,24,,90805,,,1
Vizag-2,,Visakhapatnam,,38,,,AC_all_winning_cand.csv,AP2024AC25,Andhra Pradesh,Andhra Pradesh,Gajuwaka,,Palla Srinivas Rao Yadav,Telugu Desam,,"Member of Legislative Assembly (MLA), Vizag-2; Trade Union Leader",,Father,,Palla Simhachalam,AP2024AC25,Father,,Andhra Pradesh,,"Member of Legislative Assembly (MLA), Vizag-2; Trade Union Leader",,AP2024AC25,,"1994-1999 (MLA), multiple years as Trade Union Leader",,"1994-1999 (MLA), multiple years as Trade Union Leader",,67.3,,157703,,,,25,,157703,,,1
Unknown,,Unknown,,39,,,AC_all_winning_cand.csv,AP2024AC26,Andhra Pradesh,Andhra Pradesh,Chodavaram,,Kalidindi Suryana Naga Sanyasi Raju,Telugu Desam,,"Contested and served as an elected public representative (historically involved at local level, records indicate past contesting of assembly seat)",,Father,,Kalidindi Suryanarayana Raju,AP2024AC26,Father,,Andhra Pradesh,,"Contested and served as an elected public representative (historically involved at local level, records indicate past contesting of assembly seat)",,AP2024AC26,,Unknown,,Unknown,,59.03,,109651,,,,26,,109651,,,1
,,,,,,APPALA NAIDU,AC_all_winning_cand.csv,AP2024AC27,Andhra Pradesh,Andhra Pradesh,Madugula,,Bandaru Satyanarayana Murthy,Telugu Desam,,,,,,,,,,,,,,,,,,,68,55.6,,91869,,,,27,,91869,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC28,Andhra Pradesh,Andhra Pradesh,Araku Valley,,Regam Matyalingam,YSR Congress Party,,,,,,,,,,,,,ST,,,,,,,36.71,,65658,,,,28,,65658,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC29,Andhra Pradesh,Andhra Pradesh,Paderu,,Matsyarasa Visweswara Raju,YSR Congress Party,,,,,,,,,,,,,ST,,,,,,,42.3,,68170,,,,29,,68170,,,0
Anakapalle,,Anakapalli,,43,,,AC_all_winning_cand.csv,AP2024AC30,Andhra Pradesh,Andhra Pradesh,Anakapalle,,Konathala Ramakrishna,Janasena Party,,Contested as MLA (Anakapalle) from YSR Congress Party in 2014; Joined Telugu Desam Party (TDP) in 2024,,Brother,,Konathala Raghunath,AP2024AC30,Brother,,Andhra Pradesh,,Contested as MLA (Anakapalle) from YSR Congress Party in 2014; Joined Telugu Desam Party (TDP) in 2024,,AP2024AC30,,"Contested 2014, Joined TDP 2024",,"Contested 2014, Joined TDP 2024",,66.63,,115126,,,,30,,115126,,,1
,,,,,,LATE PANDURANGA RAO,AC_all_winning_cand.csv,AP2024AC31,Andhra Pradesh,Andhra Pradesh,Pendurthi,,Panchakarla Ramesh Babu,Janasena Party,,,,,,,,,,,,,,,,,,,60,65.01,,149611,,,,31,,149611,,,0
Unknown,,Anakapalli,,45,,SATYANARAYANA,AC_all_winning_cand.csv,AP2024AC32,Andhra Pradesh,Andhra Pradesh,Elamanchili,,Sundarapu Vijay Kumar,Janasena Party,,Member/Worker of Jana Sena Party,,Brother,,Sundarapu Sandeep,AP2024AC32,Brother,,Andhra Pradesh,,Member/Worker of Jana Sena Party,,AP2024AC32,,Unknown,,Unknown,44,61,,109443,,,,32,,109443,,,1
,,,,,,APPARAO VANGALAPUDI,AC_all_winning_cand.csv,AP2024AC33,Andhra Pradesh,Andhra Pradesh,Payakaraopet,,Vangalapudi Anitha,Telugu Desam,,,,,,,,,,,,,SC,,,,,,45,57.86,,120042,,,,33,,120042,,,0
Unknown,,Unknown,,48,,,AC_all_winning_cand.csv,AP2024AC34,Andhra Pradesh,Andhra Pradesh,Narsipatnam,,Chintakayala Ayyanna Patrudu,Telugu Desam,,Held various political positions (details not publicly specified),,Grandfather,,Unknown,AP2024AC34,Grandfather,,Andhra Pradesh,,Held various political positions (details not publicly specified),,AP2024AC34,,Unknown,,Unknown,,54.6,,99849,,,,34,,99849,,,1
Tuni,,Kakinada,,49,,YANAMALA RAMAKRISHNUDU,AC_all_winning_cand.csv,AP2024AC35,Andhra Pradesh,Andhra Pradesh,Tuni,,Yanamala Divya,Telugu Desam,,"Former Andhra Pradesh Finance Minister, Former Leader of Opposition (Legislative Council), Former 6-time MLA",,Father,,Yanamala Ramakrishnudu,AP2024AC35,Father,,Andhra Pradesh,,"Former Andhra Pradesh Finance Minister, Former Leader of Opposition (Legislative Council), Former 6-time MLA",,AP2024AC35,,1983–2024 (multiple terms),,1983–2024 (multiple terms),40,51.31,,97206,,,,35,,97206,,,1
Prathipadu,,Kakinada,,53,,VARUPULA JOGI RAJU ANE RAJA (LATE),AC_all_winning_cand.csv,AP2024AC36,Andhra Pradesh,Andhra Pradesh,Prathipadu,,Varupula Satya Prabha,Telugu Desam,,"TDP Mandal president, Vice Chairman of APCOB (Andhra Pradesh State Cooperative Bank), TDP candidate for Prathipadu (2019), TDP in-charge for Prathipadu",,Husband,,Varupula Jogiraju Raja (also known as Varupula Raja),AP2024AC36,Husband,,Andhra Pradesh,,"TDP Mandal president, Vice Chairman of APCOB (Andhra Pradesh State Cooperative Bank), TDP candidate for Prathipadu (2019), TDP in-charge for Prathipadu",,AP2024AC36,,"TDP candidate (2019), TDP in-charge (until 2023), Vice Chairman APCOB (years not precisely available but served before 2023)",,"TDP candidate (2019), TDP in-charge (until 2023), Vice Chairman APCOB (years not precisely available but served before 2023)",45,58.36,,103002,,,,36,,103002,,,1
"Rajya Sabha (MP, not a single constituency)",,Unknown,,54,,VENKAT RAO,AC_all_winning_cand.csv,AP2024AC37,Andhra Pradesh,Andhra Pradesh,Pithapuram,,Pawan Kalyan,Janasena Party,,"Founder of Praja Rajyam Party; Member of Parliament (Rajya Sabha); Minister of Tourism, Government of India",,Brother,,Chiranjeevi,AP2024AC37,Brother,,Andhra Pradesh,,"Founder of Praja Rajyam Party; Member of Parliament (Rajya Sabha); Minister of Tourism, Government of India",,AP2024AC37,,"2008-2012 (Praja Rajyam Party), 2012-2018 (Rajya Sabha/Minister)",,"2008-2012 (Praja Rajyam Party), 2012-2018 (Rajya Sabha/Minister)",55,64.87,,134394,,,,37,,134394,,,1
,,,,,,,AC_all_winning_cand.csv,AP2024AC38,Andhra Pradesh,Andhra Pradesh,Kakinada Rural,,Pantham Venkateswara Rao,Janasena Party,,,,,,,,,,,,,,,,,,,,65.11,,134414,,,,38,,134414,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC39,Andhra Pradesh,Andhra Pradesh,Peddapuram,,Nimmakayala Chinarajappa,Telugu Desam,,,,,,,,,,,,,,,,,,,,59.09,,105685,,,,39,,105685,,,0
Anaparthy,,East Godavari,,61,,,AC_all_winning_cand.csv,AP2024AC40,Andhra Pradesh,Andhra Pradesh,Anaparthy,,Nallamilli Ramakrishna Reddy,Bharatiya Janata Party,,"MLA, Andhra Pradesh Legislative Assembly",,Father,,Nallamilli Moola Reddy,AP2024AC40,Father,,Andhra Pradesh,,"MLA, Andhra Pradesh Legislative Assembly",,AP2024AC40,,"1983–1985, 1985–1989, 1994–1999, 1999–2004",,"1983–1985, 1985–1989, 1994–1999, 1999–2004",,53.73,,105720,,,,40,,105720,,,1
,,,,,,(LATE) VANAMADI LOVARAJU,AC_all_winning_cand.csv,AP2024AC41,Andhra Pradesh,Andhra Pradesh,Kakinada City,,Vanamadi Venkateswara Rao,Telugu Desam,,,,,,,,,,,,,,,,,,,59,63.78,,113014,,,,41,,113014,,,0
Ramachandrapuram,,Konaseema,,63,,,AC_all_winning_cand.csv,AP2024AC42,Andhra Pradesh,Andhra Pradesh,Ramachandrapuram,,Vasamsetti Subhash,Telugu Desam,,Unofficial local political leader controlling constituency affairs; known to preside over TDP events and exert significant influence in Ramachandrapuram,,Father,,Vasamsetti Satyam,AP2024AC42,Father,,Andhra Pradesh,,Unofficial local political leader controlling constituency affairs; known to preside over TDP events and exert significant influence in Ramachandrapuram,,AP2024AC42,,2023-Present (as per recent reports on his active involvement and party joining before 2024 elections),,2023-Present (as per recent reports on his active involvement and party joining before 2024 elections),,55.68,,97652,,,,42,,97652,,,1
,,,,,,VENKATA SATYANARAYANA RAJU,AC_all_winning_cand.csv,AP2024AC43,Andhra Pradesh,Andhra Pradesh,Mummidivaram,,Datla Subbaraju,Telugu Desam,,,,,,,,,,,,,,,,,,,51,57.25,,118687,,,,43,,118687,,,0
,,,,,,Subbarao,AC_all_winning_cand.csv,AP2024AC44,Andhra Pradesh,Andhra Pradesh,Amalapuram,,Aithabathula Anandarao,Telugu Desam,,,,,,,,,,,,,SC,,,,,,55,58.56,,104022,,,,44,,104022,,,0
,,,,,,NARASIMHA RAO,AC_all_winning_cand.csv,AP2024AC45,Andhra Pradesh,Andhra Pradesh,Razole,,Deva Varaprasad,Janasena Party,,,,,,,,,,,,,SC,,,,,,64,60.13,,95514,,,,45,,95514,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC46,Andhra Pradesh,Andhra Pradesh,Gannavaram,,Giddi Satyanarayana,Janasena Party,,,,,,,,,,,,,SC,,,,,,,57.14,,96108,,,,46,,96108,,,0
,,,,,,Buli Satyam,AC_all_winning_cand.csv,AP2024AC47,Andhra Pradesh,Andhra Pradesh,Kothapeta,,Bandaru Satyananda Rao,Telugu Desam,,,,,,,,,,,,,,,,,,,59,61.7,,134286,,,,47,,134286,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC48,Andhra Pradesh,Andhra Pradesh,Mandapeta,,V. Jogeswara Rao,Telugu Desam,,,,,,,,,,,,,,,,,,,,59.94,,116309,,,,48,,116309,,,0
Unknown,,East Godavari,,70,,GANGARAO,AC_all_winning_cand.csv,AP2024AC49,Andhra Pradesh,Andhra Pradesh,Rajanagaram,,Bathula Balaramakrishna,Janasena Party,,MPTC Member (elected),,Spouse,,Venkata Lakshmi,AP2024AC49,Spouse,,Andhra Pradesh,,MPTC Member (elected),,AP2024AC49,,Unknown,,Unknown,49,55.51,,105995,,,,49,,105995,,,1
Unknown,,Unknown,,71,,ADIREDDY APPARAO,AC_all_winning_cand.csv,AP2024AC50,Andhra Pradesh,Andhra Pradesh,Rajahmundry City,,Adireddy Srinivas,Telugu Desam,,"Member, Andhra Pradesh Legislative Council",,Father,,Adireddy Apparao,AP2024AC50,Father,,Andhra Pradesh,,"Member, Andhra Pradesh Legislative Council",,AP2024AC50,,2015,,2015,42,67.69,,123291,,,,50,,123291,,,1
Unknown,,Unknown,,76,,,AC_all_winning_cand.csv,AP2024AC51,Andhra Pradesh,Andhra Pradesh,Rajahmundry Rural,,Gorantla Butchaiah Chowdary,Telugu Desam,,"Early member of Telugu Desam Party (TDP); noted for joining TDP first in family, but no record found of having contested or held elected office",,Brother,,Rajendra Prasad,AP2024AC51,Brother,,Andhra Pradesh,,"Early member of Telugu Desam Party (TDP); noted for joining TDP first in family, but no record found of having contested or held elected office",,AP2024AC51,,Unknown,,Unknown,,63.87,,129060,,,,51,,129060,,,1
,,,,,,(late) Nageswara Rao,AC_all_winning_cand.csv,AP2024AC52,Andhra Pradesh,Andhra Pradesh,Jaggampeta,,Jyothula Nehru,Telugu Desam,,,,,,,,,,,,,,,,,,,73,58.56,,113593,,,,52,,113593,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC53,Andhra Pradesh,Andhra Pradesh,Rampachodavaram,,Miryala Sirisha Devi,Telugu Desam,,,,,,,,,,,,,ST,,,,,,,42.8,,90087,,,,53,,90087,,,0
,,,,,,VENKAYYA,AC_all_winning_cand.csv,AP2024AC54,Andhra Pradesh,Andhra Pradesh,Kovvur,,Muppidi Venkateswara Rao,Telugu Desam,,,,,,,,,,,,,SC,,,,,,54,58.29,,92743,,,,54,,92743,,,0
Rajamahendravaram (Rajahmundry),,East Godavari,,79,,SOMESWARARAO,AC_all_winning_cand.csv,AP2024AC55,Andhra Pradesh,Andhra Pradesh,Nidadavole,,Kandula Durgesh,Janasena Party,,Municipal Chairman and Member of Legislative Assembly (MLA),,Grandfather,,Pothula Veerabhadra Rao,AP2024AC55,Grandfather,,Andhra Pradesh,,Municipal Chairman and Member of Legislative Assembly (MLA),,AP2024AC55,,"Dates not specified, served during previous decades",,"Dates not specified, served during previous decades",64,56.27,,102699,,,,55,,102699,,,1
,,,,,,Venkanna,AC_all_winning_cand.csv,AP2024AC56,Andhra Pradesh,Andhra Pradesh,Achanta,,Satyanarayana Pithani,Telugu Desam,,,,,,,,,,,,,,,,,,,71,56.73,,85402,,,,56,,85402,,,0
,,,,,,(LATE) DHARMARAO,AC_all_winning_cand.csv,AP2024AC57,Andhra Pradesh,Andhra Pradesh,Palakollu,,Nimmala Ramanaidu,Telugu Desam,,,,,,,,,,,,,,,,,,,54,69.3,,111471,,,,57,,111471,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC58,Andhra Pradesh,Andhra Pradesh,Narasapuram,,Bommidi Narayana Nayakar,Janasena Party,,,,,,,,,,,,,,,,,,,,64.72,,94116,,,,58,,94116,,,0
,,,,,,VENKATRAMAYYA PULAPARTHI,AC_all_winning_cand.csv,AP2024AC59,Andhra Pradesh,Andhra Pradesh,Bhimavaram,,Pulaparthi Ramanjaneyulu,Janasena Party,,,,,,,,,,,,,,,,,,,69,63.94,,130424,,,,59,,130424,,,0
,,,,,,KVS Suryanarayana Raju,AC_all_winning_cand.csv,AP2024AC60,Andhra Pradesh,Andhra Pradesh,Undi,,Kanumuru Raghu Rama Krishna Raju,Telugu Desam,,,,,,,,,,,,,,,,,,,62,59.8,,116902,,,,60,,116902,,,0
,,,,,,CHAKRADHARA RAO,AC_all_winning_cand.csv,AP2024AC61,Andhra Pradesh,Andhra Pradesh,Tanuku,,Arimilli Radha Krishna,Telugu Desam,,,,,,,,,,,,,,,,,,,50,66.51,,129547,,,,61,,129547,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC62,Andhra Pradesh,Andhra Pradesh,Tadepalligudem,,Bolisetti Srinivas,Janasena Party,,,,,,,,,,,,,,,,,,,,65.4,,116443,,,,62,,116443,,,0
,,,,,,LAKSHMI NARAYANA RAJU,AC_all_winning_cand.csv,AP2024AC63,Andhra Pradesh,Andhra Pradesh,Unguturu,,Dharmaraju Patsamatla,Janasena Party,,,,,,,,,,,,,,,,,,,43,59.63,,108894,,,,63,,108894,,,0
,,,,,,KESAVARAO,AC_all_winning_cand.csv,AP2024AC64,Andhra Pradesh,Andhra Pradesh,Denduluru,,Chintamaneni Prabhakar,Telugu Desam,,,,,,,,,,,,,,,,,,,55,55.11,,107287,,,,64,,107287,,,0
,,,,,,,AC_all_winning_cand.csv,AP2024AC65,Andhra Pradesh,Andhra Pradesh,Eluru,,Radha Krishnayya Badeti,Telugu Desam,,,,,,,,,,,,,,,,,,,,67.09,,111562,,,,65,,111562,,,0
,,,,,,YOHAN,AC_all_winning_cand.csv,AP2024AC66,Andhra Pradesh,Andhra Pradesh,Gopalapuram,,Maddipati Venkata Raju,Telugu Desam,,,,,,,,,,,,,SC,,,,,,44,54.06,,114420,,,,66,,114420,,,0
,,,,,,Krishnayya,AC_all_winning_cand.csv,AP2024AC67,Andhra Pradesh,Andhra Pradesh,Polavaram,,Chirri Balaraju,Janasena Party,,,,,,,,,,,,,ST,,,,,,36,46.33,,101453,,,,67,,101453,,,0
,,,,,,Rajaratnam,AC_all_winning_cand.csv,AP2024AC68,Andhra Pradesh,Andhra Pradesh,Chintalapudi,,Roshan Kumar Songa,Telugu Desam,,,,,,,,,,,,,SC,,,,,,44,53.3,,120126,,,,68,,120126,,,0
,,,,,,KOLIKAPUDI SUBBA RAO,AC_all_winning_cand.csv,AP2024AC69,Andhra Pradesh,Andhra Pradesh,Tiruvuru,,Kolikapudi Srinivasa Rao,Telugu Desam,,,,,,,,,,,,,SC,,,,,,55,54.91,,100719,,,,69,,100719,,,0
