Age,Constituency Name,District Name,Family ID,Father/Husband Name,Winning Candidate,Name,Party,Pc Name,Political Role,Relation,State,State Name,Type,UID,UID (PC all relatives.csv),if dynasty,Year,Years Held,Electors,Margin,Margin %,No,Turnout,Votes,States
,,,,,Sureshchandra Shivprasad Arya,,Indian National Congress,Aurangabad,,,Hyderabad,,GEN,TG1952PC313,,0,1952,,361434,,,313,0.383,138306,Telangana
,,,,,Bonily Khongmen,,Indian National Congress,Autonomous Districts,,,Assam,,GEN,AS1952PC02,,0,1952,,360630,,,2,0.304,109663,Assam
,,,,,Algu Rai Shastri,,Indian National Congress,Azamgarh District (EAST) CUM BALLIA DISTRICT (WEST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC273,,0,1952,,383060,,,273,0.4,153266,Uttar Pradesh
,,,,,Vishwa Nath,,Indian National Congress,Azamgarh District (WEST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC272,,0,1952,,760755,,,272,0.365,555502,Uttar Pradesh
,,,,,Sita Ram,,Indian National Congress,Azamgarh District (WEST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC272,,0,1952,,760755,,,272,0.365,555502,Uttar Pradesh
,,,42,,Rafi Ahmad Kidwai,Shafi Ahmed Kidwai,Indian National Congress,Bahraich District (EAST),"None directly, but spouse was a Rajya Sabha member",Brother,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC259,UP1952PC259,1,1952,,343647,,,259,0.279,96028,Uttar Pradesh
,,,,,Jogendra Singh,,Indian National Congress,Bahraich District (WEST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC260,,0,1952,,368993,,,260,0.385,142131,Uttar Pradesh
,,,,,C. D. Goutam,,Indian National Congress,Balaghat,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC99,,0,1952,,370922,,,99,0.484,179578,Madhya Pradesh
,,,,,Kanhu Charan Jena,,Indian National Congress,Balasore,,,Orissa,,GEN,OR1952PC186,,0,1952,,751245,,,186,0.405,607958,Orissa
,,,,,Bhagabat Sahu,,Indian National Congress,Balasore,,,Orissa,,GEN,OR1952PC186,,0,1952,,751245,,,186,0.405,607958,Orissa
,,,,,Murli Manohar,,Independent,Ballia District (EAST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC276,,0,1952,,368287,,,276,0.343,126480,Uttar Pradesh
,,,,,Raghunath Singh,,Indian National Congress,Banaras District (CENTRAL),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC257,,0,1952,,359514,,,257,0.452,162478,Uttar Pradesh
,,,,,Tribhuan Narain Singh,,Indian National Congress,Banaras District (EAST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC258,,0,1952,,372480,,,258,0.411,153123,Uttar Pradesh
,Banaskantha,Banaskantha,51,,Chavda Akbar Dalumiyan,Zohraben Akbarbhai Chavda,Indian National Congress,Banaskantha,"Member of Parliament, Lok Sabha",Spouse,Bombay,Gujarat,GEN,MH1952PC55,MH1952PC55,1,1952,1962–1967,372878,,,55,0.377,140636,Maharashtra
,Mohanlalganj,Lucknow,53,,Shive Dayal,Ram Lal Kureel,Indian National Congress,Banda District Cum Fatehpur District,"Member of Parliament, Lok Sabha",Brother,Uttar Pradesh [1947 - 1999],Uttar Pradesh,GEN,UP1952PC241,UP1952PC241,1,1952,1977-1980,780133,,,241,0.229,356961,Uttar Pradesh
,Mohanlalganj,Lucknow,53,,Piarey Lal Kureel,Ram Lal Kureel,Indian National Congress,Banda District Cum Fatehpur District,"Member of Parliament, Lok Sabha",Brother,Uttar Pradesh [1947 - 1999],Uttar Pradesh,GEN,UP1952PC241,UP1952PC241,1,1952,1977-1980,780133,,,241,0.229,356961,Uttar Pradesh
,,,,,N. Keshavaiengar,,Indian National Congress,Bangalore North,,,Mysore,,GEN,KA1952PC335,,0,1952,,389996,,,335,0.454,177057,Karnataka
,,,,,T. Madiah Gowda,,Indian National Congress,Bangalore South,,,Mysore,,GEN,KA1952PC336,,0,1952,,345824,,,336,0.451,155948,Karnataka
,,,,,Jagannath Koley,,Indian National Congress,Bankura,,,West Bengal,,GEN,WB1952PC283,,0,1952,,719632,,,283,0.393,565367,West Bengal
,,,,,Pashupati Mandal,,Indian National Congress,Bankura,,,West Bengal,,GEN,WB1952PC283,,0,1952,,719632,,,283,0.393,565367,West Bengal
,,,,,Bhikha Bhai,,Indian National Congress,Banswara Dungarpur,,,Rajasthan,,ST,RJ1952PC360,,0,1952,,396575,,,360,0.296,117265,Rajasthan
,,,,,Satish Chandra,,Indian National Congress,Bareilly District (SOUTH),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC213,,0,1952,,379600,,,213,0.366,138758,Uttar Pradesh
,,,,,Ghanshyam Das Thirani,,Independent,Bargarh,,,Orissa,,GEN,OR1952PC180,,0,1952,,368978,,,180,0.266,98141,Orissa
,,,,,Bhawani Singh,,Independent,Barmer Jalore,,,Rajasthan,,GEN,RJ1952PC352,,0,1952,,369470,,,352,0.347,128092,Rajasthan
,,,,,Amin Indhubhai Bhailalbhai,,Independent,Baroda West,,,Bombay,,GEN,MH1952PC63,,0,1952,,380593,,,63,0.53,201509,Maharashtra
,,,,,Beliram Das,,Indian National Congress,Barpeta,,,Assam,,GEN,AS1952PC04,,0,1952,,332791,,,4,0.532,176868,Assam
,,,,,Das Ramananda,,Indian National Congress,Barrackpore,,,West Bengal,,GEN,WB1952PC297,,0,1952,,365287,,,297,0.436,159207,West Bengal
,,,63,,Chakravartty Renu,Dr Bidhan Chandra Roy,Communist Party Of India,Basirhat,Chief Minister of West Bengal,Uncle,West Bengal,West Bengal,GEN,WB1952PC296,WB1952PC296,1,1952,1948-1962,762830,,,296,0.41,626043,West Bengal
,,,63,,Roy Patiram,Dr Bidhan Chandra Roy,Indian National Congress,Basirhat,Chief Minister of West Bengal,Uncle,West Bengal,West Bengal,GEN,WB1952PC296,WB1952PC296,1,1952,1948-1962,762830,,,296,0.41,626043,West Bengal
,,,,,Muchaki Kosa,,Independent,Bastar,,,Madhya Pradesh [1947 - 1999],,ST,MP1952PC98,,0,1952,,384277,,,98,0.557,213845,Madhya Pradesh
,,,,,Udai Shanker Dubey,,Indian National Congress,Basti District (NORTH),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC264,,0,1952,,374224,,,264,0.462,172752,Uttar Pradesh
,,,,,Ram Shanker Lal,,Indian National Congress,Basti Distt Central (EAST) CUM GORAKHPUR DISTT (WEST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC265,,0,1952,,730319,,,265,0.341,498251,Uttar Pradesh
,,,,,Sohan Lal Dhusiya,,Indian National Congress,Basti Distt Central (EAST) CUM GORAKHPUR DISTT (WEST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC265,,0,1952,,730319,,,265,0.341,498251,Uttar Pradesh
,,,,,Datar Balwant Nagesh,,Indian National Congress,Belgaum North,,,Bombay,,GEN,MH1952PC80,,0,1952,,357228,,,80,0.609,217619,Maharashtra
,,,,,Patil Shankargouda Virangouda,,Indian National Congress,Belgaum South,,,Bombay,,GEN,MH1952PC81,,0,1952,,385241,,,81,0.616,237245,Maharashtra
,,,,,T. Subrahmanyam,,Indian National Congress,Bellary,,,Madras,,GEN,TN1952PC133,,0,1952,,358727,,,133,0.612,219591,Tamil Nadu
,,,,,Tridib Chaudhuri,,Revolutionary Socialist Party,Berhampore,,,West Bengal,,GEN,WB1952PC282,,0,1952,,371621,,,282,0.481,178873,West Bengal
,,,,,Bhikulal Lakhmichand Chandak,,Indian National Congress,Betul,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC106,,0,1952,,387336,,,106,0.558,216283,Madhya Pradesh
,,,,,Banarshi Pd. Jhunjhunwala,,Indian National Congress,Bhagalpur Central,,,Bihar [1947 - 1999],,GEN,BR1952PC41,,0,1952,,306142,,,41,0.477,145939,Bihar
,,,,,Anup Lal Mehata,,Indian National Congress,Bhagalpur Cum Purnea,,,Bihar [1947 - 1999],,GEN,BR1952PC40,,0,1952,,640994,,,40,0.4,512765,Bihar
,,,,,Kirai Mushahar,,Socialist Party,Bhagalpur Cum Purnea,,,Bihar [1947 - 1999],,GEN,BR1952PC40,,0,1952,,640994,,,40,0.4,512765,Bihar
,,,,,Susama Sen,,Indian National Congress,Bhagalpur South,,,Bihar [1947 - 1999],,GEN,BR1952PC42,,0,1952,,301167,,,42,0.48,144686,Bihar
,,,,,Chaturbhuj Vithaldas Jasani,,Indian National Congress,Bhandara,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC109,,0,1952,,770354,,,109,0.525,808807,Madhya Pradesh
,,,,,Tularam Chandrabhan Sakhare,,Indian National Congress,Bhandara,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC109,,0,1952,,770354,,,109,0.525,808807,Madhya Pradesh
,,,,,Girraj Sharan Singh,,Independent,Bharatpur Sawaimadhopur,,,Rajasthan,,GEN,RJ1952PC347,,0,1952,,748347,,,347,0.459,687306,Rajasthan
,,,,,Manak Chand,,Krishikar Lok Party,Bharatpur Sawaimadhopur,,,Rajasthan,,GEN,RJ1952PC347,,0,1952,,748347,,,347,0.459,687306,Rajasthan
,,,,,Hari Ram,,Akhil Bharatiya Ram Rajya Parishad,Bhilwara,,,Rajasthan,,GEN,RJ1952PC358,,0,1952,,419186,,,358,0.26,108838,Rajasthan
,,,,,Ramchander Govind Paranjppe,,Peoples Democratic Front,Bhir,,,Hyderabad,,GEN,TG1952PC312,,0,1952,,344586,,,312,0.366,126253,Telangana
,,,,,Rane Shivram Rango,,Indian National Congress,Bhusawal,,,Bombay,,GEN,MH1952PC69,,0,1952,,381993,,,69,0.575,219720,Maharashtra
,Not Applicable (INC President),Not Applicable,84,,Shoukatulla Shah Ansari,Mukhtar Ahmed Ansari,Indian National Congress,Bidar,President of Indian National Congress,Uncle,Hyderabad,Not Applicable,GEN,TG1952PC309,TG1952PC309,1,1952,1927–1928,335863,,,309,0.472,158378,Telangana
,,,,,Dube Rajaram Girdharlal,,Indian National Congress,Bijapur North,,,Bombay,,GEN,MH1952PC84,,0,1952,,370216,,,84,0.484,179215,Maharashtra
,,,,,Bidari Ramappa Balappa,,Indian National Congress,Bijapur South,,,Bombay,,GEN,MH1952PC85,,0,1952,,342857,,,85,0.64,219578,Maharashtra
,,,,,Nemi Saran,,Indian National Congress,Bijnor District (SOUTH),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC218,,0,1952,,381477,,,218,0.5,190669,Uttar Pradesh
,,Bikaner,88,,Maharaja Karni Singh,Maharaja Sadul Singh,Independent,Bikaner Churu,"Maharaja of Bikaner, signatory to Instrument of Accession to Dominion of India",Father,Rajasthan,Rajasthan,GEN,RJ1952PC350,RJ1952PC350,1,1952,1943–1950 (Maharaja of Bikaner),397481,,,350,0.472,187557,Rajasthan
,,,,,Reshamlal,,Indian National Congress,Bilaspur,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC93,,0,1952,,762814,,,93,0.304,463236,Madhya Pradesh
,,,,,Sardar Amarsingh Saigal,,Indian National Congress,Bilaspur,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC93,,0,1952,,762814,,,93,0.304,463236,Madhya Pradesh
,Bilaspur (Princely State),Bilaspur,93,,Anand Chand,Bijai Chand,Independent,Bilaspur,"Raja of Bilaspur (Princely State); Member, Chamber of Princes",Father,Bilaspur,Himachal Pradesh,GEN,CG1952PC385,CG1952PC385,1,1952,1873–1931 (Raja from 1898 to 1931),68130,,,385,,,Chhattisgarh
,"Bilaspur-Durg-Raipur (1955-1957), Janjgir-Champa (1957–1973)","Bilaspur, Durg, Raipur, Janjgir-Champa",94,,Agamdas,Minimata Agam Dass Guru,Indian National Congress,Bilaspur Durg Raipur,"Member of Parliament, Lok Sabha",Spouse,Madhya Pradesh [1947 - 1999],Madhya Pradesh,GEN,MP1952PC94,MP1952PC94,1,1952,1955-1973,759650,,,94,0.349,529972,Madhya Pradesh
,"Bilaspur-Durg-Raipur (1955-1957), Janjgir-Champa (1957–1973)","Bilaspur, Durg, Raipur, Janjgir-Champa",94,,Bhupendranath Mishra,Minimata Agam Dass Guru,Indian National Congress,Bilaspur Durg Raipur,"Member of Parliament, Lok Sabha",Spouse,Madhya Pradesh [1947 - 1999],Madhya Pradesh,GEN,MP1952PC94,MP1952PC94,1,1952,1955-1973,759650,,,94,0.349,529972,Madhya Pradesh
,,,,,Anil Kumar Chanda,,Indian National Congress,Birbhum,,,West Bengal,,GEN,WB1952PC280,,0,1952,,761831,,,280,0.33,503410,West Bengal
,,,,,Kamal Krishna Das,,Indian National Congress,Birbhum,,,West Bengal,,GEN,WB1952PC280,,0,1952,,761831,,,280,0.33,503410,West Bengal
,,,,,Gandhi Vithal Balkrishna,,Indian National Congress,Bombay City North,,,Bombay,,GEN,MH1952PC90,,0,1952,,730126,,,90,0.49,715888,Maharashtra
,,,,,Kajrolkar Narayan Sadoba,,Indian National Congress,Bombay City North,,,Bombay,,GEN,MH1952PC90,,0,1952,,730126,,,90,0.49,715888,Maharashtra
,,,,,Patil Sadashiv Kanoji,,Indian National Congress,Bombay City South,,,Bombay,,GEN,MH1952PC89,,0,1952,,370548,,,89,0.524,194136,Maharashtra
,,,,,Raiji Jayashri Naishadh,,Indian National Congress,Bombay Suburban,,,Bombay,,GEN,MH1952PC91,,0,1952,,379457,,,91,0.527,199927,Maharashtra
,,,,,Bhatt Chandrashankar Manishankar,,Indian National Congress,Broach,,,Bombay,,GEN,MH1952PC64,,0,1952,,380694,,,64,0.549,208885,Maharashtra
,,,,,Badan Sing,,Indian National Congress,Budaun District (WEST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC232,,0,1952,,354848,,,232,0.37,131103,Uttar Pradesh
,,,,,Balmiki Kanhaiya Lal,,Indian National Congress,Bulandshahr District,,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC224,,0,1952,,770017,,,224,0.452,696063,Uttar Pradesh
,,,,,Raghubar Dayal,,Indian National Congress,Bulandshahr District,,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC224,,0,1952,,770017,,,224,0.452,696063,Uttar Pradesh
,,,,,Gopalrao Bajirao Khedkar,,Indian National Congress,Buldana Akola,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC114,,0,1952,,783957,,,114,0.55,862425,Madhya Pradesh
,,,,,Laxman Sharwan Bhatkar,,Indian National Congress,Buldana Akola,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC114,,0,1952,,783957,,,114,0.55,862425,Madhya Pradesh
,,,,,Atulla Ghose,,Indian National Congress,Burdwan,,,West Bengal,,GEN,WB1952PC292,,0,1952,,722434,,,292,0.355,512219,West Bengal
,,,,,Mono Mohan Das,,Indian National Congress,Burdwan,,,West Bengal,,GEN,WB1952PC292,,0,1952,,722434,,,292,0.355,512219,West Bengal
,,,,,"Laskar, Nibaran Chandra",,Indian National Congress,Cachar Lushal Hills,,,Assam,,SC,AS1952PC01,,0,1952,,658171,,,1,0.477,627706,Assam
,,,,,"Deb, Suresh Chandra",,Indian National Congress,Cachar Lushal Hills,,,Assam,,SC,AS1952PC01,,0,1952,,658171,,,1,0.477,627706,Assam
,,,,,Hirendra Nath Mukherjee,,Communist Party Of India,Calcutta North East,,,West Bengal,,GEN,WB1952PC301,,0,1952,,375515,,,301,0.381,143132,West Bengal
,,,,,Meghnath Shah,,Revolutionary Socialist Party,Calcutta North West,,,West Bengal,,GEN,WB1952PC302,,0,1952,,382636,,,302,0.365,139731,West Bengal
,Unknown,Kolkata,114,,Syama Prosad Mookerjee,Ashutosh Mukherjee,All India Bhartiya Jan Sangh,Calcutta South East,Member of Bengal Legislative Council; Vice Chancellor of Calcutta University (academic-administrative leadership with political involvement); President of Asiatic Society of Bengal (administrative role with government collaboration),Father,West Bengal,West Bengal,GEN,WB1952PC300,WB1952PC300,1,1952,Various years from 1906 to 1924 (academic and council roles),381486,,,300,0.379,144614,West Bengal
,,,,,Ashim Krishna Dutt,,Indian National Congress,Calcutta South West,,,West Bengal,,GEN,WB1952PC299,,0,1952,,380061,,,299,0.379,144065,West Bengal
,"Ambalappuzha, Alappuzha",Alappuzha district,116,,A. K. Gopalan,Susheela Gopalan,Communist Party Of India,Cannanore,"Member of Parliament (Lok Sabha), Union Minister of State, senior CPI(M) leader",Spouse,Madras,Kerala,GEN,TN1952PC172,TN1952PC172,1,1952,"Lok Sabha: 1967–1977 (Ambalappuzha), 1980–1984, 1991–1996 (Alappuzha); Union MoS: 1996–1997",364218,,,172,0.693,252481,Tamil Nadu
,,,,,Kanu Ram Deogam,,Jharkhand Party,Chailbassa,,,Bihar [1947 - 1999],,ST,BR1952PC54,,0,1952,,376306,,,54,0.474,178206,Bihar
,,,,,A. R. Sewal,,Indian National Congress,Chamba Sirmur,,,Himachal Pradesh,,GEN,HP1952PC391,,0,1952,,180581,,,391,0.265,47812,Himachal Pradesh
,,,,,Syed Mahmood,,Indian National Congress,Champaran East,,,Bihar [1947 - 1999],,GEN,BR1952PC26,,0,1952,,327728,,,26,0.423,138767,Bihar
,,,,,Bipin Bihari Verma,,Indian National Congress,Champaran North,,,Bihar [1947 - 1999],,GEN,BR1952PC25,,0,1952,,341318,,,25,0.305,104179,Bihar
,,,,,Mulla Abdullabhai Taherali,,Indian National Congress,Chanda,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC110,,0,1952,,368225,,,110,0.626,230336,Madhya Pradesh
,,,,,Ram Sahai Tiwari,,Indian National Congress,Chhatarpur Datia Tikamgarh,,,Vindhya Pradesh,,GEN,MP1952PC401,,0,1952,,587455,,,401,0.295,347010,Madhya Pradesh
,,,,,Moti Lal Malvi,,Indian National Congress,Chhatarpur Datia Tikamgarh,,,Vindhya Pradesh,,GEN,MP1952PC401,,0,1952,,587455,,,401,0.295,347010,Madhya Pradesh
,,,,,Raichand Bhai Shah,,Indian National Congress,Chhindwara,,,Madhya Pradesh [1947 - 1999],,GEN,MP1952PC105,,0,1952,,381555,,,105,0.345,131682,Madhya Pradesh
,,,,,O. V. Alagesan,,Indian National Congress,Chingleput,,,Madras,,GEN,TN1952PC141,,0,1952,,334352,,,141,0.451,150835,Tamil Nadu
,,,,,V. Parameswaran Nair,,Independent,Chirayinkil,,,Travancore Cochin,,GEN,KL1952PC372,,0,1952,,351642,,,372,0.663,233287,Kerala
,,,,,S Nijalingappa,,Indian National Congress,Chitaldrug,,,Mysore,,GEN,KA1952PC341,,0,1952,,361943,,,341,0.603,218227,Karnataka
,,,,,T. N. Vishwanatha Reddi,,Indian National Congress,Chittoor,,,Madras,,GEN,TN1952PC137,,0,1952,,717443,,,137,0.55,788694,Tamil Nadu
,,,,,M. V. Gangadara Siva,,Indian National Congress,Chittoor,,,Madras,,GEN,TN1952PC137,,0,1952,,717443,,,137,0.55,788694,Tamil Nadu
,,,,,Umashanker,,All India Bhartiya Jan Sangh,Chittor,,,Rajasthan,,GEN,RJ1952PC361,,0,1952,,405205,,,361,0.278,112548,Rajasthan
,,,,,T. A. Ramalinga Chettiar,,Indian National Congress,Coimbatore,,,Madras,,GEN,TN1952PC152,,0,1952,,346405,,,152,,,Tamil Nadu
,Unknown,Unknown,133,,"Dass, Basanta Kumar",Tarangini Das,Indian National Congress,Contai,"Independence activist and a leading social worker, known for her involvement during the Indian independence movement. There is no public record of her directly holding or contesting an elected political office.",Spouse,West Bengal,West Bengal,GEN,WB1952PC287,WB1952PC287,1,1952,Unknown,375591,,,287,0.56,210471,West Bengal
,,,,,N. Somanna,,Indian National Congress,Coorg,,,Coorg,,GEN,KA1952PC386,,0,1952,,94593,,,386,0.675,63813,Karnataka
,,,,,K. T. Achyuthan,,Indian National Congress,Crangannur,,,Travancore Cochin,,GEN,KL1952PC379,,0,1952,,348264,,,379,0.687,239313,Kerala
,,,,,L. Elayaperumal,,Indian National Congress,Cuddalore,,,Madras,,GEN,TN1952PC159,,0,1952,,745514,,,159,0.496,739971,Tamil Nadu
,,,,,Govindaswamy Kachirayar,,The Tamil Nad Toilers Party,Cuddalore,,,Madras,,GEN,TN1952PC159,,0,1952,,745514,,,159,0.496,739971,Tamil Nadu
,,,,,Eswara Reddi Yeddula,,Communist Party Of India,Cuddapah,,,Madras,,GEN,TN1952PC136,,0,1952,,368066,,,136,0.652,239982,Tamil Nadu
,,,,,Harekrishna Mahtab,,Indian National Congress,Cuttack,,,Orissa,,GEN,OR1952PC188,,0,1952,,399482,,,188,0.411,164145,Orissa
,,,,,Shri Narayan Das,,Indian National Congress,Darbhanga Central,,,Bihar [1947 - 1999],,GEN,BR1952PC33,,0,1952,,394744,,,33,0.345,136243,Bihar
,"Jhanjharpur, Rajya Sabha (Bihar), Others",Madhubani,140,,Lalit Narayan Misra,Jagannath Mishra,Indian National Congress,Darbhanga Cum Bhagalpur,"Chief Minister of Bihar (three terms), Union Minister of Agriculture, State Minister, MLA, MP (Rajya Sabha)",Brother,Bihar [1947 - 1999],Bihar,GEN,BR1952PC36,BR1952PC36,1,1952,"1975-1977, 1980-1983, 1989-1990 (CM); 1995 (Union Minister); multiple terms MLA/MP",331476,,,36,0.441,146291,Bihar
,,,,,Aniruydh Sinha,,Indian National Congress,Darbhanga East,,,Bihar [1947 - 1999],,GEN,BR1952PC34,,0,1952,,372053,,,34,0.357,132722,Bihar
,,,,,Shyam Nandan Prasad,,Indian National Congress,Darbhanga North,,,Bihar [1947 - 1999],,GEN,BR1952PC35,,0,1952,,376316,,,35,0.446,167758,Bihar
,,,,,Kamakhya Prasad Tripathi,,Indian National Congress,Darrang,,,Assam,,GEN,AS1952PC06,,0,1952,,310934,,,6,0.521,162120,Assam
,,,,,Radha Raman,,Indian National Congress,Delhi City,,,Delhi,,GEN,DL1952PC389,,0,1952,,174522,,,389,0.582,101590,Delhi
,,,,,Ram Ji,,Socialist Party,Deoria District (EAST),,,Uttar Pradesh [1947 - 1999],,GEN,UP1952PC271,,0,1952,,360505,,,271,0.354,127752,Uttar Pradesh
