FamilyID,UID,Relation,Name,PoliticalRole,YearsHeld,ConstituencyName,DistrictName,StateName
157,GJ2022AC154,Brother,Vijaysinh (alias Vallabhbhai) Thakorbhai Patel,"President, Ankleshwar Taluka Panchayat (BJP); Chairman, Hansot Agriculture Produce Market Committee (APMC); Contested MLA (Congress), Ankleshwar","1987 - Present (Taluka Panchayat, APMC); 2022 (MLA candidate)",Ankleshwar,Bharuch,Gujarat
158,GJ2022AC155,,,,,,,
159,GJ2022AC156,,,,,,,
160,GJ2022AC157,,,,,,,
161,GJ2022AC158,,,,,,,
162,GJ2022AC159,,,,,,,
163,GJ2022AC160,,,,,,,
164,GJ2022AC161,,,,,,,
165,GJ2022AC162,,,,,,,
166,GJ2022AC163,,,,,,,
167,GJ2022AC164,,,,,,,
168,GJ2022AC165,,,,,,,
169,GJ2022AC166,,,,,,,
170,GJ2022AC167,,,,,,,
171,GJ2022AC168,,,,,,,
172,GJ2022AC169,,,,,,,
173,GJ2022AC170,,,,,,,
174,GJ2022AC171,,,,,,,
175,GJ2022AC172,,,,,,,
176,GJ2022AC173,,,,,,,
177,GJ2022AC174,,,,,,,
178,GJ2022AC175,,,,,,,
179,GJ2022AC176,,,,,,,
180,GJ2022AC177,,,,,,,
181,GJ2022AC178,,,,,,,
182,GJ2022AC179,,,,,,,
183,GJ2022AC180,,,,,,,
184,GJ2022AC181,,,,,,,
185,GJ2022AC182,,,,,,,
