pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,UID
Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,115565,91093,78.8 %,19136,21.0%,AN1984PC01
Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Kalyan Singh Solanki,Indian National Congress,656877,326169,49.7 %,52823,16.2%,UP1984PC11
Arakkonam,6,SC,Tamil Nadu,R. Jeevarathinam,Indian National Congress,757665,592913,78.3 %,60942,10.3%,TN1984PC06
Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),768645,659108,85.8 %,14160,2.1%,WB1984PC28
Araria,22,SC,Bihar [1947 - 1999],Doomar Lal Baitha,Indian National Congress,791489,472148,59.7 %,198886,42.1%,BR1984PC22
Arrah,36,GEN,Bihar [1947 - 1999],Bali Ram Bhagat,Indian National Congress,890008,432394,48.6 %,154922,35.8%,BR1984PC36
Arunachal East,2,GEN,Arunachal Pradesh,Wangpha Lowang,Indian National Congress,135879,100234,73.8 %,19215,19.2%,AR1984PC02
Arunachal West,1,GEN,Arunachal Pradesh,P.K.Thangon,Indian National Congress,183170,140528,76.7 %,461,0.3%,AR1984PC01
Asansol,38,SC,West Bengal,Anada Gopal Mukherjee,Indian National Congress,893685,625065,69.9 %,86666,13.9%,WB1984PC38
Aska,10,GEN,Orissa,Somnath Rath,Indian National Congress,768077,413689,53.9 %,118044,28.5%,OR1984PC10
Aurangabad,40,GEN,Bihar [1947 - 1999],Satyendra Narain Singh,Indian National Congress,826531,486447,58.9 %,166035,34.1%,BR1984PC40
Aurangabad,33,GEN,Maharashtra,Sahebrao P.Dongaonkar,Indian Congress (SOCIALIST),849481,499332,58.8 %,92419,18.5%,MH1984PC33
Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,330649,220485,66.7 %,14551,6.6%,AS1984PC03
Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Santosh Kumar Singh,Indian National Congress,760683,425385,55.9 %,2786,0.7%,UP1984PC45
Badagara,3,GEN,Kerala,K. P. Unnikrishnan,Indian Congress (SOCIALIST),740431,583558,78.8 %,10979,1.9%,KL1984PC03
Bagaha,1,SC,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,708093,310166,43.8 %,165534,53.4%,BR1984PC01
Bagalkot,27,GEN,Karnataka,Patil Hanmantagouda Bhimanagouda,Indian National Congress,728816,487671,66.9 %,10512,2.2%,KA1984PC27
Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Charan Singh,Lok Dal,754811,479161,63.5 %,85674,17.9%,UP1984PC81
Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Arif Mohammad Khan,Indian National Congress,762567,363296,47.6 %,101020,27.8%,UP1984PC31
Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Nandkishore Sharma,Indian National Congress,635884,420107,66.1 %,68117,16.2%,MP1984PC23
Balasore,2,ST,Orissa,Chintamani Jena,Indian National Congress,736899,494847,67.2 %,79185,16.0%,OR1984PC02
Balia,19,GEN,Bihar [1947 - 1999],Chandra Bhanu Devi,Indian National Congress,769052,492389,64.0 %,123901,25.2%,BR1984PC19
Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Jagannath Chowdhari,Indian National Congress,795336,438137,55.1 %,53940,12.3%,UP1984PC43
Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Deep Narain Van Mahanth,Indian National Congress,753870,408184,54.2 %,8656,2.1%,UP1984PC32
Balurghat,6,GEN,West Bengal,Palas Barman,Revolutionary Socialist Party,768931,626120,81.4 %,22217,3.5%,WB1984PC06
Banaskantha,14,GEN,Gujarat,B.K.Gadhvi,Indian National Congress,697543,399900,57.3 %,27283,6.8%,GJ1984PC14
Banda,59,GEN,Uttar Pradesh [1947 - 1999],Bhism Deo Dubey,Indian National Congress,708382,387705,54.7 %,57499,14.8%,UP1984PC59
Bangalore North,12,GEN,Karnataka,C. K. Jaffer Sharief,Indian National Congress,869205,518766,59.7 %,41546,8.0%,KA1984PC12
Bangalore South,13,GEN,Karnataka,V. S. Krishna Iyer,Janta Party,987244,563908,57.1 %,12732,2.3%,KA1984PC13
Banka,29,GEN,Bihar [1947 - 1999],Manorma Singh,Indian National Congress,770286,487005,63.2 %,151972,31.2%,BR1984PC29
Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),771050,567298,73.6 %,24216,4.3%,WB1984PC35
Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Mahavir Prasad,Indian National Congress,771602,379185,49.1 %,174229,45.9%,UP1984PC37
Banswara,16,GEN,Rajasthan,Prabhulal Rawat,Indian National Congress,733798,410554,56.0 %,121125,29.5%,RJ1984PC16
Bapatla,16,GEN,Andhra Pradesh,Chimata Sambu,Telugu Desam,817197,566622,69.3 %,34420,6.1%,AP1984PC16
Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Kamla Prasad,Indian National Congress,692717,387428,55.9 %,94661,24.4%,UP1984PC29
Baramati,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Indian Congress (SOCIALIST),859626,608149,70.8 %,140532,23.1%,MH1984PC43
Baramulla,1,GEN,Jammu & Kashmir,Saif -Ud- Din Soz,Jammu & Kashmir National Conference,571205,348963,61.1 %,140419,40.2%,JK1984PC01
Barasat,13,SC,West Bengal,Tarun Kanti Ghosh,Indian National Congress,839673,703865,83.8 %,12612,1.8%,WB1984PC13
Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Abida Ahmad,Indian National Congress,646148,349085,54.0 %,55908,16.0%,UP1984PC12
Barh,18,GEN,Bihar [1947 - 1999],Prakash Chandra,Indian National Congress,853413,610745,71.6 %,222736,36.5%,BR1984PC18
Barmer,23,GEN,Rajasthan,Virdhi Chand,Indian National Congress,910267,498846,54.8 %,106713,21.4%,RJ1984PC23
Baroda,22,GEN,Gujarat,Gaekwad Ranjitsinh Pratapshinh,Indian National Congress,860270,539616,62.7 %,152552,28.3%,GJ1984PC22
Barpeta,6,GEN,Assam,Ataur Rahman,Independent,731285,651157,89.0 %,56296,8.6%,AS1984PC06
Barrackpore,19,SC,West Bengal,Debi Ghosal,Indian National Congress,778226,617101,79.3 %,53669,8.7%,WB1984PC19
Basirhat,14,SC,West Bengal,Indrajit Gupta,Communist Party Of India,754765,617980,81.9 %,39043,6.3%,WB1984PC14
Bastar,20,ST,Madhya Pradesh [1947 - 1999],Mankuram Sodi,Indian National Congress,590530,238843,40.5 %,76310,31.9%,MP1984PC20
Basti,34,SC,Uttar Pradesh [1947 - 1999],Ram Awadh Prasad,Indian National Congress,753818,346178,45.9 %,154602,44.7%,UP1984PC34
Bayana,10,SC,Rajasthan,Lala Ram Ken,Indian National Congress,739563,329388,44.5 %,78402,23.8%,RJ1984PC10
Beed,34,GEN,Maharashtra,Kshirsagar Kehsarbai Sonajirao,Indian National Congress,866071,473212,54.6 %,110362,23.3%,MH1984PC34
Begusarai,33,GEN,Bihar [1947 - 1999],Krishna Shahi,Indian National Congress,834398,535039,64.1 %,281636,52.6%,BR1984PC33
Belgaum,25,GEN,Karnataka,Sidnal Shanmukhappa Basappa,Indian National Congress,771731,487773,63.2 %,35540,7.3%,KA1984PC25
Bellary,5,SC,Karnataka,Basavarajeswari,Indian National Congress,768267,510244,66.4 %,72286,14.2%,KA1984PC05
Berhampore,10,GEN,West Bengal,Atish Chandra Sinha,Indian National Congress,867180,663678,76.5 %,3047,0.5%,WB1984PC10
Berhampur,11,GEN,Orissa,R.Jagannath Rao,Indian National Congress,710421,358221,50.4 %,144860,40.4%,OR1984PC11
Bettiah,2,GEN,Bihar [1947 - 1999],Manoj Kumar Pande,Indian National Congress,748524,406295,54.3 %,135268,33.3%,BR1984PC02
Betul,28,GEN,Madhya Pradesh [1947 - 1999],Aslam Sherkhan,Indian National Congress,613591,330848,53.9 %,37950,11.5%,MP1984PC28
Bhadrachalam,5,ST,Andhra Pradesh,Sode Ramaiah,Communist Party Of India,735992,402058,54.6 %,24640,6.1%,AP1984PC05
Bhadrak,3,GEN,Orissa,Ananta Prasad Sethi,Indian National Congress,736023,471134,64.0 %,67419,14.3%,OR1984PC03
Bhagalpur,30,GEN,Bihar [1947 - 1999],Bhagwat Jha Azad,Indian National Congress,851928,571619,67.1 %,30485,5.3%,BR1984PC30
Bhandara,24,GEN,Maharashtra,Keshaorao Atmaramji Pardhi,Indian National Congress,709457,484438,68.3 %,121704,25.1%,MH1984PC24
Bharatpur,9,SC,Rajasthan,K.Natwar Singh,Indian National Congress,715907,455961,63.7 %,79309,17.4%,RJ1984PC09
Bhatinda,11,GEN,Punjab,Teja Singh Dardi,Shiromani Akali Dal,842005,592839,70.4 %,83384,14.1%,PB1984PC11
Bhavnagar,8,SC,Gujarat,Gohil Gigabhai Bhavubhai,Indian National Congress,694984,363794,52.4 %,10995,3.0%,GJ1984PC08
Bhilwara,20,ST,Rajasthan,Girdhari Lal Vyas,Indian National Congress,779185,417597,53.6 %,151636,36.3%,RJ1984PC20
Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Krishna Singh,Indian National Congress,771477,415884,53.9 %,87403,21.0%,MP1984PC02
Bhiwani,8,GEN,Haryana,Bansi Lal,Indian National Congress,782290,535634,68.5 %,187077,34.9%,HR1984PC08
Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],K. N. Pradhan,Indian National Congress,797498,400419,50.2 %,128664,32.1%,MP1984PC30
Bhubaneswar,9,GEN,Orissa,Chintamoni Panigrahi,Indian National Congress,732752,404281,55.2 %,89854,22.2%,OR1984PC09
Bidar,1,GEN,Karnataka,Nasing Suryavansi,Indian National Congress,769422,346592,45.1 %,59615,17.2%,KA1984PC01
Bijapur,28,SC,Karnataka,Guraddi Shivashankareppa Mallappa,Janta Party,707905,437208,61.8 %,2419,0.6%,KA1984PC28
Bijnor,5,SC,Uttar Pradesh [1947 - 1999],Girdhar Lal,Indian National Congress,725760,395079,54.4 %,99813,25.3%,UP1984PC05
Bikaner,2,SC,Rajasthan,Manphool Singh,Indian National Congress,1005582,557794,55.5 %,126082,22.6%,RJ1984PC02
Bikramganj,39,GEN,Bihar [1947 - 1999],Tapeshwar Singh,Indian National Congress,849458,589876,69.4 %,1413,0.2%,BR1984PC39
Bilaspur,15,SC,Madhya Pradesh [1947 - 1999],Khelan Ram Jangde,Indian National Congress,650819,351504,54.0 %,114267,32.5%,MP1984PC15
Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Jagdish Awasthi,Indian National Congress,735505,434405,59.1 %,81610,18.8%,UP1984PC64
Birbhum,42,GEN,West Bengal,Gadahar Saha,Communist Party Of India (MARXIST),751344,563391,75.0 %,13481,2.4%,WB1984PC42
Bobbili,3,GEN,Andhra Pradesh,Anand Gajapathi Raju Poosapati,Telugu Desam,702204,524135,74.6 %,137583,26.2%,AP1984PC03
Bolangir,16,SC,Orissa,Nityanand Misra,Indian National Congress,647765,363455,56.1 %,34952,9.6%,OR1984PC16
Bolpur,41,SC,West Bengal,Saradish Roy,Communist Party Of India (MARXIST),752853,589186,78.3 %,60931,10.3%,WB1984PC41
Bombay North,9,SC,Maharashtra,Anoopchand Khimchand Shah,Indian National Congress,992937,502067,50.6 %,100124,19.9%,MH1984PC09
Bombay North Central,6,GEN,Maharashtra,Dighe Sharad Shankar,Indian National Congress,790090,444362,56.2 %,132098,29.7%,MH1984PC06
Bombay North East,7,SC,Maharashtra,Gurudas Kamat,Indian National Congress,1082419,654026,60.4 %,96274,14.7%,MH1984PC07
Bombay North West,8,GEN,Maharashtra,Sunil Dutt,Indian National Congress,878652,517328,58.9 %,154640,29.9%,MH1984PC08
Bombay South,4,GEN,Maharashtra,Deora Murli,Indian National Congress,653042,337582,51.7 %,105278,31.2%,MH1984PC04
Bombay South Central,5,GEN,Maharashtra,Datta Samant,Independent,648214,391308,60.4 %,72611,18.6%,MH1984PC05
Broach,23,ST,Gujarat,Patel Ahmedbhai Mohammedbhai,Indian National Congress,712414,444555,62.4 %,123069,27.7%,GJ1984PC23
Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Saleem Iqbal Sherwani,Indian National Congress,675019,418682,62.0 %,49742,11.9%,UP1984PC10
Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Kr. Surendra Pal,Indian National Congress,711066,406950,57.2 %,95900,23.6%,UP1984PC78
Buldhana,18,GEN,Maharashtra,Wasnik Mukul Balkrishna,Indian National Congress,743946,479412,64.4 %,48058,10.0%,MH1984PC18
Bulsar,26,ST,Gujarat,Patel Uttambhai Harjibhai,Indian National Congress,739221,411727,55.7 %,54690,13.3%,GJ1984PC26
Burdwan,39,GEN,West Bengal,Sudhir Ray,Communist Party Of India (MARXIST),840465,697707,83.0 %,57684,8.3%,WB1984PC39
Buxar,37,GEN,Bihar [1947 - 1999],Kamla Kant Tiwari,Indian National Congress,881047,456203,51.8 %,55702,12.2%,BR1984PC37
Calcutta North East,22,GEN,West Bengal,Ajit Kumar Panja,Indian National Congress,709568,509101,71.8 %,88576,17.4%,WB1984PC22
Calcutta North West,21,GEN,West Bengal,Ashok Kumar Sen,Indian National Congress,598108,387146,64.7 %,132422,34.2%,WB1984PC21
Calcutta South,23,GEN,West Bengal,Bhola Nath Sen,Indian National Congress,803022,582369,72.5 %,88939,15.3%,WB1984PC23
Calicut,4,GEN,Kerala,K. G. Adiyodi,Indian National Congress,706343,562184,79.6 %,54061,9.6%,KL1984PC04
Cannanore,2,GEN,Kerala,Muliappalli Ramachandran,Indian National Congress,693093,567922,81.9 %,25053,4.4%,KL1984PC02
Chail,57,SC,Uttar Pradesh [1947 - 1999],Bihari Lal Shailesh,Indian National Congress,759882,327888,43.2 %,3418,1.0%,UP1984PC57
Chamarajanagar,15,GEN,Karnataka,V. Sreenivasa Prasad,Indian National Congress,719216,462181,64.3 %,80653,17.5%,KA1984PC15
Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Chanda Tripati,Indian National Congress,770457,457373,59.4 %,51101,11.2%,UP1984PC51
Chandigarh,1,GEN,Chandigarh,Jagan Nath Kaushal,Indian National Congress,229291,158050,68.9 %,66300,41.9%,CH1984PC01
Chandni Chowk,5,SC,Delhi [1977 Onwards],Jai Parkash Agarwal,Indian National Congress,283849,203899,71.8 %,47076,23.1%,DL1984PC05
Chandrapur,26,GEN,Maharashtra,Potdukhe Shantaram Rajeshwar,Indian National Congress,771242,462324,60.0 %,189155,40.9%,MH1984PC26
Chapra,7,GEN,Bihar [1947 - 1999],Ram Bahadur Singh,Janta Party,780710,460294,59.0 %,26006,5.6%,BR1984PC07
Chatra,44,GEN,Bihar [1947 - 1999],Yogeshwar Prasad Yogesh,Indian National Congress,729752,382616,52.4 %,156542,40.9%,BR1984PC44
Chengalpattu,5,GEN,Tamil Nadu,S. Jagathrakshakan,All India Anna Dravida Munnetra Kazhagam,737434,568599,77.1 %,58209,10.2%,TN1984PC05
Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress,638430,369149,57.8 %,153825,41.7%,MP1984PC27
Chhota Udaipur,21,ST,Gujarat,Rathwa Amarsinh Viriyabhai,Indian National Congress,681795,366154,53.7 %,111987,30.6%,GJ1984PC21
Chidambaram,12,GEN,Tamil Nadu,Vallalperuman P.,Indian National Congress,734012,565913,77.1 %,120891,21.4%,TN1984PC12
Chikballapur,9,ST,Karnataka,V. Krishna Rao,Indian National Congress,750841,557461,74.2 %,44314,7.9%,KA1984PC09
Chikkodi,26,GEN,Karnataka,B. Shankaranad,Indian National Congress,705279,489225,69.4 %,3645,0.7%,KA1984PC26
Chikmagalur,20,GEN,Karnataka,D. K. Taradevi,Indian National Congress,677667,444583,65.6 %,140040,31.5%,KA1984PC20
Chimur,25,GEN,Maharashtra,Muttemwar Vilas Baburao,Indian National Congress,751666,559668,74.5 %,172100,30.8%,MH1984PC25
Chirayinkil,19,GEN,Kerala,Thalekkunnil Basheer,Indian National Congress,728111,531321,73.0 %,31465,5.9%,KL1984PC19
Chitradurga,7,GEN,Karnataka,K. H. Ranganath,Indian National Congress,773621,545358,70.5 %,56811,10.4%,KA1984PC07
Chittoor,21,GEN,Andhra Pradesh,N.P.Jhansi Lakshmi,Telugu Desam,815085,622020,76.3 %,61211,9.8%,AP1984PC21
Chittorgarh,19,ST,Rajasthan,Nirmla Kumari,Indian National Congress,803392,439081,54.7 %,76389,17.4%,RJ1984PC19
Churu,3,GEN,Rajasthan,Mohar Singh,Indian National Congress,831213,505986,60.9 %,111423,22.0%,RJ1984PC03
Coimbatore,20,GEN,Tamil Nadu,Kuppuswamy C. K.,Indian National Congress,902773,643831,71.3 %,102519,15.9%,TN1984PC20
Contai,31,GEN,West Bengal,Phulrenu Guha,Indian National Congress,697117,564583,81.0 %,13758,2.4%,WB1984PC31
Cooch Behar,1,SC,West Bengal,Amar Roy Prodhan,All India Forward Bloc,777024,660863,85.1 %,45517,6.9%,WB1984PC01
Cuddalore,11,GEN,Tamil Nadu,Venkatesan P.R.S.,Indian National Congress,733050,565944,77.2 %,131954,23.3%,TN1984PC11
Cuddapah,23,GEN,Andhra Pradesh,D.N.Reddy,Telugu Desam,890757,649290,72.9 %,54308,8.4%,AP1984PC23
Cuttack,6,GEN,Orissa,Jayanti Pattanik,Indian National Congress,755436,485934,64.3 %,78921,16.2%,OR1984PC06
Dadra & Nagar Haveli,1,GEN,Dadra & Nagar Haveli,Gavli Sitaram Jivyabhai,Independent,54066,40331,74.6 %,5381,13.3%,DH1984PC01
Dahanu,11,GEN,Maharashtra,Shingada Damu Barku,Indian National Congress,774100,366780,47.4 %,69720,19.0%,MH1984PC11
Dahod,17,GEN,Gujarat,Damor Somjibhai Punjabhai,Indian National Congress,667758,265136,39.7 %,114737,43.3%,GJ1984PC17
Daman And Diu,1,GEN,Daman & Diu,Data Not Available,-,-,-,-,-,-,DD1984PC01
Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Dal Chandra Jain,Indian National Congress,771797,458902,59.5 %,50269,11.0%,MP1984PC07
Darbhanga,15,GEN,Bihar [1947 - 1999],Vijay Kumar Mishra,Lok Dal,770111,442007,57.4 %,72167,16.3%,BR1984PC15
Darjeeling,4,GEN,West Bengal,Ananda Prasad Pathak,Communist Party Of India (MARXIST),824564,561738,68.1 %,1389,0.2%,WB1984PC04
Dausa,7,GEN,Rajasthan,Rajesh Pilot,Indian National Congress,801509,466144,58.2 %,74343,15.9%,RJ1984PC07
Davangere,6,ST,Karnataka,Channaiah Odeyar,Indian National Congress,790941,551048,69.7 %,65741,11.9%,KA1984PC06
Delhi Sadar,6,GEN,Delhi [1977 Onwards],Jagdish Tytler,Indian National Congress,367575,252696,68.8 %,65853,26.1%,DL1984PC06
Deogarh,18,GEN,Orissa,Sriballav Panigrahi,Indian National Congress,732492,402116,54.9 %,93522,23.3%,OR1984PC18
Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Rajmangal Pandey,Indian National Congress,793421,439872,55.4 %,145101,33.0%,UP1984PC41
Dhanbad,47,GEN,Bihar [1947 - 1999],Shankar Dayal Singh,Indian National Congress,923926,503143,54.5 %,62295,12.4%,BR1984PC47
Dhandhuka,9,GEN,Gujarat,Narsinhbhai Karsanbhai Makwana,Indian National Congress,691033,390367,56.5 %,22616,5.8%,GJ1984PC09
Dhar,36,ST,Madhya Pradesh [1947 - 1999],Pratapsingh Baghel,Indian National Congress,683486,435187,63.7 %,135355,31.1%,MP1984PC36
Dharmapuri,13,SC,Tamil Nadu,M. Thambi Duriai,All India Anna Dravida Munnetra Kazhagam,780371,552006,70.7 %,151252,27.4%,TN1984PC13
Dharwad North,24,GEN,Karnataka,Naikar Dyamappa Kallappa,Indian National Congress,719826,450810,62.6 %,44851,9.9%,KA1984PC24
Dharwad South,23,GEN,Karnataka,Azeez Sait,Indian National Congress,700921,500375,71.4 %,57607,11.5%,KA1984PC23
Dhenkanal,19,GEN,Orissa,Raja Kamakhya Prasad Singh Deo Mahindra Bahadur,Indian National Congress,696446,417650,60.0 %,203573,48.7%,OR1984PC19
Dhubri,4,GEN,Assam,Abdul Hamid,Independent,740858,642847,86.8 %,11818,1.8%,AS1984PC04
Dhule,14,GEN,Maharashtra,Bhoye Reshama Motiram,Indian National Congress,706445,404435,57.3 %,65932,16.3%,MH1984PC14
Diamond Harbour,17,GEN,West Bengal,Amal Datta,Communist Party Of India (MARXIST),795313,598286,75.2 %,4673,0.8%,WB1984PC17
Dibrugarh,13,GEN,Assam,Haren Bhumji,Indian National Congress,919207,480504,52.3 %,42055,8.8%,AS1984PC13
Dindigul,23,GEN,Tamil Nadu,K.R. Natarajan,All India Anna Dravida Munnetra Kazhagam,813821,579576,71.2 %,141318,24.4%,TN1984PC23
Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Kazi Jalil Abbasi,Indian National Congress,783353,446841,57.0 %,112987,25.3%,UP1984PC35
Dum Dum,20,SC,West Bengal,Asutosh Law,Indian National Congress,1005879,778814,77.4 %,2703,0.3%,WB1984PC20
Dumka,27,ST,Bihar [1947 - 1999],Prithiwi Chand Kisku,Indian National Congress,708326,380961,53.8 %,97187,25.5%,BR1984PC27
Durg,21,GEN,Madhya Pradesh [1947 - 1999],Chandulal Chandrakar,Indian National Congress,754373,503048,66.7 %,172594,34.3%,MP1984PC21
Durgapur,37,SC,West Bengal,Purna Chandra Malik,Communist Party Of India (MARXIST),828869,645271,77.9 %,38768,6.0%,WB1984PC37
East Delhi,4,GEN,Delhi [1977 Onwards],H.K.L.Bhagat,Indian National Congress,832324,510643,61.4 %,312180,61.1%,DL1984PC04
Eluru,11,GEN,Andhra Pradesh,Bolla Bulli Ramaiah,Telugu Desam,790920,602968,76.2 %,111652,18.5%,AP1984PC11
Erandol,16,GEN,Maharashtra,Vijaykumar Naval Patil,Indian National Congress,778541,473313,60.8 %,65155,13.8%,MH1984PC16
Ernakulam,11,GEN,Kerala,K. V. Thomas,Indian National Congress,727741,551838,75.8 %,70324,12.7%,KL1984PC11
Etah,71,GEN,Uttar Pradesh [1947 - 1999],Muhammad Mehfooj Ali Khan Alias Pyarey Main,Lok Dal,655413,356446,54.4 %,3431,1.0%,UP1984PC71
Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Raghuraj Singh,Indian National Congress,722895,434031,60.0 %,23068,5.3%,UP1984PC66
Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Nirmal Khatri,Indian National Congress,723860,398335,55.0 %,104492,26.2%,UP1984PC28
Faridabad,6,GEN,Haryana,Rahim Khan,Indian National Congress,869828,537552,61.8 %,134371,25.0%,HR1984PC06
Faridkot,12,GEN,Punjab,Shaminder Singh,Shiromani Akali Dal,848893,546304,64.4 %,35253,6.5%,PB1984PC12
Farrukhabad,68,GEN,Uttar Pradesh [1947 - 1999],Khurshed Alam Khan,Indian National Congress,774883,458919,59.2 %,126611,27.6%,UP1984PC68
Fatehpur,58,GEN,Uttar Pradesh [1947 - 1999],Hari Krishna Shastri,Indian National Congress,752578,382858,50.9 %,92883,24.3%,UP1984PC58
Ferozepur,13,GEN,Punjab,Gurdial Singh Dhillon,Indian National Congress,844964,577690,68.4 %,43356,7.5%,PB1984PC13
Firozabad,72,SC,Uttar Pradesh [1947 - 1999],Ganga Ram,Indian National Congress,717338,342816,47.8 %,63502,18.5%,UP1984PC72
Gandhinagar,11,GEN,Gujarat,G.I.Patel,Indian National Congress,929582,554174,59.6 %,2754,0.5%,GJ1984PC11
Ganganagar,1,SC,Rajasthan,Birbal,Indian National Congress,829728,452831,54.6 %,165514,36.6%,RJ1984PC01
Garhwal,2,GEN,Uttar Pradesh [1947 - 1999],Chandra Mohan Singh,Indian National Congress,662209,349684,52.8 %,118881,34.0%,UP1984PC02
Gauhati,7,GEN,Assam,Dinesh Goswami,Independent,874981,720667,82.4 %,303506,42.1%,AS1984PC07
Gaya,43,SC,Bihar [1947 - 1999],Ram Swaroop Ram,Indian National Congress,811699,539430,66.5 %,84435,15.7%,BR1984PC43
Ghatampur,63,SC,Uttar Pradesh [1947 - 1999],Askaran,Indian National Congress,728540,370096,50.8 %,48870,13.2%,UP1984PC63
