pc name,no,type,state,winning candidate,party,electors,votes,turnout,margin,margin %,UID
Cachar,42,GEN,Assam,J. Chanda,Indian National Congress,462862,208010,44.9 %,46510,22.4%,AS1967PC42
Calcutta North East,457,GEN,West Bengal,H. Mukherjee,Communist Party Of India,549928,354874,64.5 %,14143,4.0%,WB1967PC457
Calcutta North West,456,GEN,West Bengal,A. K. Sen,Indian National Congress,591674,347334,58.7 %,64826,18.7%,WB1967PC456
Calcutta South,458,GEN,West Bengal,G. Ghosh,Communist Party Of India (MARXIST),506688,317171,62.6 %,39287,12.4%,WB1967PC458
Chail,409,SC,Uttar Pradesh [1947 - 1999],M. Din,Indian National Congress,498035,211243,42.4 %,25934,12.3%,UP1967PC409
Chamarajanagar,282,SC,Mysore,S. M. Siddaiah,Indian National Congress,454447,311090,68.5 %,28977,9.3%,KA1967PC282
Chamba,513,GEN,Himachal Pradesh,V. Chand,Indian National Congress,245876,123209,50.1 %,4861,3.9%,HP1967PC513
Chanda,247,GEN,Maharashtra,K. M. Kaushik,Independent,474396,295777,62.4 %,16836,5.7%,MH1967PC247
Chandauli,403,GEN,Uttar Pradesh [1947 - 1999],Nihal,Samyukta Socialist Party,481980,280595,58.2 %,1595,0.6%,UP1967PC403
Chandigarh,498,GEN,Chandigarh,C. Goyal,Bhartiya Jan Sangh,76232,49829,65.4 %,12616,25.3%,CH1967PC498
Chandni Chowk,504,GEN,Delhi,R. Gopal,Bhartiya Jan Sangh,194661,141466,72.7 %,17150,12.1%,DL1967PC504
Chapra,61,GEN,Bihar [1947 - 1999],R. P. Singh,Indian National Congress,563139,290282,51.6 %,28209,9.7%,BR1967PC61
Chatra,99,GEN,Bihar [1947 - 1999],V. Raje,Independent,493028,201737,40.9 %,21979,10.9%,BR1967PC99
Chatrapur,306,GEN,Orissa,J. R. Rachakonda,Indian National Congress,508555,212036,41.7 %,41661,19.6%,OR1967PC306
Chhindwara,172,GEN,Madhya Pradesh [1947 - 1999],G.R. Mishra,Indian National Congress,492457,207556,42.2 %,47983,23.1%,MP1967PC172
Chidambaram,195,SC,Madras,V. Mayavan,Dravida Munetra Kazhagam,524610,403331,76.9 %,17429,4.3%,TN1967PC195
Chikmagalur,287,GEN,Mysore,M. Huchegowda,Praja Socialist Party,407267,260483,64.0 %,18223,7.0%,KA1967PC287
Chikodi,293,SC,Mysore,B. Sahankaranand,Indian National Congress,462055,294102,63.7 %,101542,34.5%,KA1967PC293
Chimur,246,GEN,Maharashtra,R. M. Hajarnawis,Indian National Congress,506614,335136,66.2 %,45223,13.5%,MH1967PC246
Chingleput,188,GEN,Madras,C. C. Babu,Dravida Munetra Kazhagam,538456,431101,80.1 %,105731,24.5%,TN1967PC188
Chirayinkil,495,GEN,Kerala,K. Anirudhan,Communist Party Of India (MARXIST),410807,310052,75.5 %,29343,9.5%,KL1967PC495
Chitorgarh,346,GEN,Rajasthan,O. L. Bohra,Indian National Congress,505661,265725,52.6 %,35101,13.2%,RJ1967PC346
Chitradurga,274,GEN,Mysore,J. M. Imam,Swatantra,499894,341214,68.3 %,31932,9.4%,KA1967PC274
Chittoor,21,GEN,Andhra Pradesh,N.P.C. Naidu,Indian National Congress,518637,355499,68.5 %,27663,7.8%,AP1967PC21
Coimbatore,202,GEN,Madras,K. Ramani,Communist Party Of India (MARXIST),561096,427419,76.2 %,65921,15.4%,TN1967PC202
Contai,466,GEN,West Bengal,G. Samar,Praja Socialist Party,512594,366246,71.5 %,17169,4.7%,WB1967PC466
Cooch Behar,438,SC,West Bengal,B. K. D. Chowdhury,Forward Bloc,508364,341555,67.2 %,43836,12.8%,WB1967PC438
Cuddalore,194,GEN,Madras,V. K. Gounder,Dravida Munetra Kazhagam,545062,416423,76.4 %,47973,11.5%,TN1967PC194
Cuddapah,23,GEN,Andhra Pradesh,Y.E. Reddy,Communist Party Of India,527110,402943,76.4 %,37719,9.4%,AP1967PC23
Cuttack,302,GEN,Orissa,S. Misra,Praja Socialist Party,547621,276875,50.6 %,12138,4.4%,OR1967PC302
Dabhoi,128,GEN,Gujarat,M.M. Patel,Indian National Congress,458775,306310,66.8 %,27589,9.0%,GJ1967PC128
Dadra Nagar Haveli,499,ST,Dadra & Nagar Haveli,S. R. Delkar,Indian National Congress,29564,23144,78.3 %,6406,27.7%,DH1967PC499
Dahanu,233,ST,Maharashtra,Y. M. Mukne,Indian National Congress,439251,247807,56.4 %,35940,14.5%,MH1967PC233
Dahod,123,ST,Gujarat,B.R. Parmar,Indian National Congress,420684,244947,58.2 %,8084,3.3%,GJ1967PC123
Damoh,170,GEN,Madhya Pradesh [1947 - 1999],M.J.B. Patel,Indian National Congress,482099,278035,57.7 %,59621,21.4%,MP1967PC170
Darbhanga,71,GEN,Bihar [1947 - 1999],S. N. Sinha,Indian National Congress,589019,349480,59.3 %,53073,15.2%,BR1967PC71
Darjeeling,440,GEN,West Bengal,M. Basu,Independent,442750,258528,58.4 %,1831,0.7%,WB1967PC440
Dausa,335,GEN,Rajasthan,R. C. Ganpat,Swatantra,550250,311199,56.6 %,45091,14.5%,RJ1967PC335
Dehra Dun,437,GEN,Uttar Pradesh [1947 - 1999],K.Y. Singh,Independent,465613,320353,68.8 %,40112,12.5%,UP1967PC437
Delhi Sadar,505,GEN,Delhi,K. L. Gupta,Bhartiya Jan Sangh,225517,160283,71.1 %,9705,6.1%,DL1967PC505
Deoria,393,GEN,Uttar Pradesh [1947 - 1999],B. Rai,Indian National Congress,512391,273610,53.4 %,34979,12.8%,UP1967PC393
Dhanbad,101,GEN,Bihar [1947 - 1999],L. R. Lakshmi,Jana Kranti Dal,480690,194970,40.6 %,20267,10.4%,BR1967PC101
Dhandhuka,116,GEN,Gujarat,R.K. Amin,Swatantra,432903,277016,64.0 %,30658,11.1%,GJ1967PC116
Dhar,180,ST,Madhya Pradesh [1947 - 1999],Bharatsingh,Bhartiya Jan Sangh,458570,266069,58.0 %,20510,7.7%,MP1967PC180
Dharapuram,204,SC,Madras,C. T. Dhandapani,Dravida Munetra Kazhagam,563703,428401,76.0 %,110866,25.9%,TN1967PC204
Dharwar North,291,GEN,Mysore,M. S. Bindurao,Indian National Congress,433794,283277,65.3 %,87430,30.9%,KA1967PC291
Dharwar South,290,GEN,Mysore,M. F. Hussensab,Indian National Congress,471334,307737,65.3 %,64631,21.0%,KA1967PC290
Dhenkanal,315,GEN,Orissa,R.K.P.S.D.M. Bahadur,Swatantra,499572,245220,49.1 %,88045,35.9%,OR1967PC315
Dhubri,45,GEN,Assam,J. Ahmed,Praja Socialist Party,402189,287387,71.5 %,66308,23.1%,AS1967PC45
Dhulia,237,GEN,Maharashtra,C. A. Patil,Indian National Congress,506847,309332,61.0 %,81383,26.3%,MH1967PC237
Diamond Harbour,453,GEN,West Bengal,J. Basu,Communist Party Of India (MARXIST),531464,394853,74.3 %,70974,18.0%,WB1967PC453
Dibrugarh,55,GEN,Assam,J. N. Hazarika,Indian National Congress,399041,219091,54.9 %,22897,10.5%,AS1967PC55
Dindigul,207,GEN,Madras,N. Anbuchezhian,Dravida Munetra Kazhagam,555868,428095,77.0 %,103346,24.1%,TN1967PC207
Domariaganj,387,GEN,Uttar Pradesh [1947 - 1999],N. S. Sharma,Bhartiya Jan Sangh,495854,294468,59.4 %,29992,10.2%,UP1967PC387
Dumka,81,ST,Bihar [1947 - 1999],S. C. Besra,Indian National Congress,478393,162235,33.9 %,12040,7.4%,BR1967PC81
Durg,165,GEN,Madhya Pradesh [1947 - 1999],V.Y. Tamaskar,Indian National Congress,532152,280983,52.8 %,34318,12.2%,MP1967PC165
East Delhi,503,GEN,Delhi,H. Devgun,Bhartiya Jan Sangh,265230,178484,67.3 %,5616,3.1%,DL1967PC503
Eluru,11,GEN,Andhra Pradesh,K. Suryanarayan,Indian National Congress,508275,404043,79.5 %,1953,0.5%,AP1967PC11
Ernakulam,487,GEN,Kerala,V. V. Menon,Communist Party Of India (MARXIST),457108,372561,81.5 %,16606,4.5%,KL1967PC487
Etah,423,GEN,Uttar Pradesh [1947 - 1999],Rohanlal,Indian National Congress,482836,284078,58.8 %,15383,5.4%,UP1967PC423
Etawah,418,GEN,Uttar Pradesh [1947 - 1999],A. Singh,Samyukta Socialist Party,482147,275956,57.2 %,45348,16.4%,UP1967PC418
Faizabad,379,GEN,Uttar Pradesh [1947 - 1999],R. K. Sinha,Indian National Congress,440689,234080,53.1 %,16909,7.2%,UP1967PC379
Farrukhabad,420,GEN,Uttar Pradesh [1947 - 1999],A.C. Singh,Indian National Congress,517331,293868,56.8 %,24688,8.4%,UP1967PC420
Fatehpur,410,GEN,Uttar Pradesh [1947 - 1999],S.B. Singh,Indian National Congress,535616,260884,48.7 %,25557,9.8%,UP1967PC410
Fazilka,317,GEN,Punjab,I. Singh,Indian National Congress,494461,343288,69.4 %,26495,7.7%,PB1967PC317
Ferozepur,318,GEN,Punjab,S. Singh,Akali Dal - Sant Fateh Singh Group,465986,338127,72.6 %,12640,3.7%,PB1967PC318
Firozabad,424,SC,Uttar Pradesh [1947 - 1999],S.C. Lal,Samyukta Socialist Party,500659,248869,49.7 %,13281,5.3%,UP1967PC424
Gandhinagar,118,SC,Gujarat,S.M. Solanki,Indian National Congress,515980,354758,68.8 %,29840,8.4%,GJ1967PC118
Ganganagar,330,SC,Rajasthan,P. Lal,Indian National Congress,543522,333180,61.3 %,56378,16.9%,RJ1967PC330
Garhwal,354,GEN,Uttar Pradesh [1947 - 1999],B. Darshan,Indian National Congress,421277,173000,41.1 %,59923,34.6%,UP1967PC354
Gauhati,48,GEN,Assam,D. Kalita,Communist Party Of India,412702,275000,66.6 %,1550,0.6%,AS1967PC48
Gaya,98,SC,Bihar [1947 - 1999],R. Das,Indian National Congress,484827,217255,44.8 %,33988,15.6%,BR1967PC98
Ghatal,464,GEN,West Bengal,G. Parimal,Indian National Congress,475725,348573,73.3 %,28910,8.3%,WB1967PC464
Ghatampur,415,SC,Uttar Pradesh [1947 - 1999],T. Ram,Indian National Congress,509217,296023,58.1 %,8538,2.9%,UP1967PC415
Ghazipur,402,GEN,Uttar Pradesh [1947 - 1999],S. Pandey,Communist Party Of India,498188,277743,55.8 %,3240,1.2%,UP1967PC402
Ghosi,396,GEN,Uttar Pradesh [1947 - 1999],J. Bahadur,Communist Party Of India,501984,291645,58.1 %,4288,1.5%,UP1967PC396
Giridih,100,GEN,Bihar [1947 - 1999],A. I. Ahmad,Indian National Congress,488257,212724,43.6 %,3831,1.8%,BR1967PC100
Gobichettipalayam,205,GEN,Madras,P. A. Saminathan,Dravida Munetra Kazhagam,513981,387769,75.4 %,48945,12.6%,TN1967PC205
Godda,80,GEN,Bihar [1947 - 1999],P. H. Singhka,Indian National Congress,518431,225809,43.6 %,21862,9.7%,BR1967PC80
Godhra,124,GEN,Gujarat,P.H. Mody,Swatantra,426461,271165,63.6 %,24449,9.0%,GJ1967PC124
Gonda,385,GEN,Uttar Pradesh [1947 - 1999],S. Kripalani,Indian National Congress,462900,243676,52.6 %,11661,4.8%,UP1967PC385
Gopalganj,59,GEN,Bihar [1947 - 1999],D. N. Tiwary,Indian National Congress,518630,248353,47.9 %,3016,1.2%,BR1967PC59
Gorakhpur,390,GEN,Uttar Pradesh [1947 - 1999],D. V. Nath,Independent,434485,266262,61.3 %,42715,16.0%,UP1967PC390
Gudivada,12,GEN,Andhra Pradesh,M. Ankineedu,Indian National Congress,513970,409419,79.7 %,40198,9.8%,AP1967PC12
Gulbarga,270,GEN,Mysore,M. Yeshvantappa,Indian National Congress,489226,242601,49.6 %,58277,24.0%,KA1967PC270
Guna,151,GEN,Madhya Pradesh [1947 - 1999],V.R. Scindhia,Swatantra,526703,305701,58.0 %,186189,60.9%,MP1967PC151
Guntur,16,GEN,Andhra Pradesh,K. Raghuramaiah,Indian National Congress,564418,413981,73.4 %,117032,28.3%,AP1967PC16
Gurdaspur,321,GEN,Punjab,D. Chand,Indian National Congress,492194,351135,71.3 %,22746,6.5%,PB1967PC321
Gurgaon,138,GEN,Haryana,A. Gani,Independent,527625,369196,70.0 %,1308,0.4%,HR1967PC138
Gwalior,150,GEN,Madhya Pradesh [1947 - 1999],R. Avtar,Bhartiya Jan Sangh,524192,323071,61.6 %,148467,46.0%,MP1967PC150
Hajipur,64,GEN,Bihar [1947 - 1999],V. Chaudhary,Indian National Congress,569874,346087,60.7 %,28530,8.2%,BR1967PC64
Hamirpur,412,GEN,Uttar Pradesh [1947 - 1999],S.B. Ji,Bhartiya Jan Sangh,480478,270899,56.4 %,59125,21.8%,UP1967PC412
Hamirpur,511,GEN,Himachal Pradesh,P. C. Verma,Indian National Congress,279659,149356,53.4 %,3243,2.2%,HP1967PC511
Hapur,431,GEN,Uttar Pradesh [1947 - 1999],P.V. Shastri,Independent,514929,360888,70.1 %,48068,13.3%,UP1967PC431
Hardoi,370,SC,Uttar Pradesh [1947 - 1999],K. Lal,Indian National Congress,506407,271838,53.7 %,17555,6.5%,UP1967PC370
Hassan,286,GEN,Mysore,N. Shivappa,Swatantra,468830,307979,65.7 %,42452,13.8%,KA1967PC286
Hathras,427,SC,Uttar Pradesh [1947 - 1999],"N, Deo",Indian National Congress,523727,284992,54.4 %,7119,2.5%,UP1967PC427
