pc name,no,type,state,winning candidate,party,electors,votes,turnout,UID
Bangalore,245,GEN,Mysore,H. C. Dasappa,Indian National Congress,356393,209755,58.9 %,KA1957PC245
Bangalore City,244,GEN,Mysore,Keshava Iyengar Alias N. Keshava,Indian National Congress,354949,153807,43.3 %,KA1957PC244
Banka,67,GEN,Bihar [1947 - 1999],Shakuntala Devi,Indian National Congress,389809,154018,39.5 %,BR1957PC67
Bankura,376,GEN,West Bengal,Pashupati Mandal,Indian National Congress,806812,609454,37.8 %,WB1957PC376
Bankura,376,GEN,West Bengal,Ramgati Banerjee,Indian National Congress,806812,609454,37.8 %,WB1957PC376
Banswara,288,ST,Rajasthan,Bhogji,Indian National Congress,395155,163336,41.3 %,RJ1957PC288
Bara Banki,355,GEN,Uttar Pradesh [1947 - 1999],Ram Sewak Yadav,Independent,809955,727552,44.9 %,UP1957PC355
Bara Banki,355,GEN,Uttar Pradesh [1947 - 1999],Swami Ramanand,Indian National Congress,809955,727552,44.9 %,UP1957PC355
Baramati,118,GEN,Bombay,Jadhe Keshvrao Marutirao,Indian National Congress,334734,147726,44.1 %,MH1957PC118
Barasat,392,GEN,West Bengal,Arun Chandra Guha,Indian National Congress,483642,273525,56.6 %,WB1957PC392
Bareilly,312,GEN,Uttar Pradesh [1947 - 1999],Satish Chandra,Indian National Congress,366076,156795,42.8 %,UP1957PC312
Barh,73,GEN,Bihar [1947 - 1999],Tarkeshwari Devi,Indian National Congress,356840,167987,47.1 %,BR1957PC73
Barmer,294,GEN,Rajasthan,H. H. Raghunath Singh,Independent,406094,131018,32.3 %,RJ1957PC294
Baroda,107,GEN,Bombay,Gaekwar Fatehsinhrao Pratapsinhrao,Indian National Congress,373878,239276,64.0 %,MH1957PC107
Barrackpore,391,GEN,West Bengal,Bimal Coomar Ghose,Praja Socialist Party,430339,241747,56.2 %,WB1957PC391
Basirhat,390,GEN,West Bengal,Paresh Nath Kayal,Indian National Congress,893132,854749,47.9 %,WB1957PC390
Basirhat,390,GEN,West Bengal,Renu Chakravartty,Communist Party Of India,893132,854749,47.9 %,WB1957PC390
Bastar,183,ST,Madhya Pradesh [1947 - 1999],Surti Kistaiya (S. T. ),Indian National Congress,370085,182645,49.4 %,MP1957PC183
Basti,349,GEN,Uttar Pradesh [1947 - 1999],"Malviya, Keshva Deva",Indian National Congress,807318,782198,48.4 %,UP1957PC349
Basti,349,GEN,Uttar Pradesh [1947 - 1999],Ram Garib,Independent,807318,782198,48.4 %,UP1957PC349
Begusarai,71,GEN,Bihar [1947 - 1999],Mathura Prasad Mishra,Indian National Congress,402037,217368,54.1 %,BR1957PC71
Belgaum,227,GEN,Mysore,Datar Balwantrao Nageshrao,Indian National Congress,371732,236321,63.6 %,KA1957PC227
Bellary,236,GEN,Mysore,T. Subramanyam,Indian National Congress,426694,267052,62.6 %,KA1957PC236
Berhampore,371,GEN,West Bengal,Tridib Chowdhuri,Independent,458726,263161,57.4 %,WB1957PC371
Bhagalpur,68,GEN,Bihar [1947 - 1999],Banarshi Prasad Jhunjhunwala,Indian National Congress,405868,180611,44.5 %,BR1957PC68
Bhandara,139,GEN,Bombay,Wasnik Balkrishna Ramchandra,Indian National Congress,815989,872824,53.5 %,MH1957PC139
Bhandara,139,GEN,Bombay,Hajarnavis Ramchandra Martand,Indian National Congress,815989,872824,53.5 %,MH1957PC139
Bharatpur,285,GEN,Rajasthan,Raj Bahadur,Indian National Congress,393292,214264,54.5 %,RJ1957PC285
Bhatinda,278,GEN,Punjab,Hukam Singh,Indian National Congress,859582,917397,53.4 %,PB1957PC278
Bhatinda,278,GEN,Punjab,Ajit Singh,Indian National Congress,859582,917397,53.4 %,PB1957PC278
Bhilwara,290,GEN,Rajasthan,Ramesh Chandra,Indian National Congress,411280,135348,32.9 %,RJ1957PC290
Bhir,145,GEN,Bombay,Rakhamaji Dhondiba,Indian National Congress,377932,124103,32.8 %,MH1957PC145
Bhopal,174,GEN,Madhya Pradesh [1947 - 1999],Maimoona Sultan,Indian National Congress,427607,196698,46.0 %,MP1957PC174
Bhubaneswar,261,GEN,Orissa,Nrusinha Charan Samantasinhar,Indian National Congress,413128,162395,39.3 %,OR1957PC261
Bijapur North,232,GEN,Mysore,Sugandhi Murigappa Siddappa,Independent,353151,177852,50.4 %,KA1957PC232
Bijapur South,231,GEN,Mysore,Bidari Ramappa Balappa,Indian National Congress,385248,243679,63.3 %,KA1957PC231
Bijnor,308,GEN,Uttar Pradesh [1947 - 1999],Abdul Lateef,Indian National Congress,396807,236817,59.7 %,UP1957PC308
Bikaner,297,GEN,Rajasthan,Panna Lal,Indian National Congress,805673,685550,42.6 %,RJ1957PC297
Bikaner,297,GEN,Rajasthan,Karni Singh,Independent,805673,685550,42.6 %,RJ1957PC297
Bilaspur,188,GEN,Madhya Pradesh [1947 - 1999],Reshamlal,Indian National Congress,394210,137817,35.0 %,MP1957PC188
Bilhaur,330,GEN,Uttar Pradesh [1947 - 1999],Jagdish Awasthi,Independent,419831,190189,45.3 %,UP1957PC330
Birbhum,372,GEN,West Bengal,Kamal Krishna Das,Indian National Congress,861105,737913,42.9 %,WB1957PC372
Birbhum,372,GEN,West Bengal,Anil Kumar Chanda,Indian National Congress,861105,737913,42.9 %,WB1957PC372
Bisauli,317,GEN,Uttar Pradesh [1947 - 1999],Chaudhri Badan Singh,Indian National Congress,376622,165599,44.0 %,UP1957PC317
Bombay Cith North,114,GEN,Bombay,Krishna Menon Vengalil Krishnan,Indian National Congress,455745,295675,64.9 %,MH1957PC114
Bombay City Central,113,GEN,Bombay,S A Dange,Communist Party Of India,783116,1055732,67.4 %,MH1957PC113
Bombay City Central,113,GEN,Bombay,Manay Gopal Kaluji,All India Scheduled Caste Federation,783116,1055732,67.4 %,MH1957PC113
Bombay City South,112,GEN,Bombay,Patil Sadashiv Kanoji,Indian National Congress,354614,226000,63.7 %,MH1957PC112
Broach,108,GEN,Bombay,Bhat Chandrashankar Manishankar,Indian National Congress,345539,218382,63.2 %,MH1957PC108
Budaun,316,GEN,Uttar Pradesh [1947 - 1999],Raghubir Sahai,Indian National Congress,392662,200751,51.1 %,UP1957PC316
Bulandshahr,307,GEN,Uttar Pradesh [1947 - 1999],Balmiki Kanhaiya Lal,Indian National Congress,841288,889621,52.9 %,UP1957PC307
Bulandshahr,307,GEN,Uttar Pradesh [1947 - 1999],Mishra Raghubar Dayal,Indian National Congress,841288,889621,52.9 %,UP1957PC307
Buldana,134,GEN,Bombay,Rane Shioram Rango,Indian National Congress,385924,246299,63.8 %,MH1957PC134
Bulsar,111,ST,Bombay,Patel Nanubhai Nichhabhai,Indian National Congress,389567,247069,63.4 %,MH1957PC111
Burdwan,373,GEN,West Bengal,Subiman Ghose,Forward Bloc (MARXIST),425282,213290,50.2 %,WB1957PC373
Buxar,76,GEN,Bihar [1947 - 1999],Kamal Singh,Independent,366736,171694,46.8 %,BR1957PC76
Cachar,36,GEN,Assam,Tewari Dwarika Nath,Indian National Congress,729793,393379,53.9 %,AS1957PC36
Cachar,36,GEN,Assam,"Laskar, Nibaran Chandra",Indian National Congress,729793,RU,,AS1957PC36
Calcutta Central,385,GEN,West Bengal,Hirendra Nath Mukherjee,Communist Party Of India,395778,208047,52.6 %,WB1957PC385
Calcutta East,386,GEN,West Bengal,Sadhan Ch. Gupta,Communist Party Of India,497202,228712,46.0 %,WB1957PC386
Calcutta North West,387,GEN,West Bengal,Asoke Kumar Sen,Indian National Congress,414217,205994,49.7 %,WB1957PC387
Calcutta South West,388,GEN,West Bengal,Biren Roy,Independent,403712,188647,46.7 %,WB1957PC388
Chamba,400,GEN,Himachal Pradesh,Padam Dev,Indian National Congress,170692,54157,31.7 %,HP1957PC400
Champaran,47,GEN,Bihar [1947 - 1999],Bipin Behari Verma,Indian National Congress,679590,484364,35.6 %,BR1957PC47
Champaran,47,GEN,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,679590,484364,35.6 %,BR1957PC47
Chanda,140,GEN,Bombay,Swami V. N.,Indian National Congress,371606,217922,58.6 %,MH1957PC140
Chandauli,337,GEN,Uttar Pradesh [1947 - 1999],Tribhuwan Narayan,Indian National Congress,401536,232399,57.9 %,UP1957PC337
Chandni Chowk,395,GEN,Delhi,Radha Raman,Indian National Congress,171563,118019,68.8 %,DL1957PC395
Chapra,50,GEN,Bihar [1947 - 1999],Rajendra Singh,Praja Socialist Party,389668,166322,42.7 %,BR1957PC50
Chatra,81,GEN,Bihar [1947 - 1999],Vijaya Raje,Chota Nagpur Santhal Parganas Janta Party,341923,127716,37.4 %,BR1957PC81
Chhindwara,179,GEN,Madhya Pradesh [1947 - 1999],Bhikulal Lakhmichand,Indian National Congress,765324,509047,33.3 %,MP1957PC179
Chhindwara,179,GEN,Madhya Pradesh [1947 - 1999],Narayan Rao Wadiwa (ST),Indian National Congress,765324,509047,33.3 %,MP1957PC179
Chidambaram,202,GEN,Madras,R. Kanagasabai Pillai,Indian National Congress,840006,760540,45.3 %,TN1957PC202
Chidambaram,202,GEN,Madras,Elayaperumal,Indian National Congress,840006,760540,45.3 %,TN1957PC202
Chikodi,226,GEN,Mysore,Katti Datta Appa,All India Scheduled Caste Federation,361325,224840,62.2 %,KA1957PC226
Chingleput,194,GEN,Madras,Dr. A. Krishnaswamy,Independent,802716,702997,43.8 %,TN1957PC194
Chingleput,194,GEN,Madras,N. Sivaraj,Independent,802716,702997,43.8 %,TN1957PC194
Chirayinkil,150,GEN,Kerala,Kumaran,Communist Party Of India,390978,268222,68.6 %,KL1957PC150
Chitaldrug,237,GEN,Mysore,Musheer-Ul- Mulk J. M. Mahamed Imam Sab,Praja Socialist Party,418838,248507,59.3 %,KA1957PC237
Chittoor,17,GEN,Andhra Pradesh,M. Ananthasayanam Ayyangar,Indian National Congress,873993,244210,27.9 %,AP1957PC17
Chittoor,17,GEN,Andhra Pradesh,M.V. Gangadharasiva,Indian National Congress,873993,RU,,AP1957PC17
Coimbatore,224,GEN,Madras,Parvati,Communist Party Of India,462294,231245,50.0 %,TN1957PC224
Contai,383,GEN,West Bengal,Pramatha Nath Bandopadhaya,Praja Socialist Party,441736,271648,61.5 %,WB1957PC383
Cooch Behar,366,GEN,West Bengal,Santosh Banerjee,Indian National Congress,812583,769330,47.3 %,WB1957PC366
Cooch Behar,366,GEN,West Bengal,Upendranath Barman,Indian National Congress,812583,769330,47.3 %,WB1957PC366
Cuddalore,204,GEN,Madras,T. D. Muthukumarasamy,Independent,431659,231700,53.7 %,TN1957PC204
Cuddapah,19,GEN,Andhra Pradesh,V. Rami Reddy,Indian National Congress,456005,197562,43.3 %,AP1957PC19
Cuttack,258,GEN,Orissa,Nityananda Kanungo,Indian National Congress,434421,178408,41.1 %,OR1957PC258
Dahod,106,ST,Bombay,Dindod Jaljibhai Koyabhai,Indian National Congress,358134,170147,47.5 %,MH1957PC106
Darbhanga,60,GEN,Bihar [1947 - 1999],Shree Narayan Dass,Indian National Congress,798390,323395,20.3 %,BR1957PC60
Darbhanga,60,GEN,Bihar [1947 - 1999],Rameshwar Sahu,Indian National Congress,798390,RU,,BR1957PC60
Darjeeling,367,GEN,West Bengal,T. Manaen,Indian National Congress,335292,139729,41.7 %,WB1957PC367
Darrang,41,GEN,Assam,"Bhagavati, Bijoy Chandra",Indian National Congress,309968,RU,,AS1957PC41
Dausa,283,GEN,Rajasthan,Somani Gajadhar Hazari Lal,Indian National Congress,361856,139826,38.6 %,RJ1957PC283
Dehra Dun,301,GEN,Uttar Pradesh [1947 - 1999],Mahavir Tyagi,Indian National Congress,368682,222150,60.3 %,UP1957PC301
Delhi Sadar,396,GEN,Delhi,Brahm Perkash,Indian National Congress,172245,117007,67.9 %,DL1957PC396
Deoria,345,GEN,Uttar Pradesh [1947 - 1999],Ramji Verma,Praja Socialist Party,403835,151917,37.6 %,UP1957PC345
Dhanbad,83,GEN,Bihar [1947 - 1999],Prabhat Chanra Bose,Indian National Congress,420606,139548,33.2 %,BR1957PC83
Dharwar North,230,GEN,Mysore,Karmarkar Dattatraya Parashuram,Indian National Congress,389830,207987,53.4 %,KA1957PC230
Dharwar South,229,GEN,Mysore,Neswi Thimmappa Rudrappa,Indian National Congress,350400,208431,59.5 %,KA1957PC229
Dhenkanai,259,GEN,Orissa,Surendra Mohanty,Ganatantra Parishad,414908,167688,40.4 %,OR1957PC259
Dhubri,38,GEN,Assam,Ali Amjad,Praja Socialist Party,369328,174713,47.3 %,AS1957PC38
Dhulia,132,GEN,Bombay,Patil Uttamrao Laxman,All India Bhartiya Jan Sangh,398872,222098,55.7 %,MH1957PC132
Diamond Harbour,389,GEN,West Bengal,Kansari Halder,Communist Party Of India,925761,974006,52.6 %,WB1957PC389
Diamond Harbour,389,GEN,West Bengal,Purnindu Sekhar Naskar,Indian National Congress,925761,974006,52.6 %,WB1957PC389
Dibrugarh,45,GEN,Assam,"Hazarika, Jogendra Nath",Indian National Congress,346534,137398,39.7 %,AS1957PC45
Dindigul,220,GEN,Madras,M. Ghulam Mohideen,Indian National Congress,855235,805662,47.1 %,TN1957PC220
Dindigul,220,GEN,Madras,S. C. Balakrishna,Indian National Congress,855235,805662,47.1 %,TN1957PC220
Domariaganj,350,GEN,Uttar Pradesh [1947 - 1999],Ram Shanker Lal,Indian National Congress,421656,214101,50.8 %,UP1957PC350
Dumka,66,GEN,Bihar [1947 - 1999],Suresh Chandra Chudhury,Jharkhand Party,750384,582379,38.8 %,BR1957PC66
Dumka,66,GEN,Bihar [1947 - 1999],Debi Soren,Jharkhand Party,750384,582379,38.8 %,BR1957PC66
Durg,182,GEN,Madhya Pradesh [1947 - 1999],Mohanlal Bakliwal,Indian National Congress,415827,171789,41.3 %,MP1957PC182
East Khandesh,133,GEN,Bombay,Bharucha Naushir Cursetji,Praja Socialist Party,381999,223946,58.6 %,MH1957PC133
Eluru,8,GEN,Andhra Pradesh,Kumari Mothey Veda Kumari,Indian National Congress,418227,225340,53.9 %,AP1957PC08
Ernakulam,156,GEN,Kerala,Thomas ( ALUNGAL ),Indian National Congress,417148,294600,70.6 %,KL1957PC156
Etah,323,GEN,Uttar Pradesh [1947 - 1999],Rohan Lal,Indian National Congress,391650,214117,54.7 %,UP1957PC323
Etawah,329,GEN,Uttar Pradesh [1947 - 1999],Tula Ram,Indian National Congress,798143,749353,46.9 %,UP1957PC329
Etawah,329,GEN,Uttar Pradesh [1947 - 1999],Arjun Singh,Independent,798143,749353,46.9 %,UP1957PC329
Faizabad,356,GEN,Uttar Pradesh [1947 - 1999],Raja Ram,Indian National Congress,812128,614954,37.9 %,UP1957PC356
Faizabad,356,GEN,Uttar Pradesh [1947 - 1999],Panna Lal,Indian National Congress,812128,614954,37.9 %,UP1957PC356
Farrukhabad,328,GEN,Uttar Pradesh [1947 - 1999],Mul Chand,Indian National Congress,450393,248224,55.1 %,UP1957PC328
Fatehpur,332,GEN,Uttar Pradesh [1947 - 1999],Ansar Harvani,Indian National Congress,398123,145645,36.6 %,UP1957PC332
Ferozepur,271,GEN,Punjab,Iqbal Singh,Indian National Congress,428416,279204,65.2 %,PB1957PC271
Firozabad,321,GEN,Uttar Pradesh [1947 - 1999],Brij Raj Singh,Independent,411952,216457,52.5 %,UP1957PC321
Ganjam,250,GEN,Orissa,Mohan Nayak,Indian National Congress,751685,545590,36.3 %,OR1957PC250
Ganjam,250,GEN,Orissa,Uma Charan Patnaik,Independent,751685,545590,36.3 %,OR1957PC250
Garhwal,299,GEN,Uttar Pradesh [1947 - 1999],Bhakta Darshan,Indian National Congress,376070,141321,37.6 %,UP1957PC299
Gauhati,40,GEN,Assam,"Barua, Hem",Praja Socialist Party,420761,240121,57.1 %,AS1957PC40
Gaya,80,GEN,Bihar [1947 - 1999],Brajshwar Prasad,Indian National Congress,297223,121012,40.7 %,BR1957PC80
Ghatal,381,GEN,West Bengal,Nikunja Behari Maity,Indian National Congress,443265,277622,62.6 %,WB1957PC381
Ghazipur,339,GEN,Uttar Pradesh [1947 - 1999],Har Prasad Singh,Indian National Congress,382561,187549,49.0 %,UP1957PC339
Ghosi,342,GEN,Uttar Pradesh [1947 - 1999],Umrao Singh,Indian National Congress,383475,218451,57.0 %,UP1957PC342
Giridih,82,GEN,Bihar [1947 - 1999],Quazi S. A. Matin,Chota Nagpur Santhal Parganas Janta Party,327591,126018,38.5 %,BR1957PC82
Girnar,96,GEN,Bombay,Shah Jayaben Vajubhai,Indian National Congress,352947,166305,47.1 %,MH1957PC96
Goalpara,39,GEN,Assam,"Debi, Rani Manjula",Indian National Congress,783396,696041,44.4 %,AS1957PC39
Goalpara,39,GEN,Assam,"Basumauari, Dharanidh",Indian National Congress,783396,696041,44.4 %,AS1957PC39
Gobichettipalayam,223,GEN,Madras,Ramasami Gounder,Indian National Congress,416999,190099,45.6 %,TN1957PC223
Gohilwad,97,GEN,Bombay,Mehta Balvantrai Gopalji,Indian National Congress,355030,145540,41.0 %,MH1957PC97
Golugonda,4,GEN,Andhra Pradesh,Missula Suryanarayana Murthy,Indian National Congress,820319,493010,30.1 %,AP1957PC04
Golugonda,4,GEN,Andhra Pradesh,Kankipati Veeranna Padal,Indian National Congress,820319,493010,30.1 %,AP1957PC04
Gonda,354,GEN,Uttar Pradesh [1947 - 1999],Dinesh Pratap Singh,Indian National Congress,417016,182090,43.7 %,UP1957PC354
Gopalganj,48,GEN,Bihar [1947 - 1999],Dr. Syed Mahmud,Indian National Congress,368473,134227,36.4 %,BR1957PC48
Gorakhpur,348,GEN,Uttar Pradesh [1947 - 1999],Sinhasan Singh,Indian National Congress,849617,633241,37.3 %,UP1957PC348
Gorakhpur,348,GEN,Uttar Pradesh [1947 - 1999],Mahadeo Prasad,Indian National Congress,849617,633241,37.3 %,UP1957PC348
Gudivada,9,GEN,Andhra Pradesh,Duggirala Balarama Krishnaiah,Indian National Congress,458205,284126,62.0 %,AP1957PC09
Gulbarga,233,GEN,Mysore,Mahadevappa Yeshwant Rao,Indian National Congress,718374,531073,37.0 %,KA1957PC233
Gulbarga,233,GEN,Mysore,Shankardeo,Indian National Congress,718374,531073,37.0 %,KA1957PC233
Guna,167,GEN,Madhya Pradesh [1947 - 1999],Vijaya Raje Scindia,Indian National Congress,441820,177099,40.1 %,MP1957PC167
Guntur,13,GEN,Andhra Pradesh,K. Raghuramayya,Indian National Congress,505891,267579,52.9 %,AP1957PC13
Gurdaspur,274,GEN,Punjab,Dewan Chand,Indian National Congress,394742,250561,63.5 %,PB1957PC274
Gurgaon,268,GEN,Punjab,Maulana Abdul Kalam Azad,Indian National Congress,434621,286774,66.0 %,PB1957PC268
Gwalior,165,GEN,Madhya Pradesh [1947 - 1999],Radha Charan,Indian National Congress,810838,639278,39.4 %,MP1957PC165
Gwalior,165,GEN,Madhya Pradesh [1947 - 1999],Sooraj Prasad Alias Surya Prasad,Indian National Congress,810838,639278,39.4 %,MP1957PC165
Hajipur,53,GEN,Bihar [1947 - 1999],Rajeshwar Patel,Indian National Congress,785053,707039,45.0 %,BR1957PC53
Hajipur,53,GEN,Bihar [1947 - 1999],Chandramani Lal Chaudhary,Indian National Congress,785053,707039,45.0 %,BR1957PC53
Halar,94,GEN,Bombay,Hathi Jaisukhlal Lals,Indian National Congress,344232,120561,35.0 %,MH1957PC94
Hamirpur,326,GEN,Uttar Pradesh [1947 - 1999],Mannu Lal,Indian National Congress,782934,805690,51.5 %,UP1957PC326
Hamirpur,326,GEN,Uttar Pradesh [1947 - 1999],Lachhmi Ram,Indian National Congress,782934,805690,51.5 %,UP1957PC326
Hapur,306,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra Sharma,Indian National Congress,420441,244734,58.2 %,UP1957PC306
Hardoi,363,GEN,Uttar Pradesh [1947 - 1999],Chheda Lal,Indian National Congress,867802,847956,48.9 %,UP1957PC363
Hardoi,363,GEN,Uttar Pradesh [1947 - 1999],Sheodeen,All India Bhartiya Jan Sangh,867802,847956,48.9 %,UP1957PC363
Hassan,239,GEN,Mysore,J. Siddananjappa H.,Indian National Congress,367251,RU,,KA1957PC239
Hata,346,GEN,Uttar Pradesh [1947 - 1999],Kashi Nath Pande,Indian National Congress,416485,173763,41.7 %,UP1957PC346
Hazaribagh,84,GEN,Bihar [1947 - 1999],Lalita Rajya Lakshmi,Chota Nagpur Santhal Parganas Janta Party,340558,115905,34.0 %,BR1957PC84
Hindupur,21,GEN,Andhra Pradesh,K.V. Ramakrishna Reddy,Indian National Congress,401230,109671,27.3 %,AP1957PC21
Hissar,270,GEN,Punjab,Thakar Dass Bhargava,Indian National Congress,419250,234599,56.0 %,PB1957PC270
Hooghly,377,GEN,West Bengal,Provat Kar,Communist Party Of India,402713,232335,57.7 %,WB1957PC377
Hoshangabad,177,GEN,Madhya Pradesh [1947 - 1999],Bagdi Maganlal Radhakishan,Indian National Congress,350094,144358,41.2 %,MP1957PC177
Hoshiarpur,275,GEN,Punjab,Baldev Singh,Indian National Congress,426687,263751,61.8 %,PB1957PC275
Howrah,379,GEN,West Bengal,Mohammed Elias,Communist Party Of India,461154,224098,48.6 %,WB1957PC379
Hyderabad,25,GEN,Andhra Pradesh,Vinayak Rao,Indian National Congress,283749,116614,41.1 %,AP1957PC25
Indore,172,GEN,Madhya Pradesh [1947 - 1999],Khadiwala Kanhaiyalal,Indian National Congress,357132,163844,45.9 %,MP1957PC172
Inner Manipur,401,GEN,Manipur,Laisram Achow Singh,Independent,166959,92844,55.6 %,MN1957PC401
Jabalpur,176,GEN,Madhya Pradesh [1947 - 1999],Seth Govinddas Diwan Bahadur Seth Jeewandas,Indian National Congress,336417,144898,43.1 %,MP1957PC176
Jainagar,57,GEN,Bihar [1947 - 1999],Shyam Nandan Mishra,Indian National Congress,419604,178811,42.6 %,BR1957PC57
Jaipur,282,GEN,Rajasthan,Harish Chandra,Independent,382822,118036,30.8 %,RJ1957PC282
Jalesar,322,GEN,Uttar Pradesh [1947 - 1999],Krishna Chandra,Indian National Congress,397444,223605,56.3 %,UP1957PC322
Jalna,147,GEN,Bombay,Tyabji Saif Faiz,Indian National Congress,368408,118898,32.3 %,MH1957PC147
Jalore,293,GEN,Rajasthan,Damani Suraj Ratan,Indian National Congress,410988,138063,33.6 %,RJ1957PC293
Jamshedpur,86,GEN,Bihar [1947 - 1999],M.K. Ghosh,Indian National Congress,399840,160822,40.2 %,BR1957PC86
Janjgir,187,GEN,Madhya Pradesh [1947 - 1999],Amarsingh Saigal,Indian National Congress,410835,124089,30.2 %,MP1957PC187
