AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %,Father/Husband Name,Gender,Age
Bishunpur,69,ST,Gumla,Chamra Linda,Jharkhand Mukti Morcha,282181,195953,69.4 %,32756,16.7%,BIGAL ORAON (LINDA),male,54
Simdega,70,ST,Simdega,Bhushan Bara,Indian National Congress,243592,168988,69.4 %,9228,5.5%,PETER BARA,male,51
Kolebira,71,ST,Simdega,Naman Bixal Kongari,Indian National Congress,210037,144852,69.0 %,37031,25.6%,NIKODIM KONGARI,male,52
Lohardaga,72,ST,Lohardaga,Rameshwar Oraon,Indian National Congress,287746,213032,74.0 %,34670,16.3%,Late Mahabir Oraon,male,77
Manika,73,ST,Latehar,Ramchandra Singh,Indian National Congress,260816,171321,65.7 %,16854,9.8%,Ganpat Singh,male,59
Latehar,74,SC,Latehar,Prakash Ram,Bharatiya Janta Party,308236,214686,69.6 %,434,0.2%,KAILASH RAM,male,55
Panki,75,GEN,Palamu,Kushwaha Shashi Bhushan Mehta,Bharatiya Janta Party,326288,212007,65.0 %,9796,4.6%,SHIVLOCHAN MEHTA,male,55
Daltonganj,76,GEN,Palamu,Alok Kumar Chaurasiya,Bharatiya Janta Party,402625,264642,65.7 %,890,0.3%,ANIL KUMAR CHAURASIYA,male,34
Bishrampur,77,GEN,Palamu,Naresh Prasad Singh,Rashtriya Janata Dal,359702,228967,63.7 %,14587,6.4%,BABU DOMAN SINGH,male,65
Chattarpur,78,SC,Palamu,Radha Krishana Kishore,Indian National Congress,319783,193719,60.6 %,736,0.4%,NAND KISHOR RAM,male,66
Hussainabad,79,GEN,Palamu,Sanjay Kumar Singh Yadav,Rashtriya Janata Dal,323139,192391,59.5 %,34364,17.9%,KRISHNA CHANDRA PRASAD,male,60
Garhwa,80,GEN,Garhwa,Satyendra Nath Tiwari,Bharatiya Janta Party,419614,292272,69.7 %,16753,5.7%,RAM KRISHNA TIWARI,male,58
Bhawanathpur,81,GEN,Garhwa,Anant Pratap Deo,Jharkhand Mukti Morcha,440321,300399,68.2 %,21462,7.1%,Shankar Pratap Deo,male,53
